gene,target_name,cancer_type,cohens_d,fdr,composite_score,compounds,clinical_stage,n_lost,n_intact
RAF1,C-RAF,Lung,-0.0703,1.0,-0.0,LY3009120 (pan-RAF); Belvarafenib (pan-RAF),Phase 1/2,10,90
MAP2K1,MEK1,Esophagus/Stomach,-0.0693,1.0,-0.0,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,6,41
ATR,ATR,Pan-cancer (pooled),-0.0683,0.9509524722704634,0.0015,Ceralasertib (AZD6738); Berzosertib (M6620),Phase 2,84,765
PIK3CA,PI3Kalpha,Pan-cancer (pooled),-0.0658,0.9962094752233344,0.0001,Alpelisib (FDA); Inavolisib,FDA-approved,84,765
PIK3CB,PI3Kbeta,Pan-cancer (RAS-excluded),-0.0562,0.9796939658296868,0.0005,KIN-193/AZD6482,Preclinical,67,585
PIK3CA,PI3Kalpha,Bowel,-0.0542,0.975598239996066,0.0006,Alpelisib (FDA); Inavolisib,FDA-approved,6,37
WEE1,WEE1,Pan-cancer (RAS-excluded),-0.0514,0.9841370715577772,0.0004,Adavosertib (AZD1775); ZN-c3,Phase 1/2,67,585
CHEK1,CHK1,Breast,-0.0487,1.0,-0.0,Prexasertib (LY2606368); SRA737,Phase 1/2,5,34
CHEK1,CHK1,Esophagus/Stomach,-0.0473,1.0,-0.0,Prexasertib (LY2606368); SRA737,Phase 1/2,6,41
PTPN11,SHP2,Peripheral Nervous System,-0.0455,1.0,-0.0,TNO155 (Novartis); RMC-4630 (Revolution Med); GDC-1971 (Genentech),Phase 2,8,27
PIK3CA,PI3Kalpha,Lung,-0.0428,1.0,-0.0,Alpelisib (FDA); Inavolisib,FDA-approved,10,90
CDK4,CDK4,Bowel,-0.0373,0.9938715102274618,0.0001,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,6,37
PIK3CB,PI3Kbeta,Pan-cancer (pooled),-0.0255,0.9109857974643364,0.001,KIN-193/AZD6482,Preclinical,84,765
ATR,ATR,Pan-cancer (RAS-excluded),-0.0247,0.9823944221865752,0.0002,Ceralasertib (AZD6738); Berzosertib (M6620),Phase 2,67,585
CDK4,CDK4,CNS/Brain,-0.0244,0.9994774180592289,0.0,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,18,51
EZH2,EZH2,Pan-cancer (pooled),-0.0153,0.9521056051442044,0.0003,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,84,765
SOS1,SOS1,Pan-cancer (pooled),-0.0115,0.97832652877308,0.0001,BI-3406 (Boehringer); BAY-293,Phase 1,84,765
MTOR,mTOR,Bowel,-0.0096,1.0,-0.0,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,6,37
RAF1,C-RAF,Bowel,0.0004,0.9950640896242684,0.0,LY3009120 (pan-RAF); Belvarafenib (pan-RAF),Phase 1/2,6,37
BRAF,BRAF,CNS/Brain,0.0072,0.9980794930813548,0.0,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,18,51
MAP2K2,MEK2,CNS/Brain,0.0201,0.9981350682172956,0.0,Trametinib (dual MEK1/2); Cobimetinib,FDA-approved,18,51
MTOR,mTOR,Pan-cancer (pooled),0.0202,0.9918222212094217,0.0001,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,84,765
MTOR,mTOR,Pan-cancer (RAS-excluded),0.0223,0.988903223701504,0.0001,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,67,585
CDK4,CDK4,Esophagus/Stomach,0.0226,1.0,-0.0,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,6,41
RIT1,RIT1,Esophagus/Stomach,0.0342,1.0,-0.0,No direct inhibitors (RAS family GTPase),N/A,6,41
BRAF,BRAF,Pan-cancer (pooled),0.0375,0.9851140258461736,0.0002,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,84,765
PARP1,PARP1,Pan-cancer (pooled),0.0558,0.9521056051442044,0.0012,Olaparib; Niraparib; Rucaparib; Talazoparib,FDA-approved,84,765
BRD4,BRD4,Uterus,0.0639,0.9882896713043676,0.0003,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,6,21
CDK4,CDK4,Pan-cancer (RAS-excluded),0.0766,0.9944547156000132,0.0002,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,67,585
CDK4,CDK4,Uterus,0.0771,0.9971048254082132,0.0001,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,6,21
BRAF,BRAF,Bowel,0.0919,1.0,-0.0,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,6,37
MAP2K2,MEK2,Peripheral Nervous System,0.0937,0.9962343494048934,0.0002,Trametinib (dual MEK1/2); Cobimetinib,FDA-approved,8,27
BRD4,BRD4,Esophagus/Stomach,0.106,1.0,-0.0,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,6,41
BRD4,BRD4,Pan-cancer (RAS-excluded),0.1072,0.9580342868454704,0.002,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,67,585
BRAF,BRAF,Pan-cancer (RAS-excluded),0.1077,0.9944547156000132,0.0003,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,67,585
MTOR,mTOR,Peripheral Nervous System,0.1085,1.0,-0.0,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,8,27
MAP2K2,MEK2,Breast,0.113,1.0,-0.0,Trametinib (dual MEK1/2); Cobimetinib,FDA-approved,5,34
EZH2,EZH2,Pan-cancer (RAS-excluded),0.1148,0.9886201045012536,0.0006,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,67,585
BRD4,BRD4,Pan-cancer (pooled),0.1171,0.8975649995436527,0.0055,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,84,765
PARP1,PARP1,Pan-cancer (RAS-excluded),0.1272,0.9024949901071614,0.0057,Olaparib; Niraparib; Rucaparib; Talazoparib,FDA-approved,67,585
BRAF,BRAF,Peripheral Nervous System,0.1293,0.9901865061353404,0.0006,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,8,27
WEE1,WEE1,Peripheral Nervous System,0.1348,0.995916766842112,0.0002,Adavosertib (AZD1775); ZN-c3,Phase 1/2,8,27
CDK2,CDK2,Lung,0.1373,1.0,-0.0,INX-315 (Incyte); PF-07104091 (Pfizer),Phase 1/2,10,90
EZH2,EZH2,Breast,0.1437,0.9938816503010056,0.0004,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,5,34
CDK4,CDK4,Pan-cancer (pooled),0.1469,0.9760933734212216,0.0015,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,84,765
BRD4,BRD4,CNS/Brain,0.1507,0.9980794930813548,0.0001,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,18,51
SOS1,SOS1,CNS/Brain,0.1612,0.9981350682172956,0.0001,BI-3406 (Boehringer); BAY-293,Phase 1,18,51
MTOR,mTOR,Esophagus/Stomach,0.1629,1.0,-0.0,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,6,41
MAP2K1,MEK1,CNS/Brain,0.1634,0.997112698990948,0.0002,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,18,51
WEE1,WEE1,Uterus,0.1699,0.9640345795887744,0.0027,Adavosertib (AZD1775); ZN-c3,Phase 1/2,6,21
ATR,ATR,Esophagus/Stomach,0.1736,1.0,-0.0,Ceralasertib (AZD6738); Berzosertib (M6620),Phase 2,6,41
BRD4,BRD4,Bowel,0.1765,0.9891751101511992,0.0008,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,6,37
PARP1,PARP1,Esophagus/Stomach,0.1793,1.0,-0.0,Olaparib; Niraparib; Rucaparib; Talazoparib,FDA-approved,6,41
EZH2,EZH2,Esophagus/Stomach,0.1836,1.0,-0.0,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,6,41
PIK3CB,PI3Kbeta,CNS/Brain,0.1852,0.9944948260927003,0.0004,KIN-193/AZD6482,Preclinical,18,51
RIT1,RIT1,Peripheral Nervous System,0.1878,0.9903459333161264,0.0008,No direct inhibitors (RAS family GTPase),N/A,8,27
PIK3CA,PI3Kalpha,Breast,0.1939,1.0,-0.0,Alpelisib (FDA); Inavolisib,FDA-approved,5,34
BRAF,BRAF,Esophagus/Stomach,0.1992,1.0,-0.0,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,6,41
PTPN11,SHP2,Uterus,0.2073,0.9480930671884188,0.0048,TNO155 (Novartis); RMC-4630 (Revolution Med); GDC-1971 (Genentech),Phase 2,6,21
MAP2K1,MEK1,Pan-cancer (pooled),0.2109,0.9652651193402731,0.0032,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,84,765
CDK2,CDK2,Uterus,0.2164,0.9788912011344708,0.002,INX-315 (Incyte); PF-07104091 (Pfizer),Phase 1/2,6,21
MTOR,mTOR,Uterus,0.2229,0.9480930671884188,0.0052,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,6,21
CDK2,CDK2,Bowel,0.2319,0.9750353216466588,0.0025,INX-315 (Incyte); PF-07104091 (Pfizer),Phase 1/2,6,37
MAP2K2,MEK2,Esophagus/Stomach,0.2587,1.0,-0.0,Trametinib (dual MEK1/2); Cobimetinib,FDA-approved,6,41
MAP2K1,MEK1,Pan-cancer (RAS-excluded),0.2654,0.9323829101458284,0.0081,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,67,585
SOS1,SOS1,Esophagus/Stomach,0.2665,1.0,-0.0,BI-3406 (Boehringer); BAY-293,Phase 1,6,41
PARP1,PARP1,Lung,0.271,1.0,-0.0,Olaparib; Niraparib; Rucaparib; Talazoparib,FDA-approved,10,90
CDK6,CDK6,CNS/Brain,0.276,0.987558204633347,0.0015,Palbociclib; Ribociclib,FDA-approved,18,51
GRB2,GRB2,Uterus,0.2889,0.9706641161870814,0.0037,No direct inhibitors,Preclinical,6,21
MAP2K1,MEK1,Peripheral Nervous System,0.3073,0.995916766842112,0.0005,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,8,27
PIK3CB,PI3Kbeta,Esophagus/Stomach,0.3228,1.0,-0.0,KIN-193/AZD6482,Preclinical,6,41
WEE1,WEE1,CNS/Brain,0.3238,0.987558204633347,0.0018,Adavosertib (AZD1775); ZN-c3,Phase 1/2,18,51
CDK2,CDK2,Esophagus/Stomach,0.3246,1.0,-0.0,INX-315 (Incyte); PF-07104091 (Pfizer),Phase 1/2,6,41
ATR,ATR,Breast,0.3246,0.9912457562950818,0.0012,Ceralasertib (AZD6738); Berzosertib (M6620),Phase 2,5,34
RIT1,RIT1,Uterus,0.3606,0.8964584705166028,0.0171,No direct inhibitors (RAS family GTPase),N/A,6,21
PIK3CA,PI3Kalpha,Peripheral Nervous System,0.3689,0.9678719111103156,0.0052,Alpelisib (FDA); Inavolisib,FDA-approved,8,27
MAP2K1,MEK1,Lung,0.3706,1.0,-0.0,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,10,90
PARP1,PARP1,Bowel,0.3826,0.957545772802304,0.0072,Olaparib; Niraparib; Rucaparib; Talazoparib,FDA-approved,6,37
MTOR,mTOR,Breast,0.3924,0.9688395370264548,0.0054,Everolimus; Temsirolimus; Sapanisertib (dual),FDA-approved,5,34
MAP2K1,MEK1,Bowel,0.3929,0.975598239996066,0.0042,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,6,37
EZH2,EZH2,Peripheral Nervous System,0.4081,0.9838278587849856,0.0029,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,8,27
CHEK1,CHK1,Uterus,0.4196,0.9640345795887744,0.0067,Prexasertib (LY2606368); SRA737,Phase 1/2,6,21
CDK4,CDK4,Lung,0.4301,1.0,-0.0,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,10,90
CDK4,CDK4,Breast,0.4379,0.9912457562950818,0.0017,Palbociclib; Ribociclib; Abemaciclib,FDA-approved,5,34
PTPN11,SHP2,Breast,0.4598,0.9778544506108738,0.0045,TNO155 (Novartis); RMC-4630 (Revolution Med); GDC-1971 (Genentech),Phase 2,5,34
ATR,ATR,CNS/Brain,0.4621,0.9839359020327332,0.0033,Ceralasertib (AZD6738); Berzosertib (M6620),Phase 2,18,51
RAF1,C-RAF,Esophagus/Stomach,0.4872,1.0,-0.0,LY3009120 (pan-RAF); Belvarafenib (pan-RAF),Phase 1/2,6,41
RAF1,C-RAF,Uterus,0.49,0.901876399459164,0.022,LY3009120 (pan-RAF); Belvarafenib (pan-RAF),Phase 1/2,6,21
BRD4,BRD4,Lung,0.5244,1.0,-0.0,JQ1; OTX015; CPI-0610 (pelabresib),Phase 2/3,10,90
GRB2,GRB2,Breast,0.5439,0.9912457562950818,0.0021,No direct inhibitors,Preclinical,5,34
GRB2,GRB2,Esophagus/Stomach,0.5713,1.0,-0.0,No direct inhibitors,Preclinical,6,41
PIK3CA,PI3Kalpha,Uterus,0.5844,0.7908138744020321,0.0596,Alpelisib (FDA); Inavolisib,FDA-approved,6,21
CDK2,CDK2,Peripheral Nervous System,0.6188,0.9667814033960136,0.0091,INX-315 (Incyte); PF-07104091 (Pfizer),Phase 1/2,8,27
PIK3CB,PI3Kbeta,Breast,0.6676,0.9580309356536274,0.0124,KIN-193/AZD6482,Preclinical,5,34
PTPN11,SHP2,Esophagus/Stomach,0.6897,1.0,-0.0,TNO155 (Novartis); RMC-4630 (Revolution Med); GDC-1971 (Genentech),Phase 2,6,41
MAP2K1,MEK1,Uterus,0.6962,0.6910568399800419,0.1117,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,6,21
PIK3CB,PI3Kbeta,Uterus,0.6987,0.7275363256063951,0.0965,KIN-193/AZD6482,Preclinical,6,21
EZH2,EZH2,Uterus,0.7413,0.7275363256063951,0.1024,Tazemetostat (FDA-approved for epithelioid sarcoma),FDA-approved,6,21
MAP2K1,MEK1,Breast,0.7526,1.0,-0.0,Selumetinib (AZD6244); Trametinib; Mirdametinib,FDA-approved,5,34
SOS1,SOS1,Uterus,0.9629,0.6107264257837088,0.2062,BI-3406 (Boehringer); BAY-293,Phase 1,6,21
BRAF,BRAF,Uterus,1.6048,0.3686552773509295,0.6955,Dabrafenib; Vemurafenib; Encorafenib,FDA-approved,6,21
