compound,broad_id,cohens_d,p_value,n_lost,n_intact,median_sensitivity_lost,median_sensitivity_intact,fdr
macozinone,BRD-K16343284-001-02-9,-0.2077,0.07765063322778676,64,557,-0.1465,-0.0586,0.9275472926169483
verubecestat,BRD-K00003229-001-01-9,-0.2067,0.2340731289789162,64,557,-0.0193,0.0279,0.9487690209253847
E-2001,BRD-K00004561-001-01-9,-0.2067,0.6145705471964195,64,557,0.011,-0.0017,0.9962626903601212
CCR1 antagonist 9,BRD-K00091272-001-01-9,-0.2066,0.12595273898089152,63,545,-0.4885,-0.4325,0.9275472926169483
Imazodan,BRD-K96298462-001-08-9,-0.2037,0.14798720380799418,64,557,-0.1712,-0.1119,0.9487690209253847
NGP555,BRD-K00003490-001-01-9,-0.2028,0.2354546534482922,64,554,-0.063,-0.0066,0.9487690209253847
crolibulin,BRD-K00003162-001-01-9,-0.2028,0.09857632025517646,64,556,-4.2339,-3.5785,0.9275472926169483
ICA-110381,BRD-K71686520-001-02-9,-0.2018,0.1904904445555905,64,556,-0.1801,-0.022,0.9487690209253847
LDN193189,BRD-K04853698-376-01-4,-0.2017,0.2905009223625712,64,554,-5.2878,-5.3821,0.9514018446556411
ICI-169369,BRD-K00004569-001-01-9,-0.2013,0.15280343482039044,64,554,0.0651,0.1511,0.9487690209253847
GSK189254,BRD-K00003166-001-01-9,-0.2012,0.14282391788409313,64,556,0.1651,0.2327,0.9388552552131104
risedronate,BRD-K05185389-001-02-6,-0.2012,0.26848180335052996,64,554,-0.1467,-0.0833,0.9487690209253847
cloperastine-fendizoate,BRD-K00003529-458-01-9,-0.1991,0.06129023653235099,64,556,0.0962,0.2016,0.9275472926169483
ombrabulin,BRD-K00003267-003-01-9,-0.1985,0.08079005578166344,64,556,-4.2118,-3.7744,0.9275472926169483
NSC-636819,BRD-K61120504-001-01-6,-0.1975,0.05265761393076446,64,556,-0.2006,-0.0513,0.9275472926169483
S-07662,BRD-K37635256-001-02-9,-0.1974,0.06745134441965718,64,556,0.0802,0.1675,0.9275472926169483
ML355,BRD-K15324227-001-02-9,-0.1974,0.08291089252003758,63,545,-0.0881,0.0178,0.9275472926169483
MMV-390048,BRD-K78973789-001-02-9,-0.1972,0.10192688940917884,64,556,0.0497,0.1762,0.9275472926169483
zoliflodacin,BRD-K00003264-001-01-9,-0.1964,0.15026800847525834,64,557,-0.0906,-0.0376,0.9487690209253847
sodium-nitrite,BRD-K61230716-236-03-5,-0.1958,0.10728266107492314,64,556,-0.1817,-0.0955,0.9275472926169483
S55746,BRD-K00091090-001-01-9,-0.195,0.11702619888165199,63,545,0.0621,0.1322,0.9275472926169483
DR-2313,BRD-K94920105-001-05-9,-0.1942,0.09902796937290635,64,556,-0.1074,-0.0749,0.9275472926169483
ISRIB,BRD-K12826175-001-02-4,-0.1937,0.12323070928869374,64,554,-0.0617,0.0276,0.9275472926169483
GLPG0187,BRD-K00003380-001-01-9,-0.193,0.7626605101702305,64,557,-0.1357,-0.1653,0.9962626903601212
estradiol-3-O-sulfamate,BRD-K00004741-001-01-9,-0.1929,0.22823784937314795,64,554,0.0319,0.0967,0.9487690209253847
GK921,BRD-K38272302-001-02-7,-0.1916,0.12927870495710128,64,554,-5.0369,-4.5784,0.9275472926169483
Ro-5263397,BRD-K00004623-001-01-9,-0.1911,0.2742815389335598,64,554,-0.0078,0.0486,0.9487690209253847
imidazoacridinone,BRD-K00004617-001-01-9,-0.1903,0.11313887714206074,64,554,-0.5462,-0.4613,0.9275472926169483
CQS,BRD-K56839624-001-06-9,-0.1898,0.09103171413996555,64,554,-0.1471,-0.031,0.9275472926169483
T-025,BRD-K16605796-001-01-9,-0.1894,0.10857468865802603,64,556,-0.2758,-0.1197,0.9275472926169483
Ubrogepant,BRD-K00090624-001-01-9,-0.1894,0.10114115662496793,63,545,-4.3357,-3.8494,0.9275472926169483
Calhex-231,BRD-K19811997-003-02-9,-0.1889,0.2361792047227712,64,556,0.0805,0.1858,0.9487690209253847
PRI-724,BRD-K00091108-001-01-9,-0.1875,0.13264724666672656,63,545,-1.911,-1.6416,0.9342660946216771
YM-298198,BRD-K59650319-003-04-9,-0.1869,0.10183926479021378,64,554,-0.1516,-0.0497,0.9275472926169483
TCV-309,BRD-K00003278-003-01-9,-0.1863,0.045441623369920976,64,554,0.0548,0.1797,0.9275472926169483
Macimorelin,BRD-K00071596-019-01-9,-0.1862,0.3329676196415494,63,545,-0.1754,-0.1201,0.968108426371158
WP921,BRD-K00005248-001-01-9,-0.1824,0.06521477408697941,64,554,-0.0701,0.0041,0.9275472926169483
freselestat,BRD-K00004668-001-01-9,-0.181,0.1184486128778292,64,554,0.1564,0.215,0.9275472926169483
emiglitate,BRD-K00003206-001-01-9,-0.1808,0.2621370904793805,64,554,0.0276,0.0474,0.9487690209253847
dasotraline,BRD-K00003142-003-01-9,-0.1805,0.09737996073016784,64,556,-0.1811,-0.0903,0.9275472926169483
lintopride,BRD-K00004744-001-01-9,-0.1803,0.2083375548165901,64,554,0.0451,0.1641,0.9487690209253847
iberdomide,BRD-K00003408-001-01-9,-0.1797,0.2733090184865542,64,554,-0.094,-0.0354,0.9487690209253847
guadecitabine,BRD-K00003187-236-01-9,-0.1788,0.09500188159330739,64,557,-2.0867,-1.7444,0.9275472926169483
IDO1-IN-5,BRD-K00091266-001-01-9,-0.1778,0.21549352843853486,63,545,0.037,0.0844,0.9487690209253847
vixotrigine,BRD-K00003141-003-01-9,-0.1773,0.24734295708441634,64,557,0.0295,0.0357,0.9487690209253847
ABT-418 (hydrochloride),BRD-K00075715-003-02-9,-0.1773,0.13941116121790395,63,545,-0.0484,0.0557,0.9388552552131104
CCMQ,BRD-K06159959-001-03-9,-0.1772,0.1410241559871612,64,556,-0.0655,0.0383,0.9388552552131104
SDZ-MKS 492,BRD-K00076721-001-02-9,-0.1762,0.48583443098157475,63,545,-0.1269,-0.0898,0.9962626903601212
saroglitazar,BRD-K79878800-239-02-9,-0.176,0.5236038820096967,64,556,0.0031,0.1317,0.9962626903601212
aticaprant,BRD-K00003342-001-01-9,-0.1757,0.1566616043890141,64,554,-0.0021,0.0658,0.9487690209253847
cefazolin,BRD-K99750640-236-20-3,-0.1749,0.42003838308146835,64,554,0.0972,0.1132,0.9949659199242282
Pibrentasvir,BRD-K00071592-001-01-9,-0.1735,0.12840786956828995,63,545,-0.5805,-0.542,0.9275472926169483
ARV-825,BRD-A00047421-001-01-7,-0.1726,0.265028708910653,64,556,-2.254,-2.0499,0.9487690209253847
NS-11394,BRD-K00004548-001-01-9,-0.1725,0.2839489287004021,64,557,0.0222,0.0682,0.9514018446556411
LY2562175,BRD-K00075537-001-02-9,-0.1713,0.34289670503501035,63,545,-0.125,-0.1558,0.9704788142491085
IDH-305,BRD-K00003457-001-01-9,-0.1711,0.3896052502484889,64,554,-0.0332,0.0163,0.9778833764515054
oglufanide,BRD-K00003164-001-01-9,-0.1697,0.31217007992596757,64,556,-0.1637,-0.1392,0.9514018446556411
E-7386,BRD-K00091075-001-01-9,-0.1691,0.16961406581377347,63,545,-3.2846,-2.9234,0.9487690209253847
SP-100030,BRD-K71900389-001-02-9,-0.1689,0.4226003678898186,64,554,-0.2807,-0.308,0.9949940755879771
hepsulfam,BRD-K00004739-001-01-9,-0.1683,0.1707478806306243,64,554,-0.3477,-0.3035,0.9487690209253847
zileuton,BRD-A56359832-001-16-9,-0.1682,0.058314639413426475,64,554,0.055,0.1672,0.9275472926169483
alpha-asarone,BRD-K72536715-001-01-5,-0.1679,0.08617911126674668,64,556,-0.0104,0.0935,0.9275472926169483
hPGDS-IN-1,BRD-K00003140-001-01-9,-0.1676,0.889709238711059,64,557,-0.0811,-0.0913,0.9962626903601212
MK-4074,BRD-K00003482-001-01-9,-0.1676,0.27511741897649045,64,557,-0.1253,-0.0659,0.9487690209253847
PK-44,BRD-K04035716-011-02-9,-0.1655,0.2755960530373559,64,556,-0.102,-0.0597,0.9487690209253847
SIB-1893,BRD-K14561059-001-06-9,-0.1649,0.3232336316543637,64,556,-0.2159,-0.1411,0.9588852605380689
revefenacin,BRD-K00003198-001-01-9,-0.1641,0.33105638888572597,64,554,0.0012,0.0417,0.967084363958307
adavivint,BRD-K00003499-001-01-9,-0.164,0.14627149686637939,64,556,-4.0677,-3.3865,0.9487690209253847
dihydrexidine,BRD-K31471398-003-06-9,-0.1634,0.2694425314242521,64,554,0.0882,0.0867,0.9487690209253847
PF-06650833,BRD-K00003296-001-01-9,-0.163,0.38514561736154773,64,556,-0.1545,-0.1589,0.9778833764515054
ginsenoside-RE,BRD-K00003326-001-01-9,-0.1625,0.21123510762715625,64,556,-0.1489,-0.0511,0.9487690209253847
AR-C155858,BRD-K42325600-001-01-8,-0.1604,0.31429170294405107,64,556,-0.2321,-0.1874,0.9514018446556411
Gln-1062,BRD-K00004731-001-01-9,-0.1596,0.3201394623239092,64,554,-0.163,-0.0837,0.9553768206359181
thymalfasin,BRD-K00004602-001-01-9,-0.1596,0.18502574242419023,64,554,0.0102,0.083,0.9487690209253847
DS-1971a,BRD-K00091281-001-01-9,-0.1593,0.7042910438453988,63,545,-0.014,-0.0149,0.9962626903601212
TC-SP-14,BRD-K87461578-001-02-9,-0.1588,0.28678057498808995,64,556,-0.1247,-0.1085,0.9514018446556411
CH55,BRD-K71487808-001-02-8,-0.157,0.08325239817977537,64,556,-0.2151,-0.1145,0.9275472926169483
NS-309,BRD-K00004295-001-01-9,-0.157,0.8633827571578954,64,556,0.0839,0.0869,0.9962626903601212
NGD-98-2,BRD-K81779590-003-02-9,-0.1569,0.17641668126287635,64,556,0.1819,0.2563,0.9487690209253847
AZD5069,BRD-K00003297-001-01-9,-0.1556,0.2562841272738975,64,556,0.0474,0.0981,0.9487690209253847
GSK2193874,BRD-K90737788-001-02-9,-0.1555,0.29970854585292583,64,554,-0.1427,-0.1094,0.9514018446556411
manitimus,BRD-K00004729-001-01-9,-0.1553,0.07712426808813518,64,554,-0.0867,-0.0025,0.9275472926169483
voclosporin,BRD-K00003472-001-01-9,-0.1553,0.4569274360848149,64,556,-0.1369,-0.1316,0.9962626903601212
SB-649868,BRD-K00003485-001-01-9,-0.1546,0.7880952246952293,64,554,0.3891,0.3761,0.9962626903601212
eravacycline,BRD-K00003240-300-01-9,-0.1538,0.30308567631759464,64,556,-1.3963,-1.2103,0.9514018446556411
tropifexor,BRD-K00003480-001-01-9,-0.1535,0.704514592609137,64,557,0.1832,0.1473,0.9962626903601212
lanabecestat,BRD-K00003387-001-01-9,-0.1527,0.11014296480054792,64,554,-0.0536,0.0278,0.9275472926169483
PF-06751979,BRD-K00004598-001-01-9,-0.1527,0.19249836689481759,64,557,-0.0932,-0.0631,0.9487690209253847
CU-CPT-4a,BRD-K58234744-001-02-9,-0.1523,0.24235699328893412,64,556,-0.0509,0.0193,0.9487690209253847
SU9516,BRD-K94883909-001-17-7,-0.1519,0.7146255393702566,64,554,-0.5013,-0.4573,0.9962626903601212
padsevonil,BRD-K00003493-001-01-9,-0.1517,0.39287343699719646,64,554,0.0312,0.0817,0.981212735564662
denopamine,BRD-K00004656-001-01-9,-0.1514,0.29730290000273807,64,554,-0.0167,0.0461,0.9514018446556411
dynole-34-2,BRD-K23479488-001-02-9,-0.1511,0.3587090651933399,64,556,-0.2663,-0.1644,0.9704788142491085
Alminoprofen,BRD-K00073457-001-02-9,-0.1507,0.6160188692239861,63,545,0.0912,0.0725,0.9962626903601212
velaresol,BRD-K00004580-001-01-9,-0.1496,0.2841367657818381,64,554,0.1726,0.2273,0.9514018446556411
LP-533401,BRD-K00004673-001-01-9,-0.1484,0.3791258212895281,64,556,0.0005,0.0632,0.9774740562498717
TRAM-39,BRD-K81341251-001-02-9,-0.148,0.17831045601931295,64,556,-0.0856,-0.0528,0.9487690209253847
BMS-779788,BRD-K00003305-001-01-9,-0.1468,0.18924556266545878,64,556,-0.1549,-0.0824,0.9487690209253847
Flesinoxan,BRD-K00091287-001-01-9,-0.1466,0.23940273265560863,63,545,0.1191,0.1349,0.9487690209253847
JNJ-54175446,BRD-K00004575-001-01-9,-0.1465,0.39285402502264877,64,556,-0.0763,-0.0226,0.981212735564662
pipofezine,BRD-K00003317-312-01-9,-0.1464,0.3985932916520323,64,556,-0.1666,-0.1394,0.9841489090300993
aramchol,BRD-K00004646-001-01-9,-0.1464,0.24138160973677103,64,557,0.1067,0.1572,0.9487690209253847
Remdesivir,BRD-K00071599-001-02-9,-0.1458,0.17947111787947645,63,545,-0.7175,-0.52,0.9487690209253847
transcrocetinate,BRD-K00003217-304-01-9,-0.1457,0.5469941620139669,64,554,-0.0382,-0.059,0.9962626903601212
UF-010,BRD-K20480395-001-02-9,-0.1456,0.35948130929234434,64,556,-0.3782,-0.3429,0.9704788142491085
GSK2606414,BRD-K81689258-001-04-8,-0.1453,0.29696029298399995,64,554,-0.2445,-0.1712,0.9514018446556411
ripretinib,BRD-K00005241-001-01-9,-0.1451,0.15857078581534723,64,557,-0.1922,-0.0718,0.9487690209253847
DpC,BRD-K00004636-001-01-9,-0.1449,0.20541153804402568,64,554,-5.2872,-5.0225,0.9487690209253847
ITX3,BRD-K36515744-001-03-5,-0.1442,0.30386263634753663,64,554,-0.1198,-0.0981,0.9514018446556411
A77636,BRD-K72226571-003-02-9,-0.144,0.13458899100595992,64,554,-0.1103,-0.0306,0.9342660946216771
PLX647,BRD-K79294107-300-02-9,-0.1439,0.46499217171094887,64,556,-0.0313,-0.0317,0.9962626903601212
BIIB068,BRD-K00091113-001-01-9,-0.1438,0.3641163440701397,63,545,-0.0313,0.0276,0.9718316507224152
SDZ-SER-082,BRD-K31339597-051-03-9,-0.1434,0.07613983498761749,64,554,-0.0463,0.11,0.9275472926169483
beclabuvir,BRD-K00003128-001-01-9,-0.1433,0.3320618045329792,64,557,-0.1888,-0.1462,0.9680878762923009
HP-228,BRD-K00004723-001-01-9,-0.1431,0.28229914738601036,64,557,-0.1242,-0.0755,0.9514018446556411
parethoxycaine,BRD-K54799382-003-08-4,-0.143,0.21969781223252627,64,556,-0.1057,-0.0881,0.9487690209253847
RAF709,BRD-K00010389-001-01-9,-0.1422,0.3399612589715264,64,554,-0.655,-0.4707,0.9704788142491085
D609,BRD-A77118605-237-09-5,-0.1415,0.4511521166122414,64,556,-0.0055,-0.0086,0.9962626903601212
spautin-1,BRD-K84964099-001-03-9,-0.1408,0.23399852339786487,64,554,-0.6604,-0.5522,0.9487690209253847
sulfisomidin,BRD-K52416806-001-05-9,-0.1408,0.2555874392355406,64,554,-0.1072,-0.0279,0.9487690209253847
cinchonine,BRD-K36551084-001-04-9,-0.1408,0.6216075282992439,64,554,0.1345,0.1258,0.9962626903601212
AZ-7371,BRD-K14661019-001-02-9,-0.1404,0.225567186414237,64,556,0.0084,0.1322,0.9487690209253847
cinobufotalin,BRD-K00003354-001-01-9,-0.1404,0.1148308069672514,64,554,-7.5262,-7.1505,0.9275472926169483
ITD-1,BRD-A56690687-001-02-9,-0.1402,0.23327687824868393,64,556,-0.0824,-0.0595,0.9487690209253847
entasobulin,BRD-K00004610-001-01-9,-0.1397,0.1919833251193569,64,554,-2.0876,-1.9396,0.9487690209253847
IM156,BRD-K00091083-015-01-9,-0.1389,0.6653321364325622,63,545,-0.1139,-0.1173,0.9962626903601212
RGX-104,BRD-K00004597-001-01-9,-0.1383,0.15818179421123757,64,554,-0.0214,0.0556,0.9487690209253847
TC-G-1005,BRD-K16939217-001-02-9,-0.1377,0.34484824544848935,64,554,-0.222,-0.1399,0.9704788142491085
DHBP,BRD-K41262162-303-11-9,-0.1376,0.31429170294405107,64,556,-1.3846,-1.2272,0.9514018446556411
JD-5037,BRD-K00003271-001-01-9,-0.1371,0.3398202902826495,64,557,-3.8549,-3.963,0.9704788142491085
sodium-ascorbate,BRD-A67265925-236-02-6,-0.1363,0.05664620478799198,64,556,-0.084,-0.0085,0.9275472926169483
C11-Acetate,BRD-K83914624-415-01-3,-0.1361,0.16092094209514285,64,556,-0.1746,-0.0714,0.9487690209253847
bromisoval,BRD-K00003522-001-01-9,-0.136,0.5150048723391418,64,556,0.1788,0.1411,0.9962626903601212
PT2399,BRD-K00090636-001-01-9,-0.1356,0.3625169209379536,63,545,0.1594,0.1966,0.9704788142491085
E1210,BRD-K00079239-001-02-9,-0.1354,0.19000376212034364,63,545,-0.2293,-0.1831,0.9487690209253847
D-3263,BRD-K00003205-003-01-9,-0.135,0.9305317342405548,64,557,-0.5873,-0.5983,0.9962626903601212
WAY-629,BRD-K55430733-003-03-9,-0.1338,0.07152561337343254,64,556,-0.3892,-0.2541,0.9275472926169483
sulopenem,BRD-K00004713-001-01-9,-0.1332,0.3723236841902918,64,554,0.1608,0.1701,0.9748578674136137
bevenopran,BRD-K00004680-001-01-9,-0.133,0.2882688585841874,64,557,-0.0353,-0.0432,0.9514018446556411
BT-11,BRD-K00003444-001-01-9,-0.1327,0.46980373749196025,64,554,-0.2298,-0.2078,0.9962626903601212
OP-0595,BRD-K00004708-001-01-9,-0.1314,0.32950128002314494,64,557,-0.0475,0.0425,0.967084363958307
propylene-glycol,BRD-A19232309-001-08-6,-0.1311,0.15006224676596513,64,554,-0.0647,0.0339,0.9487690209253847
lusaperidone,BRD-K00004742-001-01-9,-0.1299,0.28948972935888895,64,554,-0.0299,0.0349,0.9514018446556411
Netarsudil mesylate,BRD-K00029607-334-02-9,-0.1297,0.6510819858201086,63,545,-0.4362,-0.4703,0.9962626903601212
basmisanil,BRD-K00003221-001-01-9,-0.1291,0.4283960863745555,64,557,-0.0658,0.0065,0.9949940755879771
Frakefamide (TFA),BRD-K00077076-019-02-9,-0.129,0.7798324919859192,63,545,0.2378,0.2093,0.9962626903601212
cyclopamine,BRD-K58938839-001-06-9,-0.1286,0.3144144618551954,64,554,-0.1271,-0.0555,0.9514018446556411
CORT-108297,BRD-K00004700-001-01-9,-0.1286,0.6613237691375415,64,557,-0.0713,-0.0501,0.9962626903601212
ALK2-IN-1,BRD-K00091120-001-01-9,-0.1284,0.7383182841436828,63,545,-0.2458,-0.259,0.9962626903601212
Tecarfarin,BRD-K00079520-001-02-9,-0.1279,0.42680322952636796,63,545,-0.1179,-0.1066,0.9949940755879771
NVP-TNKS656,BRD-K87454346-001-01-1,-0.1275,0.3140588984152224,64,554,-0.205,-0.1812,0.9514018446556411
BAY-1251152,BRD-K00003533-001-01-9,-0.1271,0.28280906094454417,64,554,-6.6462,-6.6558,0.9514018446556411
phenylmethylsulfonyl-fluoride,BRD-K33422401-001-06-4,-0.1269,0.9105224703428441,64,556,0.1524,0.1288,0.9962626903601212
Olinciguat,BRD-K00091274-001-01-9,-0.1269,0.2593209623584555,63,545,-0.0712,0.0214,0.9487690209253847
epristeride,BRD-K00003478-001-01-9,-0.126,0.5279696548613403,64,554,-0.1057,-0.1037,0.9962626903601212
FAPI-4,BRD-K00091294-001-01-9,-0.1257,0.2979317793339873,63,545,-0.055,-0.0011,0.9514018446556411
XMD8-92,BRD-K50387473-001-11-0,-0.1246,0.1436770575260169,64,554,-0.2282,-0.0437,0.9388552552131104
