treatment_id,drug_name,cohens_d,p_value,n_del,n_intact,median_sens_del,median_sens_intact,fdr
BRD:BRD-A03204438-001-01-2,,0.0676,0.4532837494708676,146,226,0.1169,0.1207,0.9014767234795572
BRD:BRD-A03216249-003-24-3,,-0.0805,0.7771512703946245,161,269,-0.4369,-0.4664,0.9694850354597484
BRD:BRD-A03359064-001-02-3,,-0.0576,0.6181637334367756,160,273,0.2271,0.2514,0.9361638997818772
BRD:BRD-A03506276-001-01-5,,-0.146,0.1609471397585529,161,271,-3.9632,-3.7851,0.7580792308814568
BRD:BRD-A03623303-045-09-5,,-0.0639,0.9371111108404931,161,271,-0.8736,-0.9012,0.9928820916017232
BRD:BRD-A03880619-001-01-0,,0.0729,0.41519819361959875,149,258,0.2079,0.1447,0.8927231439185629
BRD:BRD-A03932035-004-04-3,,-0.0928,0.10605176975039005,153,265,-0.2222,-0.1343,0.7237564838414562
BRD:BRD-A04203391-001-08-3,,-0.0223,0.8939826316718751,160,275,0.0399,0.0003,0.9892676809800303
BRD:BRD-A04252265-003-01-4,,0.0697,0.43546985637758095,160,269,-0.004,-0.0147,0.8965164755428702
BRD:BRD-A04322457-003-17-9,,-0.1755,0.09122624595146357,160,272,0.1521,0.2166,0.6888301921590625
BRD:BRD-A04327189-001-15-1,,-0.2591,0.011973601333550854,161,272,-0.2073,-0.0472,0.5244579789804245
BRD:BRD-A04327189-003-03-3,,-0.0957,0.3693951266738926,153,265,0.0653,0.08,0.8850915916995977
BRD:BRD-A04352665-001-05-3,,-0.0479,0.9023394614278331,153,265,0.2566,0.2126,0.9900649210308277
BRD:BRD-A04447196-001-01-8,,-0.0518,0.7005735189825297,159,261,0.0358,0.0298,0.9513793443728615
BRD:BRD-A04497688-001-04-2,,-0.2876,0.0024444881976242883,161,271,0.0475,0.1746,0.39701597446795156
BRD:BRD-A04506385-001-01-2,,0.1011,0.6378812552237603,159,269,-0.2348,-0.2891,0.9434202840953229
BRD:BRD-A04553218-050-16-2,,-0.165,0.0845867178454226,161,271,0.0624,0.1109,0.676907527700992
BRD:BRD-A04649065-001-01-7,,0.099,0.399909650119436,146,226,0.1197,0.1146,0.8889305931741535
BRD:BRD-A04661934-001-02-9,,-0.0235,0.5698577909354092,160,275,-0.0369,-0.0389,0.9329961501918992
BRD:BRD-A04843135-001-09-9,,0.0169,0.6874476028511085,205,384,-0.0527,-0.073,0.9513793443728615
BRD:BRD-A04971881-003-01-3,,0.0465,0.32620719041651536,158,261,0.102,0.0844,0.8692950218332163
BRD:BRD-A05186015-003-19-8,,-0.0307,0.7468632693984885,161,271,0.2209,0.2076,0.9609127717091451
BRD:BRD-A05334458-001-02-8,,-0.3046,0.0006302279051864625,161,271,0.2507,0.3712,0.29876574581307647
BRD:BRD-A05457250-001-08-4,,-0.1948,0.09582683221991739,160,274,-0.3611,-0.3251,0.7010398348167496
BRD:BRD-A05515753-001-03-2,,-0.1323,0.2956638126878066,160,272,0.086,0.0954,0.8572422118606544
BRD:BRD-A05523972-001-01-5,,-0.1353,0.14892575187465676,161,271,0.2328,0.2625,0.7517140198448152
BRD:BRD-A05674712-001-06-0,,-0.1264,0.1798137836342698,150,258,0.019,0.0977,0.7719857179720939
BRD:BRD-A05729358-001-02-0,,0.1398,0.19309648434921722,161,271,0.0094,-0.0391,0.7808964435563936
BRD:BRD-A05906449-004-01-1,,0.2295,0.028241460141476618,160,273,0.2156,0.1103,0.5978867729719972
BRD:BRD-A06352418-001-25-9,,0.1357,0.009358029116627647,153,265,-0.2376,-0.4453,0.5092370063297271
BRD:BRD-A06352508-001-03-7,,-0.0003,0.7020165701659458,161,272,-0.3569,-0.2585,0.9513793443728615
BRD:BRD-A06390036-001-04-6,,0.0569,0.5200758981406104,161,272,0.15,0.1158,0.9161884213492077
BRD:BRD-A06426627-001-03-5,,-0.0309,0.4005888072465764,160,273,-0.5227,-0.4858,0.8889305931741535
BRD:BRD-A06627858-236-03-0,,-0.1867,0.05463857604237297,161,272,-2.7572,-2.4671,0.6271797463553042
BRD:BRD-A06771424-004-01-7,,-0.2413,0.03165919750016579,158,268,-0.0042,0.0685,0.614264563602898
BRD:BRD-A06784547-001-03-9,,-0.0971,0.5019236741193935,207,392,0.0429,0.0339,0.9109349557160419
BRD:BRD-A06916187-001-02-9,,-0.0158,0.5725744724883209,161,271,0.1087,0.1566,0.9329961501918992
BRD:BRD-A06935312-001-04-3,,-0.1583,0.07995077000249741,161,271,0.1652,0.2312,0.6702673754882306
BRD:BRD-A07000685-001-04-4,,-0.1544,0.14673509090293863,160,272,0.2573,0.2958,0.7517140198448152
BRD:BRD-A07164067-001-01-2,,-0.1457,0.20657368383108654,160,273,0.0637,0.0843,0.7931585519988668
BRD:BRD-A07207424-001-13-2,,-0.0823,0.3836584573480357,160,275,-0.3398,-0.2752,0.8889305931741535
BRD:BRD-A07232941-001-02-7,,-0.1999,0.0221294643749393,161,271,0.0415,0.1304,0.5903092527307608
BRD:BRD-A07395371-003-10-0,,-0.0595,0.4870745851592371,161,271,0.2512,0.2821,0.9065889345480317
BRD:BRD-A07440155-003-25-4,,-0.1603,0.09202288189919976,161,271,0.198,0.2575,0.6915317246659741
BRD:BRD-A07563059-035-01-3,,-0.072,0.3070243287316917,161,269,0.3366,0.3602,0.8598571231999333
BRD:BRD-A07600638-060-05-2,,0.0472,0.5935563527625927,153,265,-0.1351,-0.1472,0.9329961501918992
BRD:BRD-A07704283-001-01-3,,0.0804,0.4515191710340024,161,269,0.1312,0.093,0.9012212063755023
BRD:BRD-A07780951-001-08-9,,-0.0192,0.7061331577534502,160,272,0.3305,0.2964,0.9513963729232545
BRD:BRD-A07780951-065-10-0,,-0.1518,0.2108418879613566,149,258,0.0824,0.1212,0.7951388455311266
BRD:BRD-A07815743-001-01-1,,-0.0647,0.3498598704195526,161,271,-0.0201,-0.0094,0.877493965785386
BRD:BRD-A07870296-001-07-4,,-0.0057,0.9274145405189386,160,273,0.222,0.1886,0.9916763354525343
BRD:BRD-A07893380-213-01-7,,0.0695,0.47766449269616873,150,258,-0.0121,-0.0627,0.9052344124341627
BRD:BRD-A07932845-050-15-8,,-0.0575,0.5380827075536099,160,275,0.0034,0.0273,0.9242295418470508
BRD:BRD-A07947329-001-01-4,,0.0836,0.43432995437291033,160,275,-0.0857,-0.1216,0.8965164755428702
BRD:BRD-A07986123-001-02-8,,-0.1523,0.008478726411906789,152,264,-0.2492,-0.1314,0.5046353252671404
BRD:BRD-A08079565-001-01-8,,-0.1374,0.21848887236849546,158,268,-0.1624,-0.124,0.7970810728086315
BRD:BRD-A08187463-001-12-9,,-0.1433,0.15746559823103623,153,265,-0.1757,-0.1374,0.7548470884342712
BRD:BRD-A08255417-001-14-7,,-0.0935,0.19293295783595543,161,272,0.1484,0.2091,0.7808964435563936
BRD:BRD-A08302182-001-01-7,,-0.1488,0.17680252131904872,160,271,-0.1198,-0.1007,0.7719857179720939
BRD:BRD-A08316590-001-01-3,,0.0299,0.7265350980470654,159,261,-0.0186,-0.0367,0.9570618450154166
BRD:BRD-A08545410-003-07-8,,-0.0092,0.8063752560923381,150,258,0.2415,0.2213,0.9757741786371151
BRD:BRD-A08545410-003-08-6,,-0.1063,0.4068784591787661,162,274,-0.1056,-0.0932,0.8909141064986349
BRD:BRD-A08545410-311-01-8,,-0.1224,0.1781701854405171,153,265,-0.1775,-0.099,0.7719857179720939
BRD:BRD-A08545410-311-03-4,,0.0745,0.592012494672111,150,258,-0.8404,-0.9395,0.9329961501918992
BRD:BRD-A08641215-065-05-5,,-0.049,0.41938026466088785,207,392,0.027,0.041,0.8928351529790023
BRD:BRD-A08660406-001-05-9,,0.0544,0.8599452563671542,145,254,-0.5247,-0.5328,0.9851574642707909
BRD:BRD-A08715367-001-01-7,,0.0218,0.939707673672689,160,271,-0.3131,-0.3056,0.9928820916017232
BRD:BRD-A08772153-001-02-4,,0.0189,0.953737903740604,159,261,0.0541,0.0765,0.9940116244300232
BRD:BRD-A08840375-001-01-3,,0.0532,0.7039137200095853,158,268,-1.6017,-1.7034,0.9513963729232545
BRD:BRD-A09004963-001-01-3,,-0.0994,0.6675036967248414,146,225,0.0683,0.0678,0.9480017880698177
BRD:BRD-A09056319-003-07-7,,0.0748,0.9616578420894932,161,272,0.1512,0.1542,0.9953495554585865
BRD:BRD-A09062839-003-10-0,,-0.157,0.13977295339781745,160,274,-0.1019,-0.0669,0.7497127982425101
BRD:BRD-A09094913-065-01-0,,-0.1436,0.09416942933960049,160,272,-0.4231,-0.3604,0.6971868891465862
BRD:BRD-A09349126-001-10-7,,-0.0796,0.9694015259995845,153,264,-0.4269,-0.4459,0.9953495554585865
BRD:BRD-A09368919-001-01-7,,0.0001,0.8655261085371228,146,226,0.2593,0.2399,0.9852119206041248
BRD:BRD-A09370961-001-01-0,,-0.0508,0.6817014130743453,153,265,-0.4521,-0.4397,0.9508530391895654
BRD:BRD-A09467419-003-22-4,,-0.0855,0.4569953497410735,153,265,-0.1792,-0.1615,0.9022967213555944
BRD:BRD-A09472452-015-23-4,,-0.0812,0.27309865768257413,153,265,-0.1825,-0.169,0.8437542767417685
BRD:BRD-A09487507-001-03-9,,0.0341,0.6223397768442637,207,391,-0.0355,-0.0586,0.9384760222757694
BRD:BRD-A09533288-003-31-2,,-0.0723,0.9117262152450272,153,264,0.0252,-0.0086,0.9900649210308277
BRD:BRD-A09554849-236-07-6,,0.0071,0.8539325846101429,161,271,0.1093,0.0798,0.9828903017082028
BRD:BRD-A09722536-002-18-0,,-0.0023,0.7396125349817648,160,272,0.3101,0.3225,0.9589400634955477
BRD:BRD-A09735281-001-02-5,,0.0125,0.9118871255983048,160,274,-0.0236,-0.05,0.9900649210308277
BRD:BRD-A09828896-004-11-0,,-0.0186,0.9150331053461073,160,274,-0.2062,-0.1812,0.9900649210308277
BRD:BRD-A09911125-001-01-4,,-0.1303,0.028315837931032418,158,261,0.068,0.156,0.5978867729719972
BRD:BRD-A09925278-003-05-6,,-0.0801,0.49414428201077565,160,275,-0.1246,-0.1007,0.9082576338837111
BRD:BRD-A10039652-001-01-2,,-0.0399,0.7452190096400911,149,258,-0.1665,-0.1666,0.9599766790848452
BRD:BRD-A10070317-003-28-3,,-0.0849,0.3866713566587343,153,265,-0.0037,0.0298,0.8889305931741535
BRD:BRD-A10111329-001-04-6,,0.0004,0.8772842890450326,160,272,0.0309,0.0255,0.9860553422638259
BRD:BRD-A10188456-001-04-9,,-0.1147,0.14975668445659113,159,261,0.0096,0.0547,0.7517140198448152
BRD:BRD-A10420615-001-04-4,,-0.0843,0.6487559396823483,160,273,0.2271,0.2513,0.9453138419762234
BRD:BRD-A10523515-001-07-9,,-0.0849,0.4547194982104624,161,271,-0.088,-0.1021,0.9014767234795572
BRD:BRD-A10652366-238-04-1,,-0.1941,0.07128218076358808,150,258,0.0879,0.1578,0.6545522817234878
BRD:BRD-A10662413-043-11-2,,0.0067,0.9616087548515391,160,273,0.1008,0.0945,0.9953495554585865
BRD:BRD-A10739734-003-10-6,,-0.0983,0.45056563279952166,161,272,0.19,0.2036,0.9012212063755023
BRD:BRD-A10773072-001-03-4,,-0.0724,0.5272652636493111,158,261,0.045,0.064,0.9196288951415543
BRD:BRD-A10903566-003-07-7,,0.0165,0.6170248782271021,153,265,-0.0101,-0.0495,0.9361638997818772
BRD:BRD-A10967948-003-06-3,,0.08,0.544535508586531,153,265,-0.2491,-0.2846,0.9262381813526352
BRD:BRD-A10977446-001-12-1,,0.0753,0.5982172798137199,153,265,-0.1414,-0.1608,0.9329961501918992
BRD:BRD-A11070335-236-02-1,,-0.0971,0.24861062253326172,162,273,-0.0164,0.0317,0.8270541957544484
BRD:BRD-A11132253-001-08-2,,-0.2589,0.01587223708351202,153,263,-0.0603,0.0102,0.5535915287649616
BRD:BRD-A11551002-001-04-6,,-0.0867,0.2220169271421749,153,265,-0.3092,-0.2497,0.8011426081725247
BRD:BRD-A11662333-001-03-3,,-0.132,0.25342784883623715,150,257,0.1022,0.1737,0.8276312913543763
BRD:BRD-A11725667-001-01-8,,0.0091,0.799292551434233,146,226,0.0937,0.0705,0.9741871161799394
BRD:BRD-A11731518-001-01-7,,-0.0271,0.9460775163229209,160,271,0.2343,0.2453,0.9933301895519766
BRD:BRD-A11776908-065-01-5,,-0.0078,0.8966320606638125,161,272,0.0517,0.0394,0.9893008045651196
BRD:BRD-A11813248-003-02-4,,0.0688,0.4900694506965003,160,273,-0.3331,-0.3631,0.907378047870014
BRD:BRD-A11815689-001-01-1,,-0.1853,0.09946178631917577,160,272,-3.7091,-3.6102,0.7085655927268777
BRD:BRD-A11990600-001-03-4,,-0.2739,0.00841795752514391,153,265,-1.3108,-1.2008,0.5046353252671404
BRD:BRD-A12077521-003-01-5,,-0.1033,0.3627097676224962,153,265,-0.4375,-0.4094,0.883915821681412
BRD:BRD-A12147465-003-02-9,,0.0597,0.9549101669680279,208,393,-1.832,-1.8796,0.9942277839682396
BRD:BRD-A12230535-001-06-7,,-0.2798,0.018109962793913203,153,265,-0.139,0.0028,0.5535915287649616
BRD:BRD-A12237696-001-04-2,,-0.0331,0.694073261822983,153,265,-0.1285,-0.1415,0.9513793443728615
BRD:BRD-A12417644-001-07-6,,-0.1301,0.3756459090623935,150,258,-0.1193,-0.1132,0.8871914810672753
BRD:BRD-A12454076-001-01-9,,0.0081,0.6948354334457232,149,258,0.2599,0.2268,0.9513793443728615
BRD:BRD-A12633378-001-07-0,,0.027,0.479540144110823,146,225,0.142,0.1335,0.9052344124341627
BRD:BRD-A12896037-001-04-3,,-0.2559,0.004793838517688011,153,265,-0.543,-0.3931,0.49029920634535834
BRD:BRD-A12994259-001-02-1,,-0.0993,0.3987712385656488,153,265,-0.2763,-0.2504,0.8889305931741535
BRD:BRD-A13084692-001-17-3,,-0.0403,0.8031110214988147,160,271,-0.2846,-0.2798,0.9750260328731628
BRD:BRD-A13116749-003-01-6,,0.0089,0.7641238296337833,158,261,0.1052,0.1104,0.9672633861322499
BRD:BRD-A13133631-001-04-0,,0.0865,0.32193553786008267,160,271,-0.1802,-0.2658,0.867589499965109
BRD:BRD-A13188892-066-21-5,,-0.1337,0.14166015722642317,161,271,0.1251,0.1629,0.7517140198448152
BRD:BRD-A13293292-001-02-6,,-0.0744,0.4230259625118188,146,225,0.1172,0.1332,0.8932309173126242
BRD:BRD-A13323580-001-04-8,,-0.1062,0.25548105682942346,153,265,-0.2261,-0.1769,0.8297099919396188
BRD:BRD-A13561534-003-02-0,,-0.0562,0.7602261525952283,150,258,-0.0022,-0.0172,0.9653912209020974
BRD:BRD-A13598753-001-01-2,,-0.0668,0.4668631351157393,160,273,0.0452,0.0694,0.9044487510828714
BRD:BRD-A13689093-001-01-8,,0.1711,0.2044729266783346,146,225,-0.1099,-0.1554,0.7931585519988668
BRD:BRD-A13946108-001-17-1,,-0.0363,0.7128932233444006,160,273,0.1758,0.1305,0.9538019677849222
BRD:BRD-A13964793-001-02-6,,-0.1001,0.37248725093859136,161,271,-0.2962,-0.2328,0.8861525894626578
BRD:BRD-A14208071-004-19-8,,-0.0469,0.6421971426458968,160,271,0.0143,0.039,0.9453138419762234
BRD:BRD-A14240607-003-26-1,,-0.1063,0.575421895980913,158,268,-0.3519,-0.3661,0.9329961501918992
BRD:BRD-A14262390-065-01-8,,-0.1659,0.17708904384555768,153,265,-0.3143,-0.2905,0.7719857179720939
BRD:BRD-A14316475-001-02-3,,-0.2106,0.11237902236828638,161,271,0.0538,0.1079,0.7286580786941931
BRD:BRD-A14344385-001-03-2,,-0.202,0.08943777997851064,161,271,-2.0986,-2.0147,0.6877491801292042
BRD:BRD-A14395271-074-17-8,,0.0202,0.7775753460726451,161,272,0.0084,-0.0123,0.9694850354597484
BRD:BRD-A14574269-051-02-2,,-0.0331,0.7246220000275612,160,269,-0.0008,0.0165,0.9570618450154166
BRD:BRD-A14577621-001-01-5,,0.0455,0.9333320629403135,158,261,0.003,0.0168,0.9928820916017232
BRD:BRD-A14757586-001-04-9,,-0.0399,0.20721375648362472,207,392,0.0108,0.0792,0.7935597329519525
BRD:BRD-A14886633-001-01-6,,0.0909,0.13519224508547648,160,271,-0.0934,-0.1856,0.7497127982425101
BRD:BRD-A14941520-051-01-0,,0.0037,0.7481863323859128,160,273,0.1949,0.1675,0.9610641689179622
BRD:BRD-A14966924-003-07-7,,-0.1365,0.19721689892585936,162,274,0.0996,0.115,0.7844772956687668
BRD:BRD-A15035311-001-01-8,,0.0514,0.46846313545296037,160,272,0.3406,0.2996,0.9044487510828714
BRD:BRD-A15202882-003-02-7,,-0.1221,0.506715781338729,153,265,-0.0719,-0.0658,0.9121969673556246
BRD:BRD-A15297126-001-04-3,,-0.0394,0.925005041994718,153,265,-0.1214,-0.1513,0.991560015885113
BRD:BRD-A15397381-001-02-5,,-0.0782,0.4683476517878289,147,249,-0.011,0.034,0.9044487510828714
BRD:BRD-A15415227-003-02-9,,0.0383,0.7400537705852765,160,275,-0.0151,-0.0178,0.9589427734672876
BRD:BRD-A15435692-003-02-3,,0.0268,0.46517015558626196,160,271,-0.0078,-0.0519,0.9044487510828714
BRD:BRD-A15530910-001-02-1,,-0.0343,0.5800630046352018,160,274,-0.0492,-0.0193,0.9329961501918992
BRD:BRD-A15687940-001-05-6,,-0.0309,0.8132792831688662,159,261,-0.085,-0.1012,0.9762395974438651
BRD:BRD-A15739803-001-01-0,,-0.0994,0.7654322622717712,159,261,0.0405,0.0407,0.9674286288266923
BRD:BRD-A15909516-001-06-6,,-0.1036,0.2989152484110984,160,274,-0.1745,-0.1252,0.8580188938577333
BRD:BRD-A15931911-001-03-8,,-0.0718,0.7578526479378824,160,273,-0.0497,-0.0248,0.964686345045997
BRD:BRD-A16035238-001-01-7,,-0.3991,0.0016305269137636574,146,226,-0.0119,0.1117,0.3690425914818411
BRD:BRD-A16263897-001-06-6,,0.0773,0.3037166451701805,159,261,0.0599,0.0299,0.8598571231999333
BRD:BRD-A16296925-001-01-3,,-0.1604,0.3781420042660816,160,269,0.0775,0.0982,0.887517737380489
BRD:BRD-A16347691-001-13-1,,0.0412,0.45038190277757395,160,274,0.1507,0.0961,0.9012212063755023
BRD:BRD-A16350940-001-01-9,,-0.0199,0.7760375263547228,160,272,0.0392,0.0223,0.9694738239320765
BRD:BRD-A16439188-001-01-1,,0.0186,0.9565925172807432,161,272,-0.1058,-0.0876,0.9942277839682396
BRD:BRD-A16560607-001-02-5,,-0.0021,0.9128059967627914,146,225,0.0295,0.0299,0.9900649210308277
BRD:BRD-A16665823-001-02-0,,0.0724,0.8993174993323827,160,274,0.0286,0.0338,0.9893008045651196
BRD:BRD-A16694057-001-06-8,,-0.0714,0.4920727118471826,160,273,0.1189,0.1342,0.907378047870014
BRD:BRD-A16700644-003-04-4,,0.1402,0.17200961907009638,160,272,-0.4012,-0.4975,0.7693974397140674
BRD:BRD-A16997652-001-02-3,,-0.11,0.5304021965901461,160,270,0.1619,0.1593,0.9213177065354546
BRD:BRD-A17009129-001-01-3,,0.0899,0.2887547001715377,158,261,0.2142,0.188,0.8546108995939651
BRD:BRD-A17300716-001-01-5,,-0.0603,0.724268234044134,162,274,0.0123,0.0114,0.9570618450154166
BRD:BRD-A17407635-001-04-0,,-0.0391,0.9489326231353995,160,273,0.2297,0.2309,0.9934255300895037
BRD:BRD-A17411484-001-11-9,,-0.0966,0.29560643381707485,160,274,-0.0954,-0.0436,0.8572422118606544
BRD:BRD-A17428743-003-09-0,,-0.0234,0.7109376247344219,161,271,0.2239,0.188,0.9530634692885932
BRD:BRD-A17453586-003-02-3,,-0.096,0.25789474174053695,160,275,-0.113,-0.0509,0.8331947536306546
BRD:BRD-A17462676-003-11-6,,-0.2296,0.02259580025974716,160,274,-0.2764,-0.1854,0.5903092527307608
BRD:BRD-A17655518-001-24-4,,-0.0995,0.43110522379633065,160,274,-0.2191,-0.1761,0.8947799399501454
BRD:BRD-A17846016-001-13-9,,-0.1354,0.19540543886620854,160,272,-1.281,-1.1912,0.7824203714974408
BRD:BRD-A17883755-001-06-1,,-0.0303,0.8066748004348824,160,274,0.0167,0.0245,0.9757741786371151
BRD:BRD-A18043272-001-09-9,,-0.1158,0.34701280007866275,160,274,-0.0224,0.0129,0.877493965785386
BRD:BRD-A18056626-003-22-3,,-0.1571,0.07495586784870895,160,272,0.1195,0.201,0.6673537540029525
BRD:BRD-A18074780-003-02-0,,-0.0659,0.7008703608308959,161,271,0.2949,0.2803,0.9513793443728615
BRD:BRD-A18233884-003-02-7,,-0.1081,0.43641848440782605,160,269,0.0715,0.0755,0.8965164755428702
BRD:BRD-A18396475-001-15-3,,-0.0824,0.3060622862475223,150,258,-0.0464,0.0085,0.8598571231999333
BRD:BRD-A18579359-001-05-9,,0.0624,0.4288776941841105,207,392,-0.1163,-0.1455,0.8947799399501454
BRD:BRD-A18598741-001-02-9,,0.0445,0.5124382445974709,208,393,-0.0413,-0.0711,0.9136892800497427
BRD:BRD-A18611368-001-01-5,,-0.1871,0.16244458369218406,160,272,0.2644,0.2817,0.7580792308814568
BRD:BRD-A18627414-001-04-9,,-0.1503,0.11166278658193829,162,274,-0.0767,-0.0136,0.7283782553238816
BRD:BRD-A18696154-003-22-6,,0.0353,0.7478844847872186,157,256,0.0266,0.0351,0.9610641689179622
BRD:BRD-A18763547-300-05-5,,0.0443,0.40853671551690074,161,271,0.2009,0.1614,0.8913309589768633
BRD:BRD-A18795974-004-07-3,,-0.0595,0.7560372756107269,160,273,-0.078,-0.0791,0.9640299291334027
BRD:BRD-A18992208-003-02-7,,0.0522,0.6038959480863838,159,261,0.0685,0.0345,0.9345313955643193
BRD:BRD-A19053834-050-09-5,,-0.0439,0.7440211812599846,159,261,0.0194,0.0505,0.9591615380207511
BRD:BRD-A19102171-066-01-4,,-0.0615,0.9122562714130581,160,273,0.0924,0.0849,0.9900649210308277
BRD:BRD-A19195498-050-14-1,,-0.0116,0.7979584459071615,162,273,-0.2932,-0.3026,0.9740546704624545
BRD:BRD-A19232309-001-08-6,,-0.0182,0.6458920918828694,207,392,-0.0058,0.0271,0.9453138419762234
BRD:BRD-A19585813-003-03-3,,0.0464,0.7245345948798549,161,272,-0.3676,-0.3821,0.9570618450154166
BRD:BRD-A19609491-001-01-8,,0.0155,0.7313246713177346,146,225,0.1011,0.1076,0.9577038607998878
BRD:BRD-A19633847-050-32-1,,0.1048,0.2635426114985795,162,274,-0.0402,-0.1028,0.8349035894501562
BRD:BRD-A19661776-003-27-6,,-0.1376,0.3833100329021878,160,272,0.3168,0.3434,0.8888917771194861
BRD:BRD-A19736161-001-06-7,,0.0584,0.3949717146034605,162,274,-0.0648,-0.1032,0.8889305931741535
BRD:BRD-A19777893-236-01-9,,-0.0627,0.4298173003610878,158,261,0.0199,0.0695,0.8947799399501454
BRD:BRD-A19795905-001-08-0,,-0.3058,0.002187568424870227,160,271,0.0436,0.1144,0.39701597446795156
BRD:BRD-A19952358-001-11-3,,0.1163,0.18172640243104832,160,271,0.2677,0.2243,0.7719857179720939
BRD:BRD-A19958636-065-04-4,,-0.0505,0.5577880839566496,160,272,0.1975,0.2247,0.9329961501918992
BRD:BRD-A20119038-003-07-8,,0.0573,0.5402307633731971,160,272,0.2516,0.2184,0.9246046171518665
