cancer_type,drug,mechanism,stratum,cohens_d,p_value,n_del,n_intact,median_sens_del,median_sens_intact,fdr
Myeloid,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.3227,0.4060484491047267,12,11,-1.3279,-1.0073,0.7183934099545165
Esophagus/Stomach,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.6547,0.09977143641922159,13,27,-1.3648,-0.5005,0.4176871877018234
Ovary/Fallopian Tube,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.9276,0.023617164815568952,9,23,-1.2286,-0.3126,0.2715973953790429
Bone,trilaciclib,CDK4/6 inhibitor,rb1_intact,0.0302,0.7474170705441505,10,14,-1.1809,-1.1681,0.9275380965783442
Lung,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.4398,0.08053151093976373,24,60,-1.2763,-0.5611,0.4116055003587924
Head and Neck,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.5651,0.2971291866028708,7,18,-1.3553,-1.2078,0.688550434401282
Lymphoid,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.793,0.04044046063666564,10,31,-1.7216,-0.8254,0.2861940291210184
Soft Tissue,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.4405,0.4032809295967191,5,18,-1.6671,-0.8231,0.7183934099545165
Breast,trilaciclib,CDK4/6 inhibitor,rb1_intact,-0.308,0.8480381176932901,7,23,-0.6223,-0.8142,0.9275380965783442
Pan-cancer (pooled),milademetan,MDM2 inhibitor,all,-0.2779,0.0007480143856881149,208,394,-0.4219,-0.2782,0.022939107827768857
CNS/Brain,milademetan,MDM2 inhibitor,all,-0.2392,0.09236932398314587,32,14,-0.3561,-0.0155,0.4176871877018234
Pancreas,milademetan,MDM2 inhibitor,all,0.0347,0.6693842468987063,18,11,-0.1148,-0.1704,0.9275380965783442
Skin,milademetan,MDM2 inhibitor,all,-0.6283,0.11343485624044414,23,11,-2.9216,-0.726,0.4348336155883692
Bladder/Urinary Tract,milademetan,MDM2 inhibitor,all,-0.2825,0.6690662278897572,7,10,-0.1465,-0.202,0.9275380965783442
Myeloid,milademetan,MDM2 inhibitor,all,0.4299,0.1661199704495876,12,11,-0.2307,-0.8094,0.509434576045402
Esophagus/Stomach,milademetan,MDM2 inhibitor,all,-0.3034,0.35546067899165534,13,27,-0.4542,-0.3473,0.7183934099545165
Ovary/Fallopian Tube,milademetan,MDM2 inhibitor,all,-0.5694,0.15414531398938874,9,23,-1.2989,-0.2759,0.502487406458869
Bone,milademetan,MDM2 inhibitor,all,0.009,0.7921706029981195,10,14,0.288,0.1812,0.9275380965783442
Lung,milademetan,MDM2 inhibitor,all,-0.6769,0.03727170589574403,26,60,-0.3813,-0.1705,0.2861940291210184
Head and Neck,milademetan,MDM2 inhibitor,all,0.2088,0.5339005616808821,7,18,-0.296,-0.3113,0.8250444292549556
Lymphoid,milademetan,MDM2 inhibitor,all,-1.1688,0.0020601447268307734,10,31,-2.9409,-0.1423,0.047383328717107785
Soft Tissue,milademetan,MDM2 inhibitor,all,0.174,0.8569645457517311,5,18,-0.1301,-1.9348,0.9275380965783442
Breast,milademetan,MDM2 inhibitor,all,0.2424,0.8106660772178013,7,23,-0.339,-0.1135,0.9275380965783442
Pan-cancer (pooled),milademetan,MDM2 inhibitor,tp53_wt,-0.1625,0.29207257207378734,80,103,-3.1162,-2.7679,0.688550434401282
CNS/Brain,milademetan,MDM2 inhibitor,tp53_wt,-0.2749,0.945054945054945,10,4,-2.883,-3.1449,0.9660561660561661
Skin,milademetan,MDM2 inhibitor,tp53_wt,0.2949,0.5380724538619276,18,4,-3.6316,-4.1987,0.8250444292549556
Myeloid,milademetan,MDM2 inhibitor,tp53_wt,0.7084,0.4,3,3,-3.2259,-4.5824,0.7183934099545165
Ovary/Fallopian Tube,milademetan,MDM2 inhibitor,tp53_wt,0.5352,0.7301587301587302,5,4,-3.011,-3.1986,0.9275380965783442
Bone,milademetan,MDM2 inhibitor,tp53_wt,0.0131,1.0,4,5,-0.7561,-0.2569,1.0
Lung,milademetan,MDM2 inhibitor,tp53_wt,-5.8695,0.05714285714285714,4,3,-3.5559,-0.1453,0.32857142857142857
Lymphoid,milademetan,MDM2 inhibitor,tp53_wt,-0.9858,0.05567595459236326,7,13,-3.7382,-1.4477,0.32857142857142857
Pan-cancer (pooled),GSK3326595,PRMT5 inhibitor (type I),all,0.066,0.7202593611513961,206,393,-0.8876,-0.8845,0.9275380965783442
CNS/Brain,GSK3326595,PRMT5 inhibitor (type I),all,0.1275,0.8205860688910172,32,14,-0.9668,-0.7399,0.9275380965783442
Pancreas,GSK3326595,PRMT5 inhibitor (type I),all,-0.4955,0.45831769413307955,18,11,-0.8508,-1.0301,0.7808375529674689
Skin,GSK3326595,PRMT5 inhibitor (type I),all,0.5105,0.24410869078054365,22,11,-0.6494,-1.0037,0.6416571300517148
Bladder/Urinary Tract,GSK3326595,PRMT5 inhibitor (type I),all,0.5763,0.31478815302344715,7,10,-1.4099,-1.0516,0.688550434401282
Myeloid,GSK3326595,PRMT5 inhibitor (type I),all,1.0284,0.0321141793079075,12,10,-0.7465,-1.673,0.2861940291210184
Esophagus/Stomach,GSK3326595,PRMT5 inhibitor (type I),all,-0.279,0.4527790434739979,13,27,-1.4446,-1.2054,0.7808375529674689
Ovary/Fallopian Tube,GSK3326595,PRMT5 inhibitor (type I),all,0.4154,0.3787658908664734,9,23,-0.5995,-0.8174,0.7183934099545165
Bone,GSK3326595,PRMT5 inhibitor (type I),all,0.389,0.30550708686125383,10,14,-0.8412,-1.046,0.688550434401282
Lung,GSK3326595,PRMT5 inhibitor (type I),all,-0.1241,0.37422447432921424,26,60,-1.0849,-0.8865,0.7183934099545165
Head and Neck,GSK3326595,PRMT5 inhibitor (type I),all,-0.0645,0.8361680882047013,7,18,-1.3594,-1.0517,0.9275380965783442
Lymphoid,GSK3326595,PRMT5 inhibitor (type I),all,0.0795,0.8545364813939189,9,30,-1.2314,-1.4522,0.9275380965783442
Soft Tissue,GSK3326595,PRMT5 inhibitor (type I),all,-0.1134,1.0,5,18,-0.6593,-0.8619,1.0
Breast,GSK3326595,PRMT5 inhibitor (type I),all,-0.6538,0.1583927694272522,7,23,-1.5089,-0.8992,0.502487406458869
Pan-cancer (pooled),JNJ-64619178,PRMT5 inhibitor (type II),all,-0.094,0.0998817187982621,206,393,-1.5712,-1.4253,0.4176871877018234
CNS/Brain,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.0574,0.32182248564407745,32,14,-1.4029,-0.8172,0.688550434401282
Pancreas,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.4901,0.2517373258865784,18,11,-1.4197,-1.2504,0.6433287217101448
Skin,JNJ-64619178,PRMT5 inhibitor (type II),all,0.1229,0.9239386251711209,22,11,-1.1188,-1.2162,0.9550826237723946
Bladder/Urinary Tract,JNJ-64619178,PRMT5 inhibitor (type II),all,0.3668,0.6008844097079391,7,10,-1.7216,-2.3097,0.8774819951290539
Myeloid,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.0205,0.8690658904880387,12,10,-1.6999,-1.5594,0.9296983944755763
Esophagus/Stomach,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.495,0.12590375915934968,13,27,-2.0959,-1.759,0.4476637414041929
Ovary/Fallopian Tube,JNJ-64619178,PRMT5 inhibitor (type II),all,0.1864,0.7373959321454503,9,23,-1.1196,-1.258,0.9275380965783442
Bone,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.7082,0.10734653699381101,10,14,-2.3002,-1.1315,0.42938614797524405
Lung,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.1442,0.20936732176201722,26,60,-1.8994,-1.4657,0.5856781350131077
Head and Neck,JNJ-64619178,PRMT5 inhibitor (type II),all,0.2084,0.7450884127314332,7,18,-1.4418,-1.6083,0.9275380965783442
Lymphoid,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.1473,0.5823193735766927,9,30,-1.936,-1.8659,0.8640868124041247
Soft Tissue,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.3568,0.4032809295967191,5,18,-2.2489,-1.3082,0.7183934099545165
Breast,JNJ-64619178,PRMT5 inhibitor (type II),all,-0.554,0.20745652814618332,7,23,-1.7033,-1.4813,0.5856781350131077
Pan-cancer (pooled),EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.0285,0.5766583064534044,207,392,-0.0526,-0.0265,0.8640868124041247
CNS/Brain,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.0817,0.8391987453264126,32,14,-0.0896,-0.0132,0.9275380965783442
Pancreas,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.49,0.21644626728745286,18,11,-0.0251,-0.1759,0.5856781350131077
Skin,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.1899,0.8251893566461747,23,11,-0.2279,-0.1678,0.9275380965783442
Bladder/Urinary Tract,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.1611,0.7396133278486219,7,10,0.0024,0.1329,0.9275380965783442
Myeloid,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.4236,0.4790843272053482,12,11,-0.054,-0.2095,0.8013774200525825
Esophagus/Stomach,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.3962,0.3121701593808328,13,27,0.0322,0.0091,0.688550434401282
Ovary/Fallopian Tube,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.4965,0.06515824277304368,9,23,0.1223,-0.0576,0.3526210785364717
Bone,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.2086,0.5007112613753855,10,14,0.096,0.0333,0.8081655446760607
Lung,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.0534,0.7134781796482053,26,59,-0.1079,0.009,0.9275380965783442
Head and Neck,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.2444,0.7903016434366548,7,18,0.1631,0.102,0.9275380965783442
Lymphoid,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.093,0.7769213274105322,9,30,-0.2934,-0.0814,0.9275380965783442
Soft Tissue,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,-0.5646,0.49095069690035364,5,18,0.1132,0.22,0.8065618591934381
Breast,EPZ020411,PRMT5 inhibitor (SAM-competitive),all,0.4396,0.532316534040672,7,23,-0.0967,-0.1234,0.8250444292549556
