cancer_type,gene,cohens_d,p_value,n_altered,n_wt,median_dep_altered,median_dep_wt,fdr,is_nrf2_pathway,is_priority
Pan-cancer (pooled),C2orf42,-0.4149,0.01863245498651251,46,796,-0.1595,-0.1044,0.48453366392412345,False,False
Pan-cancer (pooled),GRM3,-0.4135,0.008315252714382696,46,796,0.0001,0.0375,0.40185291661461064,False,False
Pan-cancer (pooled),TLR10,-0.4127,0.033412241542178485,46,796,0.1187,0.1469,0.5509999146148827,False,False
Pan-cancer (pooled),AMER3,-0.412,0.023252884106123528,46,796,-0.0967,-0.0554,0.5219815038248461,False,False
Pan-cancer (pooled),KRT84,-0.4115,0.012619158472166771,46,796,-0.0272,0.0147,0.44107912503833074,False,False
Pan-cancer (pooled),RALB,-0.4115,0.005063342817155439,46,796,-0.0279,0.0099,0.38308354453339316,False,False
Pan-cancer (pooled),ADNP2,-0.4111,0.02417794067442805,46,796,-0.0252,0.015,0.5253251400440888,False,False
Pan-cancer (pooled),NYAP1,-0.411,0.3081449016246114,46,796,-0.038,-0.0343,0.8453712103780457,False,False
Pan-cancer (pooled),CHEK1,-0.411,0.06250063063734172,46,796,-1.8552,-1.7787,0.6405670561965526,False,False
Pan-cancer (pooled),RASSF8,-0.4107,0.0057150912821355765,46,796,-0.0555,-0.0225,0.39719884410842254,False,False
Pan-cancer (pooled),SLC32A1,-0.4107,0.025501890843484323,46,796,-0.1207,-0.0734,0.5253251400440888,False,False
Pan-cancer (pooled),SUMO4,-0.4103,0.044834342313227284,17,210,0.0396,0.0923,0.5978124785995639,False,False
Pan-cancer (pooled),PCED1A,-0.41,0.003512143851745775,46,796,0.0388,0.0726,0.3383939653254891,False,False
Pan-cancer (pooled),AARSD1,-0.4087,0.003401370452538672,46,796,-0.2651,-0.2082,0.3383939653254891,False,False
Pan-cancer (pooled),GAS2L2,-0.4077,0.006726829914029134,46,796,-0.2796,-0.2428,0.40185291661461064,False,False
Pan-cancer (pooled),RSPH1,-0.4076,0.004749475187552558,46,796,-0.0333,0.0099,0.37589707282804674,False,False
Pan-cancer (pooled),CPAMD8,-0.4073,0.016667774727579833,46,796,-0.4309,-0.4113,0.471403578296899,False,False
Pan-cancer (pooled),RABL2A,-0.4065,0.029923833407743898,41,753,-0.3925,-0.3316,0.5417784980792387,False,False
Pan-cancer (pooled),ACVR1B,-0.4062,0.008376628223817989,46,796,-0.1393,-0.0768,0.40185291661461064,False,False
Pan-cancer (pooled),GLI1,-0.4062,0.0006170909518118025,46,796,-0.3399,-0.2589,0.23542676291356235,False,False
Pan-cancer (pooled),WFDC11,-0.4046,0.018570064934458716,46,796,-0.0513,-0.0073,0.48453366392412345,False,False
Pan-cancer (pooled),DPRX,-0.4034,0.007567239650436954,46,796,-0.1458,-0.1068,0.40185291661461064,False,False
Pan-cancer (pooled),BEND6,-0.4034,0.02985665128504631,46,796,0.0084,0.0344,0.5417784980792387,False,False
Pan-cancer (pooled),KRT6B,-0.403,0.061454734856698834,46,796,-0.0587,-0.0023,0.6399000832775622,False,False
Pan-cancer (pooled),MAPRE1,-0.4025,0.025625303165829373,46,796,-0.446,-0.3768,0.5253251400440888,False,False
Pan-cancer (pooled),MRPL30,-0.4024,0.007304374844826021,46,796,-0.2713,-0.1813,0.40185291661461064,False,False
Pan-cancer (pooled),TSPEAR,-0.4017,0.008453917275068206,46,796,0.0142,0.0509,0.40185291661461064,False,False
Pan-cancer (pooled),RIOX2,-0.4013,0.007359023943493708,46,796,-0.1427,-0.1047,0.40185291661461064,False,False
Pan-cancer (pooled),RARG,-0.4007,0.011129411003783075,46,796,-0.078,-0.0426,0.4319452672211079,False,False
Pan-cancer (pooled),LRRC49,-0.3993,0.0324404452243863,46,796,-0.0341,0.014,0.5492819861364218,False,False
Pan-cancer (pooled),PHYH,-0.3991,0.005262573858277165,46,796,-0.0337,0.0155,0.38714450594532973,False,False
Pan-cancer (pooled),SAMD4B,-0.3983,0.01450693722132473,46,796,-0.4271,-0.3038,0.4563417766572398,False,False
Pan-cancer (pooled),PRAF2,-0.3978,0.04777962798827339,46,796,-0.0269,-0.0136,0.603372177998143,False,False
Pan-cancer (pooled),PLEKHO2,-0.3975,0.008563193326792184,46,796,-0.041,0.0095,0.40300950011210146,False,False
Pan-cancer (pooled),C3AR1,-0.3974,0.00388749452543486,46,796,-0.015,0.0187,0.34138266652737104,False,False
Pan-cancer (pooled),GATAD2B,-0.3973,0.012033011548761628,46,796,-0.2006,-0.1513,0.43720960016605576,False,False
Pan-cancer (pooled),ERN2,-0.3962,0.018353137045897853,46,796,-0.1062,-0.066,0.48453366392412345,False,False
Pan-cancer (pooled),LRRC4B,-0.3961,0.0034702247708234698,46,796,-0.0725,-0.0205,0.3383939653254891,False,False
Pan-cancer (pooled),GNLY,-0.396,0.010586265560948799,46,796,-0.1611,-0.1106,0.42849283921754605,False,False
Pan-cancer (pooled),HPSE,-0.3953,0.0021283809977838044,46,796,-0.0806,-0.0314,0.3187143412143479,False,False
Pan-cancer (pooled),CNTNAP1,-0.3953,0.008284716087702884,46,796,-0.2567,-0.2122,0.40185291661461064,False,False
Pan-cancer (pooled),OSGEP,-0.3951,0.005617573136276034,46,796,-1.8707,-1.5718,0.3957365465936483,False,False
Pan-cancer (pooled),TRMT10A,-0.3948,0.052223199225900206,46,796,-0.0541,-0.027,0.6156569265743699,False,False
Pan-cancer (pooled),TFF1,-0.3948,0.0031957519312769776,46,796,0.0139,0.0521,0.33166914814204823,False,False
Pan-cancer (pooled),CCND3,-0.3943,0.0052524465330396905,46,796,-0.3692,-0.2521,0.38714450594532973,False,False
Pan-cancer (pooled),GTF2A2,-0.3942,0.009886885097396558,46,796,-1.5776,-1.4508,0.4233622344090097,False,False
Pan-cancer (pooled),KRTAP21-1,-0.394,0.08716346885210169,17,210,-0.3572,-0.2417,0.6875553258590106,False,False
Pan-cancer (pooled),PLCD1,-0.3926,0.0018567627401736078,46,796,-0.1409,-0.0927,0.30826156644531555,False,False
Pan-cancer (pooled),TMEM177,-0.3925,0.006214175470751251,46,796,-0.0908,-0.0587,0.40185291661461064,False,False
Pan-cancer (pooled),DDX3X,-0.392,0.006332938277298138,46,796,-1.188,-1.0034,0.40185291661461064,False,False
Pan-cancer (pooled),NLRC5,-0.3919,0.01034220265959516,46,796,-0.0881,-0.0587,0.4247104824740437,False,False
Pan-cancer (pooled),PSD4,-0.3917,0.013891875790090921,46,796,-0.2233,-0.154,0.44957207541958033,False,False
Pan-cancer (pooled),RPE,-0.3914,0.01406172872943835,46,796,-0.9849,-0.8543,0.45022927004576185,False,False
Pan-cancer (pooled),CDK8,-0.3912,0.0009086938907811393,46,796,-0.1842,-0.0494,0.26896908082289434,False,False
Pan-cancer (pooled),SEMA4G,-0.391,0.033881191895635675,46,796,-0.0428,-0.027,0.5509999146148827,False,False
Pan-cancer (pooled),B3GNT5,-0.3909,0.07409342665507809,46,796,-0.1013,-0.0628,0.6590125165437526,False,False
Pan-cancer (pooled),MMACHC,-0.3903,0.04294796083819337,46,796,-0.177,-0.1475,0.5887613805731233,False,False
Pan-cancer (pooled),AICDA,-0.3901,0.052526274693706215,46,796,0.012,0.0427,0.6172009380949188,False,False
Pan-cancer (pooled),TRIAP1,-0.3899,0.017477893225189223,46,796,-1.5549,-1.3836,0.4814072249168479,False,False
Pan-cancer (pooled),RXRA,-0.3896,0.07121285403634527,46,796,-0.1263,-0.0832,0.6566288268278616,False,False
Pan-cancer (pooled),CLIP2,-0.3892,0.001698596357504179,46,796,-0.0174,0.0267,0.30826156644531555,False,False
Pan-cancer (pooled),CD180,-0.3888,0.01097175530803458,46,796,-0.0452,-0.02,0.4319452672211079,False,False
Pan-cancer (pooled),PTPN18,-0.3887,0.004947102352718585,46,796,-0.0469,-0.0032,0.38203591083992766,False,False
Pan-cancer (pooled),ASIC1,-0.3884,0.00990474915737964,46,796,-0.2257,-0.156,0.4233622344090097,False,False
Pan-cancer (pooled),DACT3,-0.388,0.004231887594814803,46,796,-0.174,-0.1338,0.3529394254075545,False,False
Pan-cancer (pooled),HMGB3,-0.3877,0.07832828519059179,17,210,-0.0417,0.0155,0.6722707314771567,False,False
Pan-cancer (pooled),TANK,-0.3875,0.006249592016012227,46,796,-0.1746,-0.1011,0.40185291661461064,False,False
Pan-cancer (pooled),CFAP57,-0.3872,0.009262598539953742,46,796,-0.225,-0.1849,0.4121281747392321,False,False
Pan-cancer (pooled),CCRL2,-0.3871,0.009709817156621323,46,796,-0.0508,-0.0091,0.4213090223335141,False,False
Pan-cancer (pooled),VASH1,-0.387,0.016414476529279305,46,796,-0.0456,-0.0124,0.4679300137464344,False,False
Pan-cancer (pooled),FAM9B,-0.3867,0.012075587200040339,46,796,0.1248,0.167,0.43720960016605576,False,False
Pan-cancer (pooled),BHLHE40,-0.3865,0.018414888941092646,46,796,0.0783,0.1123,0.48453366392412345,False,False
Pan-cancer (pooled),YME1L1,-0.3864,0.01946036904485429,46,796,-0.3494,-0.2309,0.49034921190696706,False,False
Pan-cancer (pooled),OCM,-0.386,0.029231493802654954,46,776,0.0425,0.0892,0.5379411530594824,False,False
Pan-cancer (pooled),ROMO1,-0.3859,0.025338141220485978,46,796,-1.215,-1.1187,0.5253251400440888,False,False
Pan-cancer (pooled),IFNL2,-0.3857,0.031160668513970223,41,753,0.1052,0.1658,0.5456464327382813,False,False
Pan-cancer (pooled),AK6,-0.3855,0.007937757393665097,46,795,-1.5794,-1.2719,0.40185291661461064,False,False
Pan-cancer (pooled),IMPDH2,-0.3846,0.0032739634834165715,46,796,-0.6235,-0.4887,0.33166914814204823,False,False
Pan-cancer (pooled),CPNE3,-0.3845,0.02767129653195801,46,796,-0.0789,-0.0448,0.5335204495855259,False,False
Pan-cancer (pooled),CYP1A2,-0.3837,0.020152355093729913,46,796,-0.0594,-0.0171,0.4956815901038012,False,False
Pan-cancer (pooled),CYP26A1,-0.3836,0.010066824194172602,46,796,-0.1947,-0.1688,0.4233622344090097,False,False
Pan-cancer (pooled),CD177,-0.3836,0.08716346885210169,17,210,-0.2364,-0.1791,0.6875553258590106,False,False
Pan-cancer (pooled),KIF21B,-0.3824,0.0017760616780256994,46,796,-0.1798,-0.1378,0.30826156644531555,False,False
Pan-cancer (pooled),ADGRG7,-0.3813,0.01101098205808716,46,796,-0.0394,0.0033,0.4319452672211079,False,False
