cancer_type,rank,gene,cohens_d,fdr,n_mut,n_wt
Bladder/Urinary Tract,8,PARP2,-0.25446998871330156,0.8119405112013022,8,26
Bladder/Urinary Tract,9,ATRIP,-0.22023812348513827,0.923478888206448,8,26
Bladder/Urinary Tract,10,HDAC1,-0.1906032459398222,0.7820070294774449,8,26
Bladder/Urinary Tract,11,HDAC2,-0.16120733953669564,0.8263096472260895,8,26
Bladder/Urinary Tract,12,AKT1,-0.039363701641854924,0.9513789663601376,8,26
Bladder/Urinary Tract,13,PIK3CA,-0.003372118503603079,0.9624934864243977,8,26
Bladder/Urinary Tract,14,BRD4,0.1215391435164331,0.9558043293718166,8,26
Bladder/Urinary Tract,15,MTOR,0.21589532380034532,0.8119405112013022,8,26
Bladder/Urinary Tract,16,HDAC3,0.25718225095975855,0.9558043293718166,8,26
Bladder/Urinary Tract,17,USP8,0.3015649340146239,0.9035740586248093,8,26
Bowel,1,BRD2,-1.1666444131788265,0.12850881636665465,12,51
Bowel,2,ATR,-0.7267722500070127,0.6208750463477937,12,51
Bowel,3,HDAC1,-0.7062430502625595,0.7539410228550733,12,51
Bowel,4,ARID1B,-0.6987816252648892,0.3973841418077416,12,51
Bowel,5,ATRIP,-0.6114369505464415,0.7539410228550733,12,51
Bowel,6,HDAC6,-0.4504023720015084,0.7539410228550733,12,51
Bowel,7,PARP2,-0.4108810401348836,0.7539410228550733,12,51
Bowel,8,AKT1,-0.22885507413328218,0.7539410228550733,12,51
Bowel,9,HDAC2,-0.22332780583234593,0.9608585866808502,12,51
Bowel,10,USP8,-0.15175768414697535,0.9066197446088636,12,51
Bowel,11,HDAC3,-0.11133607099705592,0.9513789663601376,12,51
Bowel,12,HSP90AA1,-0.10044071677283566,0.9896564959712904,12,51
Bowel,13,PIK3CA,-0.04032558223822376,0.962460606424998,12,51
Bowel,14,PARP1,0.0790459509082294,1.0,12,51
Bowel,15,EZH2,0.19090112330863784,0.8763218653675723,12,51
Bowel,16,BRD4,0.2938068951824337,0.8119405112013022,12,51
Bowel,17,MTOR,0.5245789311756796,0.6208750463477937,12,51
Breast,1,ARID1B,-1.859904056249418,0.4667041853025681,5,48
Breast,2,BRD4,-1.7165018789998414,0.3561408699807328,5,48
Breast,3,PIK3CA,-1.4058073309101982,0.39052318750431964,5,48
Breast,4,AKT1,-1.149374508743794,0.39052318750431964,5,48
Breast,5,PARP2,-0.7603310772054727,0.5525247447189396,5,48
Breast,6,EZH2,-0.6758425486446312,0.7203456060308764,5,48
Breast,7,MTOR,-0.5362473964646394,0.7539410228550733,5,48
Breast,8,ATRIP,-0.5316416766143396,0.8263096472260895,5,48
Breast,9,ATR,-0.3831565128552694,0.7803894768594072,5,48
Breast,10,USP8,0.037100621908556126,1.0,5,48
Breast,11,BRD2,0.21790493162709082,1.0,5,48
Breast,12,HDAC3,0.23260163517756186,0.8905181793184003,5,48
Breast,13,HDAC2,0.32714906995255577,0.8119405112013022,5,48
Breast,14,PARP1,0.3758638449204513,0.8170413962690457,5,48
Breast,15,HDAC1,0.3761396635268156,0.8119405112013022,5,48
Breast,16,HSP90AA1,0.5075627411779254,0.9513789663601376,5,48
Breast,17,HDAC6,0.5275211199463925,0.7539410228550733,5,48
Esophagus/Stomach,1,ARID1B,-1.387294932354367,0.16919761759196114,11,58
Esophagus/Stomach,2,EZH2,-0.5704697987979634,0.6208750463477937,11,58
Esophagus/Stomach,3,HDAC1,-0.551854611208014,0.8862210616864395,11,58
Esophagus/Stomach,4,HDAC6,-0.3379120870421993,0.7552103267559225,11,58
Esophagus/Stomach,5,PARP2,-0.32385209721128577,0.8119405112013022,11,58
Esophagus/Stomach,6,HDAC3,-0.2761059903329577,0.8119405112013022,11,58
Esophagus/Stomach,7,AKT1,-0.19729039990808794,0.6208750463477937,11,58
Esophagus/Stomach,8,BRD2,-0.19518970001411787,0.9513789663601376,11,58
Esophagus/Stomach,9,PIK3CA,-0.16173970292006296,0.7797339316966421,11,58
Esophagus/Stomach,10,PARP1,-0.12939934722269855,0.9558043293718166,11,58
Esophagus/Stomach,11,ATR,-0.04505089961405734,1.0,11,58
Esophagus/Stomach,12,HSP90AA1,0.01972411242962761,1.0,11,58
Esophagus/Stomach,13,ATRIP,0.05192038182525182,0.7803894768594072,11,58
Esophagus/Stomach,14,MTOR,0.11629997595220853,0.962460606424998,11,58
Esophagus/Stomach,15,USP8,0.19938512617741627,0.8763218653675723,11,58
Esophagus/Stomach,16,HDAC2,0.22454102129550563,0.9558043293718166,11,58
Esophagus/Stomach,17,BRD4,0.6402168513535401,0.6208750463477937,11,58
Lung,1,ATR,-1.0780974012520204,0.3561408699807328,8,118
Lung,2,ARID1B,-0.7197079302293725,0.7539410228550733,8,118
Lung,3,HSP90AA1,-0.5957726479883347,0.7203456060308764,8,118
Lung,4,EZH2,-0.3998286013882332,0.6178097664301593,8,118
Lung,5,ATRIP,-0.3379528051356191,0.7820070294774449,8,118
Lung,6,AKT1,-0.3322153105482219,0.8230376352837077,8,118
Lung,7,PIK3CA,-0.33211017198124543,1.0,8,118
Lung,8,BRD2,-0.2904996034777173,1.0,8,118
Lung,9,HDAC2,-0.2383460414926525,0.7539410228550733,8,118
Lung,10,MTOR,-0.20959829946838282,0.8592691232871863,8,118
Lung,11,HDAC6,-0.20625843136318942,0.7539410228550733,8,118
Lung,12,PARP2,-0.19794242250793295,0.9558043293718166,8,118
Lung,13,HDAC1,-0.1114650153013529,0.6253653537602409,8,118
Lung,14,HDAC3,-0.03850056704608826,0.9558043293718166,8,118
Lung,15,BRD4,-0.01901339822244138,0.9990072290715546,8,118
Lung,16,USP8,0.29283508151059123,0.8119405112013022,8,118
Lung,17,PARP1,0.8446281908718414,0.29914968944539044,8,118
Lymphoid,1,ARID1B,-2.2627940519147534,0.3561408699807328,6,87
Lymphoid,2,PARP1,-0.9964732440193733,0.7539410228550733,6,87
Lymphoid,3,HDAC3,-0.35362529105744855,0.7820070294774449,6,87
Lymphoid,4,HDAC6,-0.2514192703896436,0.8119405112013022,6,87
Lymphoid,5,BRD2,0.041171104931541705,1.0,6,87
Lymphoid,6,AKT1,0.11656302820743489,0.962460606424998,6,87
Lymphoid,7,ATRIP,0.1324248031736995,1.0,6,87
Lymphoid,8,PARP2,0.15738813080234001,0.9558043293718166,6,87
Lymphoid,9,EZH2,0.18477926488763843,0.9513789663601376,6,87
Lymphoid,10,PIK3CA,0.24351422000566778,0.8762301804264625,6,87
Lymphoid,11,HSP90AA1,0.26480230491507095,0.9513789663601376,6,87
Lymphoid,12,MTOR,0.2795784519194032,0.7803894768594072,6,87
Lymphoid,13,HDAC1,0.34463329097876133,0.8119405112013022,6,87
Lymphoid,14,USP8,0.37788059169394794,0.7820070294774449,6,87
Lymphoid,15,BRD4,0.44217844688055485,0.7539410228550733,6,87
Lymphoid,16,ATR,0.5069804053575867,0.7203456060308764,6,87
Lymphoid,17,HDAC2,0.6032635384746127,0.7043678517911217,6,87
Ovary/Fallopian Tube,1,ARID1B,-1.5453754312731078,0.12850881636665465,15,44
Ovary/Fallopian Tube,2,PIK3CA,-0.9737420842917728,0.3973841418077416,15,44
Ovary/Fallopian Tube,3,HDAC1,-0.7159592404630205,0.6208750463477937,15,44
Ovary/Fallopian Tube,4,AKT1,-0.6765322807650938,0.6208750463477937,15,44
Ovary/Fallopian Tube,5,MTOR,-0.5620120422835836,0.5601415903857395,15,44
Ovary/Fallopian Tube,6,BRD2,-0.33743677756507945,0.6284863611539725,15,44
Ovary/Fallopian Tube,7,PARP1,-0.3057556763965541,0.7539410228550733,15,44
Ovary/Fallopian Tube,8,HDAC3,-0.23367898507329304,0.7913540885221304,15,44
Ovary/Fallopian Tube,9,EZH2,-0.0764055448100331,1.0,15,44
Ovary/Fallopian Tube,10,USP8,0.031065986504099648,0.9558043293718166,15,44
Ovary/Fallopian Tube,11,HDAC2,0.048923956235757994,1.0,15,44
Ovary/Fallopian Tube,12,ATR,0.059871025544675306,1.0,15,44
Ovary/Fallopian Tube,13,PARP2,0.10270079563182256,0.9558043293718166,15,44
Ovary/Fallopian Tube,14,HDAC6,0.1671805562280837,0.8469431436533584,15,44
Ovary/Fallopian Tube,15,HSP90AA1,0.26772577101395656,0.7820070294774449,15,44
Ovary/Fallopian Tube,16,ATRIP,0.3368322107483461,0.8119405112013022,15,44
Ovary/Fallopian Tube,17,BRD4,0.34361389892460453,0.7203456060308764,15,44
Pancreas,1,MTOR,-0.7558655753340486,0.39052318750431964,12,36
Pancreas,2,EZH2,-0.6291830590924868,0.6208750463477937,12,36
Pancreas,3,ARID1B,-0.6092178990581727,0.8119405112013022,12,36
Pancreas,4,PIK3CA,-0.6001820870209699,0.7539410228550733,12,36
Pancreas,5,AKT1,-0.5357660519037053,0.7552103267559225,12,36
Pancreas,6,HSP90AA1,-0.523325737635406,0.5525247447189396,12,36
Pancreas,7,USP8,-0.3850004011691569,0.7539410228550733,12,36
Pancreas,8,HDAC1,-0.31141563066525785,0.8119405112013022,12,36
Pancreas,9,HDAC3,-0.29176429467159876,0.8119405112013022,12,36
Pancreas,10,HDAC2,-0.1728860803480793,0.9624934864243977,12,36
Pancreas,11,ATRIP,-0.12619143839041408,0.8763218653675723,12,36
Pancreas,12,BRD2,-0.12071012305324388,1.0,12,36
Pancreas,13,ATR,-0.10887245397884936,1.0,12,36
Pancreas,14,PARP1,0.044223130806069794,1.0,12,36
Pancreas,15,PARP2,0.07034890832711756,0.993943561540666,12,36
Pancreas,16,BRD4,0.12493023349872093,0.962460606424998,12,36
Pancreas,17,HDAC6,0.8690431181982214,0.3430897964151632,12,36
Skin,1,ARID1B,-2.1393727149730806,0.6208750463477937,3,72
Skin,2,HSP90AA1,-0.7744698984462953,0.5486071825249909,3,72
Skin,3,USP8,-0.6386124907839495,0.7539410228550733,3,72
Skin,4,BRD2,-0.391126400015985,0.8763218653675723,3,72
Skin,5,AKT1,-0.2514919552759922,0.8119405112013022,3,72
Skin,6,BRD4,-0.23846860765859162,0.8905181793184003,3,72
Skin,7,HDAC1,-0.05931859919778632,0.9795958515593218,3,72
Skin,8,PARP2,0.02047762724575139,1.0,3,72
Skin,9,HDAC6,0.05229198966705787,1.0,3,72
Skin,10,PARP1,0.11801283353073418,0.9558043293718166,3,72
Skin,11,ATRIP,0.17258611648477754,0.9624934864243977,3,72
Skin,12,EZH2,0.19389825389259646,0.962460606424998,3,72
Skin,13,MTOR,0.20987809639427285,0.9513789663601376,3,72
Skin,14,HDAC3,0.29725283449343404,0.9513789663601376,3,72
Skin,15,ATR,0.33703543130387636,0.8762301804264625,3,72
Skin,16,PIK3CA,0.4417852611143856,0.7797339316966421,3,72
Skin,17,HDAC2,0.8527511850519325,0.7803894768594072,3,72
Uterus,1,ARID1B,-1.2259245618985195,0.12850881636665465,22,12
Uterus,2,ATR,-0.9164093871793464,0.6178097664301593,22,12
Uterus,3,BRD2,-0.7240576443312672,0.3973841418077416,22,12
Uterus,4,ATRIP,-0.6425866685628473,0.7797339316966421,22,12
Uterus,5,HDAC3,-0.3012048247134361,0.7539410228550733,22,12
Uterus,6,PARP1,-0.21991188534095427,0.7913540885221304,22,12
Uterus,7,HSP90AA1,-0.16487023149473218,0.7539410228550733,22,12
Uterus,8,MTOR,-0.12043941419437992,1.0,22,12
Uterus,9,USP8,-0.050846921335532126,1.0,22,12
Uterus,10,HDAC6,0.03071162803364815,1.0,22,12
Uterus,11,HDAC1,0.04101468895914284,0.9558043293718166,22,12
Uterus,12,AKT1,0.21862655950677476,0.7820070294774449,22,12
Uterus,13,PARP2,0.2213042930695836,0.8905181793184003,22,12
Uterus,14,BRD4,0.31942131788895856,0.9513789663601376,22,12
Uterus,15,HDAC2,0.38873447603114286,0.8119405112013022,22,12
Uterus,16,EZH2,0.5147053811840367,0.6208750463477937,22,12
Uterus,17,PIK3CA,0.5671613177227005,0.7539410228550733,22,12
