cancer_type,gene,n_lost,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_lost,median_dep_intact,fdr,classification
Liver,ATR,11,13,0.1089,-0.7302,1.0348,0.6020680139984149,0.7939,False,0.0159,-1.0234,-1.1117,0.8678083787977153,NOT_SIGNIFICANT
Liver,PKMYT1,11,13,0.3782,-0.4084,1.2921,0.384820773523065,0.3672,True,0.2445,-1.3084,-1.3453,0.845437049938457,NOT_SIGNIFICANT
Uterus,CDK2,19,15,-0.6562,-1.2213,-0.1131,0.08921832403221404,0.0646,True,0.575,-1.1229,-0.8887,0.6305152596018905,NOT_SIGNIFICANT
Uterus,AURKA,19,15,0.1281,-0.5676,0.9005,0.6272638568836444,0.7199,True,0.0512,-1.2156,-1.2627,0.8739876405912113,NOT_SIGNIFICANT
Uterus,AURKB,19,15,0.4067,-0.2664,1.2903,0.12698158900793233,0.2528,True,0.3168,-2.0086,-2.1321,0.6305152596018905,NOT_SIGNIFICANT
Uterus,CHEK1,19,15,-0.3053,-1.0832,0.4806,0.4454295381571297,0.3804,True,0.1929,-1.7638,-1.687,0.845437049938457,NOT_SIGNIFICANT
Uterus,WEE1,19,15,-0.5373,-1.2742,0.0821,0.23829085585075893,0.1253,True,0.4462,-2.7447,-2.5343,0.7781685761376347,NOT_SIGNIFICANT
Uterus,CSNK2A1,19,15,-0.2008,-0.8355,0.5025,0.9171271330679152,0.5651,True,0.0678,-0.178,-0.1202,0.9931583979854626,NOT_SIGNIFICANT
Uterus,TTK,19,15,0.1163,-0.5395,0.8906,0.48787790840365586,0.7428,True,0.0397,-0.8083,-0.9331,0.845437049938457,NOT_SIGNIFICANT
Uterus,FOXM1,19,15,-0.0319,-0.773,0.6632,1.0,0.9258,True,0.0086,-0.1553,-0.1586,1.0,NOT_SIGNIFICANT
Uterus,MYBL2,19,15,-0.6672,-1.3186,-0.0343,0.08921832403221404,0.0626,True,0.5846,-0.5453,-0.2615,0.6305152596018905,NOT_SIGNIFICANT
Uterus,ATR,19,15,0.5045,-0.0882,1.0475,0.25238104262144023,0.1453,True,0.4333,-1.1146,-1.1532,0.799206634967894,NOT_SIGNIFICANT
Uterus,PKMYT1,19,15,-0.0022,-0.7387,0.5806,0.7028112117658999,0.9946,False,0.0022,-1.5298,-1.479,0.9301616651121405,NOT_SIGNIFICANT
Eye,CDK2,5,10,0.3882,-0.9893,1.9604,0.5134865134865134,0.492,True,0.0191,-0.782,-0.8758,0.845437049938457,NOT_SIGNIFICANT
Eye,AURKA,5,10,0.3669,-0.8083,1.7976,0.5134865134865134,0.5175,True,0.1479,-1.2831,-1.4302,0.845437049938457,NOT_SIGNIFICANT
Eye,AURKB,5,10,0.4042,-0.6388,1.9669,0.37096237096237095,0.4736,True,0.1124,-2.0699,-2.2616,0.845437049938457,NOT_SIGNIFICANT
Eye,CHEK1,5,10,-1.0758,-2.7332,0.0908,0.20646020646020646,0.0644,True,0.7055,-1.7981,-1.646,0.7038417774570944,NOT_SIGNIFICANT
Eye,WEE1,5,10,0.3123,-0.6077,2.0694,0.594072594072594,0.579,True,0.0778,-2.6245,-2.7816,0.8674067279414213,NOT_SIGNIFICANT
Eye,CSNK2A1,5,10,-0.0669,-1.0724,1.0669,0.9530469530469531,0.9034,False,0.0669,-0.0501,-0.0855,0.9938792990351317,NOT_SIGNIFICANT
Eye,TTK,5,10,-0.5906,-1.6484,0.19,0.3096903096903097,0.3068,True,0.4393,-1.0552,-0.9411,0.8406587537498432,NOT_SIGNIFICANT
Eye,FOXM1,5,10,-0.5005,-2.291,0.9411,0.7678987678987679,0.3967,True,0.0032,-0.2725,-0.1874,0.9644831337782458,NOT_SIGNIFICANT
Eye,MYBL2,5,10,0.2121,-1.4136,1.9654,0.8591408591408591,0.695,False,0.2121,-0.2687,-0.2163,0.9931583979854626,NOT_SIGNIFICANT
Eye,ATR,5,10,-0.7252,-2.272,0.2274,0.3096903096903097,0.2004,True,0.5252,-1.2211,-1.1122,0.8406587537498432,NOT_SIGNIFICANT
Eye,PKMYT1,5,10,-0.9313,-2.2933,0.0443,0.5134865134865134,0.113,True,0.5682,-0.7448,-0.7748,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CDK2,22,35,-0.7463,-1.6436,-0.1998,0.008935295628107921,0.0073,True,0.6717,-1.4646,-0.7497,0.6224922620915184,MARGINAL
Ovary/Fallopian Tube,AURKA,22,35,-0.4179,-0.9928,0.0865,0.1028900157215885,0.1222,True,0.3157,-1.3264,-1.2497,0.6305152596018905,NOT_SIGNIFICANT
Ovary/Fallopian Tube,AURKB,22,35,0.2021,-0.3171,0.8315,0.465730811445521,0.4482,True,0.1267,-2.0119,-2.1561,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CHEK1,22,35,-0.1917,-0.758,0.3502,0.44592465143119164,0.4934,True,0.0601,-1.8862,-1.7394,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,WEE1,22,35,-0.2379,-0.8043,0.265,0.3805025944185272,0.3816,True,0.1653,-2.8365,-2.8399,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,CSNK2A1,22,35,-0.5889,-1.1808,-0.1017,0.032423308186433,0.033,True,0.5016,-0.2845,-0.161,0.6305152596018905,MARGINAL
Ovary/Fallopian Tube,TTK,22,35,-0.2222,-0.7671,0.2242,0.3459169991506532,0.4205,True,0.1496,-0.7927,-0.7697,0.8406587537498432,NOT_SIGNIFICANT
Ovary/Fallopian Tube,FOXM1,22,35,-0.2019,-0.8006,0.3347,0.4077867764234554,0.4717,True,0.1261,-0.365,-0.2532,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,MYBL2,22,35,-0.4984,-1.1292,-0.0022,0.08977811106767657,0.0728,True,0.3947,-0.5729,-0.4226,0.6305152596018905,NOT_SIGNIFICANT
Ovary/Fallopian Tube,ATR,22,35,0.23,-0.2755,0.7495,0.48601628165185096,0.4083,True,0.0768,-1.1143,-1.1453,0.845437049938457,NOT_SIGNIFICANT
Ovary/Fallopian Tube,PKMYT1,22,35,-0.4228,-0.9712,0.1612,0.3459169991506532,0.1278,True,0.3027,-1.3898,-1.3081,0.8406587537498432,NOT_SIGNIFICANT
Cervix,CDK2,7,11,0.228,-0.6782,1.2099,0.8601055806938159,0.6425,True,0.1155,-0.7248,-0.8597,0.9931583979854626,NOT_SIGNIFICANT
Cervix,AURKA,7,11,-1.0779,-2.2517,-0.2202,0.10419808949220714,0.0408,True,0.8585,-1.5246,-1.1993,0.6305152596018905,MARGINAL
Cervix,AURKB,7,11,-0.3145,-1.2734,0.8594,0.7914152840623428,0.5269,True,0.0419,-2.2609,-2.3083,0.978732511059347,NOT_SIGNIFICANT
Cervix,CHEK1,7,11,-0.9786,-2.3481,-0.1405,0.06925590749120161,0.0616,True,0.7819,-2.2248,-1.7963,0.6305152596018905,NOT_SIGNIFICANT
Cervix,WEE1,7,11,0.0522,-0.9766,1.1874,0.8601055806938159,0.9183,False,0.01,-2.3938,-2.8305,0.9931583979854626,NOT_SIGNIFICANT
Cervix,CSNK2A1,7,11,0.2205,-0.8448,1.1231,0.5961538461538461,0.6631,True,0.0554,-0.0489,-0.0721,0.8674067279414213,NOT_SIGNIFICANT
Cervix,TTK,7,11,-0.7587,-2.404,0.3528,0.17911010558069382,0.1383,True,0.5205,-1.1115,-0.9208,0.7038205277303086,NOT_SIGNIFICANT
Cervix,FOXM1,7,11,0.367,-0.5599,1.4914,0.42515082956259426,0.4603,True,0.2113,-0.1093,-0.2829,0.845437049938457,NOT_SIGNIFICANT
Cervix,MYBL2,7,11,-0.3745,-1.4523,0.7089,0.9298014077425841,0.4453,True,0.0902,-0.4946,-0.5426,0.9938792990351317,NOT_SIGNIFICANT
Cervix,ATR,7,11,-0.1705,-1.1592,0.8131,0.6589994972347913,0.7256,False,0.0773,-1.0994,-1.019,0.8943564605329312,NOT_SIGNIFICANT
Cervix,PKMYT1,7,11,0.1359,-0.8721,1.2813,0.8601055806938159,0.7777,True,0.0043,-1.0247,-1.1912,0.9931583979854626,NOT_SIGNIFICANT
Bone,CDK2,15,26,-0.9294,-1.758,-0.2313,0.017868718844609117,0.007,True,0.8159,-1.2123,-0.6771,0.6305152596018905,MARGINAL
Bone,AURKA,15,26,-0.1045,-0.7617,0.5493,0.5976390852802137,0.7465,True,0.0024,-1.4527,-1.3577,0.8674067279414213,NOT_SIGNIFICANT
Bone,AURKB,15,26,-0.0868,-0.9242,0.6268,0.7970763489897577,0.7865,True,0.0037,-2.2953,-2.2739,0.9799350408168197,NOT_SIGNIFICANT
Bone,CHEK1,15,26,0.0346,-0.5318,0.6026,0.967614866155289,0.9188,True,0.0087,-1.9149,-1.8403,0.9962143203273666,NOT_SIGNIFICANT
Bone,WEE1,15,26,-0.2614,-0.8382,0.3054,0.40907005312597755,0.4349,True,0.1435,-3.0053,-2.9236,0.845437049938457,NOT_SIGNIFICANT
Bone,CSNK2A1,15,26,-0.4481,-1.1729,0.1908,0.09071036501504977,0.1744,True,0.3571,-0.0835,0.0276,0.6305152596018905,NOT_SIGNIFICANT
Bone,TTK,15,26,-0.746,-1.5156,-0.0627,0.06373029474487117,0.0243,True,0.6234,-1.0316,-0.8453,0.6305152596018905,MARGINAL
Bone,FOXM1,15,26,-0.6407,-1.407,-0.0238,0.07625154766250028,0.0579,True,0.5374,-0.2649,-0.1142,0.6305152596018905,NOT_SIGNIFICANT
Bone,MYBL2,15,26,-0.1824,-0.8401,0.3769,0.4732106917383371,0.5858,True,0.0836,-0.5142,-0.3996,0.845437049938457,NOT_SIGNIFICANT
Bone,ATR,15,26,-0.4869,-1.3073,0.1535,0.18927394226950467,0.1383,True,0.381,-1.2678,-1.1066,0.7038205277303086,NOT_SIGNIFICANT
Bone,PKMYT1,15,26,-0.1123,-0.7087,0.4859,0.9245268314874387,0.7381,True,0.0037,-0.992,-1.1502,0.9938792990351317,NOT_SIGNIFICANT
CNS/Brain,CDK2,21,62,-0.584,-1.1764,-0.0103,0.06601433280529707,0.0234,True,0.4607,-1.0059,-0.8402,0.6305152596018905,MARGINAL
CNS/Brain,AURKA,21,62,0.0557,-0.4956,0.5588,0.641123646132203,0.8235,True,0.0109,-1.2375,-1.2994,0.8860426362460937,NOT_SIGNIFICANT
CNS/Brain,AURKB,21,62,-0.2353,-0.7459,0.2877,0.3932736143654746,0.3508,True,0.1333,-2.3163,-2.2089,0.845437049938457,NOT_SIGNIFICANT
CNS/Brain,CHEK1,21,62,0.3669,-0.1207,0.9143,0.17494464597538617,0.1474,True,0.2505,-1.6326,-1.7442,0.7038205277303086,NOT_SIGNIFICANT
CNS/Brain,WEE1,21,62,0.0667,-0.4351,0.6833,0.8710229147690016,0.8018,True,0.0089,-2.778,-2.8189,0.9931583979854626,NOT_SIGNIFICANT
CNS/Brain,CSNK2A1,21,62,-0.4146,-0.8472,0.0238,0.0927232141622887,0.1043,True,0.3254,-0.1388,-0.0675,0.6305152596018905,NOT_SIGNIFICANT
CNS/Brain,TTK,21,62,-0.5585,-1.156,-0.0032,0.030537722793520912,0.0306,True,0.4621,-0.9288,-0.749,0.6305152596018905,MARGINAL
CNS/Brain,FOXM1,21,62,-0.3397,-0.9247,0.2453,0.32223862938734293,0.1753,True,0.2002,-0.2593,-0.2177,0.8406587537498432,NOT_SIGNIFICANT
CNS/Brain,MYBL2,21,62,-0.4285,-1.0126,0.038,0.02602130178141625,0.0897,True,0.2991,-0.4794,-0.2559,0.6305152596018905,NOT_SIGNIFICANT
CNS/Brain,ATR,21,62,0.0853,-0.5383,0.6852,0.8958267870396598,0.7372,True,0.0133,-1.0735,-1.0767,0.9931583979854626,NOT_SIGNIFICANT
CNS/Brain,PKMYT1,21,62,-0.1658,-0.8477,0.4255,0.33258588496531294,0.508,True,0.0498,-1.3058,-1.1246,0.8406587537498432,NOT_SIGNIFICANT
Lymphoid,CDK2,20,72,-0.9526,-1.625,-0.3861,0.0028216071092219143,0.0004,True,0.8423,-0.74,-0.5311,0.29485794291369005,MARGINAL
Lymphoid,AURKA,20,72,-0.6811,-1.2122,-0.2286,0.017728483463970685,0.0076,True,0.591,-1.3454,-1.1692,0.6305152596018905,MARGINAL
Lymphoid,AURKB,20,72,-0.2392,-0.7936,0.2193,0.2701172591437143,0.3475,True,0.157,-2.4298,-2.2034,0.8064929594433755,NOT_SIGNIFICANT
Lymphoid,CHEK1,20,72,-0.2315,-0.7568,0.281,0.592766913319096,0.3692,True,0.1237,-1.6984,-1.7478,0.8674067279414213,NOT_SIGNIFICANT
Lymphoid,WEE1,20,72,-0.3458,-0.7238,0.0186,0.26602698210732134,0.1763,True,0.2967,-2.9038,-2.8611,0.8064929594433755,NOT_SIGNIFICANT
Lymphoid,CSNK2A1,20,72,0.1727,-0.3298,0.6202,0.37611679768145956,0.4991,True,0.1019,-0.0503,-0.127,0.845437049938457,NOT_SIGNIFICANT
Lymphoid,TTK,20,72,-0.3087,-0.8067,0.149,0.19306027284633864,0.2273,True,0.2382,-0.8377,-0.7848,0.7038205277303086,NOT_SIGNIFICANT
Lymphoid,FOXM1,20,72,-0.0697,-0.5303,0.3748,0.8461338918591192,0.7806,True,0.0035,-0.1114,-0.1244,0.9931583979854626,NOT_SIGNIFICANT
Lymphoid,MYBL2,20,72,-0.1285,-0.5995,0.3584,0.5352413262963962,0.6055,True,0.0349,-0.6273,-0.5819,0.8575655048819677,NOT_SIGNIFICANT
Lymphoid,ATR,20,72,-0.1753,-0.726,0.3035,0.5732790811790242,0.4862,True,0.0572,-1.0138,-1.0016,0.8674067279414213,NOT_SIGNIFICANT
Lymphoid,PKMYT1,20,72,-0.3618,-0.8166,0.1222,0.0966555456162657,0.1545,True,0.2922,-1.4096,-1.3135,0.6305152596018905,NOT_SIGNIFICANT
Esophagus/Stomach,CDK2,15,48,-0.0494,-0.6396,0.4755,0.8275418457179953,0.8667,True,0.0002,-0.7247,-0.6775,0.9931583979854626,NOT_SIGNIFICANT
Esophagus/Stomach,AURKA,15,48,-0.2294,-0.8773,0.4123,0.7045173583664759,0.4484,True,0.0249,-1.2471,-1.2357,0.9301616651121405,NOT_SIGNIFICANT
Esophagus/Stomach,AURKB,15,48,0.4649,-0.1829,1.1977,0.0719675208019444,0.1245,True,0.3397,-2.0402,-2.217,0.6305152596018905,NOT_SIGNIFICANT
Esophagus/Stomach,CHEK1,15,48,0.3443,-0.1706,0.9118,0.5030469027947206,0.2442,True,0.182,-1.7298,-1.7541,0.845437049938457,NOT_SIGNIFICANT
Esophagus/Stomach,WEE1,15,48,0.1442,-0.4815,0.8231,0.7165360195361465,0.6312,True,0.0003,-2.6547,-2.788,0.9301616651121405,NOT_SIGNIFICANT
Esophagus/Stomach,CSNK2A1,15,48,0.0998,-0.5075,0.6482,0.9806881758375833,0.7373,True,0.0077,-0.072,-0.0606,0.9998235548783166,NOT_SIGNIFICANT
Esophagus/Stomach,TTK,15,48,0.5705,-0.0638,1.3102,0.08278088026216185,0.0561,True,0.4145,-0.7885,-0.8596,0.6305152596018905,NOT_SIGNIFICANT
Esophagus/Stomach,FOXM1,15,48,-0.1908,-0.8844,0.5365,0.8781572919835289,0.5308,False,0.101,-0.2376,-0.266,0.9931583979854626,NOT_SIGNIFICANT
Esophagus/Stomach,MYBL2,15,48,-0.3316,-1.0138,0.2742,0.34514936620587355,0.2767,True,0.1707,-0.7573,-0.6396,0.8406587537498432,NOT_SIGNIFICANT
Esophagus/Stomach,ATR,15,48,0.2775,-0.3371,0.9862,0.5887806116574235,0.3579,True,0.0823,-1.1671,-1.0852,0.8674067279414213,NOT_SIGNIFICANT
Esophagus/Stomach,PKMYT1,15,48,-0.2448,-0.7233,0.2694,0.8654481865208403,0.4137,True,0.0939,-1.3048,-1.5462,0.9931583979854626,NOT_SIGNIFICANT
Head and Neck,CDK2,14,49,0.3039,-0.1337,0.8289,0.38541823236822925,0.3209,True,0.2106,-0.5827,-0.5908,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,AURKA,14,49,-0.068,-0.6303,0.3794,0.4420350073697802,0.823,True,0.0146,-1.2743,-1.1938,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,AURKB,14,49,-0.0208,-0.3911,0.4643,0.8882442018020273,0.9445,True,0.006,-2.0323,-2.0613,0.9931583979854626,NOT_SIGNIFICANT
Head and Neck,CHEK1,14,49,-0.2591,-0.8924,0.3295,0.4037788911451118,0.3998,True,0.0839,-1.7463,-1.6613,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,WEE1,14,49,-0.388,-0.9406,0.1381,0.2505523215907398,0.2018,True,0.2829,-2.8466,-2.6439,0.799206634967894,NOT_SIGNIFICANT
Head and Neck,CSNK2A1,14,49,-0.1809,-0.7775,0.4011,0.5137344753214548,0.5534,True,0.0534,-0.0443,-0.0538,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,TTK,14,49,0.0366,-0.4909,0.6754,0.8751985334323714,0.9024,False,0.0366,-0.8436,-0.8387,0.9931583979854626,NOT_SIGNIFICANT
Head and Neck,FOXM1,14,49,0.3124,-0.186,0.7884,0.5031342888197414,0.3,True,0.2183,-0.2024,-0.2598,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,MYBL2,14,49,0.1962,-0.3093,0.6551,0.6493655192862501,0.5198,True,0.1162,-0.5695,-0.624,0.8870417877831781,NOT_SIGNIFICANT
Head and Neck,ATR,14,49,-0.4483,-1.1107,0.1847,0.367576969724835,0.1372,True,0.2904,-1.0423,-1.0218,0.845437049938457,NOT_SIGNIFICANT
Head and Neck,PKMYT1,14,49,0.1179,-0.3606,0.6619,0.4822855352038987,0.6957,True,0.0226,-1.269,-1.4107,0.845437049938457,NOT_SIGNIFICANT
Pancreas,CDK2,9,37,-0.661,-1.5048,0.0526,0.1931147738837331,0.0797,True,0.3871,-0.8626,-0.7345,0.7038205277303086,NOT_SIGNIFICANT
Pancreas,AURKA,9,37,0.1147,-0.4605,0.7267,0.5242127526913429,0.7603,True,0.0006,-1.12,-1.2349,0.8493059326549665,NOT_SIGNIFICANT
Pancreas,AURKB,9,37,0.0409,-0.5779,0.6465,0.933796393735009,0.9131,True,0.0155,-1.9553,-1.9932,0.9938792990351317,NOT_SIGNIFICANT
Pancreas,CHEK1,9,37,-0.1798,-0.8342,0.4692,0.8898856343200842,0.6188,True,0.0873,-1.7793,-1.7987,0.9931583979854626,NOT_SIGNIFICANT
Pancreas,WEE1,9,37,-0.7371,-1.4453,-0.1358,0.05971319573091702,0.0543,True,0.6134,-2.9694,-2.6816,0.6305152596018905,NOT_SIGNIFICANT
Pancreas,CSNK2A1,9,37,-0.5936,-1.8197,0.5735,0.36084144912815797,0.1125,True,0.1695,-0.3253,-0.2105,0.845437049938457,NOT_SIGNIFICANT
Pancreas,TTK,9,37,-0.4417,-1.3107,0.3217,0.3188459436770774,0.246,True,0.2587,-0.7989,-0.6914,0.8406587537498432,NOT_SIGNIFICANT
Pancreas,FOXM1,9,37,0.6612,-0.1277,1.5611,0.09120470161428056,0.0817,True,0.5049,-0.1821,-0.3563,0.6305152596018905,NOT_SIGNIFICANT
Pancreas,MYBL2,9,37,0.0493,-0.6547,0.7285,0.9558360722778061,0.8951,False,0.0493,-0.6234,-0.6273,0.9938792990351317,NOT_SIGNIFICANT
Pancreas,ATR,9,37,-0.823,-1.6214,-0.2081,0.03299752416156934,0.0363,True,0.5226,-1.251,-1.0753,0.6305152596018905,MARGINAL
Pancreas,PKMYT1,9,37,0.2994,-0.3454,1.0238,0.45468687319297474,0.4161,True,0.1018,-1.4913,-1.5848,0.845437049938457,NOT_SIGNIFICANT
Biliary Tract,CDK2,7,27,-0.6063,-1.7079,0.3804,0.16336296122251104,0.1596,True,0.1583,-0.8949,-0.6999,0.7038205277303086,NOT_SIGNIFICANT
Biliary Tract,AURKA,7,27,-0.1758,-1.0995,0.49,0.47758390189931765,0.6825,True,0.0499,-1.3093,-1.1952,0.845437049938457,NOT_SIGNIFICANT
Biliary Tract,AURKB,7,27,-0.1005,-1.2483,1.0512,0.9999999999999999,0.8115,False,0.0883,-1.9934,-1.9598,1.0,NOT_SIGNIFICANT
