cancer_type,gene,n_lost,n_intact,cohens_d,ci_lower,ci_upper,pvalue,permutation_p,loo_robust,loo_min_abs_d,median_dep_lost,median_dep_intact,fdr,classification
Esophagus/Stomach,CDK6,15,48,0.0219,-0.5672,0.5809,1.0,0.9409,True,0.0018,-0.4902,-0.4837,1.0,NOT_SIGNIFICANT
Head and Neck,CDK4,14,49,-0.1344,-0.8615,0.4984,0.5137344753214548,0.6583,True,0.0124,-0.5576,-0.4854,0.629739034265009,NOT_SIGNIFICANT
Head and Neck,CDK6,14,49,-0.1135,-0.5844,0.348,0.47203998402087743,0.7113,True,0.0242,-0.8881,-0.8142,0.627585340059985,NOT_SIGNIFICANT
Pancreas,CDK4,9,37,-0.0126,-0.9513,0.7714,0.9558360722778061,0.974,False,0.0126,-0.6904,-0.6363,1.0,NOT_SIGNIFICANT
Pancreas,CDK6,9,37,-0.5067,-1.3236,0.0527,0.1422241650267946,0.1834,True,0.334,-0.8912,-0.7781,0.27022591355090975,NOT_SIGNIFICANT
Biliary Tract,CDK4,7,27,0.4595,-0.2603,1.2782,0.2565138478285439,0.284,True,0.2817,-0.5369,-0.6805,0.38990104869938674,NOT_SIGNIFICANT
Biliary Tract,CDK6,7,27,0.2176,-0.6333,1.0,0.5040538209418665,0.621,True,0.0031,-0.5675,-0.7518,0.629739034265009,NOT_SIGNIFICANT
Soft Tissue,CDK4,6,40,-0.5627,-1.5104,0.172,0.22764804145356074,0.1992,True,0.264,-1.045,-0.7054,0.38990104869938674,NOT_SIGNIFICANT
Soft Tissue,CDK6,6,40,0.3927,-0.4491,1.0609,0.32857131113561605,0.3822,True,0.22,-0.189,-0.4869,0.46243369715383004,NOT_SIGNIFICANT
Bowel,CDK4,10,51,0.351,-0.2823,0.9062,0.1361476958104201,0.306,True,0.2683,-0.4724,-0.7507,0.27022591355090975,NOT_SIGNIFICANT
Bowel,CDK6,10,51,0.2459,-0.362,0.8382,0.5523995052080612,0.4796,True,0.1401,-0.3135,-0.3423,0.6559744124345728,NOT_SIGNIFICANT
Skin,CDK4,9,65,0.5559,-0.338,1.2856,0.009882249617020855,0.1217,True,0.4258,-0.3621,-0.75,0.03413868049516295,MARGINAL
Skin,CDK6,9,65,0.8682,0.4253,1.3279,0.007024337768839333,0.0168,True,0.7872,-0.077,-0.508,0.03107676032184584,ROBUST
Kidney,CDK4,5,28,0.2764,-0.2888,0.9056,0.826726665992517,0.5737,True,0.055,-0.6623,-0.6736,0.8975889516490184,NOT_SIGNIFICANT
Kidney,CDK6,5,28,-0.3878,-1.1909,0.3986,0.6085970944146696,0.4366,True,0.0561,-0.8351,-0.7196,0.7008087753865891,NOT_SIGNIFICANT
Pan-cancer (pooled),CDK4,306,820,0.3623,0.2361,0.492,9.903786418714869e-12,0.0001,True,0.3576,-0.4865,-0.6276,9.903786418714869e-12,ROBUST
Pan-cancer (pooled),CDK6,306,820,0.6373,0.5077,0.7624,1.0603407694567657e-24,0.0001,True,0.6327,-0.1818,-0.5887,2.1206815389135315e-24,ROBUST
