gene	direction	transition_pathways	n_transition_pathways	msigdb_pathways	n_msigdb_pathways
TIE1	down	CD38_PECAM1	1	GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	3
SAV1	down	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; REACTOME_SIGNALING_BY_HIPPO	2
MOB1A	down	YAP_TAZ	1	GOBP_HIPPO_SIGNALING; REACTOME_SIGNALING_BY_HIPPO	2
MST1	down	YAP_TAZ	1		0
CFL1	down	TL1A_DR3_RHO	1		0
TGFB1	up	CD38_PECAM1	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_COLLAGEN_BIOSYNTHETIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_MYOFIBROBLAST_DIFFERENTIATION; GOBP_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_NEGATIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_POSITIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_DISASSEMBLY; GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_TGF_BETA_SIGNALING; KEGG_MEDICUS_REFERENCE_PLASMIN_MEDIATED_ACTIVATION_OF_LATENT_TGF_BETA; KEGG_MEDICUS_REFERENCE_TGF_BETA_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER; REACTOME_TGFBR3_REGULATES_TGF_BETA_SIGNALING; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	46
ITGB1	up	YAP_TAZ	1	GOBP_BASEMENT_MEMBRANE_ORGANIZATION; GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_COLLAGEN_CATABOLIC_PROCESS; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_FIBRONECTIN_MATRIX_FORMATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_LAMININ_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	25
COL1A2	up	CD38_PECAM1	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_COLLAGEN_METABOLIC_PROCESS; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES; REACTOME_COLLAGEN_CHAIN_TRIMERIZATION; REACTOME_COLLAGEN_DEGRADATION; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_DEFECTS_OF_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_ENHANCED_BINDING_OF_GP1BA_VARIANT_TO_VWF_MULTIMER_COLLAGEN; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	24
SERPINE1	up	TL1A_DR3_RHO	1	GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING; GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_NEGATIVE_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING; GOBP_POSITIVE_REGULATION_OF_WOUND_HEALING; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_VASCULAR_WOUND_HEALING; GOBP_REGULATION_OF_WOUND_HEALING; GOBP_VASCULAR_WOUND_HEALING; GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_TGF_BETA_SIGNALING; REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	20
WWTR1	up	YAP_TAZ	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_HIPPO_SIGNALING; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_TGF_BETA_SIGNALING; REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY; REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION; REACTOME_SIGNALING_BY_HIPPO; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER; REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	17
GREM1	up	TL1A_DR3_RHO	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_BMP; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; KEGG_MEDICUS_REFERENCE_BMP_SIGNALING_PATHWAY_BMP_ANTAGONIST	16
FN1	up	CD38_PECAM1	1	GOBP_INTEGRIN_ACTIVATION; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_WOUND_HEALING; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_FIBRONECTIN_MATRIX_FORMATION; REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_INTEGRIN_SIGNALING; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS	15
ITGAV	up	YAP_TAZ	1	GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ECM_PROTEOGLYCANS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS; REACTOME_LAMININ_INTERACTIONS; REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	14
TIMP1	up	TL1A_DR3_RHO	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT; GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING; GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_REGULATION_OF_INTEGRIN_MEDIATED_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES; REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION; REACTOME_SIGNALING_BY_TGFBR3; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_TGFBR3_PTM_REGULATION	14
PARP1	up	CD38_PECAM1	1	GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_MYOFIBROBLAST_DIFFERENTIATION; GOBP_POSITIVE_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_REGULATION_OF_MYOFIBROBLAST_DIFFERENTIATION; GOBP_REGULATION_OF_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY; REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS; REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX; REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	12
SNAI2	up	CD38_PECAM1	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	11
ZEB2	up	CD38_PECAM1	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_MYOFIBROBLAST_DIFFERENTIATION; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY	11
YAP1	up	YAP_TAZ	1	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_HIPPO_SIGNALING; GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY; GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY; GOBP_WNT_SIGNALING_PATHWAY; GOBP_WOUND_HEALING; REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION; REACTOME_SIGNALING_BY_HIPPO; REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	11
LOX	up	YAP_TAZ	1	GOBP_COLLAGEN_FIBRIL_ORGANIZATION; GOBP_CONNECTIVE_TISSUE_DEVELOPMENT; GOBP_EXTRACELLULAR_MATRIX_ASSEMBLY; GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS; GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA; GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES; REACTOME_COLLAGEN_FORMATION; REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS; REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	11
