drug_name,targets,pathway_id,pathway_name,raw_distance,z_score,p_value,proximity_score,significant
4-DAMP,CHRM4,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
4-DAMP,CHRM4,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
4-DAMP,CHRM4,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
4-DAMP,CHRM4,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,R-HSA-112316,neuronal system,3.1429,0.0936,0.537301,0.0,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0007399,nervous system development,3.0,-0.4784,0.316168,0.0957,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0007268,chemical synaptic transmission,2.875,-0.4065,0.342183,0.0813,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,hsa04728,dopaminergic synapse,2.0,-1.8052,0.035522,0.361,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0007409,axonogenesis,3.0,-0.7238,0.234587,0.1448,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0021987,cerebral cortex development,3.0,-0.7996,0.211968,0.1599,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0030182,neuron differentiation,2.75,-1.0598,0.144621,0.212,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0001764,neuron migration,3.0,0.438,0.669315,0.0,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0050804,modulation of chemical synaptic transmission,3.0,0.1379,0.554847,0.0,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,GO:0048699,generation of neurons,3.0,-0.5595,0.287907,0.1119,False
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
5-OH-DPAT,DRD3,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
5-OH-DPAT,DRD3,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
5-OH-DPAT,DRD3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
5-OH-DPAT,DRD3,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
5-OH-DPAT,DRD3,GO:0007409,axonogenesis,3.75,0.2716,0.607031,0.0,False
5-OH-DPAT,DRD3,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
5-OH-DPAT,DRD3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
5-OH-DPAT,DRD3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
5-OH-DPAT,DRD3,GO:0050804,modulation of chemical synaptic transmission,3.25,-0.0656,0.473841,0.0131,False
5-OH-DPAT,DRD3,GO:0048699,generation of neurons,3.6667,0.2127,0.584225,0.0,False
5-OH-DPAT,DRD3,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
8-OH-DPAT,DRD2;DRD3,R-HSA-112316,neuronal system,3.1429,0.0936,0.537301,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0007399,nervous system development,3.5,1.0817,0.860305,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0007268,chemical synaptic transmission,2.75,-0.7669,0.221571,0.1534,False
8-OH-DPAT,DRD2;DRD3,hsa04728,dopaminergic synapse,2.0,-1.8052,0.035522,0.361,False
8-OH-DPAT,DRD2;DRD3,GO:0007409,axonogenesis,3.25,-0.0694,0.472347,0.0139,False
8-OH-DPAT,DRD2;DRD3,GO:0021987,cerebral cortex development,4.0,1.4093,0.92062,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0030182,neuron differentiation,3.5,1.1001,0.864356,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0001764,neuron migration,3.5,1.5787,0.942798,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0050804,modulation of chemical synaptic transmission,3.25,0.6986,0.757586,0.0,False
8-OH-DPAT,DRD2;DRD3,GO:0048699,generation of neurons,3.6667,1.1515,0.875242,0.0,False
8-OH-DPAT,DRD2;DRD3,hsa04330,Notch signaling pathway,3.0,-0.2861,0.387405,0.0572,False
A-1155463,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
A-1155463,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
A-1155463,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
A-1155463,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
A-1155463,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
A-1155463,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
A-1155463,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
A-1155463,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
A-1155463,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
A-1155463,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
A-1155463,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
A-119637,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
A-119637,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
A-119637,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
A-119637,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
A-119637,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
A-119637,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
A-119637,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
A-119637,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
A-119637,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
A-119637,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
A-119637,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
A-123189,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
A-123189,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
A-123189,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
A-123189,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
A-123189,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
A-123189,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
A-123189,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
A-123189,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
A-123189,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
A-123189,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
A-123189,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
A-1596584,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
A-1596584,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
A-1596584,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
A-1596584,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
A-1596584,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
A-1596584,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
A-1596584,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
A-1596584,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
A-1596584,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
A-1596584,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
A-1596584,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
A-1596586,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
A-1596586,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
A-1596586,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
A-1596586,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
A-1596586,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
A-1596586,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
A-1596586,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
A-1596586,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
A-1596586,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
A-1596586,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
A-1596586,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
A-86929,DRD1,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
A-86929,DRD1,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
A-86929,DRD1,GO:0007268,chemical synaptic transmission,2.75,-1.4248,0.077102,0.285,False
A-86929,DRD1,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
A-86929,DRD1,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
A-86929,DRD1,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
A-86929,DRD1,GO:0030182,neuron differentiation,3.0,-1.0634,0.143807,0.2127,False
A-86929,DRD1,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
A-86929,DRD1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
A-86929,DRD1,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
A-86929,DRD1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ABAPERIDONE,DRD3,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
ABAPERIDONE,DRD3,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
ABAPERIDONE,DRD3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
ABAPERIDONE,DRD3,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
ABAPERIDONE,DRD3,GO:0007409,axonogenesis,3.75,0.2716,0.607031,0.0,False
ABAPERIDONE,DRD3,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
ABAPERIDONE,DRD3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
ABAPERIDONE,DRD3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
ABAPERIDONE,DRD3,GO:0050804,modulation of chemical synaptic transmission,3.25,-0.0656,0.473841,0.0131,False
ABAPERIDONE,DRD3,GO:0048699,generation of neurons,3.6667,0.2127,0.584225,0.0,False
ABAPERIDONE,DRD3,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ABECARNIL,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
ABECARNIL,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
ABECARNIL,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
ABECARNIL,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
ABECARNIL,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
ABECARNIL,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
ABECARNIL,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
ABECARNIL,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
ABECARNIL,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ABECARNIL,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
ABECARNIL,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ABT-724,DRD4,R-HSA-112316,neuronal system,3.2857,-0.3949,0.346455,0.079,False
ABT-724,DRD4,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
ABT-724,DRD4,GO:0007268,chemical synaptic transmission,3.0,-0.839,0.200744,0.1678,False
ABT-724,DRD4,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
ABT-724,DRD4,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
ABT-724,DRD4,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
ABT-724,DRD4,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
ABT-724,DRD4,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
ABT-724,DRD4,GO:0050804,modulation of chemical synaptic transmission,3.25,-0.0656,0.473841,0.0131,False
ABT-724,DRD4,GO:0048699,generation of neurons,3.6667,0.2127,0.584225,0.0,False
ABT-724,DRD4,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ACETOPROXIFAN,HRH3,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
ACETOPROXIFAN,HRH3,GO:0007399,nervous system development,3.8333,0.7856,0.783957,0.0,False
ACETOPROXIFAN,HRH3,GO:0007268,chemical synaptic transmission,3.125,-0.546,0.292522,0.1092,False
ACETOPROXIFAN,HRH3,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
ACETOPROXIFAN,HRH3,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
ACETOPROXIFAN,HRH3,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
ACETOPROXIFAN,HRH3,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
ACETOPROXIFAN,HRH3,GO:0001764,neuron migration,3.5,0.64,0.738929,0.0,False
ACETOPROXIFAN,HRH3,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
ACETOPROXIFAN,HRH3,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
ACETOPROXIFAN,HRH3,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
ACETYLCHOLINE,CHRM4,R-HSA-112316,neuronal system,4.0,1.2533,0.89495,0.0,False
ACETYLCHOLINE,CHRM4,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
ACETYLCHOLINE,CHRM4,GO:0007268,chemical synaptic transmission,3.75,0.9186,0.820859,0.0,False
ACETYLCHOLINE,CHRM4,hsa04728,dopaminergic synapse,3.0,-0.1302,0.448207,0.026,False
ACETYLCHOLINE,CHRM4,GO:0007409,axonogenesis,4.0,0.8351,0.798157,0.0,False
ACETYLCHOLINE,CHRM4,GO:0021987,cerebral cortex development,4.0,0.55,0.708854,0.0,False
ACETYLCHOLINE,CHRM4,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
ACETYLCHOLINE,CHRM4,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
ACETYLCHOLINE,CHRM4,GO:0050804,modulation of chemical synaptic transmission,3.75,0.9286,0.823454,0.0,False
ACETYLCHOLINE,CHRM4,GO:0048699,generation of neurons,4.0,0.9313,0.824162,0.0,False
ACETYLCHOLINE,CHRM4,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
AKUAMMIGINE,ADRA2A,R-HSA-112316,neuronal system,3.7143,0.594,0.723748,0.0,False
AKUAMMIGINE,ADRA2A,GO:0007399,nervous system development,3.6667,0.3916,0.652335,0.0,False
AKUAMMIGINE,ADRA2A,GO:0007268,chemical synaptic transmission,3.25,-0.2531,0.400097,0.0506,False
AKUAMMIGINE,ADRA2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
AKUAMMIGINE,ADRA2A,GO:0007409,axonogenesis,3.5,-0.2919,0.385191,0.0584,False
AKUAMMIGINE,ADRA2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
AKUAMMIGINE,ADRA2A,GO:0030182,neuron differentiation,3.5,0.095,0.537837,0.0,False
AKUAMMIGINE,ADRA2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
AKUAMMIGINE,ADRA2A,GO:0050804,modulation of chemical synaptic transmission,3.5,0.4315,0.666946,0.0,False
AKUAMMIGINE,ADRA2A,GO:0048699,generation of neurons,3.3333,-0.5059,0.306458,0.1012,False
AKUAMMIGINE,ADRA2A,hsa04330,Notch signaling pathway,4.0,0.8006,0.78833,0.0,False
ALISERTIB,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
ALISERTIB,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
ALISERTIB,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
ALISERTIB,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
ALISERTIB,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
ALISERTIB,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
ALISERTIB,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
ALISERTIB,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
ALISERTIB,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ALISERTIB,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
ALISERTIB,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ALOGABAT,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
ALOGABAT,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
ALOGABAT,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
ALOGABAT,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
ALOGABAT,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
ALOGABAT,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
ALOGABAT,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
ALOGABAT,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
ALOGABAT,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ALOGABAT,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
ALOGABAT,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0007268,chemical synaptic transmission,2.75,-1.4248,0.077102,0.285,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0030182,neuron differentiation,3.0,-1.0634,0.143807,0.2127,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
ALPHA-PHENYL-GAMMA-BUTYROLACTONE,DRD1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ALPRAZOLAM,GABRA1,R-HSA-112316,neuronal system,3.4286,-0.0653,0.47398,0.0131,False
ALPRAZOLAM,GABRA1,GO:0007399,nervous system development,4.0,1.1796,0.880925,0.0,False
ALPRAZOLAM,GABRA1,GO:0007268,chemical synaptic transmission,3.375,0.0398,0.515889,0.0,False
ALPRAZOLAM,GABRA1,hsa04728,dopaminergic synapse,2.6667,-0.7622,0.222971,0.1524,False
ALPRAZOLAM,GABRA1,GO:0007409,axonogenesis,4.25,1.3985,0.919022,0.0,False
ALPRAZOLAM,GABRA1,GO:0021987,cerebral cortex development,4.5,1.4517,0.926714,0.0,False
ALPRAZOLAM,GABRA1,GO:0030182,neuron differentiation,3.75,0.6742,0.749896,0.0,False
ALPRAZOLAM,GABRA1,GO:0001764,neuron migration,4.0,1.5097,0.934437,0.0,False
ALPRAZOLAM,GABRA1,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ALPRAZOLAM,GABRA1,GO:0048699,generation of neurons,4.3333,1.65,0.950526,0.0,False
ALPRAZOLAM,GABRA1,hsa04330,Notch signaling pathway,3.0,-0.8006,0.21167,0.1601,False
ALTANSERIN,HTR2A,R-HSA-112316,neuronal system,3.1429,-0.7245,0.234364,0.1449,False
ALTANSERIN,HTR2A,GO:0007399,nervous system development,3.3333,-0.3964,0.34592,0.0793,False
ALTANSERIN,HTR2A,GO:0007268,chemical synaptic transmission,2.875,-1.1319,0.128838,0.2264,False
ALTANSERIN,HTR2A,hsa04728,dopaminergic synapse,2.0,-2.0262,0.021372,0.4052,True
ALTANSERIN,HTR2A,GO:0007409,axonogenesis,3.0,-1.4188,0.077978,0.2838,False
ALTANSERIN,HTR2A,GO:0021987,cerebral cortex development,3.5,-0.3517,0.362545,0.0703,False
ALTANSERIN,HTR2A,GO:0030182,neuron differentiation,3.0,-1.0634,0.143807,0.2127,False
ALTANSERIN,HTR2A,GO:0001764,neuron migration,3.0,-0.2296,0.409208,0.0459,False
ALTANSERIN,HTR2A,GO:0050804,modulation of chemical synaptic transmission,3.0,-0.5627,0.286808,0.1125,False
ALTANSERIN,HTR2A,GO:0048699,generation of neurons,3.0,-1.2245,0.110374,0.2449,False
