drug_name,targets,n_targets,n_target_classes,target_classes,n_pathways_binary,n_pathways_proximity,effective_coverage,covered_pathways,total_proximity_score,binary_score,proximity_score_norm,diversity_score,composite_score,repurposing_rank,repurposing_score,safety_tier,bbb_penetrant,in_ts_trials
DOPAMINE,DRD1;DRD3;SLC6A4,3,2,dopamine;transporter,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1463,1.0,0.2293,0.5,0.6052,,,,,
QUETIAPINE,CHRM1;DRD1;DRD3;HTR2A,4,3,cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.2345,1.0,0.0469,0.75,0.6039,,,,,
L-745870,CHRM4;DRD3;DRD4;HTR2A;HTR2C,5,3,cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.1897,1.0,0.0379,0.75,0.6008,,,,,
ZOTEPINE,CHRM4;DRD1;DRD3;HTR2A;HTR2C,5,3,cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.1897,1.0,0.0379,0.75,0.6008,,,,,
ZIPRASIDONE,CHRM1;DRD1;DRD3;DRD4;HTR2A;HTR2C,6,3,cholinergic;dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.1391,1.0,0.0278,0.75,0.5972,,,,,
NAPHTHYRIDINONE,GABRA1;SLC18A2,2,2,gaba;transporter,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.9188,1.0,0.1838,0.5,0.5893,,,,,
ISOCLOZAPINE,CHRM1;DRD3;DRD4,3,2,cholinergic;dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.4186,1.0,0.0837,0.5,0.5543,,,,,
SERTINDOLE,DRD1;DRD3;HTR2A;HTR2C,4,2,dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.3222,1.0,0.0644,0.5,0.5476,,,,,
BUSPIRONE,DRD2,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1799,1.0,0.236,0.25,0.5451,,,,,
REMOXIPRIDE,DRD2,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1799,1.0,0.236,0.25,0.5451,,,,,
SPIRAMIDE,DRD2,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1799,1.0,0.236,0.25,0.5451,,,,,
SUMANIROLE,DRD2,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1799,1.0,0.236,0.25,0.5451,,,,,
"U-92,016-A",DRD2,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1799,1.0,0.236,0.25,0.5451,,,,,
APOMORPHINE,DRD1;DRD2,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1579,1.0,0.2316,0.25,0.5436,,,,,
DESMETHYLOLANZAPINE,DRD1;DRD2,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1579,1.0,0.2316,0.25,0.5436,,,,,
QUINPIROLE,DRD1;DRD2,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,1.1579,1.0,0.2316,0.25,0.5436,,,,,
HALOPERIDOL,DRD1;DRD2;DRD3;DRD4;HTR2A;HTR2C,6,2,dopamine;serotonin,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.1573,1.0,0.0315,0.5,0.536,6,0.7016,tier_3_caution,True,False
BP-897,DRD1;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8963,1.0,0.1793,0.25,0.5252,,,,,
TYRAMINE,DRD1;DRD4,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8963,1.0,0.1793,0.25,0.5252,,,,,
IMIPRAMINE,HTR2A;HTR2C;SLC6A4,3,2,serotonin;transporter,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.4262,0.75,0.2852,0.5,0.5248,,,,,
ABT-724,DRD4,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8836,1.0,0.1767,0.25,0.5244,,,,,
FAUC 113,DRD4,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8836,1.0,0.1767,0.25,0.5244,,,,,
MEZILAMINE,DRD4,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8836,1.0,0.1767,0.25,0.5244,,,,,
"PD-168,077",DRD4,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8836,1.0,0.1767,0.25,0.5244,,,,,
TANDOSPIRONE,DRD4,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.8836,1.0,0.1767,0.25,0.5244,,,,,
5-OH-DPAT,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
ABAPERIDONE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
CLEBOPRIDE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
DIFLUOROBENZTROPINE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
IOXIPRIDE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
LEVOSULPIRIDE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
NAFADOTRIDE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
RIMCAZOLE,DRD3,1,1,dopamine,4,1,5,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.7008,1.0,0.1402,0.25,0.5116,,,,,
LISURIDE,DRD1;DRD2;DRD3,3,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.627,1.0,0.1254,0.25,0.5064,,,,,
SPIPERONE,DRD1;DRD2;DRD3,3,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.627,1.0,0.1254,0.25,0.5064,,,,,
8-OH-DPAT,DRD2;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.5855,1.0,0.1171,0.25,0.5035,,,,,
BROMOCRIPTINE,DRD2;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.5855,1.0,0.1171,0.25,0.5035,,,,,
PERGOLIDE,DRD2;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.5855,1.0,0.1171,0.25,0.5035,,,,,
PRECLAMOL,DRD2;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.5855,1.0,0.1171,0.25,0.5035,,,,,
ROPINIROLE,DRD2;DRD3,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.5855,1.0,0.1171,0.25,0.5035,,,,,
ALTANSERIN,HTR2A,1,1,serotonin,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.9861,0.75,0.3972,0.25,0.5015,,,,,
BROLAMFETAMINE,HTR2A,1,1,serotonin,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.9861,0.75,0.3972,0.25,0.5015,,,,,
DESIPRAMINE,HTR2A,1,1,serotonin,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.9861,0.75,0.3972,0.25,0.5015,,,,,
DIDESMETHYLIMIPRAMINE,HTR2A,1,1,serotonin,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.9861,0.75,0.3972,0.25,0.5015,,,,,
GLEMANSERIN,HTR2A,1,1,serotonin,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.9861,0.75,0.3972,0.25,0.5015,,,,,
AZAPROPHEN,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
CARBETAPENTANE,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
OTENZEPAD,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
OXADIAZOLE,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
QUINUCLIDINYL BENZILATE,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
TAZOMELINE,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
VICRIVIROC,CHRM1,1,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.8688,0.75,0.3738,0.25,0.4933,,,,,
LOXAPINE,DRD3;DRD4,2,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.4275,1.0,0.0855,0.25,0.4924,,,,,
CI-1007,DRD2;DRD3;DRD4,3,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.3532,1.0,0.0706,0.25,0.4872,,,,,
ROXINDOLE,DRD2;DRD3;DRD4,3,1,dopamine,4,0,4,neuronal system;chemical synaptic transmission;dopaminergic synapse;modulation of synaptic transmission,0.3532,1.0,0.0706,0.25,0.4872,,,,,
DIHYDROTETRABENAZINE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
FLORBENAZINE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
LOBELANE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
LOBELINE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
MRK-560,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
RESERPINE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
TETRABENAZINE,SLC18A2,1,1,transporter,3,1,4,neuronal system;chemical synaptic transmission;dopaminergic synapse,1.4892,0.75,0.2978,0.25,0.4667,,,,,
MIANSERIN,ADRA2A;HTR2C,2,2,adrenergic;serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.521,0.75,0.1042,0.5,0.4615,,,,,
5-METHOXYTRYPTAMINE,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
CHLOROPHENYLPIPERAZINE,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
CYPROHEPTADINE,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
FANANSERIN,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
MEBUFOTENIN,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
MESCALINE,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
"N,N-DIMETHYLTRYPTAMINE",HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
PNU-22394,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
SUMATRIPTAN,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
VOLINANSERIN,HTR2A;HTR2C,2,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,1.2238,0.75,0.2448,0.25,0.4482,,,,,
"(R,S)-INDATRALINE",SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
ATOMOXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
CITALOPRAM,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
CLOMIPRAMINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
COCAINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
DASB,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
DIMETHYL PHTHALATE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
DULOXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
FLUOXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
HARMINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
INDALPINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
MAZINDOL,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
NEFAZODONE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
NISOXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
PAROXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
REBOXETINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
SERTRALINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
VANOXERINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
VENLAFAXINE,SLC6A4,1,1,transporter,2,1,3,neuronal system;chemical synaptic transmission,2.4325,0.5,0.4865,0.25,0.4328,,,,,
BUFOTENINE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
CINANSERIN,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
LORCASERIN,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
MESULERGINE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
METERGOLINE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
PIRENPERONE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
QUIPAZINE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
RIZATRIPTAN,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
RU-24969,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
TRYPTAMINE,HTR2C,1,1,serotonin,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.9748,0.75,0.195,0.25,0.4307,,,,,
A-119637,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
A-123189,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
AKUAMMIGINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
APRACLONIDINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
BRIMONIDINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
CGP-71683A,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
CLONIDINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,4,0.7155,tier_1_favorable,True,True
DABUZALGRON,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
DEXNIGULDIPINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
DISPYRIN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
DOXANTHRINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
DOXAZOSIN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
IDAZOXAN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
MIRTAZAPINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
MOXONIDINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
NIGULDIPINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
NOREPINEPHRINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
PHENTOLAMINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
PRAZOSIN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
RAUWOLFIA SERPENTINA,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
RAUWOLSCINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
TAMSULOSIN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
TERAZOSIN,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
YOHIMBINE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
YOHIMBINE HYDROCHLORIDE,ADRA2A,1,1,adrenergic,3,1,4,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.7317,0.75,0.1463,0.25,0.4137,,,,,
APROFENE,CHRM1;CHRM4,2,1,cholinergic,3,0,3,neuronal system;chemical synaptic transmission;modulation of synaptic transmission,0.5587,0.75,0.1117,0.25,0.4016,,,,,
