drug_a,drug_b,n_pathways_union,n_target_classes,target_classes,covered_pathways,complementarity,combo_score,ddi_severity,ddi_mechanism,ddi_recommendation,safety_score,adjusted_score,safety_a,safety_b,a_in_trials,b_in_trials
ARIPIPRAZOLE,SERTRALINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ARIPIPRAZOLE,VENLAFAXINE,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6433,unknown,,,0.525,0.3377,tier_1_favorable,,True,
ECOPIPAM,ATOMOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,CITALOPRAM,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,DULOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,FLUOXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,NEFAZODONE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,PAROXETINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,SERTRALINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ECOPIPAM,VENLAFAXINE,4,2,dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.6419,unknown,,,0.525,0.337,tier_1_favorable,,True,
ARIPIPRAZOLE,PIMAVANSERIN,4,2,dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4981,minor,No significant PK interaction; complementary 5-HT2A/D2 mechanisms,Dual-circuit combination: cortical (5-HT2A) + striatal (D2),0.675,0.3362,tier_1_favorable,,True,
RISPERIDONE,GUANFACINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5568,unknown,,,0.595,0.3313,tier_2_acceptable,tier_1_favorable,True,True
CLOZAPINE,CLONIDINE,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5947,unknown,,,0.525,0.3122,,tier_1_favorable,,True
CLOZAPINE,GUANFACINE,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5947,unknown,,,0.525,0.3122,,tier_1_favorable,,True
ARIPIPRAZOLE,ECOPIPAM,4,2,dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.4436,unknown,,,0.7,0.3105,tier_1_favorable,tier_1_favorable,True,True
ARIPIPRAZOLE,XANOMELINE,4,3,cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5214,unknown,,,0.595,0.3102,tier_1_favorable,tier_2_acceptable,True,False
ECOPIPAM,XANOMELINE,4,2,cholinergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5201,unknown,,,0.595,0.3095,tier_1_favorable,tier_2_acceptable,True,False
ECOPIPAM,RISPERIDONE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5146,unknown,,,0.595,0.3062,tier_1_favorable,tier_2_acceptable,True,True
KETANSERIN,CLONIDINE,4,4,adrenergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5828,unknown,,,0.525,0.306,,tier_1_favorable,,True
KETANSERIN,GUANFACINE,4,4,adrenergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5828,unknown,,,0.525,0.306,,tier_1_favorable,,True
CLONIDINE,GR-127935,4,4,adrenergic;cholinergic;dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5819,unknown,,,0.525,0.3055,tier_1_favorable,,True,
GUANFACINE,GR-127935,4,4,adrenergic;cholinergic;dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5819,unknown,,,0.525,0.3055,tier_1_favorable,,True,
RISPERIDONE,ATOMOXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
RISPERIDONE,CITALOPRAM,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
RISPERIDONE,DULOXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
RISPERIDONE,NEFAZODONE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
RISPERIDONE,SERTRALINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
RISPERIDONE,VENLAFAXINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7143,unknown,,,0.42,0.3,tier_2_acceptable,,True,
QUETIAPINE,CLONIDINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5592,unknown,,,0.525,0.2936,,tier_1_favorable,,True
QUETIAPINE,GUANFACINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5592,unknown,,,0.525,0.2936,,tier_1_favorable,,True
CLONIDINE,L-745870,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.558,unknown,,,0.525,0.293,tier_1_favorable,,True,
GUANFACINE,L-745870,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.558,unknown,,,0.525,0.293,tier_1_favorable,,True,
ZIPRASIDONE,CLONIDINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5568,unknown,,,0.525,0.2923,,tier_1_favorable,,True
ZIPRASIDONE,GUANFACINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5568,unknown,,,0.525,0.2923,,tier_1_favorable,,True
OLANZAPINE,CLONIDINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5555,unknown,,,0.525,0.2916,,tier_1_favorable,,True
OLANZAPINE,GUANFACINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5555,unknown,,,0.525,0.2916,,tier_1_favorable,,True
CLOZAPINE,ECOPIPAM,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5525,unknown,,,0.525,0.2901,,tier_1_favorable,,True
SEROTONIN,CLONIDINE,4,3,adrenergic;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5428,unknown,,,0.525,0.285,,tier_1_favorable,,True
SEROTONIN,GUANFACINE,4,3,adrenergic;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5428,unknown,,,0.525,0.285,,tier_1_favorable,,True
DOPAMINE,CLONIDINE,4,3,adrenergic;dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5419,unknown,,,0.525,0.2845,,tier_1_favorable,,True
DOPAMINE,GUANFACINE,4,3,adrenergic;dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5419,unknown,,,0.525,0.2845,,tier_1_favorable,,True
ARIPIPRAZOLE,RISPERIDONE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.4759,unknown,,,0.595,0.2832,tier_1_favorable,tier_2_acceptable,True,True
CLONIDINE,(R)-SKF-38393,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,A-86929,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,ALPHA-PHENYL-GAMMA-BUTYROLACTONE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,DIHYDREXIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,FENOLDOPAM,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,MAZAPERTINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,(R)-SKF-38393,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,A-86929,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,ALPHA-PHENYL-GAMMA-BUTYROLACTONE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,DIHYDREXIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,FENOLDOPAM,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
GUANFACINE,MAZAPERTINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5244,unknown,,,0.525,0.2753,tier_1_favorable,,True,
CLONIDINE,ISOCLOZAPINE,4,3,adrenergic;cholinergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5238,unknown,,,0.525,0.275,tier_1_favorable,,True,
GUANFACINE,ISOCLOZAPINE,4,3,adrenergic;cholinergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5238,unknown,,,0.525,0.275,tier_1_favorable,,True,
RISPERIDONE,XANOMELINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5524,unknown,,,0.49,0.2707,tier_2_acceptable,tier_2_acceptable,True,False
ARIPIPRAZOLE,CLOZAPINE,4,5,adrenergic;cholinergic;dopamine;histamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5138,unknown,,,0.525,0.2697,tier_1_favorable,,True,
ECOPIPAM,OLANZAPINE,4,4,adrenergic;cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5133,unknown,,,0.525,0.2695,tier_1_favorable,,True,
BUSPIRONE,CLONIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5028,unknown,,,0.525,0.264,,tier_1_favorable,,True
BUSPIRONE,GUANFACINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5028,unknown,,,0.525,0.264,,tier_1_favorable,,True
APOMORPHINE,CLONIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5022,unknown,,,0.525,0.2637,,tier_1_favorable,,True
APOMORPHINE,GUANFACINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5022,unknown,,,0.525,0.2637,,tier_1_favorable,,True
CLONIDINE,DESMETHYLOLANZAPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5022,unknown,,,0.525,0.2637,tier_1_favorable,,True,
GUANFACINE,DESMETHYLOLANZAPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.5022,unknown,,,0.525,0.2637,tier_1_favorable,,True,
ARIPIPRAZOLE,GR-127935,4,4,cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5011,unknown,,,0.525,0.2631,tier_1_favorable,,True,
ECOPIPAM,KETANSERIN,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5006,unknown,,,0.525,0.2628,tier_1_favorable,,True,
ECOPIPAM,SEROTONIN,4,3,dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.5006,unknown,,,0.525,0.2628,tier_1_favorable,,True,
ECOPIPAM,GR-127935,4,3,cholinergic;dopamine;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.4998,unknown,,,0.525,0.2624,tier_1_favorable,,True,
CLONIDINE,BP-897,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4957,unknown,,,0.525,0.2602,tier_1_favorable,,True,
GUANFACINE,BP-897,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4957,unknown,,,0.525,0.2602,tier_1_favorable,,True,
CLONIDINE,ABT-724,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4954,unknown,,,0.525,0.2601,tier_1_favorable,,True,
CLONIDINE,FAUC 113,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4954,unknown,,,0.525,0.2601,tier_1_favorable,,True,
GUANFACINE,ABT-724,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4954,unknown,,,0.525,0.2601,tier_1_favorable,,True,
GUANFACINE,FAUC 113,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4954,unknown,,,0.525,0.2601,tier_1_favorable,,True,
CLONIDINE,5-OH-DPAT,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,ABAPERIDONE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,CLEBOPRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,DIFLUOROBENZTROPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,IOXIPRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,LEVOSULPIRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,5-OH-DPAT,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,ABAPERIDONE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,CLEBOPRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,DIFLUOROBENZTROPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,IOXIPRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
GUANFACINE,LEVOSULPIRIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4908,unknown,,,0.525,0.2577,tier_1_favorable,,True,
CLONIDINE,LISURIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.489,unknown,,,0.525,0.2567,tier_1_favorable,,True,
GUANFACINE,LISURIDE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.489,unknown,,,0.525,0.2567,tier_1_favorable,,True,
BROMOCRIPTINE,CLONIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,,tier_1_favorable,,True
BROMOCRIPTINE,GUANFACINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,,tier_1_favorable,,True
ROPINIROLE,CLONIDINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,,tier_1_favorable,,True
ROPINIROLE,GUANFACINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,,tier_1_favorable,,True
CLONIDINE,8-OH-DPAT,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,tier_1_favorable,,True,
GUANFACINE,8-OH-DPAT,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4879,unknown,,,0.525,0.2561,tier_1_favorable,,True,
CLONIDINE,LOXAPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.484,unknown,,,0.525,0.2541,tier_1_favorable,,True,
GUANFACINE,LOXAPINE,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.484,unknown,,,0.525,0.2541,tier_1_favorable,,True,
CLONIDINE,CI-1007,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4821,unknown,,,0.525,0.2531,tier_1_favorable,,True,
GUANFACINE,CI-1007,4,2,adrenergic;dopamine,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,1,0.4821,unknown,,,0.525,0.2531,tier_1_favorable,,True,
ECOPIPAM,QUETIAPINE,4,3,cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.477,unknown,,,0.525,0.2504,tier_1_favorable,,True,
ECOPIPAM,L-745870,4,3,cholinergic;dopamine;serotonin,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,0,0.4759,unknown,,,0.525,0.2498,tier_1_favorable,,True,
OLANZAPINE,ATOMOXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,CITALOPRAM,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,DULOXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,FLUOXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,NEFAZODONE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,PAROXETINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,SERTRALINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
OLANZAPINE,VENLAFAXINE,4,5,adrenergic;cholinergic;dopamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.713,unknown,,,0.35,0.2495,,,,
CLOZAPINE,ATOMOXETINE,4,6,adrenergic;cholinergic;dopamine;histamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7122,unknown,,,0.35,0.2493,,,,
CLOZAPINE,CITALOPRAM,4,6,adrenergic;cholinergic;dopamine;histamine;serotonin;transporter,chemical synaptic transmission;modulation of synaptic transmission;neuronal system;dopaminergic synapse,2,0.7122,unknown,,,0.35,0.2493,,,,
