treatment_id,compound,compound_key,d,pvalue,n_mut,n_wt,median_sens_mut,median_sens_wt,qvalue
BRD:BRD-A65793993-001-01-6,,BRD-A65793993,-0.5168,0.0027459906067959423,31,347,0.1252,0.2004,0.3752257852911567
BRD:BRD-K68805147-001-01-8,,BRD-K68805147,-0.5138,0.02139371211144292,32,410,-0.1725,-0.0818,0.5502692648511895
BRD:BRD-K90472149-066-01-0,,BRD-K90472149,-0.5079,0.02137212492071513,31,347,-0.0786,-0.0391,0.5502692648511895
BRD:BRD-K49522529-001-03-7,,BRD-K49522529,-0.4993,0.010984187590584914,32,407,0.0041,0.2519,0.5073648553746365
BRD:BRD-K26531771-001-02-2,,BRD-K26531771,-0.4991,0.039455238277575466,27,387,-0.0679,0.5209,0.6408354951136063
BRD:BRD-K44400149-003-02-9,PhiKan-083,BRD-K44400149,-0.4984,0.012373207598274675,38,571,-0.1947,-0.0509,0.519539205931428
BRD:BRD-K85139301-001-01-3,,BRD-K85139301,-0.4974,0.03186078029419898,31,346,-0.1675,-0.0234,0.6068449351470518
BRD:BRD-K68693535-001-03-4,,BRD-K68693535,-0.4967,0.009058351357774847,32,409,-0.1102,0.1539,0.4908349797770115
BRD:BRD-K24844714-001-24-5,,BRD-K24844714,-0.4952,0.0044112956943174715,32,393,-0.5733,-0.3048,0.44450642870047036
BRD:BRD-A74914197-001-02-9,,BRD-A74914197,-0.4946,0.004708248271222998,31,404,-1.6222,-0.9912,0.4482223786654837
BRD:BRD-K54538117-001-01-7,,BRD-K54538117,-0.4926,0.013943009920151088,31,347,-0.0081,0.1071,0.5258261695600608
BRD:BRD-K13662825-001-07-5,,BRD-K13662825,-0.4915,0.002556521290570053,32,411,-4.6793,-3.9219,0.3693357353823544
BRD:BRD-K00091066-075-01-9,T-1101 (tosylate),BRD-K00091066,-0.4911,0.006214977290825352,38,561,-2.1035,-1.5154,0.4850539747667142
BRD:BRD-K24666289-001-04-9,,BRD-K24666289,-0.4901,0.015848560590485363,31,396,-2.1759,-1.8548,0.5353817234298289
BRD:BRD-K15916496-001-27-9,,BRD-K15916496,-0.4808,0.0368361819155394,32,409,-0.0938,-0.0067,0.6364317435280217
BRD:BRD-K29660062-300-01-2,,BRD-K29660062,-0.4806,0.01520629494445101,29,325,-0.362,-0.2362,0.5258261695600608
BRD:BRD-K85764479-003-01-0,,BRD-K85764479,-0.4801,0.025074225203881563,31,346,0.2397,0.3326,0.5687838788159891
BRD:BRD-K46647427-001-02-0,,BRD-K46647427,-0.4776,0.013765165741948799,31,346,0.1818,0.2497,0.5258261695600608
BRD:BRD-A36057565-001-01-0,,BRD-A36057565,-0.4742,0.0037965895006276708,31,404,-4.2831,-3.5788,0.4369295374451167
BRD:BRD-K75373031-001-01-7,,BRD-K75373031,-0.4742,0.019783654513725036,31,346,0.0011,0.086,0.5502692648511895
BRD:BRD-K03095347-001-06-1,,BRD-K03095347,-0.4742,0.027815092712342095,31,406,-0.3001,-0.1338,0.582023638630653
BRD:BRD-K82687598-001-01-6,,BRD-K82687598,-0.4725,0.018741232678513735,31,396,-0.0932,0.0895,0.5502692648511895
BRD:BRD-K89462779-001-02-9,CU-T12-9,BRD-K89462779,-0.4716,0.008623119933280144,38,571,-0.4637,-0.1728,0.4908349797770115
BRD:BRD-K99383816-001-03-5,,BRD-K99383816,-0.4715,0.026334009598137323,32,393,-0.3887,-0.2025,0.5767997586172658
BRD:BRD-K89561498-001-01-7,,BRD-K89561498,-0.4693,0.016461660840072962,32,407,-4.3077,-3.7284,0.5424595841198291
BRD:BRD-K18745919-001-01-3,,BRD-K18745919,-0.4675,0.026065816232616,31,346,0.1512,0.2159,0.5765045349168164
BRD:BRD-K75528696-001-01-2,,BRD-K75528696,-0.4615,0.008342683557877477,31,347,-0.2946,-0.0886,0.4908349797770115
BRD:BRD-K07656463-001-01-5,,BRD-K07656463,-0.4585,0.026739458198931317,31,346,-0.0881,-0.0216,0.5784920638297127
BRD:BRD-A48237631-001-04-8,,BRD-A48237631,-0.4579,0.019714118765215886,31,404,-2.7874,-2.0245,0.5502692648511895
BRD:BRD-K32372024-001-01-0,,BRD-K32372024,-0.4547,0.05018694004967113,27,383,-0.9212,-0.7713,0.6635203587479306
BRD:BRD-K88429204-001-35-1,,BRD-K88429204,-0.454,0.006178074333569536,32,408,-0.3373,0.1071,0.4850539747667142
BRD:BRD-A57382968-001-29-0,,BRD-A57382968,-0.4512,0.02936299247412328,32,410,-1.0325,-0.8056,0.582023638630653
BRD:BRD-K03549949-001-01-0,,BRD-K03549949,-0.4478,0.005551995170501185,32,410,-0.3805,-0.0717,0.4833082975346545
BRD:BRD-K41494493-001-13-8,,BRD-K41494493,-0.4455,0.02373104384631386,31,347,0.0495,0.1685,0.5561280166219288
BRD:BRD-K72827473-001-01-0,,BRD-K72827473,-0.4435,0.05627600140951937,32,409,-0.161,0.1576,0.6866904036392745
BRD:BRD-K87737963-001-06-0,,BRD-K87737963,-0.4389,0.01025538494279769,32,408,-0.0391,0.263,0.5004460265610573
BRD:BRD-A64064900-001-02-3,,BRD-A64064900,-0.4388,0.021890871414212684,31,401,-4.2974,-3.7341,0.5502692648511895
BRD:BRD-K27732927-001-03-6,,BRD-K27732927,-0.4375,0.006364260152633501,31,346,0.1032,0.1935,0.4908349797770115
BRD:BRD-K62304154-001-04-2,,BRD-K62304154,-0.4364,0.014153912721108882,32,393,-0.4489,-0.2051,0.5258261695600608
BRD:BRD-K94623186-001-01-5,,BRD-K94623186,-0.4356,0.007319444804033833,31,346,0.0589,0.1776,0.4908349797770115
BRD:BRD-K00071592-001-01-9,Pibrentasvir,BRD-K00071592,-0.4355,0.023334194982350797,38,561,-0.7323,-0.539,0.5559269611584629
BRD:BRD-K18518344-001-15-9,,BRD-K18518344,-0.4349,0.013712791544548925,31,408,-3.6903,-3.2868,0.5258261695600608
BRD:BRD-K42629487-001-09-9,SF-11,BRD-K42629487,-0.4343,0.0015118218793093556,38,571,-0.2673,-0.0854,0.28832948572936573
BRD:BRD-K02995728-003-01-9,,BRD-K02995728,-0.4333,0.030275837436554532,31,396,-0.202,-0.1005,0.5924292109343092
BRD:BRD-K59325863-001-03-6,,BRD-K59325863,-0.4333,0.03262425117552753,27,387,-4.5867,-3.82,0.6111060050122776
BRD:BRD-K13005598-001-02-3,,BRD-K13005598,-0.432,0.03618883061618064,31,346,-0.0729,-0.0243,0.6364317435280217
BRD:BRD-K95785537-001-23-1,,BRD-K95785537,-0.4318,0.055398237575673574,31,403,-0.3108,-0.0671,0.6866904036392745
BRD:BRD-A16350940-001-01-9,,BRD-A16350940,-0.4312,0.027425416802235317,32,407,-0.0844,0.0443,0.5819330627724306
BRD:BRD-K77185060-001-08-9,Metoprine,BRD-K77185060,-0.4306,0.00921300386503767,38,561,-2.4966,-2.1516,0.4908349797770115
BRD:BRD-K00003137-001-01-9,lotamilast,BRD-K00003137,-0.4288,0.002749139427911803,38,571,-0.4538,-0.195,0.3752257852911567
BRD:BRD-A64092382-003-18-3,,BRD-A64092382,-0.4278,0.021662460048287393,31,391,-0.2801,-0.2118,0.5502692648511895
BRD:BRD-K37890730-001-15-1,,BRD-K37890730,-0.4273,0.018179697301007988,31,401,-4.7525,-3.9484,0.5502692648511895
BRD:BRD-K70401845-003-09-6,,BRD-K70401845,-0.4263,0.003967607251541156,32,409,-0.3624,0.1047,0.4385749636258246
BRD:BRD-K00005342-001-01-9,trifloxystrobin,BRD-K00005342,-0.4254,0.013607185361686008,38,574,-0.9694,-0.6723,0.5258261695600608
BRD:BRD-K00003331-001-01-9,NIM811,BRD-K00003331,-0.4243,0.02579332652639479,38,571,-0.2751,-0.1113,0.5742186462761332
BRD:BRD-K62858456-001-01-8,,BRD-K62858456,-0.4226,0.07522861617158691,32,407,-0.0043,0.1889,0.7186517827439032
BRD:BRD-K69001009-001-02-8,,BRD-K69001009,-0.4225,0.039088918938037225,31,406,-0.1004,0.1254,0.6408354951136063
BRD:BRD-K96155658-001-02-9,exo-IWR-1,BRD-K96155658,-0.4222,0.009245599032720424,38,571,-0.2741,-0.2289,0.4908349797770115
BRD:BRD-K87492696-001-16-5,,BRD-K87492696,-0.4215,0.02688625065145612,32,408,0.0187,0.2171,0.5784920638297127
BRD:BRD-A94756469-001-04-7,,BRD-A94756469,-0.4196,0.052906025862887514,32,411,-4.4154,-3.4738,0.6752479616710643
BRD:BRD-K91740057-001-19-8,,BRD-K91740057,-0.4189,0.029181396016456473,32,408,0.0242,0.0766,0.582023638630653
BRD:BRD-K52256627-300-06-6,,BRD-K52256627,-0.4179,0.03957184179218466,32,407,-0.0486,0.2595,0.6408354951136063
BRD:BRD-K38793468-001-01-4,,BRD-K38793468,-0.4174,0.03281834974973213,31,347,0.0793,0.1709,0.6111060050122776
BRD:BRD-K56957086-001-06-3,,BRD-K56957086,-0.4174,0.0195932934982915,32,410,-4.5389,-4.0087,0.5502692648511895
BRD:BRD-K65814004-003-02-9,,BRD-K65814004,-0.4173,0.027334450484119775,31,406,-2.1778,-1.6533,0.5818210620287564
BRD:BRD-K41262162-303-11-9,DHBP,BRD-K41262162,-0.4166,0.011870461914250412,38,573,-1.5862,-1.2175,0.519539205931428
BRD:BRD-K99919177-001-01-3,,BRD-K99919177,-0.4165,0.028732022939952355,31,396,-2.7312,-2.4792,0.582023638630653
BRD:BRD-K00003135-001-01-9,alisporivir,BRD-K00003135,-0.4155,0.004757222727980446,38,571,-0.354,-0.1515,0.4482223786654837
BRD:BRD-K72414522-001-06-7,,BRD-K72414522,-0.415,0.029401194116393806,32,409,-3.6882,-2.8517,0.582023638630653
BRD:BRD-K69650333-003-14-0,,BRD-K69650333,-0.4146,0.007991943423540274,31,406,-4.586,-4.1494,0.4908349797770115
BRD:BRD-K41933240-001-02-4,,BRD-K41933240,-0.4123,0.03575876026023196,31,347,0.2195,0.3689,0.6364317435280217
BRD:BRD-A42270467-001-04-4,,BRD-A42270467,-0.4123,0.010069636500491131,32,407,0.164,0.2626,0.5004460265610573
BRD:BRD-K09877029-001-01-2,,BRD-K09877029,-0.412,0.027973269951649705,32,408,-0.6477,-0.3552,0.582023638630653
BRD:BRD-K81916719-001-13-9,,BRD-K81916719,-0.4118,0.11324550285452097,32,393,-0.9505,-0.8365,0.7684028456719467
BRD:BRD-K15858023-001-01-0,,BRD-K15858023,-0.4098,0.03339863654092715,31,346,-1.6127,-1.3478,0.613248318385892
BRD:BRD-A62133859-001-03-7,,BRD-A62133859,-0.4096,0.06895867452372932,31,347,-0.0609,-0.0197,0.7186517827439032
BRD:BRD-K36804890-001-01-9,,BRD-K36804890,-0.4073,0.015557197242769669,31,346,0.0516,0.1203,0.5308209511477691
BRD:BRD-K11927976-050-02-9,,BRD-K11927976,-0.4069,0.035884222769589434,31,401,-4.6277,-3.9661,0.6364317435280217
BRD:BRD-K46211610-003-26-7,,BRD-K46211610,-0.4059,0.02000994929304909,32,407,0.0906,0.1817,0.5502692648511895
BRD:BRD-K95053546-001-01-9,,BRD-K95053546,-0.4058,0.02049388868711855,32,411,-1.3247,-1.0675,0.5502692648511895
BRD:BRD-K86687746-001-01-3,,BRD-K86687746,-0.4054,0.03285032280257457,31,401,-4.6212,-3.8631,0.6111060050122776
BRD:BRD-K25970317-001-01-6,,BRD-K25970317,-0.4048,0.05167849856470712,31,395,-1.0227,-0.7608,0.6709311763945723
BRD:BRD-K96843359-001-02-6,,BRD-K96843359,-0.4043,0.04935255912346493,31,346,0.1703,0.2626,0.6635203587479306
BRD:BRD-K21782625-001-03-2,,BRD-K21782625,-0.4032,0.07791084821826795,27,387,0.1034,0.3137,0.7186517827439032
BRD:BRD-K22149900-001-03-9,,BRD-K22149900,-0.4029,0.051535042932092906,31,396,-3.0184,-2.5934,0.6703504626607487
BRD:BRD-K00004670-001-01-9,naxagolide,BRD-K00004670,-0.4023,0.009122507036630647,38,571,-0.1967,0.0229,0.4908349797770115
BRD:BRD-K71686520-001-02-9,ICA-110381,BRD-K71686520,-0.4016,0.022345187631439552,38,573,-0.1023,-0.0254,0.5502692648511895
BRD:BRD-A11815689-001-01-1,,BRD-A11815689,-0.4003,0.025435385702737807,32,407,-4.2,-3.6099,0.5737749798059458
BRD:BRD-K68552125-001-05-3,,BRD-K68552125,-0.3998,0.03324019078119369,32,409,-0.028,0.2184,0.613248318385892
BRD:BRD-K00003368-001-01-9,BFH772,BRD-K00003368,-0.3982,0.05013084967340397,38,574,-0.7383,-0.5766,0.6635203587479306
BRD:BRD-K10226125-245-01-5,,BRD-K10226125,-0.398,0.06282971762327673,31,347,-3.2892,-2.6153,0.7166014714329062
BRD:BRD-K36154108-001-01-7,AVE-0991,BRD-K36154108,-0.3969,0.009526888522863647,38,571,-0.2232,-0.0158,0.49379826771178753
BRD:BRD-K37379014-001-01-2,,BRD-K37379014,-0.3964,0.01884672874834399,31,406,-3.7024,-3.188,0.5502692648511895
BRD:BRD-K90727284-001-05-0,,BRD-K90727284,-0.3962,0.03175417282047394,31,346,0.1624,0.2479,0.6068449351470518
BRD:BRD-K20152659-001-04-6,,BRD-K20152659,-0.3955,0.04017943449112624,32,407,0.0258,0.185,0.6408354951136063
BRD:BRD-K21070437-001-01-4,,BRD-K21070437,-0.3932,0.010798976073847012,31,347,0.0751,0.1769,0.5056899830442843
BRD:BRD-A88684804-001-04-3,,BRD-A88684804,-0.3915,0.014127464874433003,32,408,-0.018,0.1883,0.5258261695600608
BRD:BRD-K78092779-001-01-6,,BRD-K78092779,-0.391,0.04696833639252281,31,346,0.1427,0.2856,0.6580661876711204
BRD:BRD-K00003297-001-01-9,AZD5069,BRD-K00003297,-0.3904,0.040690435636253075,38,573,-0.0026,0.0997,0.6408354951136063
BRD:BRD-A29148886-003-02-9,RP-001,BRD-A29148886,-0.39,0.06928594421926494,38,573,-0.3644,-0.152,0.7186517827439032
BRD:BRD-K00091070-001-01-9,VX-984,BRD-K00091070,-0.3897,0.007982225616268893,38,561,-0.6367,-0.4343,0.4908349797770115
BRD:BRD-K75911534-001-01-6,,BRD-K75911534,-0.3891,0.0912128791313279,31,404,0.1799,0.2726,0.7401041101880866
BRD:BRD-K56405753-001-02-4,,BRD-K56405753,-0.3853,0.11010279041734027,32,410,-0.0529,0.0099,0.7636566434510998
BRD:BRD-K76244476-362-02-5,,BRD-K76244476,-0.3851,0.07546239381996907,31,346,-0.0134,0.1736,0.7186517827439032
BRD:BRD-K76703230-004-03-3,,BRD-K76703230,-0.3842,0.02050765229839693,31,408,-4.1607,-3.5212,0.5502692648511895
BRD:BRD-K20285085-074-04-5,,BRD-K20285085,-0.3837,0.018779296278727868,27,387,-0.1046,0.064,0.5502692648511895
BRD:BRD-K14560436-001-01-4,,BRD-K14560436,-0.3836,0.025715449570879456,32,408,-2.9257,-2.2326,0.5742186462761332
BRD:BRD-A45107007-001-03-4,,BRD-A45107007,-0.3836,0.0069337031458059995,31,408,-0.4421,-0.2469,0.4908349797770115
BRD:BRD-K39009484-001-01-4,,BRD-K39009484,-0.3823,0.0403225494697066,31,395,-0.0186,0.0375,0.6408354951136063
BRD:BRD-K56558538-003-11-9,,BRD-K56558538,-0.3821,0.020491857954637552,32,410,-0.148,-0.0199,0.5502692648511895
BRD:BRD-K13810148-311-03-2,,BRD-K13810148,-0.3791,0.050251932511129194,32,410,-3.5451,-2.9528,0.6635203587479306
BRD:BRD-A67748489-001-10-0,,BRD-A67748489,-0.3791,0.056818991501845405,31,408,-2.0926,-1.5525,0.6866904036392745
BRD:BRD-K77008974-001-03-2,,BRD-K77008974,-0.3788,0.010340597172663087,31,406,0.0461,0.3066,0.5004460265610573
BRD:BRD-K92000912-001-12-6,,BRD-K92000912,-0.3781,0.03710678074665412,32,407,-1.2944,-0.9869,0.6378608639741303
BRD:BRD-K11267252-001-04-4,,BRD-K11267252,-0.3779,0.042383491535737707,32,393,-0.4413,-0.1998,0.6408354951136063
BRD:BRD-A29426959-050-13-2,,BRD-A29426959,-0.3768,0.042055848659045124,32,407,0.1934,0.2322,0.6408354951136063
BRD:BRD-K13800121-001-01-5,,BRD-K13800121,-0.3767,0.02692245834612507,31,406,-0.4454,-0.2911,0.5784920638297127
BRD:BRD-K45528773-001-07-2,,BRD-K45528773,-0.3764,0.03981203672596706,27,387,-4.0537,-3.4733,0.6408354951136063
BRD:BRD-K03399463-001-01-6,,BRD-K03399463,-0.3764,0.053257825727374364,31,347,0.0419,0.1263,0.6759264237175175
BRD:BRD-K76973696-001-12-6,,BRD-K76973696,-0.3754,0.0783147359359065,31,406,-0.2154,-0.0533,0.7186517827439032
BRD:BRD-K92150287-066-01-2,,BRD-K92150287,-0.3752,0.04101125361316857,31,408,-4.2848,-3.7542,0.6408354951136063
BRD:BRD-K29415052-050-04-8,,BRD-K29415052,-0.3749,0.032846480279663186,32,410,-4.4651,-4.0611,0.6111060050122776
BRD:BRD-K37289225-001-36-4,,BRD-K37289225,-0.3746,0.06302247371954042,31,401,-0.3633,-0.2408,0.7166014714329062
BRD:BRD-A66419424-001-02-4,,BRD-A66419424,-0.3746,0.02621412383460685,31,404,-4.4941,-4.2194,0.5767997586172658
BRD:BRD-K77432251-001-01-2,,BRD-K77432251,-0.3746,0.01961238622604726,31,396,-0.1994,-0.09,0.5502692648511895
BRD:BRD-K90195324-003-02-5,,BRD-K90195324,-0.3745,0.10942034442029007,32,408,0.0606,0.1598,0.761471656896866
BRD:BRD-K00004626-001-01-9,CGP-39551,BRD-K00004626,-0.3741,0.042935991406479,38,571,-0.0134,0.1352,0.6408354951136063
BRD:BRD-K56077740-001-09-2,,BRD-K56077740,-0.374,0.00857427723842039,32,410,-0.1393,0.0218,0.4908349797770115
BRD:BRD-K50199947-001-07-9,WH-4-023,BRD-K50199947,-0.3737,0.029667289917636036,38,571,-0.2539,-0.0658,0.5855840073858973
BRD:BRD-K26756394-001-02-2,,BRD-K26756394,-0.3732,0.10463371614858138,32,408,-0.1758,-0.0373,0.756951946836023
BRD:BRD-K53665955-001-03-0,,BRD-K53665955,-0.3728,0.023938429276366514,32,407,-1.1554,-0.5361,0.5561280166219288
BRD:BRD-A14344385-001-03-2,,BRD-A14344385,-0.3722,0.03069431700060899,32,407,-2.3154,-2.0147,0.5971759668599858
BRD:BRD-K41104902-001-01-3,,BRD-K41104902,-0.3722,0.036673270927078186,32,410,-0.0713,0.0751,0.6364317435280217
BRD:BRD-K71467466-001-02-3,,BRD-K71467466,-0.371,0.010727847524842692,32,410,-4.1477,-3.818,0.5056899830442843
BRD:BRD-K45293975-001-02-0,,BRD-K45293975,-0.3703,0.07157876289071696,31,401,-4.1766,-3.4943,0.7186517827439032
BRD:BRD-K16183658-001-01-4,,BRD-K16183658,-0.37,0.07112699675754161,31,347,-0.2581,-0.1242,0.7186517827439032
BRD:BRD-K05419687-001-01-0,,BRD-K05419687,-0.3693,0.09537303874553547,31,346,0.1901,0.2581,0.7530097492287086
BRD:BRD-K92049597-001-20-8,,BRD-K92049597,-0.3691,0.08931400851661654,32,408,0.1784,0.2437,0.7401041101880866
BRD:BRD-A43882281-001-15-5,,BRD-A43882281,-0.3679,0.008487659570008351,31,401,-0.2349,-0.0948,0.4908349797770115
BRD:BRD-K00091105-001-01-9,N-Acetylcysteine amide,BRD-K00091105,-0.3678,0.033383047952361,38,561,-0.0901,0.0505,0.613248318385892
BRD:BRD-K77685957-300-09-1,,BRD-K77685957,-0.3672,0.027333507695401334,31,401,-1.6644,-1.229,0.5818210620287564
BRD:BRD-K82225283-001-03-1,,BRD-K82225283,-0.3668,0.08567964060055087,32,393,-0.0337,0.0449,0.7315647710850073
BRD:BRD-K53328210-001-04-4,,BRD-K53328210,-0.3664,0.048188698251234556,31,346,-0.0358,0.0434,0.6581091613820417
BRD:BRD-A29944538-003-08-3,,BRD-A29944538,-0.366,0.01433126541767712,32,407,-0.4284,-0.3612,0.5258261695600608
BRD:BRD-K94883909-001-17-7,SU9516,BRD-K94883909,-0.3659,0.07193980030288258,38,571,-0.6305,-0.4473,0.7186517827439032
BRD:BRD-K47409078-001-02-6,,BRD-K47409078,-0.3658,0.08278200677441695,31,346,0.026,0.1002,0.7215530500619911
BRD:BRD-K93779381-001-01-9,,BRD-K93779381,-0.3651,0.04149012316304884,32,411,-1.1268,-0.8158,0.6408354951136063
BRD:BRD-K13183738-317-10-2,,BRD-K13183738,-0.365,0.045044429481765576,32,407,-1.0426,-0.7435,0.6507482471940176
BRD:BRD-K34022604-001-06-6,,BRD-K34022604,-0.3643,0.04829800628588963,32,409,-2.631,-2.1036,0.6581091613820417
BRD:BRD-K00003444-001-01-9,BT-11,BRD-K00003444,-0.3637,0.007596978562053011,38,571,-0.3266,-0.1996,0.4908349797770115
BRD:BRD-K00004548-001-01-9,NS-11394,BRD-K00004548,-0.3627,0.035153007121420214,38,574,-0.0793,0.07,0.6314521649588446
BRD:BRD-K07220430-001-18-4,,BRD-K07220430,-0.3622,0.08093948871863467,32,407,-0.6351,-0.6156,0.7192920099043585
BRD:BRD-K00535541-001-05-5,,BRD-K00535541,-0.3611,0.10246941020976873,32,393,-1.0215,-0.7517,0.756951946836023
BRD:BRD-K08111240-001-02-8,,BRD-K08111240,-0.3606,0.04303023845325554,31,406,-0.0801,0.0236,0.6408354951136063
BRD:BRD-K77841042-001-14-1,,BRD-K77841042,-0.3606,0.05042815739512424,31,404,-4.2052,-3.8021,0.663579823087003
BRD:BRD-K42828737-044-09-0,,BRD-K42828737,-0.3601,0.09007849061713956,31,408,-0.1207,0.0014,0.7401041101880866
BRD:BRD-K34675210-003-01-4,,BRD-K34675210,-0.3599,0.052645817256631,31,346,-0.0268,0.0517,0.6747340075836203
BRD:BRD-K08398903-001-01-1,,BRD-K08398903,-0.3593,0.07443622585914729,31,347,0.157,0.1739,0.7186517827439032
BRD:BRD-A19609491-001-01-8,,BRD-A19609491,-0.359,0.048364723347516764,31,346,0.0515,0.1079,0.6581091613820417
BRD:BRD-K00003165-300-01-9,sardomozide,BRD-K00003165,-0.3572,0.016246805899015015,38,571,-3.0321,-2.7079,0.5407637845799605
BRD:BRD-K74558903-300-01-5,,BRD-K74558903,-0.3564,0.12060597661051231,31,347,-0.4657,-0.1037,0.7813312245523782
BRD:BRD-A72716251-001-01-5,,BRD-A72716251,-0.3563,0.04879310522767667,31,406,-3.8556,-3.6227,0.6603891485436749
BRD:BRD-K93034159-001-25-8,,BRD-K93034159,-0.356,0.05301774767973982,32,409,-3.4215,-2.6947,0.6754043278525954
BRD:BRD-K88154110-001-01-0,,BRD-K88154110,-0.3558,0.011908292355404648,31,346,-0.1463,-0.0274,0.519539205931428
BRD:BRD-K09372874-001-01-0,,BRD-K09372874,-0.3543,0.061045113834178266,32,393,-0.9732,-0.6781,0.7062703150467996
BRD:BRD-K00141480-001-15-4,,BRD-K00141480,-0.3543,0.09175079291451228,31,347,-0.7365,-0.4903,0.7425362144094617
BRD:BRD-K22861715-001-17-4,,BRD-K22861715,-0.3541,0.07630813040787517,32,392,-0.2,-0.1863,0.7186517827439032
BRD:BRD-K21894922-001-01-9,,BRD-K21894922,-0.354,0.07121578254795904,31,346,0.1215,0.2317,0.7186517827439032
BRD:BRD-A29700858-304-02-6,,BRD-A29700858,-0.3535,0.09078749789612944,32,411,0.2208,0.297,0.7401041101880866
BRD:BRD-K25837718-001-03-8,,BRD-K25837718,-0.3531,0.043112826874230896,31,401,-0.6935,-0.4658,0.6408354951136063
BRD:BRD-K71281111-001-04-3,,BRD-K71281111,-0.353,0.07253012246098045,32,409,-3.7491,-3.1304,0.7186517827439032
BRD:BRD-A59747053-003-01-3,,BRD-A59747053,-0.3528,0.02988934733566165,31,347,-0.0548,0.0374,0.5882570098815728
BRD:BRD-K10115470-001-01-8,,BRD-K10115470,-0.3527,0.07053198352302988,31,347,-0.1052,-0.0219,0.7186517827439032
BRD:BRD-K19085898-001-01-8,,BRD-K19085898,-0.3526,0.010280280113720805,31,406,-0.3681,-0.1746,0.5004460265610573
BRD:BRD-K25630527-001-03-8,,BRD-K25630527,-0.3519,0.06857981666590526,32,411,-0.9505,-0.6863,0.7186517827439032
BRD:BRD-K50564936-001-01-6,,BRD-K50564936,-0.3513,0.05321640435697129,31,404,0.0152,0.0964,0.6759264237175175
