treatment_id,compound,compound_key,d,pvalue,n_kl,n_wt,qvalue
BRD:BRD-A04506385-001-01-2,,BRD-A04506385,0.1702,0.7044610480764473,4,403,0.9740153160263592
BRD:BRD-A04553218-050-16-2,,BRD-A04553218,0.2784,0.5629785486566978,5,407,0.9511381799897931
BRD:BRD-A04649065-001-01-7,,BRD-A04649065,-0.1586,0.37210562975185923,5,347,0.9356819309855848
BRD:BRD-A04661934-001-02-9,,BRD-A04661934,-0.1662,0.7791950189029696,5,410,0.9800852578762286
BRD:BRD-A04843135-001-09-9,Oxamniquine,BRD-A04843135,0.5848,0.6047014460990885,6,561,0.9561771988502082
BRD:BRD-A04971881-003-01-3,,BRD-A04971881,-0.106,0.7947672067821058,5,395,0.9824310956894927
BRD:BRD-A05186015-003-19-8,,BRD-A05186015,-0.7099,0.19972618104495315,5,407,0.9292220147271063
BRD:BRD-A05334458-001-02-8,,BRD-A05334458,-0.8144,0.19719750030627176,5,407,0.928454401313377
BRD:BRD-A05457250-001-08-4,,BRD-A05457250,-0.2526,0.46460056572438246,5,409,0.9434873665100119
BRD:BRD-A05515753-001-03-2,,BRD-A05515753,-0.1162,0.42324814313893105,5,407,0.9408575896975035
BRD:BRD-A05523972-001-01-5,,BRD-A05523972,0.112,0.6692894155307983,5,407,0.9646026689303955
BRD:BRD-A05674712-001-06-0,,BRD-A05674712,-0.4843,0.24730335270082246,4,387,0.930099219237979
BRD:BRD-A05729358-001-02-0,,BRD-A05729358,-0.135,0.5921434135127378,5,407,0.9545983563691878
BRD:BRD-A05906449-004-01-1,,BRD-A05906449,0.3915,0.38260716718681753,4,408,0.9371420518042609
BRD:BRD-A06352418-001-25-9,,BRD-A06352418,0.5373,0.10967056678939839,5,393,0.9269899137089833
BRD:BRD-A06352508-001-03-7,,BRD-A06352508,0.35,0.29107581720743375,5,408,0.9304292892047283
BRD:BRD-A06390036-001-04-6,,BRD-A06390036,0.4056,0.2887158864790836,5,408,0.9304292892047283
BRD:BRD-A06426627-001-03-5,,BRD-A06426627,-0.0953,0.75347266149111,4,408,0.9800852578762286
BRD:BRD-A06627858-236-03-0,,BRD-A06627858,0.2776,0.31248509928356116,5,408,0.9304292892047283
BRD:BRD-A06771424-004-01-7,,BRD-A06771424,0.4677,0.07344858293405394,4,401,0.9269899137089833
BRD:BRD-A06784547-001-03-9,MRS-1334,BRD-A06784547,-0.016,0.9658633308673606,6,571,0.9936426202904622
BRD:BRD-A06916187-001-02-9,,BRD-A06916187,-0.1062,0.7439775526257347,5,407,0.9770260133587234
BRD:BRD-A06935312-001-04-3,,BRD-A06935312,0.4253,0.45294104668858604,5,407,0.9434873665100119
BRD:BRD-A07000685-001-04-4,,BRD-A07000685,0.0568,0.7376833669894378,5,407,0.9765062919614045
BRD:BRD-A07164067-001-01-2,,BRD-A07164067,-0.3435,0.47063313199939366,5,408,0.9434873665100119
BRD:BRD-A07207424-001-13-2,,BRD-A07207424,-0.5643,0.2850325170836866,5,410,0.9304292892047283
BRD:BRD-A07232941-001-02-7,,BRD-A07232941,0.0577,0.8868172340614425,5,407,0.9902942141782619
BRD:BRD-A07395371-003-10-0,,BRD-A07395371,-0.1629,0.7360690958494844,5,407,0.9765062919614045
BRD:BRD-A07440155-003-25-4,,BRD-A07440155,-0.3644,0.5482821776403298,5,407,0.9505884227759732
BRD:BRD-A07563059-035-01-3,,BRD-A07563059,-0.2949,0.5401168740794544,5,405,0.9484438093664831
BRD:BRD-A07600638-060-05-2,,BRD-A07600638,-0.8195,0.13212125315510814,5,393,0.9269899137089833
BRD:BRD-A07704283-001-01-3,,BRD-A07704283,-0.609,0.16022693657675888,5,405,0.9269899137089833
BRD:BRD-A07780951-001-08-9,,BRD-A07780951,-0.1223,0.8058021246955664,5,407,0.9852842392336087
BRD:BRD-A07780951-065-10-0,,BRD-A07780951,0.953,0.28792211372008425,4,386,0.9304292892047283
BRD:BRD-A07815743-001-01-1,,BRD-A07815743,-0.327,0.4844418160986585,5,407,0.9435015442903811
BRD:BRD-A07870296-001-07-4,,BRD-A07870296,0.1254,0.8040668301582203,4,408,0.9850562310961177
BRD:BRD-A07893380-213-01-7,,BRD-A07893380,0.1678,0.7749890693956122,4,387,0.9800852578762286
BRD:BRD-A07932845-050-15-8,,BRD-A07932845,-0.137,0.18408448407077105,5,410,0.9283803268725414
BRD:BRD-A07947329-001-01-4,,BRD-A07947329,0.7804,0.19201708126822664,5,410,0.9283803268725414
BRD:BRD-A07986123-001-02-8,,BRD-A07986123,0.3184,0.15141259403583696,4,391,0.9269899137089833
BRD:BRD-A08079565-001-01-8,,BRD-A08079565,-0.0729,0.8890789207295888,4,401,0.9902942141782619
BRD:BRD-A08187463-001-12-9,,BRD-A08187463,-0.221,0.18783133431741275,5,393,0.9283803268725414
BRD:BRD-A08255417-001-14-7,,BRD-A08255417,-0.3902,0.32131852155844054,5,408,0.9304292892047283
BRD:BRD-A08302182-001-01-7,,BRD-A08302182,1.1698,0.2720182834254962,4,406,0.9304292892047283
BRD:BRD-A08316590-001-01-3,,BRD-A08316590,0.1851,0.41118613421628664,5,396,0.9371420518042609
BRD:BRD-A08545410-003-07-8,,BRD-A08545410,-0.2129,0.727348874869684,4,387,0.9765062919614045
BRD:BRD-A08545410-003-08-6,,BRD-A08545410,-0.0787,0.8213320326318659,5,411,0.9858345094976283
BRD:BRD-A08545410-311-01-8,,BRD-A08545410,0.2859,0.5178715199796183,5,393,0.946625316402665
BRD:BRD-A08545410-311-03-4,,BRD-A08545410,0.2645,0.7664303826530532,4,387,0.9800852578762286
BRD:BRD-A08641215-065-05-5,polymyxin-B-sulfate,BRD-A08641215,-0.5444,0.47195787925847854,6,571,0.9434873665100119
BRD:BRD-A08660406-001-05-9,,BRD-A08660406,0.2293,0.3996726641182693,4,377,0.9371420518042609
BRD:BRD-A08715367-001-01-7,,BRD-A08715367,0.4281,0.3814749145534773,4,406,0.9371420518042609
BRD:BRD-A08772153-001-02-4,,BRD-A08772153,0.3548,0.34991524090828685,5,396,0.9331356509660925
BRD:BRD-A08840375-001-01-3,,BRD-A08840375,0.2845,0.7659752554921361,4,401,0.9800852578762286
BRD:BRD-A09004963-001-01-3,,BRD-A09004963,-0.6517,0.20425146946275397,5,346,0.930099219237979
BRD:BRD-A09056319-003-07-7,,BRD-A09056319,0.1357,0.8183294104238579,5,408,0.9858345094976283
BRD:BRD-A09062839-003-10-0,,BRD-A09062839,-0.0475,0.8903491061820824,5,409,0.9902942141782619
BRD:BRD-A09094913-065-01-0,,BRD-A09094913,0.0907,0.8840836974846645,5,407,0.9902942141782619
BRD:BRD-A09349126-001-10-7,,BRD-A09349126,-0.3327,0.23524828286863042,5,392,0.930099219237979
BRD:BRD-A09368919-001-01-7,,BRD-A09368919,0.4639,0.32536116960002226,5,347,0.9304292892047283
BRD:BRD-A09370961-001-01-0,,BRD-A09370961,0.2532,0.3018675426206985,5,393,0.9304292892047283
BRD:BRD-A09467419-003-22-4,,BRD-A09467419,-0.1363,0.8272835671595755,5,393,0.9861667732013165
BRD:BRD-A09472452-015-23-4,,BRD-A09472452,0.343,0.09984020911448832,5,393,0.9269899137089833
BRD:BRD-A09487507-001-03-9,P7C3,BRD-A09487507,-0.5438,0.12491800791266007,6,570,0.9269899137089833
BRD:BRD-A09533288-003-31-2,,BRD-A09533288,-0.1785,0.6096286067765656,5,392,0.95715426905477
BRD:BRD-A09554849-236-07-6,,BRD-A09554849,0.1897,0.48404907946205106,5,407,0.9435015442903811
BRD:BRD-A09722536-002-18-0,,BRD-A09722536,0.3544,0.37318624698514585,5,407,0.9356819309855848
BRD:BRD-A09735281-001-02-5,,BRD-A09735281,0.1581,0.6697916205749247,5,409,0.9646026689303955
BRD:BRD-A09828896-004-11-0,,BRD-A09828896,-0.5053,0.4343037648736928,5,409,0.9421697552265623
BRD:BRD-A09911125-001-01-4,,BRD-A09911125,-0.0038,0.9823713159667924,5,395,0.995473078794708
BRD:BRD-A09925278-003-05-6,,BRD-A09925278,0.2575,0.5910447857865937,5,410,0.9545983563691878
BRD:BRD-A10039652-001-01-2,,BRD-A10039652,-0.3272,0.2666856591115742,5,383,0.9301908590650663
BRD:BRD-A10070317-003-28-3,,BRD-A10070317,0.2347,0.6594505999636914,5,393,0.962929064004703
BRD:BRD-A10111329-001-04-6,,BRD-A10111329,0.255,0.5360456577844255,5,407,0.9484438093664831
BRD:BRD-A10188456-001-04-9,,BRD-A10188456,0.034,0.9378806030548243,5,396,0.992824554053612
BRD:BRD-A10420615-001-04-4,,BRD-A10420615,0.0576,0.8706847211084018,4,408,0.9898877203020311
BRD:BRD-A10523515-001-07-9,,BRD-A10523515,-0.1865,0.5873537145914243,5,407,0.9545983563691878
BRD:BRD-A10652366-238-04-1,,BRD-A10652366,-0.3858,0.6911151975030214,4,387,0.9723364401554815
BRD:BRD-A10662413-043-11-2,,BRD-A10662413,-0.6275,0.23063002622571369,4,408,0.930099219237979
BRD:BRD-A10739734-003-10-6,,BRD-A10739734,0.1862,0.6136087734593308,5,408,0.9573537107338497
BRD:BRD-A10773072-001-03-4,,BRD-A10773072,0.2889,0.2077176875608734,5,395,0.930099219237979
BRD:BRD-A10903566-003-07-7,,BRD-A10903566,0.1388,0.7697463184500217,5,393,0.9800852578762286
BRD:BRD-A10967948-003-06-3,,BRD-A10967948,0.7832,0.03207930555172537,5,393,0.8771638233249642
BRD:BRD-A10977446-001-12-1,,BRD-A10977446,0.254,0.6281074828179215,5,393,0.9575059753103813
BRD:BRD-A11070335-236-02-1,,BRD-A11070335,0.0092,0.9827181218204607,5,410,0.995473078794708
BRD:BRD-A11132253-001-08-2,,BRD-A11132253,0.1542,0.5248232436721286,5,391,0.9468695981209869
BRD:BRD-A11551002-001-04-6,,BRD-A11551002,0.8169,0.1024528591206033,5,393,0.9269899137089833
BRD:BRD-A11662333-001-03-3,,BRD-A11662333,0.22,0.8323442087225852,4,386,0.9861667732013165
BRD:BRD-A11725667-001-01-8,,BRD-A11725667,-0.8559,0.03873105089542002,5,347,0.8771638233249642
BRD:BRD-A11731518-001-01-7,,BRD-A11731518,-0.2136,0.667735794387305,4,406,0.9646026689303955
BRD:BRD-A11776908-065-01-5,,BRD-A11776908,-0.0556,0.9049602203479259,5,408,0.9913233755158685
BRD:BRD-A11813248-003-02-4,,BRD-A11813248,-0.3007,0.32576516681222156,5,408,0.9304292892047283
BRD:BRD-A11815689-001-01-1,,BRD-A11815689,-0.2562,0.6750014614939432,5,407,0.9658587518835338
BRD:BRD-A11990600-001-03-4,,BRD-A11990600,0.4327,0.47723634678563276,5,393,0.9434873665100119
BRD:BRD-A12077521-003-01-5,,BRD-A12077521,0.0741,0.9517208276137452,5,393,0.9936426202904622
BRD:BRD-A12147465-003-02-9,TC-A-2317,BRD-A12147465,0.8555,0.012888355669491196,6,573,0.7292661249653769
BRD:BRD-A12230535-001-06-7,,BRD-A12230535,-0.3688,0.2786839494731534,5,393,0.9304292892047283
BRD:BRD-A12237696-001-04-2,,BRD-A12237696,-0.1423,0.7875674531472762,5,393,0.9811615639153047
BRD:BRD-A12417644-001-07-6,,BRD-A12417644,-0.8519,0.1520903098485257,4,387,0.9269899137089833
BRD:BRD-A12454076-001-01-9,,BRD-A12454076,-0.2644,0.7310383621526021,4,386,0.9765062919614045
BRD:BRD-A12633378-001-07-0,,BRD-A12633378,0.6748,0.2706407619599095,5,346,0.9304292892047283
BRD:BRD-A12896037-001-04-3,,BRD-A12896037,0.6837,0.008229599274510868,5,393,0.7153112763106592
BRD:BRD-A12994259-001-02-1,,BRD-A12994259,-0.1393,0.5710453062175621,5,393,0.9542522880458459
BRD:BRD-A13084692-001-17-3,,BRD-A13084692,-0.7252,0.2101373366254402,4,406,0.930099219237979
BRD:BRD-A13116749-003-01-6,,BRD-A13116749,-0.1425,0.5765829441471153,5,395,0.9542522880458459
BRD:BRD-A13133631-001-04-0,,BRD-A13133631,0.4832,0.2628241237291218,4,406,0.930099219237979
BRD:BRD-A13188892-066-21-5,,BRD-A13188892,1.1718,0.0980451561695807,5,407,0.9269899137089833
BRD:BRD-A13293292-001-02-6,,BRD-A13293292,-0.4411,0.18999870979206382,5,346,0.9283803268725414
BRD:BRD-A13323580-001-04-8,,BRD-A13323580,-0.374,0.4960002391540232,5,393,0.945796621225839
BRD:BRD-A13561534-003-02-0,,BRD-A13561534,0.6218,0.015638007097363436,4,387,0.7425319453922918
BRD:BRD-A13598753-001-01-2,,BRD-A13598753,0.2625,0.4090645576944744,5,408,0.9371420518042609
BRD:BRD-A13689093-001-01-8,,BRD-A13689093,0.3275,0.4165336263544714,5,346,0.9408575896975035
BRD:BRD-A13946108-001-17-1,,BRD-A13946108,0.3231,0.1690988006667797,4,408,0.9272823578897382
BRD:BRD-A13964793-001-02-6,,BRD-A13964793,0.3477,0.11272789629654355,5,407,0.9269899137089833
BRD:BRD-A14208071-004-19-8,,BRD-A14208071,-0.3946,0.244683973572068,5,406,0.930099219237979
BRD:BRD-A14240607-003-26-1,,BRD-A14240607,0.1035,0.6618487517374048,4,401,0.9630344919629309
BRD:BRD-A14262390-065-01-8,,BRD-A14262390,0.3471,0.37633181732463394,5,393,0.9358168811682719
BRD:BRD-A14316475-001-02-3,,BRD-A14316475,-0.5007,0.23670310523345414,5,407,0.930099219237979
BRD:BRD-A14344385-001-03-2,,BRD-A14344385,-0.1544,0.8035024916757558,5,407,0.9847981802307549
BRD:BRD-A14395271-074-17-8,,BRD-A14395271,0.4275,0.38271205276194886,5,408,0.9371420518042609
BRD:BRD-A14574269-051-02-2,,BRD-A14574269,0.2417,0.5901192161541435,4,404,0.9545983563691878
BRD:BRD-A14577621-001-01-5,,BRD-A14577621,-0.0888,0.7664401262815989,5,395,0.9800852578762286
BRD:BRD-A14757586-001-04-9,tetrazol-5-yl-glycine-(RS),BRD-A14757586,-0.7948,0.08747765794123866,6,571,0.9269899137089833
BRD:BRD-A14886633-001-01-6,,BRD-A14886633,-0.2548,0.5342280278355872,4,406,0.9484438093664831
BRD:BRD-A14941520-051-01-0,,BRD-A14941520,-0.2889,0.4228005764553756,5,408,0.9408575896975035
BRD:BRD-A14966924-003-07-7,,BRD-A14966924,0.3894,0.22768878026807307,5,411,0.930099219237979
BRD:BRD-A15035311-001-01-8,,BRD-A15035311,0.2404,0.5819482050613722,5,407,0.9542522880458459
BRD:BRD-A15202882-003-02-7,,BRD-A15202882,-0.1971,0.6174082578425977,5,393,0.9575059753103813
BRD:BRD-A15297126-001-04-3,,BRD-A15297126,0.2092,0.49022163123018897,5,393,0.9438971840717467
BRD:BRD-A15397381-001-02-5,,BRD-A15397381,0.5291,0.6188071563337869,3,375,0.9575059753103813
BRD:BRD-A15415227-003-02-9,,BRD-A15415227,0.3514,0.5375701552147678,5,410,0.9484438093664831
BRD:BRD-A15435692-003-02-3,,BRD-A15435692,0.5841,0.11365728326479446,4,406,0.9269899137089833
BRD:BRD-A15530910-001-02-1,,BRD-A15530910,0.5533,0.1794227653587525,5,409,0.9272823578897382
BRD:BRD-A15687940-001-05-6,,BRD-A15687940,0.3047,0.48341012366891783,5,396,0.9435015442903811
BRD:BRD-A15739803-001-01-0,,BRD-A15739803,0.5526,0.13514507977759208,5,396,0.9269899137089833
BRD:BRD-A15909516-001-06-6,,BRD-A15909516,-0.2838,0.5177523145273182,5,409,0.946625316402665
BRD:BRD-A15931911-001-03-8,,BRD-A15931911,0.1147,0.7927020030523396,5,408,0.9821449461762252
BRD:BRD-A16035238-001-01-7,,BRD-A16035238,-0.7477,0.3366211123950917,5,347,0.9330688191706135
BRD:BRD-A16263897-001-06-6,,BRD-A16263897,-0.0869,0.7174894720520935,5,396,0.9751360648843946
BRD:BRD-A16296925-001-01-3,,BRD-A16296925,0.4345,0.1172979556498579,4,404,0.9269899137089833
BRD:BRD-A16347691-001-13-1,,BRD-A16347691,-0.5805,0.02891091099218755,5,409,0.8771638233249642
BRD:BRD-A16350940-001-01-9,,BRD-A16350940,-0.5055,0.4365291836123074,5,407,0.943286852616147
BRD:BRD-A16439188-001-01-1,,BRD-A16439188,0.5498,0.05024619794404727,5,408,0.8995378209109437
BRD:BRD-A16560607-001-02-5,,BRD-A16560607,-0.004,0.9921695842339752,5,346,0.9968676349435768
BRD:BRD-A16665823-001-02-0,,BRD-A16665823,-0.8698,0.10619579189405667,5,409,0.9269899137089833
BRD:BRD-A16694057-001-06-8,,BRD-A16694057,-0.1835,0.6452704505486677,4,408,0.9600080633324578
BRD:BRD-A16700644-003-04-4,,BRD-A16700644,-0.0357,0.9273121186105764,5,407,0.9926712234167461
BRD:BRD-A16997652-001-02-3,,BRD-A16997652,-1.0416,0.057445055876297946,5,405,0.9076877849609511
BRD:BRD-A17009129-001-01-3,,BRD-A17009129,-0.1907,0.6662008168328567,5,395,0.9640242943164535
BRD:BRD-A17300716-001-01-5,,BRD-A17300716,0.5289,0.09007301736992836,5,411,0.9269899137089833
BRD:BRD-A17407635-001-04-0,,BRD-A17407635,-0.1386,0.7386715956402262,4,408,0.9765062919614045
BRD:BRD-A17411484-001-11-9,,BRD-A17411484,-0.0932,0.8224966857590669,5,409,0.9858345094976283
BRD:BRD-A17428743-003-09-0,,BRD-A17428743,0.178,0.5017346779486661,5,407,0.946625316402665
BRD:BRD-A17453586-003-02-3,,BRD-A17453586,-0.3637,0.6602304586691817,5,410,0.962929064004703
BRD:BRD-A17462676-003-11-6,,BRD-A17462676,0.3678,0.465411351992524,5,409,0.9434873665100119
BRD:BRD-A17655518-001-24-4,,BRD-A17655518,-0.134,0.8174158615301624,5,409,0.9858345094976283
BRD:BRD-A17846016-001-13-9,,BRD-A17846016,-0.6563,0.11781225981019472,5,407,0.9269899137089833
BRD:BRD-A17883755-001-06-1,,BRD-A17883755,-0.0522,0.784306003131169,5,409,0.9811615639153047
BRD:BRD-A18043272-001-09-9,,BRD-A18043272,0.3284,0.2998058829119669,5,409,0.9304292892047283
BRD:BRD-A18056626-003-22-3,,BRD-A18056626,-0.103,0.8423358367317443,5,407,0.9869049880049923
BRD:BRD-A18074780-003-02-0,,BRD-A18074780,0.2993,0.4896541087712017,5,407,0.9438971840717467
BRD:BRD-A18233884-003-02-7,,BRD-A18233884,1.0094,0.20553031726579707,4,404,0.930099219237979
BRD:BRD-A18396475-001-15-3,,BRD-A18396475,0.2331,0.5977677726472954,4,387,0.9550949792600687
BRD:BRD-A18579359-001-05-9,wiskostatin,BRD-A18579359,0.122,0.5266630169385855,6,571,0.9468695981209869
BRD:BRD-A18598741-001-02-9,4BP-TQS,BRD-A18598741,0.054,0.8639931388040992,6,573,0.9890948466328081
BRD:BRD-A18611368-001-01-5,,BRD-A18611368,0.0829,0.8960801648881926,5,407,0.9909405161567635
BRD:BRD-A18627414-001-04-9,,BRD-A18627414,-0.0072,0.9864356789137295,5,411,0.9961181231148459
BRD:BRD-A18696154-003-22-6,,BRD-A18696154,0.4229,0.18077527134082094,5,389,0.9272823578897382
BRD:BRD-A18763547-300-05-5,,BRD-A18763547,1.0062,0.07321332002912326,5,407,0.9269899137089833
BRD:BRD-A18795974-004-07-3,,BRD-A18795974,-0.3785,0.6444755573843872,5,408,0.9600080633324578
BRD:BRD-A18992208-003-02-7,,BRD-A18992208,0.2624,0.6159977201768232,5,396,0.9575059753103813
BRD:BRD-A19053834-050-09-5,,BRD-A19053834,0.2412,0.5952967079760705,5,396,0.9550949792600687
BRD:BRD-A19102171-066-01-4,,BRD-A19102171,-0.142,0.8188690209713978,5,408,0.9858345094976283
BRD:BRD-A19195498-050-14-1,,BRD-A19195498,0.0847,0.46794845902804966,5,410,0.9434873665100119
BRD:BRD-A19232309-001-08-6,propylene-glycol,BRD-A19232309,0.4454,0.26759203589985653,6,571,0.9304292892047283
BRD:BRD-A19585813-003-03-3,,BRD-A19585813,0.1225,0.8255188042731089,5,408,0.9861667732013165
BRD:BRD-A19609491-001-01-8,,BRD-A19609491,-0.0784,0.8600400740738365,5,346,0.9888815414195753
BRD:BRD-A19633847-050-32-1,,BRD-A19633847,0.0997,0.4328114420380724,5,411,0.9420124200139451
BRD:BRD-A19661776-003-27-6,,BRD-A19661776,-0.9164,0.016627935184764676,5,407,0.7585845938854517
BRD:BRD-A19736161-001-06-7,,BRD-A19736161,-0.3513,0.1573438222702079,5,411,0.9269899137089833
BRD:BRD-A19777893-236-01-9,,BRD-A19777893,-0.276,0.3130285727460755,5,395,0.9304292892047283
BRD:BRD-A19795905-001-08-0,,BRD-A19795905,0.0822,0.8819991457535252,4,406,0.9900870191174943
BRD:BRD-A19952358-001-11-3,,BRD-A19952358,-0.3709,0.5225602312221378,4,406,0.946625316402665
BRD:BRD-A19958636-065-04-4,,BRD-A19958636,0.1764,0.41006588968823304,5,407,0.9371420518042609
BRD:BRD-A20119038-003-07-8,,BRD-A20119038,-0.2082,0.5894765100853704,5,407,0.9545983563691878
BRD:BRD-A20239487-001-24-9,,BRD-A20239487,-0.7794,0.13513003212610797,4,396,0.9269899137089833
BRD:BRD-A20348246-001-15-8,,BRD-A20348246,-0.3898,0.46590228926890703,5,408,0.9434873665100119
BRD:BRD-A20550616-001-02-9,,BRD-A20550616,0.107,0.8513336105872494,4,387,0.9873263344997008
BRD:BRD-A20589515-001-03-9,dihydroxyphenylglycine,BRD-A20589515,0.2377,0.24712298839614463,6,571,0.930099219237979
BRD:BRD-A20644369-001-08-6,,BRD-A20644369,0.7914,0.21917892759633414,5,408,0.930099219237979
BRD:BRD-A20758144-001-04-5,,BRD-A20758144,-0.2495,0.6312925357356876,4,401,0.958085900233643
BRD:BRD-A20781140-001-01-7,,BRD-A20781140,0.344,0.11732647433447507,4,401,0.9269899137089833
BRD:BRD-A20830788-001-01-9,,BRD-A20830788,-0.8138,0.2774179934293349,5,347,0.9304292892047283
