gene,cohens_d,p_value,n_lost,n_intact,median_resid_lost,median_resid_intact,fdr,composite_score,uncorr_cohens_d,uncorr_pvalue,uncorr_fdr,uncorr_composite,was_significant,is_significant,lineage_artifact,fdr_change,rank_change
FKBP6,-0.3874,0.04679485895119414,23,134,-0.0673,0.0,0.9976759412731231,0.0004,-0.3809,0.0666158413607524,0.8135785120137442,0.0341,False,False,False,0.1840974292593789,-17
PDCD10,-0.3869,0.0009468147305139868,67,585,-0.1029,0.0138,0.7816447959322184,0.0414,-0.3252,0.0050908823197617,0.5616487887061005,0.0815,False,False,False,0.2199960072261179,-131
LRRC3B,-0.3867,0.0037664364975753626,67,585,-0.0215,0.0088,0.9055524643035545,0.0167,-0.3544,0.0114261378724243,0.6780490098953341,0.0598,False,False,False,0.2275034544082204,-47
MARS1,-0.3865,0.005058565351784918,67,585,-0.1327,0.0099,0.9055524643035545,0.0167,-0.3884,0.0043086309310469,0.5598093086198781,0.0979,False,False,False,0.3457431556836764,-10
PPFIA4,-0.3859,0.07352062035785042,23,134,-0.0275,0.0,0.9988716805228369,0.0002,-0.2079,0.2484316362633989,0.9261180186775482,0.0069,False,False,False,0.07275366184528875,-1063
TEX55,-0.3841,0.0027691514125245975,67,585,-0.0347,-0.0004,0.9027528056843022,0.0171,-0.3529,0.0064391804293174,0.5910446511533526,0.0806,False,False,False,0.3117081545309496,-50
FBXO47,-0.3836,0.0011832948792995515,67,585,-0.057,0.0078,0.8239434844413613,0.0323,-0.3384,0.0032436679405577,0.5559311675252981,0.0863,False,False,False,0.2680123169160632,-84
RPL6,-0.3819,0.12322519712703682,23,134,-0.1393,0.0335,0.9988716805228369,0.0002,-0.3992,0.0890886553556303,0.8359229090433322,0.0311,False,False,False,0.1629487714795047,2
IFTAP,-0.3806,0.010690082431559108,67,585,-0.0196,0.0026,0.9055524643035545,0.0164,-0.3517,0.0121596336218861,0.6780490098953341,0.0593,False,False,False,0.2275034544082204,-53
POU5F1B,-0.3781,0.12202233035139999,23,134,-0.0133,0.0328,0.9988716805228369,0.0002,-0.351,0.192543363164137,0.9020296443327318,0.0157,False,False,False,0.09684203619010512,-54
ANAPC4,-0.3766,0.008798828255765691,67,585,-0.0939,0.032,0.9055524643035545,0.0162,-0.3786,0.0083838691875487,0.6451632751223236,0.0721,False,False,False,0.2603891891812309,-11
RETSAT,-0.3765,0.001476838297500639,67,585,-0.0387,0.0124,0.8352908134049781,0.0294,-0.3305,0.0046749851144493,0.5598093086198781,0.0833,False,False,False,0.27548150478510003,-105
C14orf39,-0.3761,0.010016309808520989,67,585,-0.04,0.0041,0.9055524643035545,0.0162,-0.338,0.020759520816087,0.6967120484934631,0.053,False,False,False,0.20884041581009138,-81
ARL16,-0.3748,0.024685482076605963,23,134,-0.0383,0.0371,0.9976759412731231,0.0004,-0.532,0.003772456603953,0.5559311675252981,0.1356,False,False,False,0.44174477374782495,51
NF1,-0.3724,0.0004105592695940654,67,585,-0.111,-0.0109,0.7245155994946247,0.0521,-0.2623,0.0121125963389745,0.6780490098953341,0.0443,False,False,False,0.04646658959929062,-428
SCD5,-0.3706,0.005344894259880371,67,585,-0.0287,0.0045,0.9055524643035545,0.016,-0.3593,0.0069220554761142,0.5910446511533526,0.0821,False,False,False,0.31450781315020193,-26
COL26A1,-0.368,0.12202233035139999,23,134,-0.049,0.0074,0.9988716805228369,0.0002,-0.4459,0.1161462760366046,0.8725296869685283,0.0264,False,False,False,0.12634199355430864,40
POLR3E,-0.3658,0.012884868502093142,67,585,-0.0837,0.0085,0.9204724187690524,0.0132,-0.3647,0.0137528491038058,0.6780490098953341,0.0615,False,False,False,0.24242340887371827,-15
SPNS2,-0.3653,0.01124901129880979,67,585,-0.0175,0.0118,0.9144824211572445,0.0142,-0.3539,0.0136742377234652,0.6780490098953341,0.0597,False,False,False,0.23643341126191042,-33
LCE1F,-0.365,0.09483135511583031,23,134,-0.0666,0.0871,0.9988716805228369,0.0002,-0.4247,0.0467955406057665,0.7766316835727657,0.0466,False,False,False,0.22223999695007124,32
MELK,-0.3641,0.015180291902280056,67,585,-0.0158,0.0076,0.9386686983213505,0.01,-0.3523,0.0157335227451275,0.6780490098953341,0.0594,False,False,False,0.26061968842601635,-38
WBP4,-0.3636,0.009626618665342245,67,585,-0.037,0.0114,0.9055524643035545,0.0157,-0.2812,0.0503527151661785,0.7839078168533321,0.0297,False,False,False,0.12164464745022241,-294
XPOT,-0.3609,0.01064812858969532,67,585,-0.05,0.0242,0.9055524643035545,0.0155,-0.3178,0.0327063511653379,0.7297637036844843,0.0435,False,False,False,0.17578876061907023,-128
GPALPP1,-0.3607,0.00271376040769608,67,585,-0.035,0.0126,0.9027528056843022,0.016,-0.2609,0.0157335227451275,0.6780490098953341,0.044,False,False,False,0.22470379578896804,-430
PPP1R1A,-0.3598,0.010690082431559108,67,585,-0.0339,0.0025,0.9055524643035545,0.0155,-0.3505,0.0096842001195932,0.6655229512790012,0.062,False,False,False,0.24002951302455333,-40
DHX57,-0.3585,0.0016340834890928582,67,585,-0.0366,0.008,0.8617867953801188,0.0232,-0.4288,0.0002147852994898,0.2446346496580845,0.2622,False,False,False,0.6171521457220344,42
PPP1R2,-0.3584,0.0019100302757539742,67,585,-0.1266,0.0295,0.9027528056843022,0.0159,-0.3391,0.0058752326173344,0.5864969711684321,0.0786,False,False,False,0.31625583451587,-61
PDE1B,-0.3574,0.006837031571128714,67,585,-0.0376,-0.0002,0.9055524643035545,0.0154,-0.3414,0.0093993487505425,0.662362604915881,0.0611,False,False,False,0.24318985938767357,-55
LIG1,-0.3573,0.03750657995584395,67,585,-0.012,0.0248,0.9976759412731231,0.0004,-0.2815,0.0829653382423158,0.8273583178811125,0.0232,False,False,False,0.17031762339201062,-284
PAX9,-0.3557,0.14042195742618724,67,585,0.0004,0.0077,0.9988716805228369,0.0002,-0.3896,0.048373374807,0.779174714124885,0.0422,False,False,False,0.2196969663979519,19
UBL4B,-0.3548,0.004046776254234701,67,585,-0.0361,0.0011,0.9055524643035545,0.0153,-0.3534,0.0036850403286571,0.5559311675252981,0.0901,False,False,False,0.3496212967782564,-22
FBXL8,-0.3541,0.003345555056157444,67,585,-0.0412,0.0035,0.9055524643035545,0.0153,-0.3391,0.0044214073510901,0.5598093086198781,0.0854,False,False,False,0.3457431556836764,-56
LCE2B,-0.354,0.20349440028577148,67,567,0.0333,0.0468,0.9988716805228369,0.0002,-0.4321,0.0494993941299579,0.7808896751988128,0.0464,False,False,False,0.21798200532402412,51
RCAN2,-0.3528,0.009897952722140583,67,585,-0.0293,-0.0003,0.9055524643035545,0.0152,-0.3334,0.0158820246587496,0.6780490098953341,0.0563,False,False,False,0.2275034544082204,-73
TENT4A,-0.3513,0.042195086686449786,67,585,-0.0184,0.0033,0.9976759412731231,0.0004,-0.3645,0.0275143219123123,0.7248447529296369,0.0509,False,False,False,0.2728311883434862,0
MYL5,-0.3512,0.005481917446155544,67,585,-0.0387,0.0035,0.9055524643035545,0.0151,-0.3675,0.0036931075188394,0.5559311675252981,0.0937,False,False,False,0.3496212967782564,8
SHISA6,-0.351,0.0021828049922646186,67,585,-0.0429,0.0026,0.9027528056843022,0.0156,-0.3858,0.0014908555148532,0.5221159999823018,0.1089,False,False,False,0.3806368057020003,21
FZR1,-0.351,0.008434761105454809,67,585,-0.1075,0.0192,0.9055524643035545,0.0151,-0.416,0.0037829123240416,0.5559311675252981,0.1061,False,False,False,0.3496212967782564,43
DCTN2,-0.3502,0.02934596017748433,67,585,-0.0555,0.0007,0.9976759412731231,0.0004,-0.4161,0.0107956141706948,0.6780490098953341,0.0702,False,False,False,0.31962693137778897,46
CCM2,-0.3498,0.009645777432542267,67,585,-0.0152,0.0143,0.9055524643035545,0.0151,-0.277,0.0621531381933069,0.8020157274075624,0.0265,False,False,False,0.10353673689599208,-299
TBXA2R,-0.3497,0.010236575583176385,67,585,-0.031,0.0,0.9055524643035545,0.0151,-0.332,0.0165192757539609,0.6866422565440923,0.0542,False,False,False,0.21891020775946224,-70
ANAPC15,-0.3496,0.004108624382892671,67,585,-0.1508,0.0083,0.9055524643035545,0.0151,-0.3613,0.0035270246776532,0.5559311675252981,0.0921,False,False,False,0.3496212967782564,4
H2BC15,-0.3491,0.3544143009294255,67,567,0.1783,0.1839,0.9988716805228369,0.0002,-0.3897,0.263006402521054,0.9317321247622332,0.012,False,False,False,0.06713955576060371,33
DCTN3,-0.3486,0.020646668096065607,67,585,-0.0539,-0.0048,0.9666198580432177,0.0051,-0.3492,0.0198353483927137,0.6967120484934631,0.0548,False,False,False,0.2699078095497546,-27
CALHM6,-0.3481,0.0041894035102110734,67,585,-0.0307,0.0045,0.9055524643035545,0.015,-0.4502,0.0002182897994829,0.2446346496580845,0.2753,False,False,False,0.66091781464547,71
VDAC2,-0.3473,0.07763999474218601,67,585,0.0081,0.0238,0.9988716805228369,0.0002,-0.3291,0.1330208505989144,0.887094148871769,0.0171,False,False,False,0.11177753165106796,-74
GP1BA,-0.3473,0.016334946645613756,67,585,-0.0053,0.0021,0.9386686983213505,0.0095,-0.3159,0.0330993152645677,0.7309160369568536,0.043,False,False,False,0.20775266136449688,-113
GALM,-0.3467,0.005528291581788569,67,585,-0.0191,0.0021,0.9055524643035545,0.0149,-0.3744,0.0016494688777629,0.5221159999823018,0.1057,False,False,False,0.38343646432125267,24
STAT2,-0.3453,0.010155984959165398,67,585,-0.0418,-0.0062,0.9055524643035545,0.0149,-0.3893,0.0022952953965709,0.5233633374815786,0.1095,False,False,False,0.3821891268219759,37
SPRR1B,-0.3439,0.2869593836934773,23,134,0.0515,0.0536,0.9988716805228369,0.0002,-0.4933,0.0784426244577947,0.8244752046616158,0.0413,False,False,False,0.1743964758612211,84
TMT1B,-0.3431,0.004625219076982715,67,585,-0.047,0.0127,0.9055524643035545,0.0148,-0.3129,0.0088697481225929,0.6451632751223236,0.0596,False,False,False,0.2603891891812309,-118
OR51E1,-0.3423,0.1387301388410554,61,570,-0.0015,0.0042,0.9988716805228369,0.0002,-0.3526,0.1321540828075955,0.8861314541567127,0.0185,False,False,False,0.11274022636612424,-6
RBM42,-0.3419,0.04504845209645453,67,585,-0.0424,0.0226,0.9976759412731231,0.0003,-0.385,0.0228436711997927,0.711128243547715,0.057,False,False,False,0.2865476977254081,36
SLAIN2,-0.3404,0.0034961697895694657,67,585,-0.0295,0.0086,0.9055524643035545,0.0147,-0.4,0.000743607391038,0.4762008617394153,0.1289,False,False,False,0.42935160256413923,49
LMBR1L,-0.3401,0.02488571363834851,67,585,-0.045,0.0,0.9976759412731231,0.0003,-0.3532,0.0163961909879456,0.6866422565440923,0.0577,False,False,False,0.3110336847290308,1
NECAB1,-0.3396,0.01283535469000747,67,585,-0.0202,0.011,0.9204724187690524,0.0122,-0.2608,0.0754767421466197,0.8222196011124172,0.0222,False,False,False,0.09825281765663518,-398
CASR,-0.3396,0.000919424598505466,67,585,-0.0273,0.0189,0.7816447959322184,0.0363,-0.3356,0.0010744657679795,0.5047088523415719,0.0997,False,False,False,0.27693594359064644,-46
LMTK2,-0.3396,0.0055516111587023366,67,585,-0.0267,0.0211,0.9055524643035545,0.0146,-0.3797,0.0019012093097955,0.5221159999823018,0.1072,False,False,False,0.38343646432125267,37
KRTAP16-1,-0.3395,0.00795415700448456,67,585,-0.0311,-0.0019,0.9055524643035545,0.0146,-0.3018,0.0123017181319078,0.6780490098953341,0.0509,False,False,False,0.2275034544082204,-146
PPP1R7,-0.3392,0.01434162464306266,67,585,-0.0169,0.0286,0.937064421680845,0.0096,-0.3173,0.0303790342104425,0.7292061268402719,0.0435,False,False,False,0.20785829484057317,-92
ZNF502,-0.3374,0.007452423113874104,67,585,-0.025,0.0045,0.9055524643035545,0.0145,-0.3424,0.0089053977026424,0.6451632751223236,0.0652,False,False,False,0.2603891891812309,-20
HKDC1,-0.3371,0.035184692709731,67,585,-0.0107,0.0089,0.9976759412731231,0.0003,-0.2914,0.0585034897520587,0.8004009429878707,0.0282,False,False,False,0.1972749982852524,-197
CBY2,-0.336,0.005244164939153157,67,585,-0.0191,0.0052,0.9055524643035545,0.0145,-0.3379,0.0061258093423137,0.5910446511533526,0.0772,False,False,False,0.31450781315020193,-32
PECR,-0.335,0.035006727858083266,67,585,-0.0229,-0.0019,0.9976759412731231,0.0003,-0.3497,0.021177906655106,0.6967120484934631,0.0549,False,False,False,0.30096389277965996,-3
BEX4,-0.3339,0.0010462035080237154,67,585,-0.0351,0.0096,0.7816447959322184,0.0357,-0.3098,0.003352944533737,0.5559311675252981,0.079,False,False,False,0.22571362840692022,-113
ACTL6A,-0.3336,0.0023858280058931796,67,585,-0.1504,0.0103,0.9027528056843022,0.0148,-0.2174,0.0320969096286409,0.7297637036844843,0.0297,False,False,False,0.17298910199981787,-872
CBLL1,-0.3331,0.02698915364957088,67,585,-0.0356,0.0191,0.9976759412731231,0.0003,-0.3141,0.0491571261746818,0.7808896751988128,0.0337,False,False,False,0.21678626607431029,-100
REST,-0.3318,0.04381648412021227,67,585,-0.0423,0.0072,0.9976759412731231,0.0003,-0.3871,0.0127368357640157,0.6780490098953341,0.0653,False,False,False,0.31962693137778897,53
CD2,-0.3315,0.05832121980328983,67,585,-0.0089,0.0072,0.9988716805228369,0.0002,-0.3169,0.0761544990568385,0.8228039115189821,0.0268,False,False,False,0.1760677690038548,-83
MST1,-0.3315,0.1809468901281861,23,134,-0.0134,0.0111,0.9988716805228369,0.0002,-0.2461,0.3755622729709466,0.956639175620027,0.0047,False,False,False,0.04223250490280994,-514
A4GNT,-0.3313,0.0154984551320148,67,585,-0.0256,-0.0003,0.9386686983213505,0.0091,-0.2572,0.0920979698169463,0.8391304353595854,0.0196,False,False,False,0.09953826296176504,-420
ACSM1,-0.331,0.003925608646340484,67,585,-0.0401,0.0027,0.9055524643035545,0.0143,-0.2768,0.0136220508858043,0.6780490098953341,0.0467,False,False,False,0.2275034544082204,-270
CD1D,-0.3302,0.038330283505823334,67,585,-0.0248,0.0015,0.9976759412731231,0.0003,-0.3523,0.0198353483927137,0.6967120484934631,0.0553,False,False,False,0.30096389277965996,14
OR4K13,-0.3302,0.02847412797521991,61,570,-0.0167,0.0088,0.9976759412731231,0.0003,-0.3495,0.0216128520743062,0.6992342695638899,0.0543,False,False,False,0.2984416717092332,4
HOXC11,-0.3297,0.010135925777254884,67,585,-0.0333,0.0021,0.9055524643035545,0.0142,-0.3079,0.0137528491038058,0.6780490098953341,0.052,False,False,False,0.2275034544082204,-112
CPLX4,-0.3289,0.004868539139520486,67,585,-0.0164,0.0063,0.9055524643035545,0.0142,-0.2952,0.0120190053019072,0.6780490098953341,0.0498,False,False,False,0.2275034544082204,-161
L1CAM,-0.3288,0.009588402879848456,67,585,-0.0182,0.0031,0.9055524643035545,0.0142,-0.2961,0.0228027243207888,0.711128243547715,0.0438,False,False,False,0.19442422075583954,-153
NAA40,-0.3286,0.022036755684901207,67,585,-0.0096,0.0108,0.982937975586974,0.0025,-0.2636,0.0721614386099,0.8199789326451948,0.0227,False,False,False,0.1629590429417792,-353
OR10R2,-0.3277,0.0056048054397622145,61,570,-0.0231,0.0077,0.9055524643035545,0.0141,-0.3161,0.0072676063150628,0.6021036362878708,0.0696,False,False,False,0.30344882801568374,-78
FBXL17,-0.3274,0.006865267225994252,67,585,-0.0615,0.004,0.9055524643035545,0.0141,-0.3448,0.0070368945820186,0.5951818714630925,0.0777,False,False,False,0.310370592840462,3
DDX19A,-0.3272,0.059699727138110566,67,585,0.0429,0.078,0.9988716805228369,0.0002,-0.3154,0.0582302782049458,0.8004009429878707,0.0305,False,False,False,0.19847073753496625,-82
GRB7,-0.3269,0.0021138759302014743,67,585,-0.0366,0.0062,0.9027528056843022,0.0145,-0.1863,0.0721614386099,0.8199789326451948,0.0161,False,False,False,0.08277387303910733,-1381
ALDOB,-0.3267,0.007036892117691423,67,585,-0.0234,0.0031,0.9055524643035545,0.0141,-0.3285,0.0077153223696022,0.6231686730150399,0.0675,False,False,False,0.28238379128851465,-38
OR52D1,-0.3267,0.017077176938622714,61,570,-0.0229,0.0008,0.9386686983213505,0.009,-0.4037,0.0014274288651252,0.5148043083045757,0.1164,False,False,False,0.4238643900167748,82
DNAJC10,-0.3263,0.008485931983411524,67,585,-0.0303,0.0155,0.9055524643035545,0.0141,-0.3595,0.004488422508279,0.5598093086198781,0.0906,False,False,False,0.3457431556836764,44
KRT28,-0.326,0.0031099104741390752,67,585,-0.037,0.013,0.9027528056843022,0.0145,-0.2817,0.00389160125242,0.5559311675252981,0.0718,False,False,False,0.346821638159004,-223
PRRG3,-0.326,0.014616524039757581,67,585,-0.051,0.0,0.9382557101001527,0.009,-0.3728,0.0034503513405316,0.5559311675252981,0.0951,False,False,False,0.3823245425748546,61
ZBTB1,-0.3258,0.0030415506650344425,67,585,-0.0479,0.0165,0.9027528056843022,0.0145,-0.354,0.0016964259810016,0.5221159999823018,0.0999,False,False,False,0.3806368057020003,37
ANGPTL1,-0.3257,0.005112527320839043,67,585,-0.0313,0.0001,0.9055524643035545,0.014,-0.3361,0.0068936100302867,0.5910446511533526,0.0768,False,False,False,0.31450781315020193,-11
HPCAL4,-0.324,0.023381815589928377,67,585,-0.0383,0.003,0.9866071533903916,0.0019,-0.2391,0.1260948414986601,0.8799002359730227,0.0133,False,False,False,0.10670691741736893,-568
OR5M3,-0.3239,0.021909623263929135,61,570,-0.0166,0.0125,0.9800737204410435,0.0028,-0.2846,0.050937916329395,0.7842930981194082,0.03,False,False,False,0.1957806223216353,-205
ZSWIM2,-0.3235,0.0007145604164276302,67,585,-0.051,0.0,0.7334220095713464,0.0436,-0.2047,0.0174685619768617,0.6889998584401925,0.0331,False,False,False,0.044422151131153886,-1021
OR2C1,-0.3228,0.017669152739313382,61,570,-0.0631,-0.0006,0.9386686983213505,0.0089,-0.3779,0.0063733872069506,0.5910446511533526,0.0863,False,False,False,0.3476240471679979,70
CEP68,-0.3227,0.03506596389627148,67,585,-0.0393,0.0,0.9976759412731231,0.0003,-0.3312,0.0435307893702516,0.7645918294910587,0.0386,False,False,False,0.23308411178206434,-19
MT4,-0.3221,0.01456117544301217,67,585,-0.0378,-0.002,0.9382557101001527,0.0089,-0.2982,0.019654886630245,0.6967120484934631,0.0468,False,False,False,0.2415436616066896,-124
