species,metabolite,correlation,p_value,fdr
Bilophila_Bilophila_wadsworthia,C8p_QI11168,-0.6308632543926661,6.339996120695719e-05,0.0332638463132502
Subdoligranulum_Subdoligranulum_unclassified,HILp_TF20,0.6308632543926661,6.339996120695719e-05,0.0332638463132502
Alistipes_Alistipes_putredinis,C18n_QI13694,-0.6308632543926661,6.339996120695719e-05,0.0332638463132502
Alistipes_Alistipes_putredinis,C8p_QI29314,-0.6299465240641711,6.545918144120375e-05,0.03358911124068864
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,HILp_QI17886,-0.6293353705118411,6.686523626905405e-05,0.03358911124068864
Alistipes_Alistipes_putredinis,C8p_QI26043,-0.628113063407181,6.975917190928641e-05,0.03361253160771943
Paraprevotella_Paraprevotella_clara,HILp_QI24188,0.628113063407181,6.975917190928641e-05,0.03361253160771943
Eubacterium_Eubacterium_ramulus,HILp_QI20115,0.6256684491978609,7.588747941459248e-05,0.03361531956507158
Bifidobacterium_Bifidobacterium_breve,C8p_QI28213,0.6271963330786859,7.200305146119161e-05,0.03361531956507158
Proteus_Proteus_mirabilis,C8p_QI29047,0.625974025974026,7.509584742014278e-05,0.03361531956507158
Paraprevotella_Paraprevotella_clara,HILp_QI14788,0.6247517188693659,7.830760593303417e-05,0.03361531956507158
Bilophila_Bilophila_unclassified,C8p_QI24088,-0.6253628724216959,7.668660808532792e-05,0.03361531956507158
Oscillibacter_Oscillibacter_sp_KLE_1745,C18n_QI5379,-0.6247517188693659,7.830760593303417e-05,0.03361531956507158
Lachnospiraceae_noname_Lachnospiraceae_bacterium_4_1_37FAA,HILp_QI18144,0.6229182582123758,8.33571127931356e-05,0.03514395416153449
Alistipes_Alistipes_putredinis,C8p_QI25555,-0.6204736440030557,9.054460399842999e-05,0.03519653482878803
Haemophilus_Haemophilus_sputorum,HILp_QI17793,0.6213903743315508,8.778653416877601e-05,0.03519653482878803
Actinobacillus_Actinobacillus_unclassified,HILp_QI4283,0.6198624904507257,9.242630916496647e-05,0.03519653482878803
Subdoligranulum_Subdoligranulum_unclassified,HILp_QI23019,-0.6201680672268907,9.148111060248103e-05,0.03519653482878803
Alistipes_Alistipes_putredinis,C8p_QI11747,-0.6220015278838809,8.599000263423512e-05,0.03519653482878803
Eubacterium_Eubacterium_hallii,HILp_QI15787,0.6198624904507257,9.242630916496647e-05,0.03519653482878803
Blautia_Ruminococcus_obeum,C8p_QI26390,-0.6085561497326203,0.00013419921592660214,0.03530210651368403
Oscillibacter_Oscillibacter_sp_KLE_1745,C8p_QI21287,-0.6152788388082505,0.00010769672882477876,0.03530210651368403
Proteus_Proteus_mirabilis,C8p_QI27840,0.6088617265087853,0.00013287820836423844,0.03530210651368403
Granulicella_Granulicella_unclassified,HILp_QI10831,-0.6131398013750954,0.0001155686086502894,0.03530210651368403
Streptococcus_Streptococcus_mitis_oralis_pneumoniae,HILp_QI23019,0.6073338426279602,0.0001396017273211538,0.03530210651368403
Escherichia_Escherichia_unclassified,C8p_QI26573,0.6073338426279602,0.0001396017273211538,0.03530210651368403
Bifidobacterium_Bifidobacterium_breve,C8p_QI27026,0.6106951871657753,0.00012519398800849368,0.03530210651368403
Bifidobacterium_Bifidobacterium_breve,C8p_QI27047,0.6079449961802902,0.000136876591261584,0.03530210651368403
Subdoligranulum_Subdoligranulum_unclassified,C18n_QI13902,-0.6128342245989304,0.00011673431846319657,0.03530210651368403
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26482,-0.6137509549274255,0.00011326846347089258,0.03530210651368403
Granulicella_Granulicella_unclassified,HILp_QI22907,0.6039724980901451,0.00015547748847862005,0.03530210651368403
Granulicella_Granulicella_unclassified,HILp_QI17402,0.6186401833460657,9.629544857816065e-05,0.03530210651368403
Bacteroides_Bacteroides_sp_4_3_47FAA,HILp_QI13067,-0.6048892284186401,0.0001509949270429251,0.03530210651368403
Morganella_Morganella_morganii,C8p_QI27840,0.6110007639419404,0.00012395275866546715,0.03530210651368403
Erysipelotrichaceae_noname_Clostridium_innocuum,HILp_QI25194,0.6048892284186401,0.0001509949270429251,0.03530210651368403
Streptococcus_Streptococcus_thermophilus,HILp_QI20571,-0.6149732620320855,0.00010879098349277881,0.03530210651368403
Subdoligranulum_Subdoligranulum_unclassified,HILp_QI22739,0.6088617265087853,0.00013287820836423844,0.03530210651368403
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI8849,-0.6128342245989304,0.00011673431846319657,0.03530210651368403
Oscillibacter_Oscillibacter_unclassified,HILn_QI14750,0.6168067226890757,0.00010237219822679597,0.03530210651368403
Cellulophaga_Cellulophaga_unclassified,C8p_QI23892,0.6036669213139801,0.00015699793239884894,0.03530210651368403
Paraprevotella_Paraprevotella_xylaniphila,HILp_QI24188,0.6048892284186401,0.0001509949270429251,0.03530210651368403
Burkholderiales_noname_Burkholderiales_bacterium_1_1_47,HILp_QI14503,-0.6082505729564553,0.00013553197968778702,0.03530210651368403
Blautia_Ruminococcus_obeum,HILp_QI23898,-0.6067226890756302,0.00014237536913549396,0.03530210651368403
Bilophila_Bilophila_wadsworthia,HILp_QI11297,-0.6122230710466005,0.00011909742721233655,0.03530210651368403
Bilophila_Bilophila_wadsworthia,C8p_QI18066,-0.6183346065699006,9.72851804508039e-05,0.03530210651368403
Coprococcus_Coprococcus_catus,HILp_QI11940,-0.6061115355233002,0.00014519827153644359,0.03530210651368403
Escherichia_Escherichia_unclassified,C8p_QI26128,0.6103896103896104,0.00012644634888179517,0.03530210651368403
Subdoligranulum_Subdoligranulum_sp_4_3_54A2FAA,HILp_TF39,-0.6070282658517953,0.00014098243806289892,0.03530210651368403
Anaerotruncus_Anaerotruncus_unclassified,C18n_QI13897,-0.6039724980901451,0.00015547748847862005,0.03530210651368403
Alistipes_Alistipes_putredinis,C8p_QI18810,-0.6088617265087853,0.00013287820836423844,0.03530210651368403
Coprococcus_Coprococcus_comes,C8p_QI27840,-0.6174178762414056,0.00010030942127499475,0.03530210651368403
Anaerotruncus_Anaerotruncus_colihominis,HILp_QI24700,-0.6039724980901451,0.00015547748847862005,0.03530210651368403
Clostridium_Clostridium_sp_KLE_1755,HILp_QI17522,0.6158899923605805,0.00010553780218932113,0.03530210651368403
Paraprevotella_Paraprevotella_xylaniphila,HILp_QI24677,0.6189457601222307,9.531476815699562e-05,0.03530210651368403
Dorea_Dorea_formicigenerans,HILp_QI22784,0.6168067226890757,0.00010237219822679597,0.03530210651368403
Bilophila_Bilophila_unclassified,C8p_QI28892,-0.6116119174942705,0.00012150334754618345,0.03530210651368403
Erysipelotrichaceae_noname_Erysipelotrichaceae_bacterium_6_1_45,HILp_QI10831,-0.6091673032849503,0.00013156886598695964,0.03530210651368403
Bilophila_Bilophila_wadsworthia,HILp_QI14161,-0.6097784568372803,0.0001289848157143,0.03530210651368403
Butyrivibrio_Butyrivibrio_unclassified,C18n_QI5379,-0.6036669213139801,0.00015699793239884894,0.03530210651368403
Bilophila_Bilophila_wadsworthia,HILp_QI22179,-0.6134453781512605,0.00011441335111294783,0.03530210651368403
Lachnospiraceae_noname_Lachnospiraceae_bacterium_3_1_46FAA,HILp_QI20571,0.6055003819709701,0.00014807119925890546,0.03530210651368403
Butyrivibrio_Butyrivibrio_unclassified,HILp_QI17886,-0.6131398013750954,0.0001155686086502894,0.03530210651368403
Escherichia_Escherichia_coli,C8p_QI27840,0.6106951871657753,0.00012519398800849368,0.03530210651368403
Granulicatella_Granulicatella_unclassified,HILp_QI23019,0.6018334606569901,0.00016640339615424805,0.03541902021034118
Escherichia_Escherichia_unclassified,HILp_TF52,0.601527883880825,0.0001680190708834482,0.03541902021034118
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI11940,-0.6018334606569901,0.00016640339615424805,0.03541902021034118
Eubacterium_Eubacterium_siraeum,C8p_QI25056,-0.60244461420932,0.00016321368954972206,0.03541902021034118
Bilophila_Bilophila_wadsworthia,C8p_QI25067,-0.602750190985485,0.00016163944843784248,0.03541902021034118
Lachnospiraceae_noname_Lachnospiraceae_bacterium_5_1_63FAA,C8p_QI26639,0.602139037433155,0.00016480163736040283,0.03541902021034118
Peptostreptococcaceae_noname_Clostridium_bartlettii,HILp_QI16949,0.601527883880825,0.0001680190708834482,0.03541902021034118
Streptococcus_Streptococcus_mitis_oralis_pneumoniae,C18n_QI5379,0.6003055767761649,0.0001746230517591202,0.036485400460467506
Granulicella_Granulicella_unclassified,HILp_QI16931,0.5948051948051948,0.0002073057402640125,0.036526033788308473
Clostridium_Clostridium_symbiosum,C8p_QI17368,0.5948051948051948,0.0002073057402640125,0.036526033788308473
Megasphaera_Megasphaera_unclassified,C8p_QI18336,0.5981665393430099,0.00018674063955590145,0.036526033788308473
Parasutterella_Parasutterella_excrementihominis,HILp_QI20586,0.5972498090145149,0.00019216008181214224,0.036526033788308473
Bacteroidales_noname_Bacteroidales_bacterium_ph8,HILp_QI19479,-0.5954163483575248,0.0002034225954584754,0.036526033788308473
Lachnospiraceae_noname_Lachnospiraceae_bacterium_6_1_63FAA,C18n_QI4547,-0.5954163483575248,0.0002034225954584754,0.036526033788308473
Lachnospiraceae_noname_Lachnospiraceae_bacterium_3_1_46FAA,C18n_QI4015,0.5972498090145149,0.00019216008181214224,0.036526033788308473
Bilophila_Bilophila_wadsworthia,C8p_QI28214,-0.5948051948051948,0.0002073057402640125,0.036526033788308473
Alistipes_Alistipes_putredinis,C18n_QI13811,-0.597860962566845,0.0001885317394663743,0.036526033788308473
Ruminococcus_Ruminococcus_sp_5_1_39BFAA,HILp_QI19735,-0.5981665393430099,0.00018674063955590145,0.036526033788308473
Alistipes_Alistipes_shahii,C8p_QI26623,-0.5957219251336898,0.00020150550363533682,0.036526033788308473
Eubacterium_Eubacterium_ramulus,HILp_QI20571,0.5957219251336898,0.00020150550363533682,0.036526033788308473
Megamonas_Megamonas_unclassified,HILp_QI23019,0.5996944232238349,0.00017801131621496104,0.036526033788308473
Bacteroides_Bacteroides_plebeius,HILp_QI18339,0.5969442322383498,0.00019399755428210766,0.036526033788308473
Morganella_Morganella_morganii,HILp_TF52,0.5996944232238349,0.00017801131621496104,0.036526033788308473
Bacteroides_Bacteroides_cellulosilyticus,C8p_QI20937,-0.5990832696715049,0.0001814582596941509,0.036526033788308473
Paraprevotella_Paraprevotella_unclassified,HILp_QI24181,0.5951107715813597,0.00020535596749824686,0.036526033788308473
Bilophila_Bilophila_unclassified,C8p_QI21855,-0.5966386554621849,0.00019585071550859656,0.036526033788308473
Butyricicoccus_Butyricicoccus_pullicaecorum,HILp_TF52,0.5960275019098549,0.0001996045722633286,0.036526033788308473
Megamonas_Megamonas_unclassified,HILp_TF24,0.5948051948051948,0.0002073057402640125,0.036526033788308473
Blautia_Ruminococcus_obeum,HILp_TF20,0.5951107715813597,0.00020535596749824686,0.036526033788308473
Megasphaera_Megasphaera_unclassified,HILp_TF24,0.5941940412528648,0.00021125497375174397,0.03667448478146085
Erysipelotrichaceae_noname_Erysipelotrichaceae_bacterium_6_1_45,HILp_QI17012,0.5941940412528648,0.00021125497375174397,0.03667448478146085
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26870,-0.5938884644766997,0.00021325467924397648,0.03675140859087799
Anaerotruncus_Anaerotruncus_unclassified,HILp_QI8713,-0.5935828877005347,0.0002152712750099466,0.03683010726800608
Granulicatella_Granulicatella_unclassified,C8p_QI17913,0.5932773109243697,0.0002173048853321822,0.03691056361649512
Eubacterium_Eubacterium_rectale,HILp_QI16475,-0.5920550038197097,0.00022561198470277355,0.03699096499189224
Erysipelotrichaceae_noname_Erysipelotrichaceae_bacterium_2_2_44A,C8p_QI28795,0.5920550038197097,0.00022561198470277355,0.03699096499189224
Bilophila_Bilophila_unclassified,C8p_QI29291,-0.5923605805958746,0.00022350905796586775,0.03699096499189224
Odoribacter_Odoribacter_splanchnicus,C8p_QI26623,-0.5923605805958746,0.00022350905796586775,0.03699096499189224
Parabacteroides_Parabacteroides_distasonis,HILp_QI22565,0.5926661573720398,0.00022142365060662153,0.03699096499189224
Alistipes_Alistipes_putredinis,C8p_QI20760,-0.5905271199388846,0.0002363939216882733,0.037711219534190085
Lachnospiraceae_noname_Lachnospiraceae_bacterium_1_4_56FAA,C8p_QI29573,-0.5908326967150497,0.00023420146013504749,0.037711219534190085
Alistipes_Alistipes_putredinis,C8p_QI17913,-0.5905271199388846,0.0002363939216882733,0.037711219534190085
Odoribacter_Odoribacter_unclassified,HILp_QI12706,0.5905271199388846,0.0002363939216882733,0.037711219534190085
Lachnospiraceae_noname_Lachnospiraceae_bacterium_5_1_57FAA,C8p_QI23351,0.5899159663865545,0.0002408338779611895,0.03816166348096433
Bilophila_Bilophila_wadsworthia,HILn_QI32704,-0.5896103896103896,0.00024308163929656322,0.03826105002527905
Bacteroides_Bacteroides_cellulosilyticus,C8p_QI23351,-0.5880825057295646,0.0002546036832995716,0.03853807801642398
Ruminococcus_Ruminococcus_callidus,HILp_QI12359,0.5865546218487395,0.0002666104216194742,0.03853807801642398
Escherichia_Escherichia_unclassified,HILp_QI10831,0.5859434682964094,0.0002715527657292652,0.03853807801642398
Escherichia_Escherichia_coli,HILp_QI5364,0.5883880825057295,0.0002522610543092045,0.03853807801642398
Alistipes_Alistipes_sp_AP11,C18n_QI13911,-0.5859434682964094,0.0002715527657292652,0.03853807801642398
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26128,-0.5850267379679144,0.0002791194977047226,0.03853807801642398
Coprococcus_Coprococcus_comes,HILp_QI14503,-0.5850267379679144,0.0002791194977047226,0.03853807801642398
Bifidobacterium_Bifidobacterium_breve,C8p_QI27839,0.5871657754010694,0.0002617484455891644,0.03853807801642398
Bilophila_Bilophila_wadsworthia,C8p_QI27839,-0.5868601986249045,0.0002641694591149347,0.03853807801642398
Granulicella_Granulicella_unclassified,HILp_QI5364,-0.5880825057295646,0.0002546036832995716,0.03853807801642398
Granulicatella_Granulicatella_unclassified,HILp_QI17793,0.5874713521772346,0.00025934723906199714,0.03853807801642398
Alistipes_Alistipes_putredinis,HILp_QI13241,-0.5856378915202445,0.00027405443555021376,0.03853807801642398
Klebsiella_Klebsiella_oxytoca,HILp_QI10831,0.5871657754010694,0.0002617484455891644,0.03853807801642398
Paraprevotella_Paraprevotella_xylaniphila,HILp_QI14788,0.5886936592818945,0.00024993767279955065,0.03853807801642398
Bacteroides_Bacteroides_dorei,C8p_QI25662,-0.5850267379679144,0.0002791194977047226,0.03853807801642398
Klebsiella_Klebsiella_pneumoniae,HILp_QI20571,-0.5859434682964094,0.0002715527657292652,0.03853807801642398
Clostridium_Clostridium_scindens,C8p_QI25771,0.5889992360580596,0.0002476334009726685,0.03853807801642398
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,HILp_QI13241,-0.5856378915202445,0.00027405443555021376,0.03853807801642398
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,HILp_QI23019,-0.5868601986249045,0.0002641694591149347,0.03853807801642398
Streptococcus_Streptococcus_thermophilus,HILp_QI20509,-0.5850267379679144,0.0002791194977047226,0.03853807801642398
Clostridiales_noname_Clostridiales_bacterium_1_7_47FAA,HILp_QI1873,-0.5856378915202445,0.00027405443555021376,0.03853807801642398
Clostridium_Clostridium_clostridioforme,C18n_QI13912,0.5844155844155844,0.00028426783594262707,0.03857220463566336
Cellulophaga_Cellulophaga_unclassified,C8p_QI25142,0.5844155844155844,0.00028426783594262707,0.03857220463566336
Butyrivibrio_Butyrivibrio_unclassified,HILn_QI1418,-0.5847211611917493,0.0002816831834233729,0.03857220463566336
Clostridium_Clostridium_symbiosum,C8p_QI18810,0.5838044308632544,0.00028950063775361515,0.03905777175635916
Bacteroides_Bacteroides_dorei,HILp_QI22739,0.5831932773109243,0.0002948191046947763,0.039104938549683534
Clostridium_Clostridium_scindens,C8p_QI26158,0.5834988540870893,0.0002921490874326438,0.039104938549683534
Erysipelotrichaceae_noname_Erysipelotrichaceae_bacterium_6_1_45,HILp_QI11940,-0.5831932773109243,0.0002948191046947763,0.039104938549683534
Oscillibacter_Oscillibacter_sp_KLE_1745,HILp_QI11940,-0.5828877005347594,0.00029751084195344285,0.03924151384648483
Escherichia_Escherichia_unclassified,HILp_QI5364,0.5822765469824294,0.00030296009059340464,0.03930158098302354
Erysipelotrichaceae_noname_Clostridium_ramosum,HILn_QI500,0.5825821237585943,0.00030022445251713604,0.03930158098302354
Bilophila_Bilophila_wadsworthia,C8p_QI29041,-0.5822765469824294,0.00030296009059340464,0.03930158098302354
Clostridium_Clostridium_sp_KLE_1755,HILp_QI18165,0.5819709702062642,0.0003057179112928477,0.03944262232581494
Clostridium_Clostridium_clostridioforme,C18n_QI13828,0.5813598166539343,0.0003113007255429937,0.03994462027212001
Bilophila_Bilophila_wadsworthia,C8p_QI14976,-0.5810542398777693,0.0003141260338663041,0.040089273835586164
Bilophila_Bilophila_unclassified,C8p_QI18806,-0.5807486631016042,0.00031697415436606483,0.04023526765904726
Alistipes_Alistipes_sp_AP11,C18n_QI13830,-0.5804430863254393,0.00031984524672848603,0.040316819702103913
Paraprevotella_Paraprevotella_unclassified,HILp_QI23118,0.5801375095492741,0.0003227394715670326,0.040316819702103913
Granulicatella_Granulicatella_unclassified,HILp_TF52,0.5801375095492741,0.0003227394715670326,0.040316819702103913
Bilophila_Bilophila_wadsworthia,C8p_QI28675,-0.5795263559969441,0.0003285979657870745,0.04083262090648858
Erysipelotrichaceae_noname_Clostridium_innocuum,C8p_QI26158,0.5792207792207792,0.00033156256106846175,0.04098529877919572
Oscillibacter_Oscillibacter_sp_KLE_1745,HILn_QI608,-0.5789152024446141,0.00033455094063394034,0.04113931098107985
Adlercreutzia_Adlercreutzia_equolifaciens,HILp_QI11940,-0.5783040488922842,0.0003405997148129118,0.04118691907135362
Lachnospiraceae_noname_Lachnospiraceae_bacterium_2_1_58FAA,HILn_QI740,-0.5779984721161191,0.00034366044290794846,0.04118691907135362
Flavonifractor_Flavonifractor_plautii,HILp_QI23887,-0.5779984721161191,0.00034366044290794846,0.04118691907135362
Lachnospiraceae_noname_Lachnospiraceae_bacterium_1_4_56FAA,HILp_QI24700,-0.5779984721161191,0.00034366044290794846,0.04118691907135362
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26573,-0.5779984721161191,0.00034366044290794846,0.04118691907135362
Oscillibacter_Oscillibacter_sp_KLE_1745,HILp_QI13241,-0.5776928953399542,0.0003467456222584201,0.04134678859354191
Escherichia_Escherichia_unclassified,C8p_QI26482,0.5770817417876241,0.000352990012266256,0.04146315517217067
Anaerotruncus_Anaerotruncus_unclassified,HILp_TF20,0.5770817417876241,0.000352990012266256,0.04146315517217067
Granulicatella_Granulicatella_unclassified,C8p_QI13344,0.5770817417876241,0.000352990012266256,0.04146315517217067
Escherichia_Escherichia_unclassified,C8p_QI26870,0.576776165011459,0.0003561495641190316,0.041627184202229384
Alistipes_Alistipes_putredinis,C8p_QI15400,-0.5758594346829641,0.0003657797147565419,0.04172009210339109
Clostridium_Clostridium_sp_KLE_1755,HILp_QI14075,0.5761650114591291,0.00036254424183000943,0.04172009210339109
Lachnospiraceae_noname_Lachnospiraceae_bacterium_6_1_63FAA,HILp_QI10785,-0.5758594346829641,0.0003657797147565419,0.04172009210339109
Bilophila_Bilophila_wadsworthia,C8p_QI28202,-0.5761650114591291,0.00036254424183000943,0.04172009210339109
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,C8p_QI26043,-0.5758594346829641,0.0003657797147565419,0.04172009210339109
Bilophila_Bilophila_wadsworthia,C8p_QI25768,-0.575553857906799,0.0003690408434220304,0.041834333257861844
Clostridium_Clostridium_symbiosum,C8p_QI11747,0.5752482811306341,0.00037232780383601776,0.041834333257861844
Bacteroides_Bacteroides_dorei,HILp_QI22738,0.5749427043544689,0.00037564077300579035,0.041834333257861844
Lachnospiraceae_noname_Lachnospiraceae_bacterium_7_1_58FAA,HILp_QI11512,-0.5752482811306341,0.00037232780383601776,0.041834333257861844
Megamonas_Megamonas_unclassified,C18n_QI12734,-0.5749427043544689,0.00037564077300579035,0.041834333257861844
Bacteroides_Bacteroides_faecis,HILn_QI7792,0.574637127578304,0.0003789799289406034,0.042008056912148574
Coprococcus_Coprococcus_comes,C8p_QI27459,-0.5743315508021389,0.0003823454506559382,0.04218306584105935
Clostridium_Clostridium_symbiosum,C8p_QI23507,-0.5728036669213139,0.0003995748824535526,0.04367575451263138
Granulicella_Granulicella_unclassified,HILp_QI22263,0.5728036669213139,0.0003995748824535526,0.04367575451263138
Alistipes_Alistipes_sp_HGB5,HILn_QI1133,-0.5721925133689839,0.0004066575950913207,0.04404213678947744
Bilophila_Bilophila_wadsworthia,C8p_QI17913,-0.5721925133689839,0.0004066575950913207,0.04404213678947744
Odoribacter_Odoribacter_splanchnicus,C8p_QI17522,-0.5593582887700533,0.0005835669090507685,0.0441451861676918
Alistipes_Alistipes_shahii,C8p_QI21200,-0.5618029029793735,0.0005453838709637197,0.0441451861676918
Subdoligranulum_Subdoligranulum_unclassified,HILp_TF39,-0.5559969442322383,0.0006399289558632218,0.0441451861676918
Alistipes_Alistipes_shahii,C8p_QI28795,-0.5624140565317035,0.0005361911848560634,0.0441451861676918
Odoribacter_Odoribacter_splanchnicus,C8p_QI20974,0.5621084797555385,0.0005407702152355481,0.0441451861676918
Anaerotruncus_Anaerotruncus_unclassified,C8p_QI18606,-0.5639419404125287,0.0005138076134776165,0.0441451861676918
Bacteroidales_noname_Bacteroidales_bacterium_ph8,HILp_QI18523,-0.5630252100840336,0.000527136105195164,0.0441451861676918
Megamonas_Megamonas_unclassified,C8p_QI24232,0.5593582887700533,0.0005835669090507685,0.0441451861676918
Clostridium_Clostridium_clostridioforme,C18n_QI13902,0.5611917494270435,0.0005547159605686635,0.0441451861676918
Anaerotruncus_Anaerotruncus_unclassified,C8p_QI26043,-0.5673032849503437,0.0004674565299617224,0.0441451861676918
Bacteroides_Bacteroides_sp_2_1_22,HILp_TF21,-0.5596638655462185,0.0005786680412492221,0.0441451861676918
Granulicatella_Granulicatella_unclassified,C8p_QI18806,0.5602750190985485,0.0005689794547513923,0.0441451861676918
Flavonifractor_Flavonifractor_plautii,HILp_QI18275,-0.5685255920550037,0.00045154545657005485,0.0441451861676918
Granulicatella_Granulicatella_unclassified,C8p_QI28866,0.5553857906799083,0.0006506787287741104,0.0441451861676918
