treatment_id,drug_name,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
BRD:BRD-K81916719-001-13-9,,-0.5305,0.0003021690713302974,78,457,-0.9695,-0.8024,0.028830667785835273
BRD:BRD-A12230535-001-06-7,,-0.5288,0.0005220162256371378,78,457,-0.3496,-0.0271,0.039131999324136996
BRD:BRD-K21547160-001-01-4,,-0.5258,4.592256449604065e-05,78,457,-0.1071,0.062,0.008908977512231886
BRD:BRD-K71221037-001-01-6,,-0.5125,7.386108387379538e-05,85,471,-0.8025,-0.2126,0.011144816877846013
BRD:BRD-K89464729-001-03-1,,-0.5088,2.7300933064022957e-05,74,393,-0.5562,-0.2376,0.006620476268025567
BRD:BRD-A57886255-001-01-1,,-0.4961,6.498500978167057e-05,85,468,-0.5391,-0.0722,0.010762151619940076
BRD:BRD-A08545410-311-03-4,,-0.4896,0.00022431473441738732,77,447,-1.3582,-0.7535,0.023077227980213028
BRD:BRD-K42898655-001-01-8,,-0.4795,9.627377468874411e-05,85,473,-0.5325,-0.2393,0.013340794492583113
BRD:BRD-K70693421-001-01-1,genz-123346,-0.475,1.403834324422591e-06,118,756,-1.1108,-0.6651,0.0007622909903983098
BRD:BRD-K49597925-300-01-9,,-0.4747,0.0002859099633453599,74,393,-0.0901,0.0614,0.027733266444499912
BRD:BRD-K21833260-075-01-1,,-0.4691,0.000570138718561003,75,393,-0.0319,0.0572,0.04048030437519149
BRD:BRD-K99545815-001-06-3,,-0.4652,0.0004912480216095912,85,473,-1.0957,-0.7422,0.03867247310031784
BRD:BRD-K13183738-317-10-2,,-0.4512,0.0003899937037591466,85,468,-1.0614,-0.7048,0.03351971200664058
BRD:BRD-K59831625-001-01-6,,-0.4421,0.00012019724652366868,85,473,-2.6873,-2.0171,0.015067364639312188
BRD:BRD-A79768653-001-12-0,,-0.4388,8.270161662584829e-05,85,463,-0.2595,0.0817,0.012207477758467606
BRD:BRD-K91825936-001-01-2,,-0.4279,0.00010125452541167909,84,471,-0.16,0.129,0.013480749559711784
BRD:BRD-K80359953-001-01-3,,-0.4271,0.00012870502931960337,85,451,-0.1257,0.0497,0.015067364639312188
BRD:BRD-K04843302-001-02-5,,-0.4261,0.00020015275672945,74,393,0.1094,0.2508,0.02164428788792094
BRD:BRD-K13169950-001-14-4,,-0.4258,0.0003226035272258617,85,465,-1.9504,-1.3767,0.029206372664848008
BRD:BRD-A27883417-300-01-6,,-0.4206,0.0005351474549856548,84,458,-1.538,-1.0189,0.039131999324136996
BRD:BRD-K19333160-001-01-3,,-0.4206,0.0006714839903596545,85,469,-0.0849,0.1122,0.04342263137659099
BRD:BRD-K03128577-005-08-9,MG-624,-0.4098,2.5373807890614477e-06,118,754,-0.6777,-0.3443,0.001076800972357952
BRD:BRD-K04853698-376-01-4,LDN193189,-0.4083,2.2974868417836184e-05,118,754,-6.1334,-5.2991,0.005777753946559544
BRD:BRD-K54395039-001-01-7,,-0.405,0.000535975837576545,85,473,-0.2144,0.0906,0.039131999324136996
BRD:BRD-K66956375-001-11-3,,-0.402,0.0006504736917242364,85,471,-0.2781,-0.0924,0.042515171936941036
BRD:BRD-K46843573-001-01-9,,-0.3941,0.0006269240674334258,85,451,-0.2598,-0.0421,0.04214667740468278
BRD:BRD-K15360631-325-01-4,,-0.3938,0.0004752809711028607,84,451,-0.0903,0.0434,0.03796656227986381
BRD:BRD-K69726595-001-01-2,,-0.3793,0.00024318679300101828,85,471,-0.3922,-0.0073,0.024282916536425208
BRD:BRD-K00004636-001-01-9,DpC,-0.3732,0.00023137323304742375,117,752,-6.0136,-4.8937,0.02344812317002996
BRD:BRD-K00003162-001-01-9,crolibulin,-0.3686,0.0005902135689460909,118,756,-4.0594,-3.5616,0.04048030437519149
BRD:BRD-K62304154-001-04-2,,-0.3675,0.0005113397519052961,78,457,-0.4958,-0.2051,0.039131999324136996
BRD:BRD-K00004750-001-01-9,PF-06873600,-0.3645,0.0007136119938499914,117,752,-2.0413,-1.598,0.04486505035408742
BRD:BRD-K37069697-001-01-3,,-0.3643,0.00045290524061915045,85,463,-0.1316,0.1306,0.03736200929066298
BRD:BRD-K11443721-003-01-6,,-0.3551,0.00014908654562102513,84,451,-0.0166,0.1173,0.016871627412779346
BRD:BRD-K09774593-001-02-9,S-trityl-L-cysteine,-0.3456,6.037121958355188e-05,118,754,-2.0779,-1.4414,0.010510784127495315
BRD:BRD-K88767641-001-01-7,AZD5582,-0.3158,0.00043793297894244505,118,754,-1.523,-1.1587,0.03698336701789513
