cancer_type,drug,mechanism,stratum,cohens_d,p_value,n_lost,n_intact,median_sens_lost,median_sens_intact,fdr
Skin,wortmannin,"PI3K inhibitor (pan, research tool)",all,-0.2011,0.16391638324520819,15,38,-0.7235,-0.4754,0.49174914973562456
Breast,wortmannin,"PI3K inhibitor (pan, research tool)",all,-0.0735,0.7490449977657988,8,24,-0.7531,-1.0695,0.9319359520560819
Bowel,wortmannin,"PI3K inhibitor (pan, research tool)",all,0.1446,0.9368548710653974,5,35,-0.6643,-0.7412,0.9490218174428702
Ovary/Fallopian Tube,wortmannin,"PI3K inhibitor (pan, research tool)",all,0.1884,0.8849105362524475,7,36,-0.8995,-0.7226,0.9490218174428702
Lymphoid,wortmannin,"PI3K inhibitor (pan, research tool)",all,-0.3143,0.09290328709689513,10,70,-1.3533,-0.8883,0.4481591476047684
Lung,wortmannin,"PI3K inhibitor (pan, research tool)",all,0.2793,0.5419742686190971,5,112,-0.7256,-0.702,0.8217325786931203
Esophagus/Stomach,wortmannin,"PI3K inhibitor (pan, research tool)",all,0.3382,0.9330827067669172,3,54,-1.1678,-0.8845,0.9490218174428702
Pan-cancer (pooled),GDC-0077,PI3Kα inhibitor (inavolisib),all,0.4444,4.055041158510468e-06,117,752,-0.1182,-0.3582,0.00015814660518190826
Uterus,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.4339,0.31648252701917823,19,14,-0.4462,-0.6045,0.730986412669211
CNS/Brain,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.4738,0.11658668150013213,29,30,0.1644,-0.068,0.4546880578505153
Skin,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.3704,0.36340003355192696,15,37,-0.0885,-0.1373,0.7429948332095161
Breast,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.396,0.12405255602141033,8,24,-0.0161,-0.4854,0.46076663665095263
Bowel,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.0285,0.8740744793376374,5,35,-0.5048,-0.3574,0.9490218174428702
Ovary/Fallopian Tube,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.0884,0.8595666586829975,7,36,-0.5171,-0.4469,0.9490218174428702
Lymphoid,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.1942,0.880273138193018,9,68,-0.3709,-0.3453,0.9490218174428702
Lung,GDC-0077,PI3Kα inhibitor (inavolisib),all,-0.2737,0.3467499649841129,5,113,-0.9656,-0.2495,0.730986412669211
Esophagus/Stomach,GDC-0077,PI3Kα inhibitor (inavolisib),all,0.7549,0.3064935064935065,3,53,0.0829,-0.4513,0.730986412669211
Pan-cancer (pooled),GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.4666,7.59648790692971e-06,105,692,-0.1068,-0.3286,0.00019750868558017246
Uterus,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.2641,0.4335620217098579,15,13,-0.3465,-0.5849,0.7759548231753111
CNS/Brain,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.4738,0.11658668150013213,29,30,0.1644,-0.068,0.4546880578505153
Skin,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.2494,0.525358404466242,15,35,-0.0885,-0.1358,0.8217325786931203
Breast,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.5603,0.34029927760577916,6,15,-0.0161,-0.3842,0.730986412669211
Bowel,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,-0.3925,0.39072039072039066,3,25,-0.7113,-0.324,0.7429948332095161
Ovary/Fallopian Tube,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,-0.1115,0.6250795772854595,5,31,-0.5171,-0.3617,0.8670900817715222
Lymphoid,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,0.1671,0.9359337661970162,9,67,-0.3709,-0.3232,0.9490218174428702
Lung,GDC-0077,PI3Kα inhibitor (inavolisib),excl_PIK3CA_hotspot,-0.3385,0.3028045723667522,5,109,-0.9656,-0.2387,0.730986412669211
Pan-cancer (pooled),PI3Kd-IN-2,PI3Kδ inhibitor,all,0.0325,0.9902672243961879,117,757,-0.1319,-0.1432,0.9902672243961879
Uterus,PI3Kd-IN-2,PI3Kδ inhibitor,all,0.0633,0.7021112948557404,19,14,-0.3066,-0.1266,0.9282149321821652
CNS/Brain,PI3Kd-IN-2,PI3Kδ inhibitor,all,-0.2516,0.39163790762986606,29,30,-0.177,-0.1238,0.7429948332095161
Skin,PI3Kd-IN-2,PI3Kδ inhibitor,all,-0.216,0.5470267998655614,15,38,-0.0841,-0.0681,0.8217325786931203
Breast,PI3Kd-IN-2,PI3Kδ inhibitor,all,0.3962,0.4540051148949927,8,24,-0.1289,-0.1509,0.7759548231753111
Bowel,PI3Kd-IN-2,PI3Kδ inhibitor,all,0.4324,0.6336427520638047,5,35,-0.0201,0.0011,0.8670900817715222
Ovary/Fallopian Tube,PI3Kd-IN-2,PI3Kδ inhibitor,all,0.7716,0.028891717550403408,7,36,0.0396,-0.1861,0.18779616407762215
Lymphoid,PI3Kd-IN-2,PI3Kδ inhibitor,all,0.3293,0.5702716089564425,10,69,-0.1326,-0.2166,0.8392676509170286
Lung,PI3Kd-IN-2,PI3Kδ inhibitor,all,-0.8145,0.020523956553711524,5,113,-0.4885,-0.0765,0.1600868611189499
Esophagus/Stomach,PI3Kd-IN-2,PI3Kδ inhibitor,all,-1.1794,0.8797676008202323,3,54,-0.0996,-0.1389,0.9490218174428702
Pan-cancer (pooled),GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,0.1958,0.022583074636733796,117,752,-2.0926,-2.3845,0.16013452924229418
Uterus,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,-0.3279,0.5478217191287469,19,14,-2.4538,-2.1228,0.8217325786931203
CNS/Brain,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,0.357,0.4000741409589702,29,30,-1.8069,-1.9349,0.7429948332095161
Skin,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,-0.1103,0.7619138785921644,15,37,-2.0926,-1.8828,0.9319359520560819
Breast,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,0.8377,0.017626992955135336,8,24,-1.2211,-3.0856,0.1527672722778396
Bowel,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,-0.1158,0.7813765182186235,5,35,-2.3358,-1.7494,0.9376518218623483
Ovary/Fallopian Tube,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,-0.5975,0.15555158475419992,7,36,-2.7483,-2.3514,0.48532094443310375
Lymphoid,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,-0.0857,0.7571895728793728,9,68,-2.6571,-2.6252,0.9319359520560819
Lung,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,0.0256,0.6125586764018662,5,113,-1.5803,-2.262,0.8670900817715222
Esophagus/Stomach,GDC-0084,PI3K/mTOR dual inhibitor (brain-penetrant),all,1.1263,0.11406926406926406,3,53,-2.0669,-2.5795,0.4546880578505153
Pan-cancer (pooled),CC-223,mTOR inhibitor (catalytic),all,0.0275,0.7349345294450053,118,756,-1.7279,-1.6255,0.9319359520560819
Uterus,CC-223,mTOR inhibitor (catalytic),all,-0.5447,0.1959696922579418,19,14,-1.9159,-1.5048,0.5459155712899808
CNS/Brain,CC-223,mTOR inhibitor (catalytic),all,-0.1969,0.312095737015892,29,29,-1.6952,-1.3522,0.730986412669211
Skin,CC-223,mTOR inhibitor (catalytic),all,-0.3618,0.1826023778113639,15,38,-1.7034,-1.4309,0.5275179803439402
Breast,CC-223,mTOR inhibitor (catalytic),all,0.3668,0.33447724442162713,8,24,-1.2451,-1.6974,0.730986412669211
Bowel,CC-223,mTOR inhibitor (catalytic),all,-0.1535,0.6054668028352239,5,35,-1.5666,-1.2377,0.8670900817715222
Ovary/Fallopian Tube,CC-223,mTOR inhibitor (catalytic),all,-0.6711,0.07819094731355532,7,36,-2.0331,-1.5036,0.40659292603048763
Lymphoid,CC-223,mTOR inhibitor (catalytic),all,0.1199,0.9246634603370076,10,70,-1.8255,-1.6761,0.9490218174428702
Lung,CC-223,mTOR inhibitor (catalytic),all,0.1825,0.8293034164369572,5,112,-1.5166,-1.6275,0.9490218174428702
Esophagus/Stomach,CC-223,mTOR inhibitor (catalytic),all,0.7053,0.13540669856459328,3,54,-0.9812,-1.8657,0.4800782949108307
