gene,cell_type,condition,patient,gsm,mean_expr,total_expr,n_cells,pct_expressing
COLEC11,Monocyte,post,Patient_3,GSM8879036,0.00016231131309852296,1.0,6161,0.016231131309852296
COLEC11,Monocyte,post,Patient_4,GSM8879037,0.0008928571428571428,8.0,8960,0.08928571428571429
COLEC11,Monocyte,post,Patient_5,GSM8879038,0.00042414816909373674,3.0,7073,0.028276544606249118
COLEC11,Monocyte,pre,Patient_1,GSM8879029,0.0004729250413809411,2.0,4229,0.04729250413809411
COLEC11,Monocyte,pre,Patient_2,GSM8879030,0.0,0.0,5720,0.0
COLEC11,Monocyte,pre,Patient_3,GSM8879031,0.0006550933508024893,2.0,3053,0.03275466754012447
COLEC11,Monocyte,pre,Patient_5,GSM8879033,0.00031496062992125983,1.0,3175,0.031496062992125984
COLEC11,NK_cell,control,Control_2,GSM8879040,0.0,0.0,691,0.0
COLEC11,NK_cell,control,Control_4,GSM8879042,0.0,0.0,331,0.0
COLEC11,NK_cell,post,Patient_1,GSM8879034,0.0,0.0,56,0.0
COLEC11,NK_cell,post,Patient_2,GSM8879035,0.0,0.0,315,0.0
COLEC11,NK_cell,post,Patient_3,GSM8879036,0.0,0.0,379,0.0
COLEC11,NK_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
COLEC11,NK_cell,post,Patient_5,GSM8879038,0.0,0.0,79,0.0
COLEC11,NK_cell,pre,Patient_1,GSM8879029,0.0,0.0,328,0.0
COLEC11,NK_cell,pre,Patient_2,GSM8879030,0.0,0.0,898,0.0
COLEC11,NK_cell,pre,Patient_3,GSM8879031,0.0016375545851528383,3.0,1832,0.10917030567685589
COLEC11,NK_cell,pre,Patient_5,GSM8879033,0.005797101449275362,2.0,345,0.2898550724637681
COLEC11,Neutrophil,control,Control_2,GSM8879040,0.0,0.0,3514,0.0
COLEC11,Neutrophil,control,Control_4,GSM8879042,0.0,0.0,5901,0.0
COLEC11,Neutrophil,post,Patient_1,GSM8879034,0.000258732212160414,1.0,3865,0.0258732212160414
COLEC11,Neutrophil,post,Patient_2,GSM8879035,0.0009624639076034649,1.0,1039,0.0962463907603465
COLEC11,Neutrophil,post,Patient_3,GSM8879036,0.0,0.0,4919,0.0
COLEC11,Neutrophil,post,Patient_4,GSM8879037,0.0006637902422834385,2.0,3013,0.06637902422834385
COLEC11,Neutrophil,post,Patient_5,GSM8879038,0.0006031363088057901,1.0,1658,0.060313630880579006
COLEC11,Neutrophil,pre,Patient_1,GSM8879029,0.0,0.0,5296,0.0
COLEC11,Neutrophil,pre,Patient_2,GSM8879030,0.0,0.0,1053,0.0
COLEC11,Neutrophil,pre,Patient_3,GSM8879031,0.0002994011976047904,1.0,3340,0.029940119760479042
COLEC11,Neutrophil,pre,Patient_5,GSM8879033,0.0,0.0,3468,0.0
COLEC11,T_cell,control,Control_2,GSM8879040,0.0005685048322910744,1.0,1759,0.05685048322910744
COLEC11,T_cell,control,Control_4,GSM8879042,0.0005662514156285391,1.0,1766,0.05662514156285391
COLEC11,T_cell,post,Patient_1,GSM8879034,0.0,0.0,101,0.0
COLEC11,T_cell,post,Patient_2,GSM8879035,0.004467609828741623,12.0,2686,0.18615040953090098
COLEC11,T_cell,post,Patient_3,GSM8879036,0.0,0.0,362,0.0
COLEC11,T_cell,post,Patient_4,GSM8879037,0.0,0.0,7,0.0
COLEC11,T_cell,post,Patient_5,GSM8879038,0.0,0.0,879,0.0
COLEC11,T_cell,pre,Patient_1,GSM8879029,0.0,0.0,1617,0.0
COLEC11,T_cell,pre,Patient_2,GSM8879030,0.0008718395815170009,3.0,3441,0.058122638767800064
COLEC11,T_cell,pre,Patient_3,GSM8879031,0.00072992700729927,2.0,2740,0.0364963503649635
COLEC11,T_cell,pre,Patient_5,GSM8879033,0.0002651113467656416,1.0,3772,0.02651113467656416
COLEC11,Unassigned,control,Control_2,GSM8879040,0.01282051282051282,2.0,156,0.641025641025641
COLEC11,Unassigned,control,Control_4,GSM8879042,0.0,0.0,35,0.0
COLEC11,Unassigned,post,Patient_1,GSM8879034,0.0,0.0,12,0.0
COLEC11,Unassigned,post,Patient_2,GSM8879035,0.0,0.0,32,0.0
COLEC11,Unassigned,post,Patient_3,GSM8879036,0.0,0.0,32,0.0
COLEC11,Unassigned,post,Patient_4,GSM8879037,0.0,0.0,14,0.0
COLEC11,Unassigned,post,Patient_5,GSM8879038,0.0,0.0,1824,0.0
COLEC11,Unassigned,pre,Patient_1,GSM8879029,0.0,0.0,85,0.0
COLEC11,Unassigned,pre,Patient_2,GSM8879030,0.0,0.0,120,0.0
COLEC11,Unassigned,pre,Patient_3,GSM8879031,0.0,0.0,46,0.0
COLEC11,Unassigned,pre,Patient_5,GSM8879033,0.0,0.0,55,0.0
FCN1,B_cell,control,Control_1,GSM8879039,0.08178438661710037,66.0,807,7.187112763320942
FCN1,B_cell,control,Control_2,GSM8879040,0.08680142687277051,73.0,841,7.13436385255648
FCN1,B_cell,control,Control_3,GSM8879041,0.11824324324324324,70.0,592,9.797297297297296
FCN1,B_cell,control,Control_4,GSM8879042,0.15814696485623003,99.0,626,11.821086261980831
FCN1,B_cell,post,Patient_1,GSM8879034,0.4827586206896552,28.0,58,39.6551724137931
FCN1,B_cell,post,Patient_2,GSM8879035,0.13099041533546327,123.0,939,11.92758253461129
FCN1,B_cell,post,Patient_3,GSM8879036,0.4444444444444444,48.0,108,32.407407407407405
FCN1,B_cell,post,Patient_4,GSM8879037,0.5,1.0,2,50.0
FCN1,B_cell,post,Patient_5,GSM8879038,0.054373522458628844,23.0,423,4.25531914893617
FCN1,B_cell,pre,Patient_1,GSM8879029,0.20319634703196346,89.0,438,15.753424657534246
FCN1,B_cell,pre,Patient_2,GSM8879030,0.16374269005847952,112.0,684,12.865497076023392
FCN1,B_cell,pre,Patient_3,GSM8879031,0.2054794520547945,195.0,949,17.070600632244467
FCN1,B_cell,pre,Patient_4,GSM8879032,0.01694915254237288,2.0,118,1.694915254237288
FCN1,B_cell,pre,Patient_5,GSM8879033,0.32865907099035935,375.0,1141,22.699386503067483
FCN1,DC,control,Control_1,GSM8879039,0.08108108108108109,6.0,74,6.756756756756757
FCN1,DC,control,Control_2,GSM8879040,0.19148936170212766,9.0,47,8.51063829787234
FCN1,DC,control,Control_3,GSM8879041,0.35714285714285715,10.0,28,17.857142857142858
FCN1,DC,control,Control_4,GSM8879042,0.125,3.0,24,12.5
FCN1,DC,post,Patient_1,GSM8879034,0.7777777777777778,7.0,9,44.44444444444444
FCN1,DC,post,Patient_2,GSM8879035,0.13725490196078433,7.0,51,13.725490196078432
FCN1,DC,post,Patient_3,GSM8879036,0.3076923076923077,12.0,39,20.51282051282051
FCN1,DC,post,Patient_4,GSM8879037,1.0,2.0,2,50.0
FCN1,DC,post,Patient_5,GSM8879038,0.078125,5.0,64,6.25
FCN1,DC,pre,Patient_1,GSM8879029,0.0,0.0,7,0.0
FCN1,DC,pre,Patient_2,GSM8879030,0.10714285714285714,9.0,84,9.523809523809524
FCN1,DC,pre,Patient_3,GSM8879031,0.275,11.0,40,22.5
FCN1,DC,pre,Patient_4,GSM8879032,0.05555555555555555,3.0,54,3.7037037037037033
FCN1,DC,pre,Patient_5,GSM8879033,0.3181818181818182,14.0,44,25.0
FCN1,Monocyte,control,Control_1,GSM8879039,4.03226779252111,13371.0,3316,40.04825090470446
FCN1,Monocyte,control,Control_2,GSM8879040,3.8279246794871793,19109.0,4992,41.125801282051285
FCN1,Monocyte,control,Control_3,GSM8879041,2.3027758738862234,13439.0,5836,36.18917066483893
FCN1,Monocyte,control,Control_4,GSM8879042,6.5827555019596025,21835.0,3317,63.09918601145613
FCN1,Monocyte,post,Patient_1,GSM8879034,9.569312571211546,75588.0,7899,93.87264210659578
FCN1,Monocyte,post,Patient_2,GSM8879035,2.9925050446814643,20762.0,6938,51.599884692995104
FCN1,Monocyte,post,Patient_3,GSM8879036,6.250121733484824,38507.0,6161,75.36114267164422
FCN1,Monocyte,post,Patient_4,GSM8879037,5.675892857142857,50856.0,8960,94.85491071428571
FCN1,Monocyte,post,Patient_5,GSM8879038,1.9831754559592818,14027.0,7073,26.283048211508554
FCN1,Monocyte,pre,Patient_1,GSM8879029,6.970915109955072,29480.0,4229,64.38874438401513
FCN1,Monocyte,pre,Patient_2,GSM8879030,3.650174825174825,20879.0,5720,51.76573426573427
FCN1,Monocyte,pre,Patient_3,GSM8879031,7.167376351130036,21882.0,3053,62.26662299377661
FCN1,Monocyte,pre,Patient_4,GSM8879032,1.0384135694686953,4163.0,4009,22.07533050636069
FCN1,Monocyte,pre,Patient_5,GSM8879033,8.103307086614173,25728.0,3175,62.39370078740157
FCN1,NK_cell,control,Control_1,GSM8879039,0.09040959040959042,181.0,2002,6.993006993006993
FCN1,NK_cell,control,Control_2,GSM8879040,0.11287988422575977,78.0,691,7.091172214182344
FCN1,NK_cell,control,Control_3,GSM8879041,0.10494571773220748,87.0,829,9.288299155609167
FCN1,NK_cell,control,Control_4,GSM8879042,0.1419939577039275,47.0,331,11.178247734138973
FCN1,NK_cell,post,Patient_1,GSM8879034,0.44642857142857145,25.0,56,30.357142857142854
FCN1,NK_cell,post,Patient_2,GSM8879035,0.17142857142857143,54.0,315,13.65079365079365
FCN1,NK_cell,post,Patient_3,GSM8879036,0.34300791556728233,130.0,379,26.121372031662272
FCN1,NK_cell,post,Patient_4,GSM8879037,1.5,3.0,2,100.0
FCN1,NK_cell,post,Patient_5,GSM8879038,0.0379746835443038,3.0,79,3.79746835443038
FCN1,NK_cell,pre,Patient_1,GSM8879029,0.2073170731707317,68.0,328,16.76829268292683
FCN1,NK_cell,pre,Patient_2,GSM8879030,0.18151447661469933,163.0,898,14.365256124721604
FCN1,NK_cell,pre,Patient_3,GSM8879031,0.1937772925764192,355.0,1832,15.174672489082969
FCN1,NK_cell,pre,Patient_4,GSM8879032,0.010869565217391304,1.0,92,1.0869565217391304
FCN1,NK_cell,pre,Patient_5,GSM8879033,0.263768115942029,91.0,345,21.15942028985507
FCN1,Neutrophil,control,Control_1,GSM8879039,0.24893917963224893,880.0,3535,15.671852899575672
FCN1,Neutrophil,control,Control_2,GSM8879040,0.2814456459874787,989.0,3514,17.273762094479224
FCN1,Neutrophil,control,Control_3,GSM8879041,0.36612193588937775,1165.0,3182,21.244500314267757
FCN1,Neutrophil,control,Control_4,GSM8879042,0.7466531096424335,4406.0,5901,34.96017624131503
FCN1,Neutrophil,post,Patient_1,GSM8879034,1.7591203104786546,6799.0,3865,65.35575679172057
FCN1,Neutrophil,post,Patient_2,GSM8879035,0.8142444658325313,846.0,1039,38.59480269489894
FCN1,Neutrophil,post,Patient_3,GSM8879036,1.5614962390729823,7681.0,4919,57.69465338483432
FCN1,Neutrophil,post,Patient_4,GSM8879037,2.1271158313972784,6409.0,3013,78.29405907733157
FCN1,Neutrophil,post,Patient_5,GSM8879038,0.4879372738238842,809.0,1658,16.344993968636913
FCN1,Neutrophil,pre,Patient_1,GSM8879029,1.1357628398791542,6015.0,5296,41.786253776435046
FCN1,Neutrophil,pre,Patient_2,GSM8879030,0.48338081671415006,509.0,1053,26.875593542260205
FCN1,Neutrophil,pre,Patient_3,GSM8879031,0.7652694610778443,2556.0,3340,36.73652694610779
FCN1,Neutrophil,pre,Patient_4,GSM8879032,0.2914485165794066,167.0,573,12.56544502617801
FCN1,Neutrophil,pre,Patient_5,GSM8879033,1.2107843137254901,4199.0,3468,46.1361014994233
FCN1,T_cell,control,Control_1,GSM8879039,0.07670182166826463,160.0,2086,6.327900287631831
FCN1,T_cell,control,Control_2,GSM8879040,0.06367254121660035,112.0,1759,5.57134735645253
FCN1,T_cell,control,Control_3,GSM8879041,0.11469534050179211,160.0,1395,10.03584229390681
FCN1,T_cell,control,Control_4,GSM8879042,0.11268403171007928,199.0,1766,9.343148357870895
FCN1,T_cell,post,Patient_1,GSM8879034,0.3465346534653465,35.0,101,29.7029702970297
FCN1,T_cell,post,Patient_2,GSM8879035,0.12546537602382726,337.0,2686,10.982874162323156
FCN1,T_cell,post,Patient_3,GSM8879036,0.3287292817679558,119.0,362,25.13812154696133
FCN1,T_cell,post,Patient_4,GSM8879037,0.14285714285714285,1.0,7,14.285714285714285
FCN1,T_cell,post,Patient_5,GSM8879038,0.055745164960182024,49.0,879,4.778156996587031
FCN1,T_cell,pre,Patient_1,GSM8879029,0.17006802721088435,275.0,1617,13.91465677179963
FCN1,T_cell,pre,Patient_2,GSM8879030,0.15315315315315314,527.0,3441,11.595466434176112
FCN1,T_cell,pre,Patient_3,GSM8879031,0.16970802919708028,465.0,2740,14.343065693430656
FCN1,T_cell,pre,Patient_4,GSM8879032,0.039711191335740074,11.0,277,3.6101083032490973
FCN1,T_cell,pre,Patient_5,GSM8879033,0.2582184517497349,974.0,3772,20.174973488865326
FCN1,Unassigned,control,Control_1,GSM8879039,0.0,0.0,180,0.0
FCN1,Unassigned,control,Control_2,GSM8879040,0.0,0.0,156,0.0
FCN1,Unassigned,control,Control_3,GSM8879041,0.0,0.0,138,0.0
FCN1,Unassigned,control,Control_4,GSM8879042,0.0,0.0,35,0.0
FCN1,Unassigned,post,Patient_1,GSM8879034,0.0,0.0,12,0.0
FCN1,Unassigned,post,Patient_2,GSM8879035,0.0,0.0,32,0.0
FCN1,Unassigned,post,Patient_3,GSM8879036,0.0,0.0,32,0.0
FCN1,Unassigned,post,Patient_4,GSM8879037,0.0,0.0,14,0.0
FCN1,Unassigned,post,Patient_5,GSM8879038,0.0,0.0,1824,0.0
FCN1,Unassigned,pre,Patient_1,GSM8879029,0.0,0.0,85,0.0
FCN1,Unassigned,pre,Patient_2,GSM8879030,0.0,0.0,120,0.0
FCN1,Unassigned,pre,Patient_3,GSM8879031,0.0,0.0,46,0.0
FCN1,Unassigned,pre,Patient_4,GSM8879032,0.0,0.0,6877,0.0
FCN1,Unassigned,pre,Patient_5,GSM8879033,0.0,0.0,55,0.0
FCN2,B_cell,control,Control_1,GSM8879039,0.0,0.0,807,0.0
FCN2,B_cell,control,Control_2,GSM8879040,0.0,0.0,841,0.0
FCN2,B_cell,control,Control_3,GSM8879041,0.0,0.0,592,0.0
FCN2,B_cell,control,Control_4,GSM8879042,0.0,0.0,626,0.0
FCN2,B_cell,post,Patient_1,GSM8879034,0.0,0.0,58,0.0
FCN2,B_cell,post,Patient_2,GSM8879035,0.0,0.0,939,0.0
FCN2,B_cell,post,Patient_3,GSM8879036,0.0,0.0,108,0.0
FCN2,B_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN2,B_cell,post,Patient_5,GSM8879038,0.0,0.0,423,0.0
FCN2,B_cell,pre,Patient_1,GSM8879029,0.0,0.0,438,0.0
FCN2,B_cell,pre,Patient_2,GSM8879030,0.0,0.0,684,0.0
FCN2,B_cell,pre,Patient_3,GSM8879031,0.0,0.0,949,0.0
FCN2,B_cell,pre,Patient_4,GSM8879032,0.0,0.0,118,0.0
FCN2,B_cell,pre,Patient_5,GSM8879033,0.0,0.0,1141,0.0
FCN2,DC,control,Control_1,GSM8879039,0.0,0.0,74,0.0
FCN2,DC,control,Control_2,GSM8879040,0.0,0.0,47,0.0
FCN2,DC,control,Control_3,GSM8879041,0.0,0.0,28,0.0
FCN2,DC,control,Control_4,GSM8879042,0.0,0.0,24,0.0
FCN2,DC,post,Patient_1,GSM8879034,0.0,0.0,9,0.0
FCN2,DC,post,Patient_2,GSM8879035,0.0,0.0,51,0.0
FCN2,DC,post,Patient_3,GSM8879036,0.0,0.0,39,0.0
FCN2,DC,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN2,DC,post,Patient_5,GSM8879038,0.0,0.0,64,0.0
FCN2,DC,pre,Patient_1,GSM8879029,0.0,0.0,7,0.0
FCN2,DC,pre,Patient_2,GSM8879030,0.0,0.0,84,0.0
FCN2,DC,pre,Patient_3,GSM8879031,0.0,0.0,40,0.0
FCN2,DC,pre,Patient_4,GSM8879032,0.0,0.0,54,0.0
FCN2,DC,pre,Patient_5,GSM8879033,0.0,0.0,44,0.0
FCN2,Monocyte,control,Control_1,GSM8879039,0.0018094089264173703,6.0,3316,0.18094089264173704
FCN2,Monocyte,control,Control_2,GSM8879040,0.0018028846153846155,9.0,4992,0.18028846153846154
FCN2,Monocyte,control,Control_3,GSM8879041,0.001199451679232351,7.0,5836,0.11994516792323509
FCN2,Monocyte,control,Control_4,GSM8879042,0.003316249623153452,11.0,3317,0.33162496231534516
FCN2,Monocyte,post,Patient_1,GSM8879034,0.0008861881250791239,7.0,7899,0.0886188125079124
FCN2,Monocyte,post,Patient_2,GSM8879035,0.0014413375612568463,10.0,6938,0.11530700490054771
FCN2,Monocyte,post,Patient_3,GSM8879036,0.0037331602012660283,23.0,6161,0.3733160201266028
FCN2,Monocyte,post,Patient_4,GSM8879037,0.0005580357142857143,5.0,8960,0.055803571428571425
FCN2,Monocyte,post,Patient_5,GSM8879038,0.0028276544606249117,20.0,7073,0.24035062915311747
FCN2,Monocyte,pre,Patient_1,GSM8879029,0.003310475289666588,14.0,4229,0.3310475289666588
FCN2,Monocyte,pre,Patient_2,GSM8879030,0.0013986013986013986,8.0,5720,0.13986013986013987
FCN2,Monocyte,pre,Patient_3,GSM8879031,0.003275466754012447,10.0,3053,0.3275466754012447
FCN2,Monocyte,pre,Patient_4,GSM8879032,0.0022449488650536295,9.0,4009,0.1995510102269893
FCN2,Monocyte,pre,Patient_5,GSM8879033,0.004724409448818898,15.0,3175,0.4409448818897638
FCN2,NK_cell,control,Control_1,GSM8879039,0.0004995004995004995,1.0,2002,0.04995004995004995
FCN2,NK_cell,control,Control_2,GSM8879040,0.0,0.0,691,0.0
FCN2,NK_cell,control,Control_3,GSM8879041,0.0,0.0,829,0.0
FCN2,NK_cell,control,Control_4,GSM8879042,0.0,0.0,331,0.0
FCN2,NK_cell,post,Patient_1,GSM8879034,0.0,0.0,56,0.0
FCN2,NK_cell,post,Patient_2,GSM8879035,0.0,0.0,315,0.0
FCN2,NK_cell,post,Patient_3,GSM8879036,0.0,0.0,379,0.0
FCN2,NK_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN2,NK_cell,post,Patient_5,GSM8879038,0.0,0.0,79,0.0
FCN2,NK_cell,pre,Patient_1,GSM8879029,0.0,0.0,328,0.0
FCN2,NK_cell,pre,Patient_2,GSM8879030,0.0,0.0,898,0.0
FCN2,NK_cell,pre,Patient_3,GSM8879031,0.0,0.0,1832,0.0
FCN2,NK_cell,pre,Patient_4,GSM8879032,0.0,0.0,92,0.0
FCN2,NK_cell,pre,Patient_5,GSM8879033,0.0,0.0,345,0.0
FCN2,Neutrophil,control,Control_1,GSM8879039,0.0005657708628005657,2.0,3535,0.056577086280056574
FCN2,Neutrophil,control,Control_2,GSM8879040,0.0,0.0,3514,0.0
FCN2,Neutrophil,control,Control_3,GSM8879041,0.0,0.0,3182,0.0
FCN2,Neutrophil,control,Control_4,GSM8879042,0.0001694628029147602,1.0,5901,0.01694628029147602
FCN2,Neutrophil,post,Patient_1,GSM8879034,0.000258732212160414,1.0,3865,0.0258732212160414
FCN2,Neutrophil,post,Patient_2,GSM8879035,0.0,0.0,1039,0.0
FCN2,Neutrophil,post,Patient_3,GSM8879036,0.00020329335230737954,1.0,4919,0.020329335230737954
FCN2,Neutrophil,post,Patient_4,GSM8879037,0.0006637902422834385,2.0,3013,0.06637902422834385
FCN2,Neutrophil,post,Patient_5,GSM8879038,0.0006031363088057901,1.0,1658,0.060313630880579006
FCN2,Neutrophil,pre,Patient_1,GSM8879029,0.0,0.0,5296,0.0
FCN2,Neutrophil,pre,Patient_2,GSM8879030,0.000949667616334283,1.0,1053,0.0949667616334283
FCN2,Neutrophil,pre,Patient_3,GSM8879031,0.0,0.0,3340,0.0
FCN2,Neutrophil,pre,Patient_4,GSM8879032,0.0,0.0,573,0.0
FCN2,Neutrophil,pre,Patient_5,GSM8879033,0.0014417531718569781,5.0,3468,0.08650519031141869
FCN2,T_cell,control,Control_1,GSM8879039,0.0,0.0,2086,0.0
FCN2,T_cell,control,Control_2,GSM8879040,0.0,0.0,1759,0.0
FCN2,T_cell,control,Control_3,GSM8879041,0.0,0.0,1395,0.0
FCN2,T_cell,control,Control_4,GSM8879042,0.0,0.0,1766,0.0
FCN2,T_cell,post,Patient_1,GSM8879034,0.0,0.0,101,0.0
FCN2,T_cell,post,Patient_2,GSM8879035,0.0,0.0,2686,0.0
FCN2,T_cell,post,Patient_3,GSM8879036,0.0,0.0,362,0.0
FCN2,T_cell,post,Patient_4,GSM8879037,0.0,0.0,7,0.0
FCN2,T_cell,post,Patient_5,GSM8879038,0.0,0.0,879,0.0
FCN2,T_cell,pre,Patient_1,GSM8879029,0.0,0.0,1617,0.0
FCN2,T_cell,pre,Patient_2,GSM8879030,0.0,0.0,3441,0.0
FCN2,T_cell,pre,Patient_3,GSM8879031,0.0,0.0,2740,0.0
FCN2,T_cell,pre,Patient_4,GSM8879032,0.0,0.0,277,0.0
FCN2,T_cell,pre,Patient_5,GSM8879033,0.0,0.0,3772,0.0
FCN2,Unassigned,control,Control_1,GSM8879039,0.0,0.0,180,0.0
FCN2,Unassigned,control,Control_2,GSM8879040,0.0,0.0,156,0.0
FCN2,Unassigned,control,Control_3,GSM8879041,0.0,0.0,138,0.0
FCN2,Unassigned,control,Control_4,GSM8879042,0.0,0.0,35,0.0
FCN2,Unassigned,post,Patient_1,GSM8879034,0.0,0.0,12,0.0
FCN2,Unassigned,post,Patient_2,GSM8879035,0.0,0.0,32,0.0
FCN2,Unassigned,post,Patient_3,GSM8879036,0.0,0.0,32,0.0
FCN2,Unassigned,post,Patient_4,GSM8879037,0.0,0.0,14,0.0
FCN2,Unassigned,post,Patient_5,GSM8879038,0.0,0.0,1824,0.0
FCN2,Unassigned,pre,Patient_1,GSM8879029,0.0,0.0,85,0.0
FCN2,Unassigned,pre,Patient_2,GSM8879030,0.0,0.0,120,0.0
FCN2,Unassigned,pre,Patient_3,GSM8879031,0.0,0.0,46,0.0
FCN2,Unassigned,pre,Patient_4,GSM8879032,0.0,0.0,6877,0.0
FCN2,Unassigned,pre,Patient_5,GSM8879033,0.0,0.0,55,0.0
FCN3,B_cell,control,Control_1,GSM8879039,0.0,0.0,807,0.0
FCN3,B_cell,post,Patient_1,GSM8879034,0.0,0.0,58,0.0
FCN3,B_cell,post,Patient_2,GSM8879035,0.0,0.0,939,0.0
FCN3,B_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN3,B_cell,pre,Patient_1,GSM8879029,0.0,0.0,438,0.0
FCN3,B_cell,pre,Patient_5,GSM8879033,0.0,0.0,1141,0.0
FCN3,DC,control,Control_1,GSM8879039,0.0,0.0,74,0.0
FCN3,DC,post,Patient_1,GSM8879034,0.0,0.0,9,0.0
FCN3,DC,post,Patient_2,GSM8879035,0.0,0.0,51,0.0
FCN3,DC,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN3,DC,pre,Patient_1,GSM8879029,0.0,0.0,7,0.0
FCN3,DC,pre,Patient_5,GSM8879033,0.0,0.0,44,0.0
FCN3,Monocyte,control,Control_1,GSM8879039,0.00030156815440289503,1.0,3316,0.030156815440289503
FCN3,Monocyte,post,Patient_1,GSM8879034,0.000506393214330928,4.0,7899,0.0506393214330928
FCN3,Monocyte,post,Patient_2,GSM8879035,0.0,0.0,6938,0.0
FCN3,Monocyte,post,Patient_4,GSM8879037,0.0014508928571428572,13.0,8960,0.14508928571428573
FCN3,Monocyte,pre,Patient_1,GSM8879029,0.00023646252069047056,1.0,4229,0.023646252069047056
FCN3,Monocyte,pre,Patient_5,GSM8879033,0.0,0.0,3175,0.0
FCN3,NK_cell,control,Control_1,GSM8879039,0.0,0.0,2002,0.0
FCN3,NK_cell,post,Patient_1,GSM8879034,0.0,0.0,56,0.0
FCN3,NK_cell,post,Patient_2,GSM8879035,0.0,0.0,315,0.0
FCN3,NK_cell,post,Patient_4,GSM8879037,0.0,0.0,2,0.0
FCN3,NK_cell,pre,Patient_1,GSM8879029,0.0,0.0,328,0.0
FCN3,NK_cell,pre,Patient_5,GSM8879033,0.0,0.0,345,0.0
FCN3,Neutrophil,control,Control_1,GSM8879039,0.0002828854314002829,1.0,3535,0.028288543140028287
FCN3,Neutrophil,post,Patient_1,GSM8879034,0.000258732212160414,1.0,3865,0.0258732212160414
FCN3,Neutrophil,post,Patient_2,GSM8879035,0.0,0.0,1039,0.0
FCN3,Neutrophil,post,Patient_4,GSM8879037,0.0006637902422834385,2.0,3013,0.06637902422834385
FCN3,Neutrophil,pre,Patient_1,GSM8879029,0.0005664652567975831,3.0,5296,0.0188821752265861
FCN3,Neutrophil,pre,Patient_5,GSM8879033,0.0014417531718569781,5.0,3468,0.05767012687427912
FCN3,T_cell,control,Control_1,GSM8879039,0.0,0.0,2086,0.0
FCN3,T_cell,post,Patient_1,GSM8879034,0.0,0.0,101,0.0
FCN3,T_cell,post,Patient_2,GSM8879035,0.00037230081906180194,1.0,2686,0.03723008190618019
FCN3,T_cell,post,Patient_4,GSM8879037,0.0,0.0,7,0.0
FCN3,T_cell,pre,Patient_1,GSM8879029,0.0,0.0,1617,0.0
FCN3,T_cell,pre,Patient_5,GSM8879033,0.0007953340402969247,3.0,3772,0.05302226935312832
FCN3,Unassigned,control,Control_1,GSM8879039,0.0,0.0,180,0.0
FCN3,Unassigned,post,Patient_1,GSM8879034,0.0,0.0,12,0.0
FCN3,Unassigned,post,Patient_2,GSM8879035,0.0,0.0,32,0.0
FCN3,Unassigned,post,Patient_4,GSM8879037,0.0,0.0,14,0.0
