sample,condition,innate_lectin_complement,innate_lectin_complement_downstream,innate_nk_cell_effector,innate_neutrophil_defense,innate_monocyte_defense,innate_pattern_recognition_receptors,innate_trained_immunity,innate_cgas_sting_pathway,adaptive_t_cell_core,adaptive_b_cell_core,adaptive_th_signatures,innate_sum,adaptive_sum,ratio,log2_ratio
PreIVIG1,pre,26101.0,77.0,30637.0,359809.0,296154.0,83501.0,34712.0,23812.0,63360.0,36059.0,8798.0,854803.0,108217.0,7.898898519654771,2.9816531750877866
PreIVIG2,pre,25300.0,91.0,41516.0,143715.0,182640.0,54715.0,25154.0,37446.0,74586.0,32609.0,3447.0,510577.0,110642.0,4.6146344549587415,2.206219195932648
PreIVIG3,pre,53489.0,152.0,44447.0,249484.0,478581.0,81541.0,33553.0,62222.0,58576.0,38211.0,4379.0,1003469.0,101166.0,9.918936016685283,3.3101868117689586
PreIVIG4,pre,21532.0,65.0,25606.0,174629.0,184654.0,79275.0,28521.0,31959.0,42989.0,9433.0,10282.0,546241.0,62704.0,8.71128299178694,3.122887854739555
PreIVIG5,pre,14904.0,76.0,28007.0,51927.0,133321.0,26000.0,18682.0,17415.0,41550.0,18431.0,3860.0,290332.0,63841.0,4.547664546850036,2.185130808557745
PreIVIG6,pre,19604.0,56.0,14341.0,84416.0,166476.0,34663.0,20383.0,19450.0,52487.0,12808.0,4958.0,359389.0,70253.0,5.115566373444929,2.354897992079748
PreIVIG7,pre,12725.0,67.0,24001.0,43457.0,104321.0,23532.0,16322.0,16376.0,41334.0,21241.0,4865.0,240801.0,67440.0,3.570543141412494,1.836149541055552
PreIVIG8,pre,19723.0,101.0,25285.0,71292.0,162634.0,32076.0,18994.0,19674.0,55639.0,16238.0,3383.0,349779.0,75260.0,4.647546538047594,2.2164734361786347
PreIVIG9,pre,9805.0,30.0,10305.0,95595.0,100613.0,25736.0,15222.0,16070.0,30032.0,13251.0,5181.0,273376.0,48464.0,5.640689157123697,2.495876713493919
SecondpostIVIG5,second_post,9707.0,64.0,16498.0,33241.0,77879.0,19655.0,19089.0,12575.0,30266.0,11859.0,3749.0,188708.0,45874.0,4.113525885558583,2.040383167213471
SecondpostIVIG6,second_post,15941.0,55.0,10649.0,107965.0,158192.0,47961.0,19816.0,21460.0,28991.0,6458.0,8520.0,382039.0,43969.0,8.688628610416194,3.1191322602326315
SecondpostIVIG7,second_post,6758.0,54.0,20377.0,16857.0,54502.0,15590.0,13288.0,10219.0,33120.0,11794.0,2746.0,137645.0,47660.0,2.888000671408489,1.5300815588624261
SecondpostIVIG8,second_post,17213.0,115.0,16394.0,55530.0,118647.0,34949.0,19556.0,18311.0,36149.0,10095.0,4357.0,280715.0,50601.0,5.54750800363622,2.4718449832134244
