cancer_type,gene,cohens_d,p_value,n_mut,n_wt,fdr,n_cancer_types,category
Skin,GABARAP,-2.1734053799121495,0.007019622362088115,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,FAM118A,-2.1681892327943397,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Skin,KIF18A,-2.1397315153578695,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,P2RX5,-2.1296227350308716,0.005218216318785579,4,30,0.4640820683111955,1,cancer_specific
Skin,SLC20A1,-2.115232180784051,0.023250647908182154,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,TRDN,-2.1097775632979645,0.0007762635846127307,4,30,0.31380455407969643,1,cancer_specific
Biliary Tract,TTR,-2.0957898328917697,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Biliary Tract,CAMP,-2.093644723798011,0.0005175090564084871,4,30,0.306831119544592,1,cancer_specific
Skin,RHOA,-2.090695557378939,0.0024583487597186226,3,72,0.9969807075405016,1,cancer_specific
Skin,RAB1B,-2.078976222650291,0.0036430951499444647,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,H2BC7,-2.0778720090650333,0.010393306882870452,4,30,0.5120934889906281,1,cancer_specific
Biliary Tract,ANXA5,-2.0738957694729234,0.0003018802829049508,4,30,0.2826076101068611,1,cancer_specific
Biliary Tract,CIMIP2C,-2.069921386474017,0.004053820941866483,4,30,0.43700189753320684,1,cancer_specific
Breast,TRIT1,-2.0510021583303195,0.0006502455844456795,5,48,0.8776493075459502,2,cancer_specific
Skin,ATG16L1,-2.04939241125214,0.03989633469085524,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,CD163L1,-2.048445788863623,0.004053820941866483,4,30,0.43700189753320684,2,cancer_specific
Skin,RIC8A,-2.045689668356609,0.0024583487597186226,3,72,0.9969807075405016,2,cancer_specific
Skin,GMDS,-2.0414753687949276,0.0019844502036282857,3,72,0.9969807075405016,1,cancer_specific
Breast,DDX39B,-2.0403501825267103,0.019904623678208583,5,48,0.8776493075459502,2,cancer_specific
Bladder/Urinary Tract,KDM2A,-2.0294684002305803,2.0709174671093142e-05,8,26,0.18417704493736686,1,cancer_specific
Skin,ANKRD17,-2.0226153509673734,0.0012143650499814884,3,72,0.9969807075405016,1,cancer_specific
Skin,MCM2,-2.0112179191082125,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Skin,CDAN1,-2.005524990897452,0.0003258052573121066,3,72,0.9658496853017401,2,cancer_specific
Biliary Tract,LMO3,-2.001248859125502,0.002285664999137485,4,30,0.39857964058488676,2,cancer_specific
Skin,FGD1,-1.9978958987698083,0.043272861902998894,3,72,0.9969807075405016,3,universal
Biliary Tract,P2RY4,-1.9869865853944582,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Biliary Tract,NOTUM,-1.9843815643798899,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Breast,ZNF703,-1.9827271022611463,0.02186860230304023,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,FAM229B,-1.9781754873667725,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Biliary Tract,PWWP3A,-1.9732625450314218,0.006684491978609626,4,30,0.4644416360294118,2,cancer_specific
Skin,PKN2,-1.9635573919848353,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,ADCK5,-1.961558755288017,0.0011643953769190961,4,30,0.35708794084930967,4,universal
Biliary Tract,DVL3,-1.9485930343656737,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Skin,PHF21A,-1.9449558432805927,0.0024583487597186226,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,GALK1,-1.9417184926705335,0.004053820941866483,4,30,0.43700189753320684,2,cancer_specific
Biliary Tract,JAK2,-1.9403660878307156,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Bladder/Urinary Tract,OXR1,-1.939058053979523,1.0574897704387989e-05,8,26,0.18417704493736686,1,cancer_specific
Breast,SUMO2,-1.9381637173051656,0.00600790513833992,4,21,0.8776493075459502,1,cancer_specific
Biliary Tract,MBOAT7,-1.9324017487360088,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Biliary Tract,DNAJC25,-1.931844506829658,0.002285664999137485,4,30,0.39857964058488676,1,cancer_specific
Skin,DIPK1A,-1.9318000211784594,0.006042206590151795,3,72,0.9969807075405016,1,cancer_specific
Breast,RBMX2,-1.9281024064301757,0.0032421676943636666,5,48,0.8776493075459502,1,cancer_specific
Lymphoid,HDC,-1.902943402537965,4.838336306889816e-06,6,87,0.08605948789064916,1,cancer_specific
Ovary/Fallopian Tube,RPL7L1,-1.892509871160438,0.00022479039996992274,9,19,0.29849194327383294,1,cancer_specific
Skin,RNF8,-1.8884356933192374,0.005153646797482413,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,LONRF3,-1.8847437550329678,0.006684491978609626,4,30,0.4644416360294118,2,cancer_specific
Skin,DIPK2A,-1.8842701627543372,0.015223991114402072,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,ZBTB7A,-1.8826873202307868,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Biliary Tract,AZU1,-1.881177073226682,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,EPO,-1.8807787231495254,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Biliary Tract,ILF3,-1.8752054837817989,0.0011643953769190961,4,30,0.35708794084930967,1,cancer_specific
Skin,EVI5,-1.8718969443429292,0.00930025916327286,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,PDGFC,-1.86580437697261,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Breast,ARID1B,-1.859904056249418,0.04741914182218606,5,48,0.9041286739135341,6,universal
Biliary Tract,APTX,-1.8553327665901957,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Breast,CARS1,-1.8522437201834203,0.0021110330924822758,5,48,0.8776493075459502,2,cancer_specific
Skin,ASXL1,-1.8459868424637849,0.023250647908182154,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,TCP11,-1.8282985699570873,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Biliary Tract,RDH14,-1.8270277393028598,0.03092116612040711,4,30,0.6004309844800014,2,cancer_specific
Skin,CPNE1,-1.8266297632599746,0.00930025916327286,3,72,0.9969807075405016,3,universal
Skin,PLCB3,-1.826394540163681,0.0006812291743798593,3,72,0.9969807075405016,2,cancer_specific
Skin,PGD,-1.8261924802912408,0.0019844502036282857,3,72,0.9969807075405016,1,cancer_specific
Skin,TIMELESS,-1.826006499730876,0.007019622362088115,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,PLEKHS1,-1.8239406249761352,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Skin,SEPHS2,-1.821657794833916,0.013565346168085893,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,TNNI2,-1.8209430852184652,0.026263584612730727,4,30,0.5898363377609109,2,cancer_specific
Skin,BUD23,-1.8195915078106017,0.0036430951499444647,3,72,0.9969807075405016,1,cancer_specific
Skin,GBP3,-1.8187612292385977,0.017030729359496483,3,72,0.9969807075405016,1,cancer_specific
Skin,GGT7,-1.8178236639494223,0.043272861902998894,3,72,0.9969807075405016,1,cancer_specific
Breast,BRAP,-1.813405579349658,0.0006502455844456795,5,48,0.8776493075459502,2,cancer_specific
Skin,FERMT2,-1.811173872585014,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Skin,MBLAC1,-1.8062660397893613,0.005153646797482413,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,PLD5,-1.8061555307089612,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Biliary Tract,IGFALS,-1.8017280808737397,0.010393306882870452,4,30,0.5120934889906281,3,universal
Biliary Tract,PHOX2B,-1.801142512668034,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Skin,ITGAV,-1.8009481120284219,0.00930025916327286,3,72,0.9969807075405016,2,cancer_specific
Skin,SRBD1,-1.7981399575517067,0.005153646797482413,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,TRIM40,-1.797728472015638,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Biliary Tract,DMP1,-1.7883571722675904,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Biliary Tract,OAS3,-1.788072721832397,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Biliary Tract,NUDT11,-1.7879326185257376,0.018587200276004832,4,30,0.5537864846051892,1,cancer_specific
Skin,RHOG,-1.7875991837949856,0.007019622362088115,3,72,0.9969807075405016,1,cancer_specific
Uterus,SLC66A2,-1.7856911719152835,0.00012404371889936222,22,12,0.2868184153209086,2,cancer_specific
Biliary Tract,PDK3,-1.7845339277513446,0.0005175090564084871,4,30,0.306831119544592,1,cancer_specific
Uterus,OR8J3,-1.7837746232118878,0.0003026344900422611,21,10,0.2868184153209086,1,cancer_specific
Breast,DYNC2I1,-1.7830402537786048,0.0013186116246208205,5,48,0.8776493075459502,2,cancer_specific
Biliary Tract,NAXE,-1.7805898331969536,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Breast,CD300C,-1.7776511265492938,0.0028219125095611535,5,48,0.8776493075459502,1,cancer_specific
Bowel,RPL22L1,-1.7762509892888527,0.0006217730056816888,12,51,0.278725294121959,2,cancer_specific
Biliary Tract,CIMAP1B,-1.7726627630483127,0.041961359323788174,4,30,0.6214543699352375,2,cancer_specific
Breast,RNF113A,-1.7664219295335453,0.004812374877382012,5,48,0.8776493075459502,3,universal
Biliary Tract,PDGFRB,-1.7636261724524096,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Biliary Tract,NBL1,-1.763544236653812,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Lymphoid,RDH16,-1.7631996837988335,3.9674882481822616e-05,6,87,0.23014145860128177,1,cancer_specific
Breast,EVPL,-1.761471219916446,0.037138570958136524,5,48,0.8914748538826587,2,cancer_specific
Biliary Tract,TP53AIP1,-1.7608049727747763,0.005218216318785579,4,30,0.4640820683111955,1,cancer_specific
Skin,CCM2L,-1.7537269767055963,0.025620140688633837,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,ATP6V1C2,-1.753495637705792,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Breast,PKD2,-1.7533662449607614,0.0028219125095611535,5,48,0.8776493075459502,1,cancer_specific
Skin,ANKRA2,-1.7492924629196995,0.005153646797482413,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,ESRRB,-1.7473220819605846,0.004053820941866483,4,30,0.43700189753320684,1,cancer_specific
Breast,IFNA2,-1.7464332250475065,0.022170829478877583,4,44,0.8776493075459502,2,cancer_specific
Biliary Tract,GYS2,-1.7398815953192879,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Breast,HSPA8,-1.73823520579035,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Skin,SFPQ,-1.7357730100276867,0.018955942243613477,3,72,0.9969807075405016,1,cancer_specific
Skin,SLC35F5,-1.7356475988868731,0.0036430951499444647,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,KRTAP12-2,-1.7295198085341847,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Skin,MARCHF6,-1.7294139307143421,0.048778230285079605,3,71,0.9969807075405016,1,cancer_specific
Biliary Tract,ASIC5,-1.7293341605077912,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Bowel,SUPT4H1,-1.7291133369023524,3.754757248336832e-05,12,51,0.1851930601054243,1,cancer_specific
Biliary Tract,PDLIM4,-1.7279999824136634,0.0003018802829049508,4,30,0.2826076101068611,1,cancer_specific
Biliary Tract,DPEP1,-1.7230491699720398,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Biliary Tract,SHF,-1.72041917610209,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Biliary Tract,SYTL1,-1.720197727442083,0.001638778678626876,4,30,0.36436195445920305,2,cancer_specific
Breast,BRD4,-1.7165018789998414,0.016399709375767724,5,48,0.8776493075459502,1,cancer_specific
Skin,VCAM1,-1.7150097988361004,0.018955942243613477,3,72,0.9969807075405016,2,cancer_specific
Breast,RPL36,-1.7126304171730238,0.026259328114409772,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,DZIP3,-1.7061793707295867,0.002285664999137485,4,30,0.39857964058488676,1,cancer_specific
Biliary Tract,CLEC1B,-1.7020388390621801,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Biliary Tract,CCDC92,-1.7018888251943471,0.001638778678626876,4,30,0.36436195445920305,1,cancer_specific
Skin,PRKAA1,-1.7013026655242163,0.015223991114402072,3,72,0.9969807075405016,1,cancer_specific
Skin,CRYAA,-1.7004351461809657,0.04682710107367642,3,72,0.9969807075405016,1,cancer_specific
Skin,UBL7,-1.6969676377334943,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Skin,CRKL,-1.6964301911438027,0.006042206590151795,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,ARG2,-1.6954395256273003,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Skin,OR8I2,-1.6950607872370822,0.009687769961742566,3,71,0.9969807075405016,1,cancer_specific
Biliary Tract,EMD,-1.6945021776805111,0.00836639641193721,4,30,0.494395657737964,2,cancer_specific
Breast,SCN1A,-1.6935776157663016,0.000938082054302127,5,48,0.8776493075459502,2,cancer_specific
Bowel,PELO,-1.692362358419779,9.152259710811356e-05,12,51,0.1851930601054243,3,universal
Skin,TPRX1,-1.6910841122471014,0.00435394298407997,3,72,0.9969807075405016,3,universal
Skin,GNA13,-1.6891151160893982,0.03367641614216957,3,72,0.9969807075405016,1,cancer_specific
Breast,FGF14,-1.6883181175531838,0.001813439454156118,5,48,0.8776493075459502,2,cancer_specific
Skin,HASPIN,-1.6880838884978207,0.025620140688633837,3,72,0.9969807075405016,2,cancer_specific
Breast,CIMAP1B,-1.686276226892522,0.010866000972232144,5,48,0.8776493075459502,2,cancer_specific
Biliary Tract,LIF,-1.6856440010804443,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Biliary Tract,OR5B2,-1.6856228502977668,0.003061928583750216,4,30,0.4125948766603416,2,cancer_specific
Skin,ABCD3,-1.6854402256490713,0.008115512773047019,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,RDH11,-1.6852693691879002,0.010393306882870452,4,30,0.5120934889906281,1,cancer_specific
Lymphoid,SHISA4,-1.6849010557609139,0.006336210710826594,6,87,0.6137357200341474,2,cancer_specific
Breast,EPHB3,-1.6838727992760334,0.0013186116246208205,5,48,0.8776493075459502,1,cancer_specific
Uterus,FBXO33,-1.6820397628832553,0.0004419846235584692,22,12,0.2868184153209086,1,cancer_specific
Uterus,STAC,-1.6814452883345696,0.000292595792681391,22,12,0.2868184153209086,1,cancer_specific
Breast,HMGCR,-1.6808740720265096,0.023983120098547403,5,48,0.8776493075459502,4,universal
Biliary Tract,BCL7A,-1.6782920368856469,0.018587200276004832,4,30,0.5537864846051892,2,cancer_specific
Skin,ASAP1,-1.6777343360868981,0.0030211032950758976,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,RAB1A,-1.6777213235317074,0.026263584612730727,4,30,0.5898363377609109,3,universal
Biliary Tract,TH,-1.6777105684370983,0.018587200276004832,4,30,0.5537864846051892,2,cancer_specific
Skin,CHMP3,-1.6774537179620541,0.0012143650499814884,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,KCTD16,-1.6773307194025946,0.012722097636708644,4,30,0.5178213974007704,2,cancer_specific
Uterus,DUSP26,-1.6754934375504198,0.00016593785618432714,22,12,0.2868184153209086,2,cancer_specific
Skin,CREB1,-1.674660065862287,0.007019622362088115,3,72,0.9969807075405016,1,cancer_specific
Skin,RCN3,-1.6740234637754088,0.0030211032950758976,3,72,0.9969807075405016,1,cancer_specific
Esophagus/Stomach,WRN,-1.6717844791617626,0.012427182865067311,11,58,1.0,3,universal
Uterus,KCTD7,-1.6717470739177824,0.0008577034856504607,22,12,0.2868184153209086,1,cancer_specific
Biliary Tract,PLK2,-1.6695912858583766,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Biliary Tract,SH3BGRL3,-1.6646634613583162,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Lymphoid,NCAPD2,-1.6637292783407103,5.1754980289263344e-05,6,87,0.23014145860128177,1,cancer_specific
Biliary Tract,JPT2,-1.6607415281247997,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Biliary Tract,LAMP1,-1.658465840606468,0.018587200276004832,4,30,0.5537864846051892,1,cancer_specific
Lymphoid,OR10V1,-1.6577217138227878,0.008343375259267519,5,83,0.6137357200341474,1,cancer_specific
Skin,ZFP36L1,-1.6570416555893444,0.025620140688633837,3,72,0.9969807075405016,2,cancer_specific
Skin,NCKAP1L,-1.6569264695131618,0.0030211032950758976,3,72,0.9969807075405016,1,cancer_specific
Breast,SLK,-1.6549812928888548,0.02186860230304023,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,FLYWCH2,-1.6547798944331873,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Biliary Tract,SLC26A6,-1.6526393438167157,0.004053820941866483,4,30,0.43700189753320684,2,cancer_specific
Biliary Tract,THTPA,-1.6521495010802403,0.010393306882870452,4,30,0.5120934889906281,3,universal
Biliary Tract,CAMK2N2,-1.6495966869173853,0.004053820941866483,4,30,0.43700189753320684,1,cancer_specific
Biliary Tract,SLCO4A1,-1.6492632639739118,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Skin,CLEC16A,-1.6480349040590787,0.006042206590151795,3,72,0.9969807075405016,3,universal
Biliary Tract,ILF2,-1.6466295249006904,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Biliary Tract,CEACAM19,-1.643403589566491,0.026263584612730727,4,30,0.5898363377609109,2,cancer_specific
Breast,PCM1,-1.6424835871831407,0.008725696374340737,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,ABHD14A,-1.6419498604593412,0.018587200276004832,4,30,0.5537864846051892,2,cancer_specific
Skin,TM9SF4,-1.6405636614002141,0.028137726767863754,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,TAS2R8,-1.6402392302761994,0.036096256684491984,4,30,0.6034249226006193,1,cancer_specific
Biliary Tract,PIGX,-1.6378724940606246,0.03092116612040711,4,30,0.6004309844800014,2,cancer_specific
Breast,WDR90,-1.637484280946271,0.034133363069465815,5,48,0.8914748538826587,1,cancer_specific
Breast,GTPBP3,-1.6371493544363105,0.009749502123055318,5,48,0.8776493075459502,1,cancer_specific
Skin,PABPC1,-1.6355649030735357,0.0019844502036282857,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,COMMD6,-1.6340976812226196,0.002285664999137485,4,30,0.39857964058488676,1,cancer_specific
Biliary Tract,SERPINA11,-1.6333227105332226,0.015482145937553909,4,30,0.5255361255558615,1,cancer_specific
Skin,KDM5B,-1.6307959029415007,0.00435394298407997,3,72,0.9969807075405016,1,cancer_specific
Skin,LIG1,-1.6306341862997693,0.0030211032950758976,3,72,0.9969807075405016,1,cancer_specific
Breast,DLG5,-1.630634057351636,0.0037119056621197095,5,48,0.8776493075459502,3,universal
Skin,GCLC,-1.6295432146654776,0.0210292484265087,3,72,0.9969807075405016,1,cancer_specific
Biliary Tract,ARAF,-1.6284524631887456,0.0005175090564084871,4,30,0.306831119544592,1,cancer_specific
Biliary Tract,LMNTD2,-1.6274390690035139,0.015482145937553909,4,30,0.5255361255558615,2,cancer_specific
Skin,ABHD5,-1.6267810103396771,0.008115512773047019,3,72,0.9969807075405016,1,cancer_specific
Skin,SCAND1,-1.6265941736677898,0.0036430951499444647,3,72,0.9969807075405016,1,cancer_specific
Breast,GALR2,-1.6214517389787084,0.012083556209130968,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,TLX1,-1.6208543357635754,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,KSR2,-1.6201664699283649,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Biliary Tract,NACAD,-1.619839787936337,0.026263584612730727,4,30,0.5898363377609109,1,cancer_specific
Biliary Tract,SEZ6L,-1.617843899735813,0.0007762635846127307,4,30,0.31380455407969643,1,cancer_specific
Biliary Tract,TINF2,-1.6177796410611593,0.006684491978609626,4,30,0.4644416360294118,2,cancer_specific
Uterus,EPS8L3,-1.6177078468332544,0.000292595792681391,22,12,0.2868184153209086,1,cancer_specific
Breast,LAMTOR2,-1.6169617013085136,0.004812374877382012,5,48,0.8776493075459502,2,cancer_specific
Biliary Tract,INTS13,-1.6115568882090834,0.018587200276004832,4,30,0.5537864846051892,1,cancer_specific
Ovary/Fallopian Tube,LCE2C,-1.6100861927550891,0.0005743793689242958,9,19,0.29849194327383294,1,cancer_specific
Uterus,CD5L,-1.6084562433143628,0.00012404371889936222,22,12,0.2868184153209086,1,cancer_specific
Skin,BAK1,-1.6071102265178334,0.03669751943724547,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,DPYSL4,-1.6070219874548117,0.03092116612040711,4,30,0.6004309844800014,2,cancer_specific
Breast,WDR25,-1.603524935828516,0.026259328114409772,5,48,0.8776493075459502,3,universal
Biliary Tract,ZHX2,-1.603494906722065,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,ZNF69,-1.603170908454339,0.048430222528894264,4,30,0.6278632420710221,1,cancer_specific
Biliary Tract,MSR1,-1.6026388908267573,0.006684491978609626,4,30,0.4644416360294118,2,cancer_specific
Ovary/Fallopian Tube,PRAP1,-1.6013761265120476,4.8091547585318476e-05,15,44,0.28668162742265574,1,cancer_specific
Uterus,SLC45A3,-1.5997866278953303,0.00038567975475794087,22,12,0.2868184153209086,1,cancer_specific
Biliary Tract,DENND6B,-1.5995793206097577,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Biliary Tract,IRAK2,-1.5975841560515998,0.002285664999137485,4,30,0.39857964058488676,1,cancer_specific
Biliary Tract,PALM,-1.5973968701822692,0.00836639641193721,4,30,0.494395657737964,1,cancer_specific
Skin,JAKMIP1,-1.5965495575241972,0.018955942243613477,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,MLPH,-1.5949436941649429,0.022209763670864243,4,30,0.5684101675016724,2,cancer_specific
Biliary Tract,SETD4,-1.5939313717201915,0.03092116612040711,4,30,0.6004309844800014,1,cancer_specific
Biliary Tract,EPHA1,-1.5930835781028303,0.0007762635846127307,4,30,0.31380455407969643,1,cancer_specific
Biliary Tract,LDHAL6A,-1.5930556972651924,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Biliary Tract,MLF1,-1.591563199699962,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Biliary Tract,DCAF16,-1.5911110693821358,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Skin,COL17A1,-1.5908852861586311,0.0036430951499444647,3,72,0.9969807075405016,2,cancer_specific
Biliary Tract,NKX2-8,-1.590826288488789,0.018587200276004832,4,30,0.5537864846051892,2,cancer_specific
Lymphoid,RCVRN,-1.5876061839503035,0.006336210710826594,6,87,0.6137357200341474,1,cancer_specific
Biliary Tract,ZNF77,-1.5869974988380855,0.003061928583750216,4,30,0.4125948766603416,1,cancer_specific
Uterus,HSD17B4,-1.5867370241099048,0.000292595792681391,22,12,0.2868184153209086,2,cancer_specific
Biliary Tract,RNF113B,-1.5865408766090363,0.022209763670864243,4,30,0.5684101675016724,1,cancer_specific
Biliary Tract,DIRAS1,-1.5799102996860848,0.012722097636708644,4,30,0.5178213974007704,2,cancer_specific
Bowel,RSPH6A,-1.5787894531470084,7.743906238484944e-06,12,51,0.1041653726574642,2,cancer_specific
Biliary Tract,ULK2,-1.5772269115496236,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Biliary Tract,SOX18,-1.5746324292752272,0.004053820941866483,4,30,0.43700189753320684,1,cancer_specific
Breast,CACNA1H,-1.5746161473797913,0.013406349477381665,5,48,0.8776493075459502,1,cancer_specific
Biliary Tract,STRADB,-1.573441150808116,0.012722097636708644,4,30,0.5178213974007704,1,cancer_specific
Uterus,TIMM17B,-1.5725514834155643,0.000292595792681391,22,12,0.2868184153209086,2,cancer_specific
Biliary Tract,RND3,-1.5723949062026858,0.006684491978609626,4,30,0.4644416360294118,1,cancer_specific
Skin,UBE4B,-1.5698167825391345,0.010603480192521287,3,72,0.9969807075405016,1,cancer_specific
Breast,GATA6,-1.5687029437298197,0.010866000972232144,5,48,0.8776493075459502,1,cancer_specific
