gene,n_cancer_types,mean_cohens_d,min_fdr,cancer_types,is_swisnf
RPH3A,3,-1.0015139652593967,0.4375059174181126,Biliary Tract;Lymphoid;Ovary/Fallopian Tube,False
L1CAM,3,-0.9990555679278615,0.4671400716214491,Lymphoid;Skin;Uterus,False
XPOT,3,-0.987767023839992,0.43006248272353814,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
RIPK2,3,-0.9758646188555872,0.2991215025092648,Bowel;Esophagus/Stomach;Uterus,False
RAB1A,3,-0.9717156517129424,0.5898363377609109,Biliary Tract;Esophagus/Stomach;Pancreas,False
SAMD9,3,-0.9692091832260342,0.4111206909494419,Bladder/Urinary Tract;Ovary/Fallopian Tube;Skin,False
NPL,3,-0.9644244772078597,0.6278632420710221,Biliary Tract;Pancreas;Skin,False
FLOT1,3,-0.9578267097537067,0.41567091797877737,Lymphoid;Skin;Uterus,False
BLVRA,3,-0.9566667869095177,0.33214855032288565,Bowel;Skin;Uterus,False
PDE6G,3,-0.9533576913523577,0.5898363377609109,Biliary Tract;Breast;Pancreas,False
MAP4K1,3,-0.9504620463281515,0.48927306948333416,Bowel;Breast;Lymphoid,False
ZWILCH,3,-0.9480373499332639,0.3865237714951714,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
CSF2,3,-0.947987754912678,0.4125948766603416,Biliary Tract;Bowel;Ovary/Fallopian Tube,False
PCYT1A,3,-0.94320553208746,0.9969807075405016,Lung;Pancreas;Skin,False
HNRNPL,3,-0.9430900178721995,0.41017649628713837,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
C2CD4C,3,-0.9396264957787382,0.3398922387255376,Bowel;Lymphoid;Uterus,False
MMP28,3,-0.934867690065769,0.3133064337556914,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
LCN10,3,-0.9264052115210574,0.405932533739189,Biliary Tract;Bladder/Urinary Tract;Uterus,False
UBXN6,3,-0.9182668846232461,0.3343174285145299,Biliary Tract;Pancreas;Uterus,False
SMG9,3,-0.9127855405042066,0.40201927324629744,Bowel;Breast;Ovary/Fallopian Tube,False
MMAB,3,-0.9110851071739523,0.437214735105422,Biliary Tract;Breast;Uterus,False
SDHC,3,-0.9067477315139317,0.3865237714951714,Bowel;Ovary/Fallopian Tube;Uterus,False
COG5,3,-0.8948311257388685,0.4695024045164553,Bowel;Lung;Skin,False
GBE1,3,-0.8890894006526402,0.3865237714951714,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
GZMK,3,-0.88870999948966,0.324441478759195,Bowel;Esophagus/Stomach;Uterus,False
PSD4,3,-0.8803106346417078,0.29849194327383294,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
OR10T2,3,-0.8748791353401533,0.3865237714951714,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
SNAI3,3,-0.8742350252013509,0.5231840928706755,Bowel;Breast;Lymphoid,False
EBI3,3,-0.8656058367492648,0.308013596486265,Lung;Lymphoid;Ovary/Fallopian Tube,False
UQCR10,3,-0.8647270709780767,0.4375059174181126,Bowel;Lung;Ovary/Fallopian Tube,False
ENHO,3,-0.8588329558703766,0.4071280465090441,Bladder/Urinary Tract;Bowel;Pancreas,False
SIRT3,3,-0.85667565394141,0.8776493075459502,Breast;Lung;Pancreas,False
C5orf24,3,-0.8562177564513925,0.6034249226006193,Biliary Tract;Lymphoid;Pancreas,False
FANCD2OS,3,-0.8520637491231945,0.3865237714951714,Lymphoid;Ovary/Fallopian Tube;Uterus,False
DLST,3,-0.850776927169929,0.3438652154763171,Ovary/Fallopian Tube;Pancreas;Uterus,False
OGDH,3,-0.8475319574552552,0.405932533739189,Bowel;Ovary/Fallopian Tube;Uterus,False
LCK,3,-0.8456106459076773,0.48675795409026884,Bladder/Urinary Tract;Bowel;Pancreas,False
ESAM,3,-0.8426576803680094,0.7241882556896287,Lung;Lymphoid;Pancreas,False
GLUL,3,-0.8412669021990894,0.3100561446908712,Bladder/Urinary Tract;Bowel;Uterus,False
GZMH,3,-0.8401593637748127,0.2991215025092648,Bowel;Esophagus/Stomach;Uterus,False
RABL2B,3,-0.8395518949031882,0.3865237714951714,Ovary/Fallopian Tube;Pancreas;Uterus,False
LALBA,3,-0.8324011283527049,0.3100561446908712,Bowel;Lymphoid;Uterus,False
PON2,3,-0.8291089356232842,0.37829287207713486,Biliary Tract;Bowel;Uterus,False
OR4N5,3,-0.8252741034675046,0.42848535566264334,Bowel;Esophagus/Stomach;Pancreas,False
VWA3B,3,-0.823798297395435,0.4427054144116893,Esophagus/Stomach;Ovary/Fallopian Tube;Skin,False
SDHB,3,-0.8226368246689805,0.46247448267199825,Lung;Ovary/Fallopian Tube;Pancreas,False
ZSWIM8,3,-0.8189256863742532,0.46584391393059277,Esophagus/Stomach;Lymphoid;Ovary/Fallopian Tube,False
IKBKE,3,-0.8161479162080599,0.36538501067420426,Esophagus/Stomach;Ovary/Fallopian Tube;Uterus,False
MAP3K12,3,-0.8153717034945315,0.4071280465090441,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
RTN3,3,-0.8142229422543648,0.35321402552304804,Bowel;Lymphoid;Uterus,False
NAMPT,3,-0.8141214948476464,0.44662453857016415,Bowel;Lung;Pancreas,False
AOX1,3,-0.8096545024565472,0.6137357200341474,Bladder/Urinary Tract;Lung;Lymphoid,False
SLC49A3,3,-0.8092832344338392,0.48897571387687483,Breast;Lymphoid;Ovary/Fallopian Tube,False
CRACDL,3,-0.8019685994005981,0.3865237714951714,Bowel;Ovary/Fallopian Tube;Uterus,False
RTL8C,3,-0.7964261895892121,0.4748653930782628,Breast;Lung;Ovary/Fallopian Tube,False
HUWE1,3,-0.7905552372179177,0.49965723451532185,Esophagus/Stomach;Lung;Ovary/Fallopian Tube,False
SAP130,3,-0.7865370048923649,0.4857665312476536,Bowel;Lymphoid;Ovary/Fallopian Tube,False
IMMT,3,-0.78271677983652,0.3865237714951714,Bowel;Lung;Ovary/Fallopian Tube,False
TMX2,3,-0.7563263555463644,0.45252278424771464,Bowel;Ovary/Fallopian Tube;Pancreas,False
ADGRA1,3,-0.7467454858839505,0.9041286739135341,Breast;Lung;Pancreas,False
EXOC4,3,-0.7418350904440226,0.4375059174181126,Bladder/Urinary Tract;Bowel;Ovary/Fallopian Tube,False
COX7A2L,3,-0.7413598158468563,0.5279673177528519,Bowel;Lung;Skin,False
UNC119,3,-0.7388014649660631,0.41567091797877737,Lung;Ovary/Fallopian Tube;Uterus,False
SH3BP2,3,-0.7251396545396349,0.42105057003703594,Bladder/Urinary Tract;Esophagus/Stomach;Ovary/Fallopian Tube,False
IL9R,3,-0.7080569807387608,0.36538501067420426,Bowel;Ovary/Fallopian Tube;Uterus,False
GPIHBP1,3,-0.6960185514929647,0.37247201604888536,Lymphoid;Ovary/Fallopian Tube;Pancreas,False
ATP1A1,3,-0.6876690094850585,0.3865237714951714,Lymphoid;Ovary/Fallopian Tube;Pancreas,False
LRRC32,3,-0.6805893773540951,0.4352158137284654,Bladder/Urinary Tract;Esophagus/Stomach;Uterus,False
ADSL,3,-0.6778246290834429,0.4744787693120259,Bowel;Lung;Ovary/Fallopian Tube,False
GGN,3,-0.6617601214068544,0.42105057003703594,Bowel;Ovary/Fallopian Tube;Pancreas,False
MINK1,3,-0.6535570022531839,0.39318181437050126,Ovary/Fallopian Tube;Pancreas;Uterus,False
DDIT3,3,-0.6229197213069737,0.4718123375383657,Bowel;Esophagus/Stomach;Ovary/Fallopian Tube,False
VPS4A,2,-2.5453013848114194,0.6278632420710221,Biliary Tract;Skin,False
PLBD1,2,-2.0823652166269744,0.2826076101068611,Biliary Tract;Skin,False
SPTSSA,2,-1.8018306633417145,0.9969807075405016,Bladder/Urinary Tract;Skin,False
PRDX6,2,-1.75611667111869,0.6004309844800014,Biliary Tract;Skin,False
CIMAP1B,2,-1.7294694949704175,0.6214543699352375,Biliary Tract;Breast,False
PWWP3A,2,-1.600413612592996,0.4644416360294118,Biliary Tract;Skin,False
LMO3,2,-1.5950830870634256,0.3011442637689808,Biliary Tract;Uterus,False
DOCK7,2,-1.5863901998578824,0.6949361184835696,Lymphoid;Skin,False
SLC26A6,2,-1.576746283444995,0.43700189753320684,Biliary Tract;Skin,False
PLCB3,2,-1.562347556322103,0.5255361255558615,Biliary Tract;Skin,False
LONRF3,2,-1.548243505370999,0.4644416360294118,Biliary Tract;Lymphoid,False
DYNC2I1,2,-1.5125292364479257,0.5120934889906281,Biliary Tract;Breast,False
KRTAP12-2,2,-1.497954436405761,0.5684101675016724,Biliary Tract;Skin,False
TNNI2,2,-1.4939908707073317,0.308013596486265,Biliary Tract;Ovary/Fallopian Tube,False
ABHD14A,2,-1.477451150929723,0.5537864846051892,Biliary Tract;Skin,False
RPL22L1,2,-1.4723424282878352,0.278725294121959,Bowel;Esophagus/Stomach,False
CD163L1,2,-1.4642418597483784,0.3865237714951714,Biliary Tract;Ovary/Fallopian Tube,False
JAKMIP1,2,-1.4574923925874754,0.6949361184835696,Lymphoid;Skin,False
TINF2,2,-1.455221829908917,0.4644416360294118,Biliary Tract;Esophagus/Stomach,False
ATG16L1,2,-1.447864145197797,0.9969807075405016,Pancreas;Skin,False
GABARAP,2,-1.4452234168325588,0.5266206636819892,Bowel;Skin,False
SIX4,2,-1.4449358341162841,0.8776493075459502,Breast;Skin,False
DDX39B,2,-1.4437516556713639,0.44520740190291946,Bowel;Breast,False
BRAP,2,-1.4416813238732682,0.2991215025092648,Bowel;Breast,False
TRIT1,2,-1.4359653887004558,0.39318181437050126,Breast;Ovary/Fallopian Tube,False
LMNTD2,2,-1.420499280361149,0.5255361255558615,Biliary Tract;Skin,False
ASXL1,2,-1.4162184267261604,0.9969807075405016,Bladder/Urinary Tract;Skin,False
TRAK2,2,-1.415623443549479,0.31380455407969643,Biliary Tract;Bowel,False
LIMD1,2,-1.4145639169314972,0.5898363377609109,Biliary Tract;Breast,False
RNF8,2,-1.414370770730748,0.4071280465090441,Bowel;Skin,False
KCTD16,2,-1.405431161283978,0.5178213974007704,Biliary Tract;Skin,False
JPT2,2,-1.4025663232943795,0.5255361255558615,Biliary Tract;Skin,False
GPD1L,2,-1.4020728235046653,0.6004309844800014,Biliary Tract;Skin,False
DMP1,2,-1.3940916838944768,0.33942765829814897,Biliary Tract;Uterus,False
FBXO30,2,-1.386171576524958,0.5255361255558615,Biliary Tract;Lymphoid,False
RNF185,2,-1.3695250458231056,0.4640820683111955,Biliary Tract;Skin,False
CDAN1,2,-1.3641081914304851,0.4111206909494419,Ovary/Fallopian Tube;Skin,False
SLC20A1,2,-1.3624087382098067,0.9969807075405016,Pancreas;Skin,False
TPSAB1,2,-1.3494797866014414,0.5120934889906281,Biliary Tract;Breast,False
RIC8A,2,-1.3402666934205998,0.5202786868170822,Bowel;Skin,False
PDGFRB,2,-1.3265565354811788,0.5255361255558615,Biliary Tract;Lymphoid,False
RPL23A,2,-1.3231671730293502,0.29922646127886526,Bowel;Ovary/Fallopian Tube,False
USH1G,2,-1.3199519600195928,0.8776493075459502,Breast;Pancreas,False
SYTL1,2,-1.3196102301823327,0.36436195445920305,Biliary Tract;Lymphoid,False
RDH14,2,-1.3171022561207566,0.6004309844800014,Biliary Tract;Breast,False
TM9SF4,2,-1.3163910463214499,0.9969807075405016,Bladder/Urinary Tract;Skin,False
GATA3,2,-1.3138718730447556,0.8914748538826587,Bladder/Urinary Tract;Breast,False
MIOX,2,-1.3079053056331484,0.33214855032288565,Skin;Uterus,False
CARS1,2,-1.306288641932622,0.8776493075459502,Breast;Esophagus/Stomach,False
CEACAM19,2,-1.3041506851249547,0.2991215025092648,Biliary Tract;Bowel,False
CLDN9,2,-1.3026494513609599,0.32797536311417086,Biliary Tract;Uterus,False
GCH1,2,-1.2988420397731044,0.6560885262082808,Bladder/Urinary Tract;Lymphoid,False
TLNRD1,2,-1.298216736181502,0.8776493075459502,Breast;Skin,False
SLC66A2,2,-1.2979873931382349,0.2868184153209086,Bowel;Uterus,False
IFNA2,2,-1.2977437931587206,0.4431188256683657,Breast;Ovary/Fallopian Tube,False
HASPIN,2,-1.2910747145330972,0.4638267689040502,Bowel;Skin,False
GOLGA7,2,-1.2908670654101735,0.32797536311417086,Biliary Tract;Uterus,False
KRT20,2,-1.2898968080942281,0.6278632420710221,Biliary Tract;Skin,False
HCN4,2,-1.289692704447284,0.6034249226006193,Biliary Tract;Breast,False
APAF1,2,-1.2851366205085668,0.5178213974007704,Biliary Tract;Breast,False
HOXB1,2,-1.2827698191659682,0.5898363377609109,Biliary Tract;Skin,False
WFIKKN1,2,-1.280528345942794,0.8776493075459502,Breast;Skin,False
EMD,2,-1.2801057355293832,0.494395657737964,Biliary Tract;Esophagus/Stomach,False
LGALS7B,2,-1.2792993255549956,0.6137357200341474,Breast;Lymphoid,False
ZBTB43,2,-1.277129300241811,0.3011442637689808,Biliary Tract;Uterus,False
SHISA4,2,-1.2711210614727628,0.6137357200341474,Esophagus/Stomach;Lymphoid,False
SH3BGRL3,2,-1.2707602083023062,0.5255361255558615,Biliary Tract;Bladder/Urinary Tract,False
DIRAS1,2,-1.2695045492213644,0.5178213974007704,Biliary Tract;Skin,False
RSPH6A,2,-1.2557594993318744,0.1041653726574642,Bowel;Ovary/Fallopian Tube,False
WNT3A,2,-1.253004096412798,0.32797536311417086,Biliary Tract;Uterus,False
VCAM1,2,-1.252165569913931,0.4671400716214491,Skin;Uterus,False
GALK1,2,-1.2501510513520835,0.43700189753320684,Biliary Tract;Lung,False
AMER2,2,-1.247038102121682,0.3343174285145299,Bladder/Urinary Tract;Uterus,False
SFXN2,2,-1.2451657446501678,0.28668162742265574,Breast;Ovary/Fallopian Tube,False
OR2T35,2,-1.2446857362364372,0.8776493075459502,Breast;Pancreas,False
SCN1A,2,-1.2401858949441658,0.8776493075459502,Bladder/Urinary Tract;Breast,False
DUSP26,2,-1.2373679375207218,0.2868184153209086,Pancreas;Uterus,False
OXA1L,2,-1.2310260203406842,0.8914748538826587,Bladder/Urinary Tract;Breast,False
PGLS,2,-1.2294405158489976,0.8776493075459502,Bladder/Urinary Tract;Breast,False
ITGAV,2,-1.2240816933605776,0.9969807075405016,Lung;Skin,False
MYLK2,2,-1.2222939460860829,0.32797536311417086,Lymphoid;Uterus,False
OR5B2,2,-1.222002892535298,0.4125948766603416,Biliary Tract;Uterus,False
HPD,2,-1.219885339659069,0.5537864846051892,Biliary Tract;Breast,False
TNFRSF6B,2,-1.218096810779282,0.6137357200341474,Breast;Lymphoid,False
CORO6,2,-1.212405450475795,0.6396936097382857,Esophagus/Stomach;Lymphoid,False
WDR74,2,-1.2088488056319446,0.3011442637689808,Skin;Uterus,False
AVPR1B,2,-1.2034692202630446,0.3011442637689808,Biliary Tract;Uterus,False
USP11,2,-1.202870279800127,0.3776842131076968,Biliary Tract;Uterus,False
ADAM29,2,-1.2026053723059635,0.6004309844800014,Biliary Tract;Breast,False
TIMM17B,2,-1.2024436102228793,0.2868184153209086,Bowel;Uterus,False
MLPH,2,-1.2015028860903856,0.5684101675016724,Biliary Tract;Lymphoid,False
MARCHF8,2,-1.2011842177504966,0.3776842131076968,Skin;Uterus,False
PLEC,2,-1.2005605971482054,0.2923439264864039,Pancreas;Uterus,False
PCNX3,2,-1.1988594032142208,0.6949361184835696,Lymphoid;Skin,False
LRRC14B,2,-1.1969471684354493,0.37829287207713486,Lymphoid;Uterus,False
LAMTOR2,2,-1.1963650812784186,0.8776493075459502,Breast;Pancreas,False
LIPT2,2,-1.1963142378452662,0.3865237714951714,Biliary Tract;Ovary/Fallopian Tube,False
FAM163A,2,-1.1943172964782554,0.40355751662327194,Skin;Uterus,False
DENND6B,2,-1.1921577696353198,0.49353730095034015,Biliary Tract;Ovary/Fallopian Tube,False
ZFP36L1,2,-1.1914033082688873,0.4671400716214491,Skin;Uterus,False
RPL6,2,-1.1907986485544824,0.4111206909494419,Ovary/Fallopian Tube;Pancreas,False
PIGX,2,-1.1899395708625193,0.6004309844800014,Biliary Tract;Pancreas,False
TH,2,-1.1892687358000482,0.5537864846051892,Biliary Tract;Esophagus/Stomach,False
ADAMTS2,2,-1.188203059811641,0.6137357200341474,Breast;Lymphoid,False
CCNK,2,-1.1868468670919987,0.9997943488153372,Bladder/Urinary Tract;Lung,False
CDC42EP3,2,-1.1838990774147642,0.6214543699352375,Biliary Tract;Skin,False
MSR1,2,-1.1835639269154292,0.4644416360294118,Biliary Tract;Esophagus/Stomach,False
ZDHHC6,2,-1.1822683472050168,0.4125948766603416,Biliary Tract;Breast,False
DGLUCY,2,-1.178215387468526,0.7241882556896287,Breast;Lymphoid,False
LCE3D,2,-1.1765527805956513,0.35321402552304804,Biliary Tract;Uterus,False
WBP2NL,2,-1.1763659535185187,0.6034249226006193,Biliary Tract;Skin,False
COL17A1,2,-1.1735012929045783,0.4546852872109124,Skin;Uterus,False
RBM25,2,-1.172931355246429,0.45655369370191,Bowel;Skin,False
RNF41,2,-1.1724584311914852,0.33214855032288565,Skin;Uterus,False
EVPL,2,-1.1721200926196513,0.8914748538826587,Breast;Lung,False
B3GNT4,2,-1.1675501043871153,0.308013596486265,Biliary Tract;Ovary/Fallopian Tube,False
CCM2L,2,-1.1672580086351232,0.5002598405163333,Bowel;Skin,False
SKIC3,2,-1.1669412877098884,0.3339172555607413,Bowel;Ovary/Fallopian Tube,False
RAX,2,-1.1658341062752478,0.38517488059003313,Biliary Tract;Uterus,False
GPRC5D,2,-1.1620359957219741,0.3011442637689808,Skin;Uterus,False
BAK1,2,-1.1617035484729574,0.4546852872109124,Skin;Uterus,False
RAB2A,2,-1.1613544334773904,0.9969807075405016,Bladder/Urinary Tract;Skin,False
CARTPT,2,-1.157441253446284,0.32431404432473243,Lymphoid;Uterus,False
SIN3B,2,-1.1569000055746088,0.43700189753320684,Biliary Tract;Bladder/Urinary Tract,False
CREG1,2,-1.1543647157599646,0.5684101675016724,Biliary Tract;Breast,False
CHMP3,2,-1.1539360491663289,0.4919663593407747,Bowel;Skin,False
UBALD1,2,-1.1526988698224738,0.9969807075405016,Lung;Skin,False
SLC67A1,2,-1.1522329036217744,0.6004309844800014,Biliary Tract;Bladder/Urinary Tract,False
CATSPERE,2,-1.1519028066893515,0.6159036285308653,Bladder/Urinary Tract;Lymphoid,False
RNASE1,2,-1.151775375822107,0.2538567676471896,Bowel;Uterus,False
DPYSL4,2,-1.151406567669408,0.4802097323365819,Biliary Tract;Ovary/Fallopian Tube,False
NOC2L,2,-1.1507501462316307,0.3517122069902322,Bladder/Urinary Tract;Uterus,False
ACOD1,2,-1.1489460031256429,0.6137357200341474,Lymphoid;Pancreas,False
DECR2,2,-1.1484953823507311,0.3517122069902322,Lymphoid;Uterus,False
NAA25,2,-1.1473391771561505,0.36538501067420426,Skin;Uterus,False
HSD17B4,2,-1.1463034887294443,0.2868184153209086,Ovary/Fallopian Tube;Uterus,False
BCL7A,2,-1.145628582254368,0.5279673177528519,Biliary Tract;Bowel,True
CELF2,2,-1.1450097746686343,0.5178213974007704,Biliary Tract;Lymphoid,False
NKX2-8,2,-1.1403166175906865,0.38517488059003313,Biliary Tract;Uterus,False
FUZ,2,-1.138885069471482,0.31595059880860804,Bowel;Skin,False
ACSF2,2,-1.138245625127494,0.2868184153209086,Skin;Uterus,False
CRADD,2,-1.1378006297122494,0.3433014002938997,Biliary Tract;Bowel,False
RHOXF2,2,-1.1374063507608416,0.42105057003703594,Biliary Tract;Ovary/Fallopian Tube,False
PABPC1,2,-1.1364786498460575,0.5202786868170822,Bowel;Skin,False
OAZ3,2,-1.1354325339445168,0.36436195445920305,Biliary Tract;Bladder/Urinary Tract,False
SLC36A3,2,-1.1347683181565094,0.5178213974007704,Biliary Tract;Lymphoid,False
PPM1G,2,-1.1346453238262644,0.5898363377609109,Biliary Tract;Pancreas,False
NMNAT1,2,-1.1340536366141503,0.9994757549302502,Lung;Pancreas,False
CHRM4,2,-1.131387700177354,0.3774466836933286,Bowel;Skin,False
ANAPC13,2,-1.1310278767345907,0.42848535566264334,Bowel;Breast,False
ERC1,2,-1.1280756015334414,0.5684101675016724,Biliary Tract;Skin,False
HPGD,2,-1.1218817931931038,0.7241882556896287,Breast;Lymphoid,False
ABL2,2,-1.1215047586520872,0.32640689611657064,Lymphoid;Ovary/Fallopian Tube,False
CTBS,2,-1.1194116091964983,0.3273248990744671,Bowel;Skin,False
VBP1,2,-1.1191113723211374,0.2538567676471896,Bowel;Esophagus/Stomach,False
LPP,2,-1.1183414627514987,0.5120934889906281,Biliary Tract;Breast,False
KLLN,2,-1.1178390747879334,0.44595352962588775,Biliary Tract;Uterus,False
FGF14,2,-1.1175443622117276,0.8776493075459502,Breast;Pancreas,False
RLF,2,-1.1168896113674496,0.8776493075459502,Bladder/Urinary Tract;Breast,False
CLIC4,2,-1.1157664871632833,0.5684101675016724,Biliary Tract;Breast,False
KIAA1143,2,-1.1151302854876308,0.2538567676471896,Bowel;Lymphoid,False
FAM20C,2,-1.1130691524408198,0.6278632420710221,Biliary Tract;Pancreas,False
FNDC3A,2,-1.111155220676625,0.6949361184835696,Bladder/Urinary Tract;Lymphoid,False
TPRN,2,-1.1099859796432243,0.9969807075405016,Pancreas;Skin,False
G6PD,2,-1.1083335954106528,0.3398922387255376,Bladder/Urinary Tract;Bowel,False
ZFP91,2,-1.108215448409073,0.3343174285145299,Lymphoid;Uterus,False
HTRA1,2,-1.104504360154134,0.6034249226006193,Biliary Tract;Breast,False
KLHL25,2,-1.1028352118668052,0.6137357200341474,Biliary Tract;Lymphoid,False
WBP1L,2,-1.0990341422522867,0.6616268834463832,Breast;Lymphoid,False
CTXN1,2,-1.0939634757837458,0.5537864846051892,Biliary Tract;Pancreas,False
MYCBPAP,2,-1.0938500782634604,0.35321402552304804,Lymphoid;Uterus,False
PDE12,2,-1.0938136535973837,0.45457038730130905,Bowel;Lung,False
SCUBE2,2,-1.091972698843937,0.40812594395582963,Lymphoid;Ovary/Fallopian Tube,False
PRPF39,2,-1.0912081343152489,0.4017371067906146,Bowel;Lung,False
GPR15,2,-1.0891977124950913,0.3011442637689808,Bowel;Uterus,False
GATD1,2,-1.0890962639335777,0.6137357200341474,Lymphoid;Pancreas,False
CA5A,2,-1.0880731825893766,0.28668162742265574,Ovary/Fallopian Tube;Uterus,False
SLC25A25,2,-1.085871938203645,0.3438652154763171,Breast;Ovary/Fallopian Tube,False
BDP1,2,-1.0820049452120684,0.5279673177528519,Bowel;Breast,False
