gene,cohens_d,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,cancer_type
PNKP,-0.07655850819309802,0.7326205059140642,8,117,-0.3854868327392489,-0.3689664498424231,0.9780920917731337,Lung
PNKP,0.026343138141383934,0.8663809883033458,5,64,-0.3276649907172739,-0.35367441813209743,0.9919594854266837,Esophagus/Stomach
SMARCA4,0.4114316497293634,0.31648252701917823,19,14,-0.3546922861947238,-0.37683822569721614,0.8376159692960715,Uterus
SMARCA4,0.2827690821317055,0.2415955993586456,34,50,-0.2274984690075115,-0.25866959220398106,0.7763531706272175,CNS/Brain
SMARCA4,0.1242536490967446,0.7596497142252261,14,61,-0.3684866943425916,-0.3655961140034602,0.9950913327161113,Skin
SMARCA4,-0.0968557421493028,0.8435501560665571,10,42,-0.2681784851130027,-0.22799306989059945,0.9767967612805577,Breast
SMARCA4,0.16677285597563044,0.8258143463952298,8,53,-0.13249381178689354,-0.1287689980671492,0.9859296254885722,Bowel
SMARCA4,-0.2773184895758009,0.3739800399047737,6,52,-0.5429480232210917,-0.388448190964582,0.8928020364175872,Ovary/Fallopian Tube
SMARCA4,-0.7751946236189867,0.01238982969378227,13,78,-0.6829811009441799,-0.444142675658484,0.7658691546979809,Lymphoid
SMARCA4,0.18537908474547932,0.6810038306913407,8,117,-0.249145585330039,-0.2802132340541628,0.9722301257329543,Lung
SMARCA4,-0.4458042475458375,0.250921629934494,5,64,-0.5660878086000535,-0.47090904155237556,0.8952001087058123,Esophagus/Stomach
BCL2L1,0.7435997651743618,0.039584027493755475,19,14,-1.0651028262926738,-1.856825309115218,0.6455620894621028,Uterus
BCL2L1,0.2846118912636372,0.18486379924903373,34,50,-0.8954859797945155,-0.9559357737787992,0.7298090674448313,CNS/Brain
BCL2L1,0.016768700350917914,0.6883300148446467,14,61,-0.6430232388321722,-0.6894664967565333,0.9890399849779248,Skin
BCL2L1,0.33387288651241503,0.23179963319046426,10,42,-0.8455253275298702,-1.1337728336222903,0.7705597372521719,Breast
BCL2L1,0.04500607094616917,0.44269876476120507,8,53,-1.3890356907307653,-1.7695949131140625,0.9129420990147404,Bowel
BCL2L1,0.3091518905972765,0.508178729388879,6,52,-0.9509633450859577,-1.1094669360387999,0.9228431027620002,Ovary/Fallopian Tube
BCL2L1,0.22325424212710987,0.2404491816857488,13,78,-0.714617694687886,-0.7547308458966251,0.9059664376564743,Lymphoid
BCL2L1,0.3881757533145596,0.3522421806115929,8,117,-0.9561065421968113,-1.0628264929180171,0.9342874540021477,Lung
BCL2L1,0.39875735396156414,0.3021373023281639,5,64,-0.8649306890725086,-1.0196719949170623,0.9086923797461098,Esophagus/Stomach
ATM,-0.26358629711910375,0.5238295995447353,19,14,-0.0727567873081839,-0.11853472263701739,0.9156549570517303,Uterus
ATM,-0.05120707043986176,0.7532209630598249,34,50,-0.0223254474580939,-0.018584697833939998,0.953889601719005,CNS/Brain
ATM,0.38378969718105616,0.45865910802514,14,61,0.08312003690572625,0.0714190749928348,0.9746917030398047,Skin
ATM,0.26296699912397603,0.7189356164089685,10,42,-0.03499609550409965,-0.018047157546890652,0.9590978749965936,Breast
ATM,0.2236057322208991,0.4682750320374001,8,53,0.027039890932447602,-0.0578153784293114,0.9188706062007684,Bowel
ATM,1.2208137354326667,0.007671136596247031,6,52,0.1256677933984614,-0.04126941614460355,0.6677240306179879,Ovary/Fallopian Tube
ATM,-0.09892348771627825,0.7039850701377305,13,78,-0.0236904479340686,-0.0539422483630599,0.9728829512631711,Lymphoid
ATM,-0.2250312736002998,0.4414544442884212,8,117,-0.08876692478373491,-0.059529502629781,0.950151181503967,Lung
ATM,-0.21989443180785795,0.565923623525639,5,64,-0.1270049769377428,-0.09847420399654525,0.9550660229118335,Esophagus/Stomach
TTK,-0.4584108194453541,0.1306165508192725,19,14,-0.8824687614253585,-0.8043633642089538,0.7215296896920442,Uterus
TTK,-0.5633745700735638,0.02244321578190256,34,50,-0.8599409628250303,-0.7079471802267232,0.47681196941385634,CNS/Brain
TTK,-0.21088602276856067,0.5009028997499363,14,61,-0.8953466808847865,-0.8322658550639226,0.9813371382147942,Skin
TTK,-0.11873523608425371,0.8983864284301155,10,42,-0.6603565514147085,-0.7374747123237144,0.9853181875454401,Breast
TTK,-0.12946339077982594,0.6671695605939794,8,53,-0.8422221022733488,-0.8178786490671428,0.9594207547526381,Bowel
TTK,0.2504028216979937,0.8519265475057688,6,52,-0.7300922052801215,-0.775584547579248,0.9781580920359827,Ovary/Fallopian Tube
TTK,0.45886335566771874,0.047801966000225515,13,78,-0.7152228538723882,-0.8305351779152923,0.7936425291016744,Lymphoid
TTK,-0.8565637354981752,0.016441387488677295,8,117,-1.0398695976951138,-0.8353365074171565,0.8060567210316433,Lung
TTK,0.15096637080804642,0.8137126326231948,5,64,-0.8982175079145703,-0.853868951392684,0.9891987264790852,Esophagus/Stomach
RAD51,0.35905513963179453,0.5238295995447353,19,14,-1.2060356682566875,-1.3241172835480568,0.9156549570517303,Uterus
RAD51,0.32940323176582353,0.2036397851632077,34,50,-1.1487655014266775,-1.2040244364339088,0.746110541021961,CNS/Brain
RAD51,0.1127689266613254,0.6006272441266638,14,61,-1.0627146568393357,-1.1750875717443043,0.985242204569293,Skin
RAD51,-0.0026254517416137036,0.8983864284301155,10,42,-1.4031823077585872,-1.2858389328875763,0.9853181875454401,Breast
RAD51,0.025046932006025247,0.6219069433420668,8,53,-1.303756122789597,-1.3612563333819785,0.9508367497498805,Bowel
RAD51,0.43362409590496315,0.3217645659860501,6,52,-1.0434580306327024,-1.1552579977007962,0.8813871727308071,Ovary/Fallopian Tube
RAD51,0.6821775144229055,0.011248987288980066,13,78,-1.110825759516744,-1.3176820690206483,0.7611531738818926,Lymphoid
RAD51,0.055544551223229044,0.8469535114703465,8,117,-1.2911869626116328,-1.212259771057654,0.9898144406453763,Lung
RAD51,0.5570145789864251,0.3966761438991084,5,64,-1.190640620153057,-1.241328838073895,0.9250617682734963,Esophagus/Stomach
