comparison,treatment_id,drug_name,cohens_d,p_value,n_group_a,n_group_b,median_a,median_b,fdr,Drug.Name,MOA,repurposing_target,Synonyms
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00758722-001-04-9,NORETYNODREL,-0.0849,0.5306917258767085,108,41,-0.8883,-0.8245,0.9008431918238092,NORETYNODREL,PROGESTOGEN HORMONE,PGR,NORETYNODREL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00827783-001-24-6,DYPHYLLINE,-0.0427,0.9326763647189972,44,272,0.2113,0.2351,0.9864287408788148,DYPHYLLINE,"ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR","ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B",DYPHYLLINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00827783-001-24-6,DYPHYLLINE,0.1272,0.3916805555201179,112,44,0.2269,0.2113,0.8477864203519857,DYPHYLLINE,"ADENOSINE RECEPTOR ANTAGONIST, PHOSPHODIESTERASE INHIBITOR","ADORA1, ADORA2A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B",DYPHYLLINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00842753-001-01-9,OLEUROPEIN,0.0233,0.6734542535643182,45,261,0.0926,0.0512,0.9215010651703238,OLEUROPEIN,ESTROGEN RECEPTOR AGONIST,GPER1,OLEUROPEIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00842753-001-01-9,OLEUROPEIN,0.099,0.5459250818460206,109,45,0.1196,0.0926,0.906759125668904,OLEUROPEIN,ESTROGEN RECEPTOR AGONIST,GPER1,OLEUROPEIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A00993607-003-24-6,ALPRENOLOL,-0.2322,0.1762367007463324,45,274,0.1123,0.1552,0.6647579781420676,ALPRENOLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2, HTR1A",ALPRENOLOL
MTAP-confound_within_CDKN2A-del,BRD:BRD-A00993607-003-24-6,ALPRENOLOL,0.3291,0.0783046971760449,113,45,0.2004,0.1123,0.625146797161663,ALPRENOLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2, HTR1A",ALPRENOLOL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01098288-001-02-9,AZELNIDIPINE,-0.2218,0.13055512428985,44,268,-0.0145,0.0489,0.6067551635373593,AZELNIDIPINE,CALCIUM CHANNEL BLOCKER,CACNA1C,AZELNIDIPINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01098288-001-02-9,AZELNIDIPINE,0.2065,0.1202338386520758,110,44,0.1015,-0.0145,0.6653045709343575,AZELNIDIPINE,CALCIUM CHANNEL BLOCKER,CACNA1C,AZELNIDIPINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01307728-001-01-4,AMG-487-(+/-),-0.0165,0.7694880042752132,39,225,0.2216,0.2055,0.947040701292133,AMG-487-(+/-),CC CHEMOKINE RECEPTOR ANTAGONIST,CXCR3,AMG-487-(+/-)
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01307728-001-01-4,AMG-487-(+/-),0.338,0.1280079659277065,103,39,0.2653,0.2216,0.6725482468313702,AMG-487-(+/-),CC CHEMOKINE RECEPTOR ANTAGONIST,CXCR3,AMG-487-(+/-)
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01412266-001-01-0,HYDROXYPROPYL-BETA-CYCLODEXTRIN,-0.0801,0.3627546837604212,44,269,-0.086,0.0273,0.7925046019090283,HYDROXYPROPYL-BETA-CYCLODEXTRIN,,,HYDROXYPROPYL-BETA-CYCLODEXTRIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01412266-001-01-0,HYDROXYPROPYL-BETA-CYCLODEXTRIN,-0.0138,0.6155765155865477,112,44,-0.017,-0.086,0.9325668319573088,HYDROXYPROPYL-BETA-CYCLODEXTRIN,,,HYDROXYPROPYL-BETA-CYCLODEXTRIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01493904-003-12-1,WB-4101,0.2045,0.1468536690389633,44,273,-0.12,-0.255,0.6228209948623118,WB-4101,ADRENERGIC RECEPTOR ANTAGONIST,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1A",WB-4101
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01493904-003-12-1,WB-4101,-0.1628,0.1998753538233776,112,44,-0.2378,-0.12,0.7365229800603105,WB-4101,ADRENERGIC RECEPTOR ANTAGONIST,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1A",WB-4101
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01563671-001-02-7,CLEVIPREX,-0.0977,0.5627924212685843,44,273,0.2294,0.2843,0.8888988329270909,CLEVIPREX,CALCIUM CHANNEL BLOCKER,"CACNA1C, CACNA1D, CACNA1F, CACNA1S",CLEVIPREX
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01563671-001-02-7,CLEVIPREX,-0.0351,0.9575991353424488,112,44,0.2614,0.2294,0.9962140059436436,CLEVIPREX,CALCIUM CHANNEL BLOCKER,"CACNA1C, CACNA1D, CACNA1F, CACNA1S",CLEVIPREX
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01593789-001-03-1,CHLORMADINONE-ACETATE,-0.0838,0.6444278336136781,44,272,-0.1285,-0.0982,0.9123514886285936,CHLORMADINONE-ACETATE,5 ALPHA REDUCTASE INHIBITOR,PGR,CHLORMADINONE-ACETATE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01593789-001-03-1,CHLORMADINONE-ACETATE,0.002,0.8343715770860437,113,44,-0.0508,-0.1285,0.9779704830682264,CHLORMADINONE-ACETATE,5 ALPHA REDUCTASE INHIBITOR,PGR,CHLORMADINONE-ACETATE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01636364-003-15-1,BUPIVACAINE,-0.429,0.014670455584235,44,271,0.0074,0.1673,0.3276723467663023,BUPIVACAINE,SODIUM CHANNEL BLOCKER,"KCNA5, PTGER1, SCN10A, SCN4A",BUPIVACAINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01636364-003-15-1,BUPIVACAINE,0.46,0.0137307165736878,113,44,0.1925,0.0074,0.4633601266373839,BUPIVACAINE,SODIUM CHANNEL BLOCKER,"KCNA5, PTGER1, SCN10A, SCN4A",BUPIVACAINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01643550-001-04-9,PREDNISOLONE-ACETATE,0.1503,0.5104308842159522,41,265,-0.3468,-0.4654,0.870293433547753,PREDNISOLONE-ACETATE,GLUCOCORTICOID RECEPTOR AGONIST,NR3C1,PREDNISOLONE-ACETATE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01643550-001-04-9,PREDNISOLONE-ACETATE,0.0569,0.5675294449664545,108,41,-0.3218,-0.3468,0.9159507365678792,PREDNISOLONE-ACETATE,GLUCOCORTICOID RECEPTOR AGONIST,NR3C1,PREDNISOLONE-ACETATE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01787639-003-16-9,NAFTOPIDIL,-0.2015,0.340155435610156,44,271,-0.0677,-0.0016,0.7792359675414843,NAFTOPIDIL,ADRENERGIC RECEPTOR ANTAGONIST,ADRA1A,NAFTOPIDIL
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01787639-003-16-9,NAFTOPIDIL,0.2405,0.3660840231300736,112,44,0.0069,-0.0677,0.832733841558861,NAFTOPIDIL,ADRENERGIC RECEPTOR ANTAGONIST,ADRA1A,NAFTOPIDIL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A01907367-001-01-7,FK-33-824,-0.0512,0.6779396906933665,44,272,-0.1725,-0.1557,0.9228569566575698,FK-33-824,OPIOID RECEPTOR AGONIST,OPRM1,FK-33-824
MTAP-confound_within_CDKN2A-del,BRD:BRD-A01907367-001-01-7,FK-33-824,0.0344,0.8055724259748016,112,44,-0.165,-0.1725,0.9715423063587332,FK-33-824,OPIOID RECEPTOR AGONIST,OPRM1,FK-33-824
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02006392-001-16-4,NITRENDIPINE,-0.1921,0.2514100547885852,44,275,-0.1824,-0.1035,0.719677180444559,NITRENDIPINE,CALCIUM CHANNEL BLOCKER,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4",NITRENDIPINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02006392-001-16-4,NITRENDIPINE,0.3461,0.0473765045141244,112,44,-0.058,-0.1824,0.559652096571897,NITRENDIPINE,CALCIUM CHANNEL BLOCKER,"CACNA1C, CACNA1D, CACNA1H, CACNA1S, CACNA2D1, CACNA2D2, CACNB2, CACNG1, KCNN4",NITRENDIPINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02180903-001-04-5,BETAMETHASONE,-0.342,0.0488759608143616,44,272,0.1457,0.2923,0.46247496935692,BETAMETHASONE,GLUCOCORTICOID RECEPTOR AGONIST,NR3C1,BETAMETHASONE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02180903-001-04-5,BETAMETHASONE,0.4259,0.0447977723813626,112,44,0.3191,0.1457,0.5508965272422481,BETAMETHASONE,GLUCOCORTICOID RECEPTOR AGONIST,NR3C1,BETAMETHASONE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02232681-001-01-8,ISOLEUCINE,-0.3145,0.1542225618339972,45,261,-0.0644,-0.0394,0.6334973955552579,ISOLEUCINE,,"ACADSB, BCAT1, BCAT2, IARS, IARS2",ISOLEUCINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02232681-001-01-8,ISOLEUCINE,0.4515,0.0425396850276685,110,45,0.0011,-0.0644,0.5496360792994543,ISOLEUCINE,,"ACADSB, BCAT1, BCAT2, IARS, IARS2",ISOLEUCINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02473266-001-01-1,CEVIPABULIN,0.2428,0.1452984838611532,41,226,-2.1555,-2.6722,0.6193090791612524,CEVIPABULIN,"MICROTUBULE STIMULANT, TUBULIN POLYMERIZATION INHIBITOR",TUBB,CEVIPABULIN
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02473266-001-01-1,CEVIPABULIN,-0.2193,0.2454707105573553,101,41,-2.6247,-2.1555,0.7591588283498681,CEVIPABULIN,"MICROTUBULE STIMULANT, TUBULIN POLYMERIZATION INHIBITOR",TUBB,CEVIPABULIN
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02532772-003-01-7,TALOPRAM,-0.0449,0.6742970855596433,39,225,0.0347,0.0378,0.9215010651703238,TALOPRAM,ADRENERGIC INHIBITOR,SLC6A2,TALOPRAM
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02532772-003-01-7,TALOPRAM,0.2043,0.48722530244367,103,39,0.0378,0.0347,0.8855085127388971,TALOPRAM,ADRENERGIC INHIBITOR,SLC6A2,TALOPRAM
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02710418-003-11-8,MEPTAZINOL,-0.0975,0.511931410147477,44,271,-0.2985,-0.2673,0.870293433547753,MEPTAZINOL,OPIOID RECEPTOR AGONIST,BCHE,MEPTAZINOL
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02710418-003-11-8,MEPTAZINOL,-0.0708,0.7303961634726466,112,44,-0.2986,-0.2985,0.9561191343704012,MEPTAZINOL,OPIOID RECEPTOR AGONIST,BCHE,MEPTAZINOL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02743701-001-03-6,CILNIDIPINE,-0.4133,0.0539810661900961,44,272,-0.0479,-0.0014,0.476602041938906,CILNIDIPINE,CALCIUM CHANNEL BLOCKER,CACNA1B,CILNIDIPINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02743701-001-03-6,CILNIDIPINE,0.2885,0.5051692735552946,113,44,-0.0639,-0.0479,0.894854053329913,CILNIDIPINE,CALCIUM CHANNEL BLOCKER,CACNA1B,CILNIDIPINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02759312-003-24-5,BETAXOLOL,-0.0225,0.9188243044025934,44,273,0.2333,0.2257,0.9828004138143682,BETAXOLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",BETAXOLOL
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02759312-003-24-5,BETAXOLOL,0.0221,0.721530994006055,112,44,0.2695,0.2333,0.955567671016406,BETAXOLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",BETAXOLOL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02933148-001-01-8,ISOTIQUIMIDE,0.2724,0.0523850850600334,41,226,0.3597,0.2689,0.4712599429518714,ISOTIQUIMIDE,,,ISOTIQUIMIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02933148-001-01-8,ISOTIQUIMIDE,-0.1026,0.4334603759135282,101,41,0.2924,0.3597,0.8653662996945204,ISOTIQUIMIDE,,,ISOTIQUIMIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02971356-001-09-9,IBOTENIC-ACID,-0.0584,0.7466946092378179,52,393,0.014,0.0391,0.9386916487065629,IBOTENIC-ACID,GLUTAMATE RECEPTOR AGONIST,GRIN1,IBOTENIC-ACID
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02971356-001-09-9,IBOTENIC-ACID,0.114,0.7250534490928748,151,52,0.0633,0.014,0.9561191343704012,IBOTENIC-ACID,GLUTAMATE RECEPTOR AGONIST,GRIN1,IBOTENIC-ACID
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A02990301-003-06-6,LOFEXIDINE,-0.0249,0.5258078686683921,44,271,-0.5526,-0.4787,0.8768819463087643,LOFEXIDINE,ADRENERGIC RECEPTOR AGONIST,ADRA2A,LOFEXIDINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A02990301-003-06-6,LOFEXIDINE,0.1622,0.1542718048386462,113,44,-0.4686,-0.5526,0.6923327917391725,LOFEXIDINE,ADRENERGIC RECEPTOR AGONIST,ADRA2A,LOFEXIDINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03061970-003-07-3,ALIZAPRIDE,-0.2086,0.1615123432173425,44,271,-0.0729,-0.0174,0.6470651268254709,ALIZAPRIDE,DOPAMINE RECEPTOR ANTAGONIST,DRD2,ALIZAPRIDE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03061970-003-07-3,ALIZAPRIDE,0.1748,0.1623399073450309,113,44,-0.0301,-0.0729,0.695034925037414,ALIZAPRIDE,DOPAMINE RECEPTOR ANTAGONIST,DRD2,ALIZAPRIDE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03204438-001-01-2,PREGNANOLONE,0.1031,0.4594753001029517,41,226,0.1443,0.1207,0.8491663820628856,PREGNANOLONE,GABA RECEPTOR POSITIVE ALLOSTERIC MODULATOR,,PREGNANOLONE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03204438-001-01-2,PREGNANOLONE,-0.0211,0.9246847592722368,101,41,0.1163,0.1443,0.9930694856757016,PREGNANOLONE,GABA RECEPTOR POSITIVE ALLOSTERIC MODULATOR,,PREGNANOLONE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03216249-003-24-3,MEPIVACAINE,0.1642,0.3829935986156129,44,269,-0.3661,-0.4664,0.8053634582016409,MEPIVACAINE,"POTASSIUM CHANNEL BLOCKER, SODIUM CHANNEL BLOCKER",SCN10A,MEPIVACAINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03216249-003-24-3,MEPIVACAINE,-0.2816,0.3802527012486787,113,44,-0.442,-0.3661,0.8415931910355045,MEPIVACAINE,"POTASSIUM CHANNEL BLOCKER, SODIUM CHANNEL BLOCKER",SCN10A,MEPIVACAINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03359064-001-02-3,ICI-89406,-0.0667,0.4955552806769352,44,273,0.1371,0.2514,0.8638817609744343,ICI-89406,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",ICI-89406
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03359064-001-02-3,ICI-89406,0.0034,0.6294948103476237,112,44,0.2518,0.1371,0.9363132009332672,ICI-89406,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",ICI-89406
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03506276-001-01-5,XL888,-0.3452,0.0378607421599289,44,271,-4.1869,-3.7851,0.4270945889217294,XL888,HSP INHIBITOR,,XL888
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03506276-001-01-5,XL888,0.2633,0.1422140489127469,113,44,-3.7698,-4.1869,0.6823086062761267,XL888,HSP INHIBITOR,,XL888
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03623303-045-09-5,METOPROLOL,-0.2952,0.2245923803070724,44,271,-1.0181,-0.9012,0.6967341453633715,METOPROLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",METOPROLOL
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03623303-045-09-5,METOPROLOL,0.3285,0.1279306498981845,113,44,-0.8492,-1.0181,0.6725482468313702,METOPROLOL,ADRENERGIC RECEPTOR ANTAGONIST,"ADRB1, ADRB2",METOPROLOL
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03880619-001-01-0,BISMUTH-SUBCITRATE-POTASSIUM,-0.3173,0.0586090614704013,41,258,0.0271,0.1447,0.4833674294084238,BISMUTH-SUBCITRATE-POTASSIUM,,,BISMUTH-SUBCITRATE-POTASSIUM
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03880619-001-01-0,BISMUTH-SUBCITRATE-POTASSIUM,0.5668,0.0012039982437306,104,41,0.2381,0.0271,0.2796231301862259,BISMUTH-SUBCITRATE-POTASSIUM,,,BISMUTH-SUBCITRATE-POTASSIUM
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A03932035-004-04-3,METHSCOPOLAMINE,0.0975,0.8302889362569267,41,265,-0.1079,-0.1343,0.963702884988809,METHSCOPOLAMINE,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3",METHSCOPOLAMINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A03932035-004-04-3,METHSCOPOLAMINE,-0.272,0.1340539540132684,108,41,-0.2191,-0.1079,0.6777560295979842,METHSCOPOLAMINE,ACETYLCHOLINE RECEPTOR ANTAGONIST,"CHRM1, CHRM2, CHRM3",METHSCOPOLAMINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A04203391-001-08-3,PIRICAPIRON,-0.0696,0.922166698275979,44,275,0.0144,0.0003,0.9835038027282078,PIRICAPIRON,"DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",HTR2A,PIRICAPIRON
MTAP-confound_within_CDKN2A-del,BRD:BRD-A04203391-001-08-3,PIRICAPIRON,0.0479,0.8763785551749039,112,44,0.0399,0.0144,0.9856701583018768,PIRICAPIRON,"DOPAMINE RECEPTOR ANTAGONIST, SEROTONIN RECEPTOR ANTAGONIST",HTR2A,PIRICAPIRON
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A04252265-003-01-4,EPERISONE,0.1945,0.3829935986156129,44,269,0.0087,-0.0147,0.8053634582016409,EPERISONE,ACETYLCHOLINE RECEPTOR ANTAGONIST,CYP2J2,EPERISONE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A04252265-003-01-4,EPERISONE,-0.1704,0.703913481304341,112,44,-0.0089,0.0087,0.9507802940235678,EPERISONE,ACETYLCHOLINE RECEPTOR ANTAGONIST,CYP2J2,EPERISONE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A04322457-003-17-9,ISOPRENALINE,-0.0715,0.5495329106795737,44,272,0.1643,0.2166,0.8846203090361083,ISOPRENALINE,ADRENERGIC RECEPTOR AGONIST,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",ISOPRENALINE
MTAP-confound_within_CDKN2A-del,BRD:BRD-A04322457-003-17-9,ISOPRENALINE,-0.1441,0.6691591900685954,112,44,0.1521,0.1643,0.942067364828066,ISOPRENALINE,ADRENERGIC RECEPTOR AGONIST,"ADRB1, ADRB2, ADRB3, MAPK1, PIK3R1, PIK3R2, PIK3R3",ISOPRENALINE
CDKN2A-del_MTAP-intact_vs_intact,BRD:BRD-A04327189-001-15-1,SYNEPHRINE,-0.3601,0.0309129442286337,44,272,-0.2595,-0.0472,0.3967842935962628,SYNEPHRINE,ADRENERGIC RECEPTOR AGONIST,ADRA1A,SYNEPHRINE
