ModelID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,MTAP_CN,MTAP_deleted,MTAP_expression
ACH-000017,SK-BR-3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0.9162678816724028,False,4.328506191695508
ACH-000018,T24,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.7572489441399888,False,4.970448759634493
ACH-000019,MCF7,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0.0002019191569238,True,0.9454458965332536
ACH-000020,MHH-CALL-2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,2.1010718065661624
ACH-000021,NCI-H1693,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.8734179441266273,False,4.7741070540337605
ACH-000022,PA-TU-8988S,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.4825477791585124,True,3.3147211745067193
ACH-000023,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.8175292771063283,False,5.030914276598934
ACH-000024,OPM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,1.019405479851618,False,4.823000309351281
ACH-000025,CH-157MN,CNS/Brain,Meningothelial Tumor,Meningioma,0.0029649913749282,True,3.511936042247858
ACH-000026,253J-BV,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,,False,2.6285659814624824
ACH-000027,GOS-3,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,4.568828651488595
ACH-000028,KPL-1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,,False,1.3502765827325285
ACH-000029,HCC-827-GR5,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.045438562776796,False,7.19953493876541
ACH-000030,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,0.8277953533117745,False,4.294179602713216
ACH-000031,Panc 02.13,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,0.1606594987994573
ACH-000032,MHH-CALL-3,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,3.9810763110366993
ACH-000033,NCI-H1819,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,4.090582476362442
ACH-000034,PLB-985,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,False,3.850589423119161
ACH-000035,NCI-H1650,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,7.49469295065984e-05,True,2.0752895944509904
ACH-000036,U343,CNS/Brain,Diffuse Glioma,Glioblastoma,0.8442071897013569,False,3.6548250342562967
ACH-000037,S-117,Soft Tissue,"Sarcoma, NOS","Sarcoma, NOS",7.841162950478114e-05,True,1.7544214898419996
ACH-000038,EHEB,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",,False,4.135255759745182
ACH-000039,SK-N-MC,Bone,Ewing Sarcoma,Ewing Sarcoma,1.0576003515780152,False,5.464410153090324
ACH-000040,U-118 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,1.116823545933868e-05,True,0.3067591926130356
ACH-000041,RD-ES,Bone,Ewing Sarcoma,Ewing Sarcoma,0.481701228644169,True,3.960613644117094
ACH-000042,Panc 02.03,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.7255826701959046,False,4.533525972211171
ACH-000043,Hs 895.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,False,4.298328393306519
ACH-000044,MDA-MB-134-VI,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,1.004232209533822,False,2.7439026792863106
ACH-000045,MV4-11,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,1.021883695837238,False,4.733294679058975
ACH-000046,ACHN,Kidney,Renal Cell Carcinoma,Papillary Renal Cell Carcinoma,2.508099019757174e-05,True,0.4285733659205725
ACH-000047,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,0.9090115442049396,False,
ACH-000048,TOV-112D,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,1.0897424979366206,False,5.23247657119849
ACH-000049,HEK TE,Kidney,Non-Cancerous,Immortalized Embyonic Kidney Cells,,False,5.264664031056833
ACH-000050,NCI-H929,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,0.9890320608959108,False,4.7121114994662765
ACH-000051,TE 617.T,Soft Tissue,Rhabdomyosarcoma,Rhabdomyosarcoma,,False,4.526093858239075
ACH-000052,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,0.1025128351863273,True,4.077234452135575
ACH-000053,KARPAS-299,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,1.0082932001770455,False,0.1064622296188107
ACH-000054,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,6.737779232109498e-05,True,1.5939990742969274
ACH-000055,D283 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,,False,4.661886384891245
ACH-000056,DOHH-2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,0.1793874763974401
ACH-000057,OPM-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,5.315580720955706
ACH-000058,ML-1,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,,False,4.483125697748849
ACH-000059,SUP-B15,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,7.782145404841856e-05,True,1.7854584841434504
ACH-000060,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.1478754473138928,False,6.6232406375064885
ACH-000061,HH,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,1.0376356978262813,False,5.031677496450761
ACH-000062,RERF-LC-MS,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.0552853113106628,False,4.834468521710303
ACH-000063,Hs 616.T,Fibroblast,Non-Cancerous,"Fibroblast, Lymphoid",,False,4.453379295108401
ACH-000064,SALE,Lung,Non-Cancerous,Immortalized Lung Cells,,False,4.245054450735493
ACH-000065,OCI-AML5,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,False,4.865013135297051
ACH-000066,HCC4006,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,5.5065733814817435
ACH-000067,Hs 683,CNS/Brain,Diffuse Glioma,Oligodendroglioma,,False,0.4936442600478425
ACH-000068,REC-1,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,0.0052573696461957,True,4.593299982672853
ACH-000069,Hs 611.T,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,,False,3.5377681897584763
ACH-000070,697,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,0.9689559141674108,False,5.091348636882643
ACH-000071,Hs 706.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,5.067496746220236
ACH-000072,MEG-01,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",,False,4.68532908758885
ACH-000073,GRANTA-519,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,,False,0.1825117904570935
ACH-000074,KU812,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",0.8649256487187621,False,4.954573223399778
ACH-000075,U-87 MG,CNS/Brain,Diffuse Glioma,Glioblastoma,1.116823545933868e-05,True,0.145223546170965
ACH-000076,NCO2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",0.9803079550964076,False,5.771666411633869
ACH-000077,MJ,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,1.0107250210093102,False,2.670582041349701
ACH-000078,MHH-NB-11,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9078710124213202,False,4.43752738133868
ACH-000079,TE 125.T,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",,False,5.062195123041974
ACH-000080,BDCM,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,0.987267733878233,False,4.260213886771416
ACH-000081,GDM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,,False,3.706497399456137
ACH-000082,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,0.642384765303727,False,5.292535145071687
ACH-000083,Hs 281.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,False,4.698001724243662
ACH-000084,MUTZ-3,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,,False,4.6768484770478755
ACH-000085,T3M-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.870828013722046,False,5.442296625486551
ACH-000086,ACC-MESO-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",0.0212535339970041,True,4.327579589106643
ACH-000087,SK-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,0.6190993883672625,False,4.433960931121179
ACH-000088,Hs 172.T,Fibroblast,Non-Cancerous,"Fibroblast, Urinary Tract",,False,4.601696516480957
ACH-000089,NCI-H684,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,,False,5.528871328238121
ACH-000090,PC-3,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,0.8688194543835889,False,4.374121376679785
ACH-000091,OV56,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,0.8618444341743361,False,4.646381579890031
ACH-000092,NCI-H2452,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",1.2788973333022752e-05,True,0.243704416814682
ACH-000093,Panc 05.04,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.6704142613437218,False,4.86326946350561
ACH-000094,HPAF-II,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,7.470244001463829
ACH-000095,D341 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,0.962359658152681,False,5.188923086968173
ACH-000096,G-401,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,1.0463105248418034,False,4.839909213179888
ACH-000097,ZR-75-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.0048034750925023,False,4.850714426805235
ACH-000098,GAMG,CNS/Brain,Diffuse Glioma,Glioblastoma,0.0491492088024974,True,5.354124173947867
ACH-000099,SIMA,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9775918722425494,False,5.049064381333176
ACH-000100,RH-41,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,,False,4.561594974520607
ACH-000101,KE-37,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,1.185833055664694e-05,True,0.0809045715795921
ACH-000102,GMS-10,CNS/Brain,Diffuse Glioma,Glioblastoma,,False,4.728845660309872
ACH-000103,Caov-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,,False,3.942814742332301
ACH-000104,Loucy,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,0.6444705816806687,False,4.708419019970153
ACH-000105,ALL-SIL,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,4.063640992642696
ACH-000106,JVM-2,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,,False,3.556245464703519
ACH-000107,Capan-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,4.784163684534101
ACH-000108,KP-3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,0.8178585251951599,False,5.460156063090988
ACH-000109,NCI-H3255,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,0.105763886200093
ACH-000110,NCC-StC-K140,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,,False,0.164617675026412
ACH-000111,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.1303204521279555,False,5.069723645374433
ACH-000112,SIG-M5,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,,False,4.842300052514061
ACH-000113,OCI-AML2,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,1.0172879057078612,False,4.988112039041943
ACH-000114,SU.86.86,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.116823545933868e-05,True,0.1989869117052665
ACH-000115,VCaP,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,,False,4.371691277818976
ACH-000116,OAW28,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.178729662694143,False,4.765184638176447
ACH-000117,EFM-192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0.6918414075286633,False,3.6039170799342086
ACH-000118,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,1.116823545933868e-05,True,0.0644510818686695
ACH-000119,Hs 863.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,4.76856546357528
ACH-000120,CHP-212,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,1.1425900240407656,False,5.963296088121249
ACH-000121,NCI-H2405,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,6.103537504198778
ACH-000122,SUP-T11,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,4.339507990190345
ACH-000123,COV434,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,1.0177780051360632,False,4.04540802133007
ACH-000124,OCI-LY-19,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,0.1493322139058912
ACH-000125,TO 175.T,Fibroblast,Non-Cancerous,"Fibroblast, Lymphoid",,False,4.814981014433782
ACH-000126,KG-1-C,CNS/Brain,Diffuse Glioma,Oligodendroglioma,1.191270376157222e-05,True,0.497151447048293
ACH-000127,SLR 20,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,0.8304999262184274,False,5.5562148039654025
ACH-000128,LN-319,CNS/Brain,Diffuse Glioma,Astrocytoma,1.1177616154681569,False,5.037496438161036
ACH-000129,NCI-H1341,Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,Small Cell Neuroendocrine Carcinoma of the Cervix,0.9481953606803872,False,5.469146861493389
ACH-000130,NALM-19,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,0.3912079072598399
ACH-000131,Hs 229.T,Fibroblast,Non-Cancerous,"Fibroblast, Lung",,False,5.177690609620694
ACH-000132,JHOS-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,1.116823545933868e-05,True,0.2825074158515557
ACH-000133,Hs 729,Fibroblast,Non-Cancerous,Fibroblast,0.8195838187425447,False,4.493801021993489
ACH-000134,Hs 274.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,False,4.488392893999307
ACH-000135,Hs 940.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,False,4.010054729152059
ACH-000136,CHP-126,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,False,4.78628792672206
ACH-000137,8-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,1.0159637556026884,False,5.178499535321742
ACH-000138,CFPAC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,5.0777258107283
ACH-000139,Panc 03.27,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.0585106149987047,True,4.8453796491866905
ACH-000140,Pfeiffer,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,5.175716202538767
ACH-000141,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",0.7753196349834838,False,5.275599354902465
ACH-000142,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,1.1900324363927198e-05,True,0.2561930606227087
ACH-000143,HCC2429,Lung,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,0.9959061300274644,False,5.293444059187092
ACH-000144,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,0.5862282763185145,False,3.544287539960288
ACH-000145,SK-LMS-1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,0.7073858729813294,False,4.0012978415956475
ACH-000146,THP-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,1.5035776018863612e-05,True,0.0945968674208931
ACH-000147,T-47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,0.8236556805249389,False,4.328936966951781
ACH-000148,Hs 578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",0.9357334241455196,False,3.1600036954544515
ACH-000149,SK-N-SH,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,,False,4.6534900091719935
ACH-000150,HCC2935,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,1.1869020767157783e-05,True,0.3944790207667235
ACH-000151,JM1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,1.2570138644567825e-05,True,0.1576762870256249
ACH-000152,M059K,CNS/Brain,Diffuse Glioma,Glioblastoma,1.0705865419891198,False,5.4423497129532485
ACH-000153,NCI-H2052,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Sarcomatoid Type",1.116823545933868e-05,True,0.1016097392293067
ACH-000154,Hs 888.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,4.960395867287328
ACH-000155,SW 1990,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,0.0403693627812952,True,4.202574442561799
ACH-000156,MHH-CALL-4,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,,False,5.059472093802562
ACH-000157,A4/Fuk,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",,False,4.997902059114102
ACH-000158,OCI-LY3,Lymphoid,Mature B-Cell Neoplasms,Activated B-cell Type,,False,0.0539982343339265
ACH-000159,OS-RC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,0.0001763315444832,True,1.7246153497964605
ACH-000160,BT-12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,0.0397961467665398,True,4.395330194444169
ACH-000161,COR-L105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,,False,5.092355455616345
ACH-000162,GA-10,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,,False,5.622728336051067
ACH-000163,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,0.0001126012194421,True,0.1541450588644508
ACH-000164,PANC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,5.8121735673357046e-05,True,3.610085817589761
ACH-000165,Hs 751.T,Fibroblast,Non-Cancerous,"Fibroblast, Lymphoid",,False,4.664562482214385
ACH-000166,Kasumi-6,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,0.9860887732470895,False,4.3023775472810355
ACH-000167,KE-97,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,1.0238508000233493,False,3.860317263383975
ACH-000168,NOMO-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,1.4293900991506789e-05,True,0.1203572492608485
ACH-000169,RD,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,0.6246587524940206,False,4.436928034239587
ACH-000170,PrEC LH,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",,False,4.765672644445391
ACH-000171,VMRC-RCZ,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,,False,0.3839845800276374
ACH-000172,TM-87,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,1.0009569821868722,False,3.96976754398732
ACH-000173,JHUEM-3,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,,False,0.1723582176141527
ACH-000174,CAL-62,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,4.267187522217568e-05,True,1.4585972373601814
ACH-000175,TE159T,Fibroblast,Non-Cancerous,"Fibroblast, Soft Tissue",,False,4.231931551103719
ACH-000176,LOU-NH91,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,,False,4.804435665552785
ACH-000177,NCI-H660,Prostate,Prostate Small Cell Carcinoma,Prostate Small Cell Carcinoma,,False,5.0713937122373345
ACH-000178,Hs 766T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,6.6918412074264735
ACH-000179,NCI-H1618,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,1.0424018097130747,False,4.944296247304267
ACH-000180,Hs 839.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,False,4.9853410328429595
ACH-000181,SCC-9,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,,False,4.577670515859891
ACH-000182,SNU-869,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,0.7305890574744158,False,4.224727181825359
ACH-000183,L-363,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,0.732438095475252,False,4.445799524774981
ACH-000184,Hs  343.T,Fibroblast,Non-Cancerous,"Fibroblast, Breast",,False,5.334257193189102
ACH-000185,Hs 737.T,Fibroblast,Non-Cancerous,"Fibroblast, Bone",,False,4.106080260225132
ACH-000186,NCI-H2444,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,,False,4.573725946647555
ACH-000187,COR-L311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,0.7570051731612482,False,4.4434607833897894
ACH-000188,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,0.1155982398841417,True,2.6660271081050575
ACH-000189,RCC10RGB,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,0.7377565194224426,False,3.782618243736098
ACH-000190,HD-MY-Z,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,0.9682776164107912,False,6.552962601348247
ACH-000191,BHT-101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,0.7607298852789506,False,5.237835192318095
ACH-000192,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,0.9460365885658072,False,5.0936531303224095
ACH-000193,KARPAS-620,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,,False,4.812688176232134
ACH-000194,Hs 934.T,Fibroblast,Non-Cancerous,"Fibroblast, Skin",,False,4.663691871957699
ACH-000195,Set-2,Myeloid,Acute Myeloid Leukemia,"AML, NOS",1.2562299463697584e-05,True,0.1982502264063678
ACH-000196,HCC1599,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,1.0547868263836504,False,5.012649118939034
ACH-000197,TALL-1,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,,False,5.395103940424532
ACH-000198,EOL-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,1.4310754056713504e-05,True,0.2277065788757596
ACH-000199,Hs 255.T,Fibroblast,Non-Cancerous,"Fibroblast, Colorectal",,False,3.918863237274594
ACH-000200,NMC-G1,CNS/Brain,Diffuse Glioma,Glioblastoma,0.9826562708806283,False,5.013658774538987
ACH-000201,A-204,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,1.0074602394260546,False,4.936374107786933
ACH-000202,COLO-320,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,0.5789411415080297,False,4.0620526156631
ACH-000203,NH-6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,0.9739197783764134,False,5.335436806046493
ACH-000204,LP-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,0.960158008025118,False,4.646306689009547
ACH-000205,PK-59,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,False,4.631936590221234
ACH-000206,C8166,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",1.0285621024579297,False,5.248872548762347
ACH-000207,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,0.8782260643243424,False,5.224669308970333
ACH-000208,U-178,CNS/Brain,Diffuse Glioma,Astrocytoma,,False,3.9793760328203223
ACH-000209,SNU-1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,,False,3.877616659031419
ACH-000210,CADO-ES1,Bone,Ewing Sarcoma,Ewing Sarcoma,1.3507869002250307e-05,True,0.3044304355437477
ACH-000211,Daoy,CNS/Brain,Embryonal Tumor,Medulloblastoma,2.4730552689526017e-05,True,0.1490512069246647
ACH-000212,CAL-120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,0.8323567238155027,False,4.638218678809362
