cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,fdr,classification
Lung,PIK3CA,0.442474633874514,0.1328920834085285,0.7041749346670648,0.27497143255288403,8,117,-0.32057849071435224,-0.4349402438246462,0.532865452378177,NOT_SIGNIFICANT
Lung,AKT1,0.17692670730482862,-0.8236139536406004,1.2671785015787624,0.6737396165969955,8,117,-0.0833160555532733,-0.0428356741287073,0.8412400261481269,NOT_SIGNIFICANT
Lung,AKT2,0.0931481930878793,-0.6774450442265831,0.8151655220170801,0.6810038306913407,8,117,0.011347931580314097,-0.0353140761045227,0.8412400261481269,NOT_SIGNIFICANT
Lung,MTOR,0.11559405240592185,-0.40811408092625295,0.7463539676538783,0.8083708763085841,8,117,-1.187240398578626,-1.1979026035196518,0.8934625474989613,NOT_SIGNIFICANT
Lung,RICTOR,-0.35987668242614296,-1.0606544067348556,0.37723338556842045,0.24911542960408306,8,117,-0.4454847089905898,-0.3371990562043734,0.5275404399684589,NOT_SIGNIFICANT
Lung,RPTOR,-0.37789002299486996,-0.9374407715426037,0.1553566201118724,0.24497055926377076,8,117,-0.97136957852567,-0.8561485942800727,0.5275404399684589,NOT_SIGNIFICANT
Esophagus/Stomach,PIK3CB,-1.0902147751098403,-2.9807268212314626,0.29382809049813374,0.3474833369859518,5,64,-0.0583920146002195,-0.07792781590206345,0.532865452378177,NOT_SIGNIFICANT
Esophagus/Stomach,PIK3CA,-1.26653772191089,-2.979970056436414,0.15845568788976952,0.08936520338589278,5,64,-0.93673770521744,-0.5811975477428187,0.29631620070059184,NOT_SIGNIFICANT
Esophagus/Stomach,AKT1,-2.051577636420068,-4.5660617758216935,0.06098439965139223,0.08042487471429717,5,64,-0.5141548929569812,-0.0310344116381098,0.29631620070059184,NOT_SIGNIFICANT
Esophagus/Stomach,AKT2,-0.5363575293842281,-1.4727398450665965,0.19930019228636675,0.37160396575596794,5,64,-0.0963983072352931,-0.050199731511815546,0.532865452378177,NOT_SIGNIFICANT
Esophagus/Stomach,MTOR,-0.35688999985133923,-1.735830303891741,0.924957385922995,0.7618162651945145,5,64,-1.2779466441462553,-1.2791714105919292,0.8887856427269336,NOT_SIGNIFICANT
Esophagus/Stomach,RICTOR,-1.4072425333337286,-3.641795232610655,0.5399548336506459,0.3021373023281639,5,64,-0.6585096436616655,-0.4756996006226477,0.532865452378177,NOT_SIGNIFICANT
Esophagus/Stomach,RPTOR,-1.062627359745379,-2.2257425020297843,-0.0856884095531066,0.05762862044115623,5,64,-1.0491724774490503,-0.807025858848615,0.23570362780580995,NOT_SIGNIFICANT
