cancer_type,gene,cohens_d,ci_lower,ci_upper,p_value,n_lost,n_intact,median_dep_lost,median_dep_intact,is_core_mapk,fdr
Bowel,GRB2,-0.7344,-1.8856,0.1952,0.17050370592478842,6,37,-1.3029,-0.7348,True,0.5822652971711096
Bowel,PTPN11,-0.6333,-1.5809,0.1537,0.14915260576066022,6,37,-0.6714,-0.5371,True,0.5822652971711096
Bowel,KRAS,0.5378,0.0895,0.9865,0.3441065904868633,6,37,-0.9398,-1.3525,False,0.6439304626007912
Bowel,NRAS,-0.0544,-0.9787,0.627,0.6941976434169764,6,37,-0.0842,-0.1269,False,0.8543970995901249
Bowel,HRAS,-0.1939,-0.7596,0.4193,0.5957899460899729,6,37,-0.1782,-0.1294,False,0.8543970995901249
Bowel,NF1,-0.2825,-0.8091,0.1125,0.17050370592478842,6,37,-0.0929,0.0326,False,0.5822652971711096
Bowel,ARAF,0.6585,0.0176,1.4715,0.15957571401342485,6,37,0.0913,0.0508,False,0.5822652971711096
Bowel,SHOC2,0.2005,-0.6753,1.0407,0.6442538564221103,6,37,-0.1467,-0.2352,False,0.8543970995901249
Bowel,MRAS,0.1773,-0.5993,1.0284,0.9591467433363722,6,37,-0.0478,-0.0301,False,0.9863796233023328
Lung,BRAF,-0.2869,-1.0422,0.3532,0.7088394161788816,10,90,-0.0554,-0.0509,True,1.0
Lung,RAF1,-0.0703,-0.6266,0.3422,0.8767338520233376,10,90,-0.0291,-0.0562,True,1.0
Lung,MAP2K1,0.3706,-0.4551,1.2531,0.6499417297281758,10,90,-0.1045,-0.1408,True,1.0
Lung,MAP2K2,-0.3401,-0.8633,0.1632,0.18831819793437388,10,90,-0.2188,-0.1281,True,0.6026182333899964
Lung,MAPK1,-0.5548,-1.2789,0.0731,0.14293818231643224,10,90,-0.1932,-0.105,True,0.5972576525624588
Lung,MAPK3,-0.2836,-0.8952,0.2768,0.3983940097879024,10,90,-0.1348,-0.1064,True,1.0
Lung,SOS1,-0.0748,-0.6249,0.4293,1.0,10,90,-0.2206,-0.2384,True,1.0
Lung,GRB2,-0.9732,-1.8391,-0.2643,0.011293657016547543,10,90,-1.6143,-0.9022,True,0.1412982476603489
Lung,PTPN11,-0.8082,-1.4456,-0.1511,0.017662280957543613,10,90,-0.9154,-0.605,True,0.1412982476603489
Lung,KRAS,0.3485,-0.0414,0.6311,0.561759633577665,10,90,-0.5156,-0.5649,False,1.0
Lung,NRAS,0.1826,-0.1137,0.3947,0.9404668952198956,10,90,-0.1608,-0.1647,False,1.0
Lung,HRAS,0.1985,-0.4431,0.8406,0.5773563317034416,10,90,-0.0797,-0.1025,False,1.0
Lung,NF1,-0.0289,-0.4588,0.3468,0.8767338520233376,10,90,-0.0514,-0.0437,False,1.0
Lung,ARAF,-0.0578,-0.5362,0.4226,0.9130818137928967,10,90,0.0744,0.0918,False,1.0
Lung,SHOC2,-0.3715,-1.0527,0.1964,0.1493144131406147,10,90,-0.2114,-0.1209,False,0.5972576525624588
Lung,MRAS,0.1338,-0.4121,0.7411,0.8316706058094273,10,90,-0.0349,-0.0437,False,1.0
Esophagus/Stomach,BRAF,0.1992,-0.2432,0.6717,0.5645176987388119,6,41,-0.0576,-0.0728,True,0.8837136321553889
Esophagus/Stomach,RAF1,0.4872,-0.0044,1.0269,0.20216952192082888,6,41,-0.0182,-0.0837,True,0.7444696611919038
Esophagus/Stomach,MAP2K1,-0.0693,-1.1639,0.4336,0.2516611528508351,6,41,-0.1947,-0.1287,True,0.7444696611919038
Esophagus/Stomach,MAP2K2,0.2587,-0.3102,0.9079,0.6075531221068299,6,41,-0.1563,-0.1417,True,0.8837136321553889
Esophagus/Stomach,MAPK1,0.1651,-0.3114,0.5754,0.9134203790744891,6,41,-0.183,-0.1608,True,0.9381030517790193
Esophagus/Stomach,MAPK3,-0.3646,-0.8666,0.0478,0.20216952192082888,6,41,-0.1557,-0.076,True,0.7444696611919038
Esophagus/Stomach,SOS1,0.2665,-0.4469,0.9665,0.839950331420331,6,41,-0.3113,-0.2743,True,0.9381030517790193
Esophagus/Stomach,GRB2,0.5713,-0.2398,1.3873,0.2791761229469639,6,41,-0.6518,-1.2688,True,0.7444696611919038
Esophagus/Stomach,PTPN11,0.6897,0.0084,1.4229,0.15032912931069248,6,41,-0.6404,-0.841,True,0.7444696611919038
Esophagus/Stomach,KRAS,0.2569,-0.788,0.9697,0.26518376173088654,6,41,-0.381,-0.568,False,0.7444696611919038
Esophagus/Stomach,NRAS,0.5372,-0.3932,1.5734,0.3901248447856886,6,41,-0.1348,-0.1371,False,0.8837136321553889
Esophagus/Stomach,HRAS,-0.0292,-0.7251,0.2804,0.5027087592326497,6,41,-0.189,-0.1699,False,0.8837136321553889
Esophagus/Stomach,NF1,-0.4231,-1.5677,0.5363,0.4444933692185376,6,41,-0.09,-0.0048,False,0.8837136321553889
Esophagus/Stomach,ARAF,-0.1281,-0.4845,0.3193,0.9381030517790193,6,41,0.0649,0.0656,False,0.9381030517790193
Esophagus/Stomach,SHOC2,0.2707,-0.1531,0.6194,0.8157187848687966,6,41,-0.109,-0.1597,False,0.9381030517790193
Esophagus/Stomach,MRAS,-0.147,-0.841,0.5177,0.791659530510293,6,41,-0.039,-0.0461,False,0.9381030517790193
Pan-cancer (pooled),BRAF,0.0375,-0.1656,0.2221,0.6929210014607226,84,765,-0.0917,-0.0879,True,0.6929210014607226
Pan-cancer (pooled),RAF1,-0.3008,-0.5963,-0.0425,0.032171639762434555,84,765,-0.1356,-0.0813,True,0.10294924723979057
Pan-cancer (pooled),MAP2K1,0.2109,0.0446,0.3776,0.5019420227512729,84,765,-0.1707,-0.1597,True,0.6177747972323359
Pan-cancer (pooled),MAP2K2,-0.1038,-0.294,0.079,0.041015606807472224,84,765,-0.2108,-0.1657,True,0.1093749514865926
Pan-cancer (pooled),MAPK1,-0.01,-0.2192,0.1786,0.4714118204483806,84,765,-0.2032,-0.1613,True,0.6177747972323359
Pan-cancer (pooled),MAPK3,-0.1388,-0.373,0.1191,0.09486528510645763,84,765,-0.1285,-0.0867,True,0.18973057021291526
Pan-cancer (pooled),SOS1,-0.0115,-0.2316,0.1941,0.6284210651114581,84,765,-0.249,-0.2396,True,0.6706706743540942
Pan-cancer (pooled),GRB2,-0.3054,-0.5363,-0.0525,0.013044205094478723,84,765,-1.2817,-0.9667,True,0.0862008132421682
Pan-cancer (pooled),PTPN11,-0.2828,-0.5149,-0.0514,0.016162652482906537,84,765,-0.7908,-0.6616,True,0.0862008132421682
Pan-cancer (pooled),KRAS,0.3039,0.1773,0.4182,0.07311056875427228,84,765,-0.434,-0.4947,False,0.16710987143833664
Pan-cancer (pooled),NRAS,-0.2368,-0.5639,0.0495,0.29667112844891674,84,765,-0.1921,-0.1596,False,0.4315216413802425
Pan-cancer (pooled),HRAS,-0.0635,-0.2457,0.1126,0.20109929844972552,84,765,-0.14,-0.1235,False,0.3575098639106231
Pan-cancer (pooled),NF1,-0.1881,-0.349,-0.0039,0.02754731738132885,84,765,-0.0504,-0.0007,False,0.10294924723979057
Pan-cancer (pooled),ARAF,-0.12,-0.3236,0.0817,0.6287537572069634,84,765,0.0805,0.0769,False,0.6706706743540942
Pan-cancer (pooled),SHOC2,-0.3702,-0.6336,-0.1499,0.0004867239602629182,84,765,-0.3106,-0.2043,False,0.0077875833642066915
Pan-cancer (pooled),MRAS,-0.0963,-0.3109,0.1317,0.26411470746019383,84,765,-0.0528,-0.0456,False,0.42258353193631015
Pan-cancer (RAS-excluded),BRAF,0.1077,-0.0882,0.2713,0.8222973894084589,67,585,-0.0877,-0.0825,True,0.8771172153690228
Pan-cancer (RAS-excluded),RAF1,-0.3678,-0.6837,-0.0706,0.018161207223763163,67,585,-0.0937,-0.0563,True,0.05193562789355095
Pan-cancer (RAS-excluded),MAP2K1,0.2654,0.0919,0.4242,0.2750714179170951,67,585,-0.1353,-0.1597,True,0.4753798454793033
Pan-cancer (RAS-excluded),MAP2K2,-0.0705,-0.2573,0.0853,0.043816493249404016,67,585,-0.2129,-0.1667,True,0.10015198457006633
Pan-cancer (RAS-excluded),MAPK1,0.0109,-0.1915,0.1991,0.37412229764158256,67,585,-0.2073,-0.1477,True,0.49882973018877674
Pan-cancer (RAS-excluded),MAPK3,0.0999,-0.1391,0.356,0.9797877795611459,67,585,-0.1142,-0.0951,True,0.9797877795611459
Pan-cancer (RAS-excluded),SOS1,-0.0737,-0.3208,0.1445,0.25769456964985604,67,585,-0.3184,-0.2632,True,0.4753798454793033
Pan-cancer (RAS-excluded),GRB2,-0.4181,-0.6703,-0.1466,0.0018319704024833932,67,585,-1.3887,-1.0983,True,0.014655763219867146
Pan-cancer (RAS-excluded),PTPN11,-0.3892,-0.612,-0.1542,0.0032436679405577857,67,585,-0.873,-0.7582,True,0.017299562349641525
Pan-cancer (RAS-excluded),KRAS,0.0811,-0.1343,0.2933,0.6444346703194727,67,585,-0.4271,-0.4442,False,0.7364967660793973
Pan-cancer (RAS-excluded),NRAS,-0.0784,-0.36,0.2125,0.5224737484930786,67,585,-0.1799,-0.1551,False,0.6430446135299429
Pan-cancer (RAS-excluded),HRAS,-0.1031,-0.3379,0.1259,0.326823643767021,67,585,-0.1419,-0.1248,False,0.4753798454793033
Pan-cancer (RAS-excluded),NF1,-0.2623,-0.4535,-0.0787,0.012112596338974544,67,585,-0.0542,0.0123,False,0.04845038535589818
Pan-cancer (RAS-excluded),ARAF,-0.1725,-0.4087,0.0551,0.3241283499269798,67,585,0.0735,0.0746,False,0.4753798454793033
Pan-cancer (RAS-excluded),SHOC2,-0.485,-0.7582,-0.232,0.00013046417901769553,67,585,-0.2877,-0.1775,False,0.0020874268642831284
Pan-cancer (RAS-excluded),MRAS,-0.2573,-0.4806,-0.0293,0.019475860460081606,67,585,-0.0673,-0.0464,False,0.05193562789355095
