gene,n_deleted,n_intact,median_deleted,median_intact,cohens_d,mannwhitney_p,fdr,significant
RCOR2,25,73,-0.3574974347955729,-0.2498114281332455,-0.7851344807416484,0.0014809909160361494,0.6202698090343534,False
ICE2,25,73,-0.877502971244545,-0.5338610980615713,-0.7849204550571306,0.003914216248645376,0.6645872250331184,False
PTGES3L,7,32,-0.1379399804209376,0.16224341427114494,-0.7788463720989816,0.030007404620407716,0.7168665371037762,False
DZIP3,25,73,-0.01824963620157,0.0364833967943604,-0.765850493345604,0.001850798506635502,0.6202698090343534,False
ZNF574,25,73,-0.9234993320679112,-0.6679836890806884,-0.7590031920545678,0.003260562370547658,0.6645872250331184,False
AGR3,25,73,-0.0098879463151035,0.0778758557471832,-0.7537084689868258,0.00013670262704350506,0.3514972300474588,False
LRRC28,25,73,-0.0561139437548243,-0.0208403795955038,-0.7533272274360859,0.003914216248645376,0.6645872250331184,False
XPA,25,73,-0.1285014762388304,-0.0342035616856803,-0.7469883374323524,0.010015172331938377,0.676458361439085,False
RGN,25,73,-0.0854047015537999,-0.0179926808346643,-0.7435746161286622,0.0014809909160361494,0.6202698090343534,False
CDC20B,25,73,-0.2182034385232981,-0.1469739180378795,-0.7363560074124513,0.007515352767397013,0.6645872250331184,False
PIK3C2G,25,73,0.0336764811809055,0.1033240528655657,-0.7360743500367407,0.005731698188378027,0.6645872250331184,False
LRRC10,25,73,-0.0838609994781599,-0.0125525235362386,-0.7335086020280285,0.0024319027847871637,0.6645872250331184,False
ABCA8,25,73,-0.0751168039943179,-0.0120455178488865,-0.7328579259943849,0.006488821966052134,0.6645872250331184,False
CNBD2,25,73,-0.129422222805718,-0.0790249170492965,-0.7324776472718445,0.009552954708776953,0.676458361439085,False
BANF2,25,73,0.0825993224446727,0.123464512850389,-0.7323042938194722,0.006650629109737171,0.6645872250331184,False
GNB5,25,73,-0.0526158276702722,-0.0012623398792458,-0.7276130806844328,0.010999767055707328,0.676458361439085,False
KIF4B,25,73,-0.0185521785705678,0.0362230114502833,-0.7216095913958585,0.008278315437041425,0.6645872250331184,False
NAB2,25,73,-0.1398039119983313,-0.0675051572041854,-0.7199557188990459,0.019337310482788538,0.6891751258037072,False
PLD5,25,73,0.0048235491478506,0.1125013339466594,-0.7193985199511095,0.0024319027847871637,0.6645872250331184,False
WDR77,25,73,-1.2956634281790953,-1.1565724328795233,-0.7186074806854832,0.005590196908597068,0.6645872250331184,False
SPACA4,25,73,-0.0755674539309469,-0.03405581267211,-0.7178042685555871,0.005055176510686768,0.6645872250331184,False
TMOD1,25,73,-0.0637667021659418,0.0033904359029759,-0.7136876068216351,0.0024983724923253667,0.6645872250331184,False
ZNF311,25,73,-0.1734873029208256,-0.0834780769916981,-0.7092340531164388,0.00175113264413902,0.6202698090343534,False
FOXH1,25,73,-0.0429248732044086,0.0447547826218496,-0.708278056084093,0.004684775211044096,0.6645872250331184,False
DEFB108B,7,31,-0.0934958115793671,0.1500259234669718,-0.7074789237716338,0.15562267516601885,0.8455334850894207,False
FGF17,25,73,0.0662948338056794,0.1036856862658202,-0.7060492032611709,0.011258976246858366,0.676458361439085,False
TNFSF11,25,73,0.0141232935366788,0.0922879899790092,-0.7054881244619448,0.0024319027847871637,0.6645872250331184,False
TAS2R5,25,73,0.0046486725316167,0.0575672162235579,-0.7049481421592841,0.0023670552362863744,0.6645872250331184,False
FCER1A,25,73,-0.0537298807217987,0.0134835843190846,-0.7027762840613277,0.0008839400348197329,0.5283309588117543,False
TNFAIP6,25,73,-0.0406316032432844,0.0067793048624983,-0.7002474031779345,0.004928867004543711,0.6645872250331184,False
RAD54L,25,73,-0.2346315903732568,-0.176302619504206,-0.6992170835794168,0.012069443972441926,0.676458361439085,False
KLHL5,25,73,0.1005158693735559,0.1255636660195439,-0.6983743519746853,0.006488821966052134,0.6645872250331184,False
NME8,25,73,-0.0817435703057026,-0.0468533978275211,-0.697990219216911,0.001850798506635502,0.6202698090343534,False
TTC23,25,73,0.0963500249943327,0.1727321166060167,-0.6953060084154392,0.010745873972328507,0.676458361439085,False
RAB40C,25,73,-0.1073277191117992,-0.0066443169781654,-0.6935003485668806,0.0003155753415541263,0.4013118785123194,False
MAP7,25,73,-0.1436944139875539,-0.0844872279623108,-0.6896777259529528,0.006175789793353283,0.6645872250331184,False
RBM28,25,73,-0.8010407821810912,-0.6485397018413886,-0.6885343427668975,0.01620961797405974,0.6889646068219283,False
GDNF,25,73,-0.0066076295656582,0.046003238973384,-0.6864663591049122,0.003175773399384297,0.6645872250331184,False
OR4E2,25,64,-0.099813153741689,-0.044903565993470854,-0.685298075363034,0.00375113519832918,0.6645872250331184,False
IFITM5,25,73,-0.1644205846736017,-0.053442925879994,-0.6848897499893198,0.004339117250420226,0.6645872250331184,False
GRM1,25,73,-0.0222353336564276,0.0234468499763454,-0.6845294197327676,0.005451855182238936,0.6645872250331184,False
GRPR,25,73,0.0067188973402644,0.0713004533066487,-0.684205842534396,0.015851752370354265,0.6889646068219283,False
PAAF1,25,73,-0.1143689392632104,-0.0343694172867585,-0.6831400846529964,0.010497204485432819,0.676458361439085,False
RARRES2,25,73,-0.1304651278557981,-0.0413162219367229,-0.6814036334010276,0.008895261502869244,0.6645872250331184,False
FAM135B,25,73,-0.1412572957789398,-0.0902281805619918,-0.679990390488034,0.03143512791063478,0.7168665371037762,False
SYT7,25,73,-0.1349292250945383,-0.1261821399826654,-0.6794773541639441,0.044117179804154964,0.7394813629539708,False
PCDHGA11,25,73,0.0103343002807089,0.0728802870153221,-0.6780471526935442,0.0021231887180359734,0.6631111621018823,False
PSMB11,25,73,-0.2386618561911823,-0.1672382508602362,-0.6767514621741031,0.008895261502869244,0.6645872250331184,False
NUDC,25,73,-1.0447341438787836,-0.8218700240691418,-0.6764256133336187,0.0019025620153304017,0.6202698090343534,False
ARGFX,25,73,-0.2298624249685366,-0.1550215117510661,-0.6742807116586076,0.012069443972441926,0.676458361439085,False
YPEL4,25,73,-0.1388748355368744,-0.101477186902926,-0.6716677353269598,0.039219737886373104,0.7272483144162939,False
FERMT3,25,73,-0.2659455625261807,-0.1756211018860261,-0.6714734655902956,0.009552954708776953,0.676458361439085,False
NKAIN3,7,32,0.0408928248336108,0.19971736488872416,-0.6699524931360373,0.46157070924872784,0.9396939766648029,False
CA4,25,73,-0.080787308226352,-0.0232126994762787,-0.6640825477188419,0.006985168727661622,0.6645872250331184,False
ATP6V0A2,25,73,-0.1651162864678811,-0.0749124349832036,-0.6604897883204116,0.003914216248645376,0.6645872250331184,False
DCLK3,25,73,-0.1282588812727244,-0.0590255127949412,-0.6599290290209905,0.0022420857292314977,0.6645872250331184,False
RAB13,25,73,-0.323152268890486,-0.2259032475712096,-0.6577952880812026,0.009552954708776953,0.676458361439085,False
HINT3,25,73,-0.0465519558530226,0.0102964123916034,-0.6576343308080629,0.030798198336867415,0.7168665371037762,False
IDI2,25,73,0.0556110601049124,0.1090800603494095,-0.656901535531288,0.039219737886373104,0.7272483144162939,False
ACP5,25,73,-0.0029618437080577,0.0407111044538291,-0.6567677203305876,0.008895261502869244,0.6645872250331184,False
LGALS4,25,73,-0.1174359077753089,-0.0469432984609517,-0.6566737734454536,0.004339117250420226,0.6645872250331184,False
FAM47B,25,73,0.1159426180823166,0.1824055957002574,-0.6564134327004367,0.004805418840021537,0.6645872250331184,False
ZP3,25,73,-0.1782576602799701,-0.1033184904189979,-0.654239488230571,0.0044516789366641305,0.6645872250331184,False
TAS2R3,25,73,0.0723552804587825,0.130608110614958,-0.6530635682125521,0.005184405096728819,0.6645872250331184,False
CYP27C1,25,73,-0.0216720113142013,0.0094768135104884,-0.6526086043155197,0.005590196908597068,0.6645872250331184,False
RIOK1,25,73,-1.1122353597053067,-0.920099591747602,-0.6516388833930553,0.016946707063019532,0.6889646068219283,False
RAB27A,25,73,0.0362128239990042,0.0805710696153602,-0.6478044790762136,0.0037162622498492118,0.6645872250331184,False
NFKB1,25,73,0.0055081639124146,0.0563672811484764,-0.6472629301265648,0.01416468966799219,0.68548633988327,False
STX4,25,73,-0.709733327688359,-0.2766174993152172,-0.6469249593903639,0.018919493918509826,0.6891751258037072,False
HERC6,25,73,-0.0131865083695025,0.0329815550298575,-0.6449374434625014,0.006330564727830305,0.6645872250331184,False
C16orf90,25,73,-0.1444347921340149,-0.099867583359459,-0.6441667604923532,0.015500853520006554,0.6889646068219283,False
ZNF17,25,73,-0.0573368522183269,0.0058211280805967,-0.6419758679311014,0.012931205279404289,0.6797503962364113,False
NOP9,25,73,-0.9663104240745264,-0.8063549377505268,-0.6400472178743977,0.014488836250948598,0.68548633988327,False
CLEC17A,25,73,-0.0456563792713499,0.0022481704639364,-0.6399720935487978,0.015156808648920984,0.6889646068219283,False
COCH,25,73,-0.2384100930066223,-0.1766648828653873,-0.6393396633311177,0.055469633239601496,0.7682080682417408,False
CNTNAP3B,25,73,-0.1152930626934714,-0.0325830363035245,-0.637285817235923,0.010999767055707328,0.676458361439085,False
LAPTM4B,25,73,-0.2112292660585934,-0.0746207105483002,-0.6364786543961666,0.034791900999406274,0.726630968494166,False
AP3B2,25,73,-0.0724191991964239,-0.0030065827149657,-0.63347114564761,0.015156808648920984,0.6889646068219283,False
MACROH2A2,25,73,-0.2219799625909552,-0.1879471744257541,-0.6323411984634008,0.12548702947388968,0.8382939969658453,False
RPS25,25,73,-1.6383701971683622,-1.3260445961200769,-0.6319161364920624,0.008895261502869244,0.6645872250331184,False
FTH1,25,64,-0.8401457128395857,-0.6395654371993281,-0.6301880352043718,0.005441048127894099,0.6645872250331184,False
CHIA,25,73,-0.0854825732176281,-0.0056817031717834,-0.6294458221320737,0.005731698188378027,0.6645872250331184,False
SYT17,25,73,-0.104052284918418,-0.0304077536923412,-0.6290162204049521,0.0197631677517132,0.6891751258037072,False
PAGE4,25,73,0.0836103526288875,0.1233848938345434,-0.6289487835775956,0.005590196908597068,0.6645872250331184,False
DYNLT2B,25,73,-0.1369272981780666,-0.0612036239272329,-0.6287317591659826,0.005451855182238936,0.6645872250331184,False
ZNF541,25,73,-0.0303599038830059,0.0576855642419477,-0.6272584930733978,0.009781630697389456,0.676458361439085,False
CABLES1,25,73,-0.0330322232852924,0.0210032600586337,-0.6269560584996309,0.007334745356376359,0.6645872250331184,False
LRRC51,25,73,0.0567822335377431,0.1177283940680629,-0.626864230647656,0.012931205279404289,0.6797503962364113,False
PPM1K,25,73,0.0336851809219483,0.0621883358868517,-0.6251113907671861,0.012931205279404289,0.6797503962364113,False
IL1RL1,25,73,0.0277395787736207,0.06688319476276,-0.6247466418421793,0.018107485851128095,0.6891751258037072,False
URGCP,25,73,-0.1165354489828705,-0.0577092997166377,-0.6245895523337215,0.03409707207347062,0.726630968494166,False
CRYGN,25,73,-0.0666940335100176,-0.0098295109366243,-0.6231483068917419,0.007158041640921094,0.6645872250331184,False
BNIPL,25,73,-0.2583615729925175,-0.1657691732545071,-0.6230430093637932,0.07041477070349694,0.7803505892981482,False
RPL7L1,7,32,-1.8331876051264384,-1.6698236920896328,-0.6229988184321734,0.24016235161746002,0.8780190859452627,False
RLN3,25,73,-0.1082158840008699,-0.0244847128039595,-0.6229965316835077,0.0014398932238798715,0.6202698090343534,False
NTF4,25,73,-0.1516188181711945,-0.1042418510225066,-0.6228170537808688,0.019337310482788538,0.6891751258037072,False
ATXN3,25,73,-0.0273877334039797,0.0251093693248978,-0.6220715352260477,0.02063950937240482,0.6891751258037072,False
NAA16,25,73,-0.1364305233848815,-0.0853318646506947,-0.6215559896595564,0.010015172331938377,0.676458361439085,False
EHD3,25,73,-0.0416026820615806,0.0134066224656296,-0.6214205936288563,0.0017031724185002396,0.6202698090343534,False
ZNF34,25,73,-0.1302562259664911,-0.0769278837073304,-0.620970698739038,0.012350867277093261,0.676458361439085,False
LPA,25,73,-0.2714701225168995,-0.1448656771741949,-0.6199482756089848,0.004566880233779099,0.6645872250331184,False
GJA3,25,73,-0.4273626625371564,-0.2838254920788774,-0.6184100929827923,0.0027812041802829364,0.6645872250331184,False
CCDC25,25,73,-0.106815700357139,-0.0330875116341683,-0.6178367696622669,0.008895261502869244,0.6645872250331184,False
SSTR2,25,73,-0.1463330872100639,-0.0839098002120857,-0.6169216346488505,0.01620961797405974,0.6889646068219283,False
TNMD,25,73,0.0522982891127754,0.1055743398650319,-0.614442893766853,0.0030929987010570193,0.6645872250331184,False
RCL1,25,73,-0.9648087803175978,-0.904323622031982,-0.6131559562864436,0.01152359528057489,0.676458361439085,False
CSRNP2,25,73,-0.0489573741733627,-0.0041957363099618,-0.6116930703265336,0.011258976246858366,0.676458361439085,False
NLGN2,25,73,-0.090000752099033,-0.0415024772744472,-0.6077262814918889,0.013230321135826645,0.6797503962364113,False
FOXM1,25,73,-0.3977168859741127,-0.2833147005831145,-0.6072723483511104,0.019337310482788538,0.6891751258037072,False
DQX1,25,73,-0.1556409402412904,-0.0878490772850921,-0.606840891057969,0.015500853520006554,0.6889646068219283,False
TNFRSF10C,25,73,0.0167113200951896,0.045656361544117,-0.6067411198123077,0.010745873972328507,0.676458361439085,False
HIKESHI,25,73,-0.3822952099605373,-0.2669557500633125,-0.6066287449363883,0.004229141998056662,0.6645872250331184,False
INTS3,25,73,-2.124391177702319,-1.7714846408972655,-0.606205116411745,0.012350867277093261,0.676458361439085,False
RPS4Y1,7,32,0.2862215916906858,0.35961744585466304,-0.6051566873114013,0.09652519869238137,0.8042719970971609,False
DKK4,25,73,-0.0981504613122975,-0.042003197550279,-0.6042358499479125,0.028360078350562888,0.7168665371037762,False
TTC4,25,73,-0.8032551602627421,-0.6304426593539532,-0.60100900149903,0.026642351379235117,0.7135713914895703,False
HEATR5B,25,73,-0.2898463277086923,-0.2151868065892729,-0.6004678917839451,0.007334745356376359,0.6645872250331184,False
MEGF6,25,73,-0.0613884260648362,0.0341705567655805,-0.600296905296781,0.012350867277093261,0.676458361439085,False
TMEM61,25,73,-0.2164413949989877,-0.1044095530251777,-0.5986222519475124,0.02154954191036512,0.6912429982017119,False
TOGARAM2,25,73,-0.0167809944987471,0.0325622964134134,-0.5983304141316754,0.012638087729747002,0.676458361439085,False
LAG3,25,73,-0.0258293376575044,0.0268108152008822,-0.5982987011726641,0.023474877674875487,0.7037088598242514,False
MAGEB2,25,73,0.1156025651364743,0.1865909142078114,-0.5982371736303668,0.005731698188378027,0.6645872250331184,False
RAB9B,25,73,0.0545470979150003,0.0883086590574277,-0.5979610810426479,0.06200203818752618,0.7785423996782437,False
HEXIM2,25,73,-0.0908490083251559,-0.0610201199746038,-0.5966705459683748,0.022494309586916096,0.7037088598242514,False
GNLY,25,73,-0.2127381879475341,-0.1535976307516891,-0.5963124290836836,0.013846958944411963,0.6821148923962936,False
ZNF777,25,73,-0.0916177525875961,-0.0473705671116162,-0.5959634297667166,0.006024430590950265,0.6645872250331184,False
ZNF266,25,73,0.0278972083438049,0.0699862175917328,-0.5923151586413774,0.04498164577805135,0.7420109387729888,False
PROKR1,25,73,-0.126561716256895,-0.0424554798742594,-0.5919985504851145,0.010999767055707328,0.676458361439085,False
ANXA4,25,73,0.0283460430330863,0.1082088061201865,-0.5908815339341084,0.011258976246858366,0.676458361439085,False
VN1R1,25,73,0.0022789553492857,0.0480248614345719,-0.5908647965138755,0.033414138781987714,0.7201309164661318,False
GIMAP2,25,73,0.1166057646117471,0.1190485244826816,-0.5903407330025149,0.1275102620164119,0.8382939969658453,False
PICK1,25,73,-0.1476721371945515,-0.0858337634390301,-0.5901120962582945,0.048583669077116774,0.7523217513607035,False
PRSS22,25,73,-0.0220531776503657,0.0035780614018101,-0.5896824521552649,0.056516746184324305,0.7682080682417408,False
PPY,25,73,-0.3905131506231105,-0.336608482310234,-0.5889727742836447,0.08403551643148481,0.795921357967651,False
PKHD1,25,73,-0.1135943307828438,-0.0662093416724894,-0.5888406682554319,0.014819506284254226,0.688415977157934,False
PLPP1,25,73,-0.0761707694390068,-0.0221468456117668,-0.5870642460274299,0.008479573054353463,0.6645872250331184,False
CYP4F22,25,73,-0.1691666297332703,-0.103057942010203,-0.5858328299953122,0.02063950937240482,0.6891751258037072,False
PLCXD3,25,73,0.1187359825504007,0.1488817870615672,-0.585142210778147,0.0575802600924042,0.7682080682417408,False
TGFBR1,25,73,-0.156078473802222,-0.0873857971038934,-0.5841605242837751,0.027204665350150675,0.7135713914895703,False
TEKT1,25,73,-0.0645762056649255,0.0050126639737548,-0.5840853161632864,0.02063950937240482,0.6891751258037072,False
OTX1,25,73,-0.2999643592058086,-0.2468879454887466,-0.5834179914688903,0.04079824705304129,0.7293652720918079,False
TTLL11,25,73,-0.3651750599408833,-0.2406988391194605,-0.5820434308518859,0.006330564727830305,0.6645872250331184,False
CRCP,25,73,-1.7428016782049456,-1.6056276060452794,-0.5817997475713579,0.02063950937240482,0.6891751258037072,False
B3GNT3,25,73,-0.24874183999622,-0.1524499490957239,-0.5808147370506606,0.05047365271802611,0.7523217513607035,False
TRIM14,25,73,-0.1444391950479841,-0.0670036147108162,-0.578710786136497,0.016946707063019532,0.6889646068219283,False
RPL13A,7,32,-2.2773924246682804,-1.8629536562848603,-0.57829248163198,0.10441054403902703,0.8111295844496254,False
PRADC1,25,73,-0.2692440658040064,-0.1983129038192063,-0.576790669101127,0.027777192084084548,0.7135713914895703,False
TTPAL,25,73,-0.0695853843952989,-0.0167244696907549,-0.5764379013248792,0.005590196908597068,0.6645872250331184,False
CNPY3,25,73,-0.0104244835840602,0.0489441835651435,-0.5761279390962354,0.014488836250948598,0.68548633988327,False
ARPP21,25,73,0.0436813343351245,0.0864106856901625,-0.5758655612992009,0.01152359528057489,0.676458361439085,False
CDCP2,25,73,-0.1868897721395665,-0.1024833143942344,-0.5757618831947743,0.005590196908597068,0.6645872250331184,False
SIPA1,25,73,-0.2266452846737841,-0.1535924764398526,-0.5755174503132886,0.003175773399384297,0.6645872250331184,False
IFI27L1,25,73,-0.0740148239625953,-0.0136637030918502,-0.5754840866088221,0.03549878581233001,0.726630968494166,False
IL15RA,25,73,-0.0692764314250185,-0.0104358777457601,-0.575021370246074,0.017713049118560534,0.6889646068219283,False
GML,25,73,-0.2068184539578978,-0.1497060647701014,-0.5747048659202563,0.009781630697389456,0.676458361439085,False
MAGEB17,25,73,0.074689661117689,0.124607516043027,-0.5746962543615504,0.018107485851128095,0.6891751258037072,False
BOP1,25,73,-1.426867974366708,-1.312068317866237,-0.5739078091686817,0.007515352767397013,0.6645872250331184,False
SLC22A17,25,73,-0.2619432055745308,-0.147084132094024,-0.573633615202382,0.0197631677517132,0.6891751258037072,False
MASP1,25,73,-0.0034970488079664,0.0575773252068806,-0.5733057542171149,0.008895261502869244,0.6645872250331184,False
SLC39A14,25,73,-0.1335026976222648,-0.0820530774062516,-0.5730881470993303,0.015851752370354265,0.6889646068219283,False
CD5,25,73,-0.1734308713452202,-0.1571928511849634,-0.5728686671540828,0.06431617730425632,0.7792252535423109,False
CAMTA2,25,73,-0.081285179237269,-0.0237505629649319,-0.5724627507275393,0.027777192084084548,0.7135713914895703,False
TM9SF4,25,73,-0.2130937311180549,-0.1635845912753868,-0.5721035958101628,0.023474877674875487,0.7037088598242514,False
ATF3,25,73,-0.0161277983923035,0.0196954970642402,-0.5720670479898448,0.03769339550296085,0.7267529836167645,False
GIN1,25,73,0.0371343100130904,0.084519214882703,-0.5710211896277121,0.036949369923243595,0.7267529836167645,False
TMEM150A,25,73,-0.0547597212883174,-0.0120423311176599,-0.5707426340736945,0.028360078350562888,0.7168665371037762,False
PPM1M,25,73,-0.1189969315290637,-0.0794092834162397,-0.5699372426154959,0.022017517769526627,0.6962894376109028,False
RAB3C,25,73,0.024168169647201,0.0653642226389995,-0.5698336165556828,0.03549878581233001,0.726630968494166,False
CCDC59,25,73,-0.7512926729614096,-0.6507910381729931,-0.5694725487942051,0.008278315437041425,0.6645872250331184,False
SUGCT,25,73,-0.0632040388750228,-0.0394507521061929,-0.568708784407511,0.07298349834520758,0.7843208314992702,False
PRICKLE4,25,73,-0.0280337558903381,0.0242018538981101,-0.5668558715836177,0.006816054800171217,0.6645872250331184,False
ZNF878,25,73,-0.018529129317134,0.0411148558132005,-0.5666890085011931,0.011258976246858366,0.676458361439085,False
SH2D6,7,32,-0.1087335926638992,0.0073073729493739,-0.5656703671078038,0.28725077022290646,0.8882318694547603,False
UBAC2,25,73,0.0315721823559756,0.0715660132652002,-0.5642818292681998,0.051441512921060355,0.7548263242123839,False
SLC28A1,25,73,-0.0053772257802286,0.0632373425097547,-0.5635818529470775,0.03409707207347062,0.726630968494166,False
RPL26L1,25,73,-0.6798043803713448,-0.5346182470969387,-0.5634104209309915,0.022980051179184655,0.7037088598242514,False
OASL,25,73,-0.0642337218792391,0.0247399057782371,-0.5631174843933209,0.043266779751882097,0.7360689067656526,False
PRR19,25,73,-0.1116215729144294,-0.0309325645287132,-0.5622731914801364,0.016574564409657228,0.6889646068219283,False
NAV2,25,73,-0.0848997460208254,-0.0240792743718779,-0.5622531428359527,0.012069443972441926,0.676458361439085,False
PTCH1,25,73,-0.0046969550029001,0.0757935147241571,-0.5609783614737949,0.025547781022424033,0.7135713914895703,False
LSM3,25,73,-1.72660703690808,-1.5258351315969094,-0.560656451479889,0.009329057865512707,0.676458361439085,False
ECT2,25,73,-1.1965032200592076,-1.1141852174094458,-0.5592580390431297,0.07562839976068508,0.7843220567431141,False
NPAS3,25,73,-0.1481388698712449,-0.11259793274685,-0.5590677778002718,0.014488836250948598,0.68548633988327,False
DRG1,25,73,-0.4248126083894084,-0.3458751674326401,-0.5586306224783822,0.0295575228883877,0.7168665371037762,False
RAB33A,25,73,-0.0264041910945892,0.0160315309337666,-0.5585635678678667,0.008278315437041425,0.6645872250331184,False
ZNF652,25,73,-0.0021551604465403,0.0427601822260202,-0.5581539736183482,0.0295575228883877,0.7168665371037762,False
ROBO1,25,73,-0.0342218673456231,0.034034977192857,-0.5578424145222248,0.007334745356376359,0.6645872250331184,False
KRT86,25,64,-0.251863551840706,-0.1935613700968807,-0.556090003627108,0.014243682389263986,0.68548633988327,False
ZNF441,25,73,-0.121306809534438,-0.0681878794286088,-0.5559149405610561,0.01353553777500683,0.6818397164113768,False
CRACR2A,25,73,-0.0173040460964269,0.0482382918521799,-0.5549719105619325,0.04000238769058453,0.7293652720918079,False
HMX3,25,73,-0.0294046154577126,0.03066529309678,-0.5540049846979882,0.04586035196578396,0.744856857879051,False
ZNF696,25,73,-0.1503956076661421,-0.0899710244057668,-0.5539102104139794,0.003175773399384297,0.6645872250331184,False
CYP2C18,25,73,-0.0429532653773276,-0.0363946433779653,-0.5537848372861411,0.07298349834520758,0.7843208314992702,False
OTOS,25,73,-0.1596657044525524,-0.1191712015548105,-0.5537414500499317,0.01732616262996434,0.6889646068219283,False
CARM1,25,73,-0.3723041324914589,-0.3330078043818361,-0.5531694591200274,0.043266779751882097,0.7360689067656526,False
FABP3,25,73,-0.0340088336694169,-0.0013523672506947,-0.5530494416110117,0.02397892551182966,0.7037088598242514,False
IL17REL,25,73,0.0056762098777694,0.0682548951848998,-0.552401730852808,0.028360078350562888,0.7168665371037762,False
INPP4A,25,73,-0.1519057010545567,-0.1044594446108633,-0.5515390837323076,0.02063950937240482,0.6891751258037072,False
IGF2,25,73,-0.1227233175910674,-0.0547672711276989,-0.5512242613202022,0.04079824705304129,0.7293652720918079,False
ZNF594,25,73,0.0265069190705943,0.048730748755201,-0.5511845627057317,0.011793719121859976,0.676458361439085,False
TXNDC12,25,73,-0.0536012399264858,-0.0323691487192673,-0.5511408250410129,0.0575802600924042,0.7682080682417408,False
CCNA2,25,73,-1.5912466721765797,-1.401726378943804,-0.5509595375722063,0.027204665350150675,0.7135713914895703,False
STXBP3,25,73,-0.2997221389801562,-0.2012772570136669,-0.5503005912945631,0.19786695225702378,0.8700226387740788,False
